ech1_l6_p30
long
Time , Disp, Load , Pressure, Volume
0.08 , 6.0 , 2.26 , 12.975 , 0.073
0.18 , 6.0 , 2.26 , 12.975 , 0.073
0.29 , 6.0 , 2.252 , 12.831 , 0.073
0.39 , 6.0 , 2.245 , 12.674 , 0.073
0.48 , 6.0 , 2.245 , 12.674 , 0.073
0.59 , 6.0 , 2.243 , 12.844 , 0.073
0.69 , 6.0 , 2.25 , 12.896 , 0.073
0.78 , 6.0 , 2.254 , 12.883 , 0.073
0.88 , 6.0 , 2.254 , 12.883 , 0.074
0.99 , 6.0 , 2.258 , 12.621 , 0.074
1.09 , 6.0 , 2.243 , 13.014 , 0.074
1.18 , 6.0 , 2.243 , 13.014 , 0.074
1.28 , 6.0 , 2.269 , 12.752 , 0.074
1.39 , 6.0 , 2.256 , 12.883 , 0.079
1.49 , 6.0 , 2.256 , 12.883 , 0.079
1.58 , 6.0 , 2.256 , 12.634 , 0.079
1.68 , 6.0 , 2.245 , 13.014 , 0.079
1.79 , 6.0 , 2.243 , 12.87 , 0.079
1.89 , 6.0 , 2.243 , 12.87 , 0.083
1.98 , 6.0 , 2.254 , 12.923 , 0.083
2.08 , 6.0 , 2.258 , 12.713 , 0.083
2.19 , 6.0 , 2.258 , 12.713 , 0.083
2.29 , 6.0 , 2.26 , 12.857 , 0.083
2.38 , 6.0 , 2.254 , 12.687 , 0.087
2.49 , 6.0 , 2.269 , 12.569 , 0.087
2.59 , 6.0 , 2.269 , 12.569 , 0.087
2.69 , 6.0 , 2.254 , 12.765 , 0.087
2.78 , 6.0 , 2.248 , 12.66 , 0.087
2.89 , 6.0 , 2.248 , 12.66 , 0.091
2.99 , 6.0 , 2.262 , 12.634 , 0.091
3.08 , 6.0 , 2.265 , 12.778 , 0.091
3.18 , 6.0 , 2.262 , 12.726 , 0.091
3.29 , 6.0 , 2.262 , 12.726 , 0.091
3.39 , 6.0 , 2.245 , 12.608 , 0.095
3.48 , 6.0 , 2.254 , 12.608 , 0.095
3.58 , 6.0 , 2.254 , 12.608 , 0.095
3.69 , 6.0 , 2.25 , 12.687 , 0.095
3.79 , 6.0 , 2.241 , 12.844 , 0.095
3.88 , 6.0 , 2.241 , 12.844 , 0.099
3.99 , 6.0 , 2.258 , 12.7 , 0.099
4.09 , 6.0 , 2.256 , 12.569 , 0.099
4.19 , 6.0 , 2.252 , 12.726 , 0.099
4.28 , 6.0 , 2.252 , 12.726 , 0.099
4.39 , 6.0 , 2.254 , 12.765 , 0.104
4.49 , 6.0 , 2.243 , 12.634 , 0.104
4.58 , 6.0 , 2.243 , 12.634 , 0.104
4.68 , 6.0 , 2.252 , 12.752 , 0.104
4.79 , 6.0 , 2.267 , 12.752 , 0.104
4.89 , 6.0 , 2.239 , 12.674 , 0.108
4.98 , 6.0 , 2.239 , 12.674 , 0.108
5.08 , 6.0 , 2.258 , 12.739 , 0.108
5.19 , 6.0 , 2.25 , 12.765 , 0.108
5.29 , 6.0 , 2.25 , 12.765 , 0.108
5.38 , 6.0 , 2.231 , 12.713 , 0.112
5.48 , 6.0 , 2.245 , 12.7 , 0.112
5.59 , 6.0 , 2.245 , 12.7 , 0.112
5.69 , 6.0 , 2.26 , 12.765 , 0.112
5.78 , 6.0 , 2.25 , 12.831 , 0.112
5.88 , 6.0 , 2.239 , 12.687 , 0.116
5.99 , 6.0 , 2.239 , 12.687 , 0.116
6.09 , 6.0 , 2.25 , 12.687 , 0.116
6.18 , 6.0 , 2.241 , 12.792 , 0.116
6.29 , 6.0 , 2.241 , 12.792 , 0.116
6.39 , 6.0 , 2.267 , 12.883 , 0.12
6.48 , 6.0 , 2.25 , 12.778 , 0.12
6.58 , 6.0 , 2.252 , 12.831 , 0.12
6.69 , 6.0 , 2.252 , 12.831 , 0.12
6.79 , 6.0 , 2.269 , 12.752 , 0.12
6.88 , 6.0 , 2.258 , 12.857 , 0.124
6.98 , 6.0 , 2.258 , 12.857 , 0.124
7.09 , 6.0 , 2.243 , 12.752 , 0.124
7.19 , 6.0 , 2.258 , 12.87 , 0.124
7.28 , 6.0 , 2.258 , 12.87 , 0.124
7.38 , 6.0 , 2.262 , 12.975 , 0.129
7.49 , 6.0 , 2.245 , 12.805 , 0.129
7.59 , 6.0 , 2.252 , 13.041 , 0.129
7.68 , 6.0 , 2.252 , 13.041 , 0.129
7.79 , 6.0 , 2.239 , 12.726 , 0.129
7.89 , 6.0 , 2.258 , 13.001 , 0.133
7.98 , 6.0 , 2.258 , 13.001 , 0.133
8.08 , 6.0 , 2.258 , 12.752 , 0.133
8.19 , 6.0 , 2.248 , 12.608 , 0.133
8.29 , 6.0 , 2.248 , 12.792 , 0.133
8.38 , 6.0 , 2.248 , 12.792 , 0.137
8.48 , 6.0 , 2.224 , 12.857 , 0.137
8.59 , 6.0 , 2.248 , 12.805 , 0.137
8.69 , 6.0 , 2.248 , 12.805 , 0.137
8.78 , 6.0 , 2.218 , 12.923 , 0.137
8.88 , 6.0 , 2.224 , 12.87 , 0.141
8.99 , 6.0 , 2.228 , 12.857 , 0.141
9.09 , 6.0 , 2.228 , 12.857 , 0.141
9.18 , 6.0 , 2.239 , 12.792 , 0.141
9.29 , 6.0 , 2.241 , 12.726 , 0.141
9.39 , 6.0 , 2.241 , 12.726 , 0.145
9.49 , 6.0 , 2.216 , 12.739 , 0.145
9.58 , 6.0 , 2.222 , 12.765 , 0.145
9.69 , 6.0 , 2.222 , 12.765 , 0.145
9.79 , 6.0 , 2.241 , 12.936 , 0.145
9.88 , 6.0 , 2.241 , 12.818 , 0.149
9.98 , 6.0 , 2.245 , 12.621 , 0.149
10.09 , 6.0 , 2.245 , 12.621 , 0.149
10.19 , 6.0 , 2.258 , 12.87 , 0.149
10.28 , 6.0 , 2.262 , 12.792 , 0.149
10.38 , 6.0 , 2.262 , 12.792 , 0.154
10.49 , 6.0 , 2.256 , 12.883 , 0.154
10.59 , 6.0 , 2.231 , 12.778 , 0.154
10.68 , 6.0 , 2.243 , 12.831 , 0.154
10.78 , 6.0 , 2.243 , 12.831 , 0.154
10.89 , 6.0 , 2.237 , 12.831 , 0.158
10.99 , 6.0 , 2.233 , 12.857 , 0.158
11.08 , 6.0 , 2.233 , 12.857 , 0.158
11.19 , 6.0 , 2.243 , 12.792 , 0.158
11.29 , 6.0 , 2.222 , 12.765 , 0.158
11.39 , 6.0 , 2.222 , 12.765 , 0.162
11.48 , 6.0 , 2.235 , 12.752 , 0.162
11.59 , 6.0 , 2.245 , 12.805 , 0.162
11.69 , 6.0 , 2.239 , 12.818 , 0.162
11.78 , 6.0 , 2.239 , 12.818 , 0.162
11.88 , 6.0 , 2.245 , 12.883 , 0.166
11.99 , 6.0 , 2.239 , 12.909 , 0.166
12.09 , 6.0 , 2.239 , 12.909 , 0.166
12.18 , 6.0 , 2.226 , 12.752 , 0.166
12.28 , 6.0 , 2.25 , 12.726 , 0.166
12.39 , 6.0 , 2.224 , 12.988 , 0.17
12.49 , 6.0 , 2.224 , 12.988 , 0.17
12.58 , 6.0 , 2.237 , 12.936 , 0.17
12.69 , 6.0 , 2.237 , 12.949 , 0.17
12.79 , 6.0 , 2.237 , 12.949 , 0.17
12.89 , 6.0 , 2.243 , 12.844 , 0.174
12.98 , 6.0 , 2.248 , 12.844 , 0.174
13.09 , 6.0 , 2.237 , 12.844 , 0.174
13.19 , 6.0 , 2.237 , 12.844 , 0.174
13.28 , 6.0 , 2.233 , 12.792 , 0.174
13.38 , 6.0 , 2.214 , 12.896 , 0.179
13.49 , 6.0 , 2.214 , 12.896 , 0.179
13.59 , 6.0 , 2.252 , 12.831 , 0.179
13.68 , 6.0 , 2.241 , 12.87 , 0.179
13.78 , 6.0 , 2.241 , 12.87 , 0.179
13.89 , 6.0 , 2.25 , 13.001 , 0.183
13.99 , 6.0 , 2.235 , 12.857 , 0.183
14.08 , 6.0 , 2.235 , 12.962 , 0.183
14.18 , 6.0 , 2.235 , 12.962 , 0.183
14.29 , 6.0 , 2.248 , 12.949 , 0.183
14.39 , 6.0 , 2.233 , 12.909 , 0.187
14.48 , 6.0 , 2.233 , 12.909 , 0.187
14.59 , 6.0 , 2.252 , 12.936 , 0.187
14.69 , 6.0 , 2.237 , 12.805 , 0.187
14.79 , 6.0 , 2.231 , 13.027 , 0.187
14.88 , 6.0 , 2.231 , 13.027 , 0.191
14.99 , 6.0 , 2.237 , 12.909 , 0.191
15.09 , 6.0 , 2.233 , 13.041 , 0.191
15.18 , 6.0 , 2.233 , 13.041 , 0.191
15.28 , 6.0 , 2.233 , 12.857 , 0.191
15.39 , 6.0 , 2.252 , 12.739 , 0.195
15.49 , 6.0 , 2.252 , 12.739 , 0.195
15.58 , 6.0 , 2.248 , 12.857 , 0.195
15.68 , 6.0 , 2.233 , 12.909 , 0.195
15.79 , 6.0 , 2.25 , 12.896 , 0.195
15.89 , 6.0 , 2.25 , 12.896 , 0.199
15.98 , 6.0 , 2.233 , 12.949 , 0.199
16.08 , 6.0 , 2.245 , 12.896 , 0.199
16.19 , 6.0 , 2.245 , 12.896 , 0.199
16.29 , 6.0 , 2.233 , 13.027 , 0.199
16.38 , 6.0 , 2.235 , 13.132 , 0.204
16.49 , 6.0 , 2.245 , 12.962 , 0.204
16.59 , 6.0 , 2.245 , 12.962 , 0.204
16.69 , 6.0 , 2.243 , 12.857 , 0.204
16.78 , 6.0 , 2.241 , 12.752 , 0.204
16.89 , 6.0 , 2.241 , 12.752 , 0.208
16.99 , 6.0 , 2.231 , 12.988 , 0.208
17.08 , 6.0 , 2.241 , 12.844 , 0.208
17.18 , 6.0 , 2.241 , 12.844 , 0.208
17.29 , 6.0 , 2.256 , 12.923 , 0.208
17.39 , 6.0 , 2.256 , 12.87 , 0.212
17.48 , 6.0 , 2.235 , 12.949 , 0.212
17.58 , 6.0 , 2.235 , 12.949 , 0.212
17.69 , 6.0 , 2.245 , 12.896 , 0.212
17.79 , 6.0 , 2.254 , 13.185 , 0.212
17.88 , 6.0 , 2.254 , 13.185 , 0.216
17.98 , 6.0 , 2.248 , 12.949 , 0.216
18.09 , 6.0 , 2.239 , 13.027 , 0.216
18.19 , 6.0 , 2.235 , 13.001 , 0.216
18.28 , 6.0 , 2.235 , 13.001 , 0.216
18.39 , 6.0 , 2.252 , 12.844 , 0.22
18.49 , 6.0 , 2.231 , 12.949 , 0.22
18.58 , 6.0 , 2.231 , 12.949 , 0.22
18.68 , 6.0 , 2.216 , 12.87 , 0.22
18.79 , 6.0 , 2.239 , 12.883 , 0.22
18.89 , 6.0 , 2.237 , 12.975 , 0.224
18.98 , 6.0 , 2.237 , 12.975 , 0.224
19.08 , 6.0 , 2.25 , 12.883 , 0.224
19.19 , 6.0 , 2.245 , 12.949 , 0.224
19.29 , 6.0 , 2.245 , 12.949 , 0.224
