ech1_s15_30
long
Time , Disp, Load , Pressure, Volume
0.08 , 0.023 , 1.427 , -31.677 , 0.021
0.18 , 0.084 , 1.438 , -31.677 , 0.021
0.29 , 0.146 , 1.427 , -31.625 , 0.021
0.39 , 0.214 , 1.427 , -31.625 , 0.021
0.48 , 0.272 , 1.457 , -31.507 , 0.021
0.58 , 0.334 , 1.538 , -31.428 , 0.021
0.71 , 0.413 , 1.538 , -31.428 , 0.021
0.79 , 0.459 , 1.666 , -30.956 , 0.021
0.88 , 0.522 , 1.77 , -31.061 , 0.021
1.01 , 0.603 , 1.906 , -30.721 , 0.021
1.09 , 0.646 , 1.906 , -30.721 , 0.021
1.19 , 0.708 , 2.004 , -30.629 , 0.021
1.31 , 0.792 , 2.129 , -30.603 , 0.021
1.39 , 0.834 , 2.129 , -30.603 , 0.021
1.49 , 0.896 , 2.218 , -30.419 , 0.021
1.62 , 0.982 , 2.329 , -30.367 , 0.021
1.68 , 1.021 , 2.44 , -30.0 , 0.021
1.79 , 1.083 , 2.44 , -30.0 , 0.021
1.9 , 1.161 , 2.578 , -30.144 , 0.021
1.98 , 1.208 , 2.669 , -31.074 , 0.021
2.08 , 1.272 , 2.669 , -31.074 , 0.021
2.21 , 1.351 , 2.606 , -32.831 , 0.021
2.29 , 1.396 , 1.97 , -32.752 , 0.021
2.38 , 1.459 , 1.236 , -32.962 , 0.021
2.51 , 1.54 , 1.236 , -32.962 , 0.021
2.59 , 1.584 , 1.085 , -32.804 , 0.021
2.69 , 1.646 , 1.087 , -32.87 , 0.021
2.81 , 1.729 , 1.087 , -32.87 , 0.021
2.88 , 1.771 , 1.111 , -32.949 , 0.021
2.99 , 1.834 , 1.185 , -32.896 , 0.021
3.1 , 1.909 , 1.185 , -32.896 , 0.021
3.18 , 1.959 , 1.189 , -32.831 , 0.021
3.29 , 2.022 , 1.245 , -32.857 , 0.021
3.41 , 2.099 , 1.308 , -32.621 , 0.021
3.49 , 2.147 , 1.308 , -32.621 , 0.021
3.58 , 2.209 , 1.374 , -32.595 , 0.021
3.71 , 2.289 , 1.4 , -32.385 , 0.021
3.79 , 2.334 , 1.4 , -32.385 , 0.021
3.88 , 2.397 , 1.461 , -32.424 , 0.021
4.01 , 2.479 , 1.534 , -32.333 , 0.021
4.09 , 2.521 , 1.598 , -32.149 , 0.021
4.19 , 2.584 , 1.598 , -32.149 , 0.021
4.32 , 2.668 , 1.695 , -32.202 , 0.021
4.38 , 2.709 , 1.727 , -31.979 , 0.021
4.49 , 2.771 , 1.727 , -31.979 , 0.021
4.6 , 2.848 , 1.834 , -31.887 , 0.021
4.68 , 2.896 , 1.91 , -31.73 , 0.021
4.79 , 2.959 , 1.91 , -31.73 , 0.021
4.91 , 3.037 , 1.972 , -31.717 , 0.021
4.99 , 3.085 , 2.048 , -31.625 , 0.021
5.08 , 3.147 , 2.165 , -31.69 , 0.021
5.19 , 3.217 , 2.165 , -31.69 , 0.021
5.29 , 3.271 , 2.227 , -31.31 , 0.021
5.38 , 3.334 , 2.299 , -30.996 , 0.021
5.51 , 3.416 , 2.299 , -30.996 , 0.021
5.59 , 3.459 , 2.401 , -31.088 , 0.021
5.69 , 3.521 , 2.469 , -31.009 , 0.021
5.82 , 3.605 , 2.571 , -31.061 , 0.021
5.88 , 3.647 , 2.571 , -31.061 , 0.021
5.99 , 3.709 , 2.669 , -30.734 , 0.021
6.1 , 3.785 , 2.748 , -30.668 , 0.021
6.18 , 3.833 , 2.748 , -30.668 , 0.021
6.28 , 3.897 , 2.797 , -30.694 , 0.021
6.41 , 3.975 , 2.899 , -30.629 , 0.021
6.49 , 4.022 , 2.899 , -30.629 , 0.021
6.58 , 4.084 , 2.984 , -30.196 , 0.021
6.71 , 4.165 , 3.044 , -30.249 , 0.021
6.79 , 4.208 , 3.152 , -30.118 , 0.021
6.89 , 4.271 , 3.152 , -30.118 , 0.021
7.01 , 4.354 , 3.231 , -30.065 , 0.021
7.09 , 4.397 , 3.269 , -29.869 , 0.021
7.19 , 4.459 , 3.269 , -29.869 , 0.021
7.32 , 4.544 , 3.369 , -29.567 , 0.021
7.38 , 4.584 , 3.437 , -29.593 , 0.021
7.49 , 4.646 , 3.516 , -29.449 , 0.021
7.6 , 4.723 , 3.516 , -29.449 , 0.021
7.68 , 4.772 , 3.569 , -29.344 , 0.021
7.78 , 4.834 , 3.641 , -29.554 , 0.021
7.91 , 4.913 , 3.641 , -29.554 , 0.021
7.99 , 4.959 , 3.669 , -29.541 , 0.021
8.08 , 5.0 , 3.69 , -29.397 , 0.021
8.21 , 5.0 , 3.682 , -36.631 , 0.021
8.29 , 5.0 , 3.682 , -36.631 , 0.021
8.39 , 5.0 , 2.886 , -37.103 , 0.021
8.48 , 5.0 , 0.762 , -37.143 , 0.021
8.59 , 5.0 , 0.762 , -37.143 , 0.021
8.69 , 5.0 , 0.201 , -36.789 , 0.021
8.79 , 5.0 , 0.175 , -36.841 , 0.021
8.88 , 5.0 , 0.175 , -36.841 , 0.021
8.99 , 5.0 , 0.164 , -36.631 , 0.021
9.09 , 5.0 , 0.13 , -36.513 , 0.021
9.18 , 5.0 , 0.107 , -36.264 , 0.023
9.28 , 5.0 , 0.107 , -36.264 , 0.023
9.39 , 5.0 , 0.079 , -30.367 , 0.023
9.49 , 5.0 , 0.064 , -28.886 , 0.023
9.58 , 5.0 , 0.064 , -28.886 , 0.023
9.68 , 5.0 , 0.047 , -29.462 , 0.028
9.79 , 5.0 , 0.047 , -29.685 , 0.028
9.89 , 5.0 , 0.03 , -29.305 , 0.028
10.0 , 5.0 , 0.03 , -29.305 , 0.028
10.09 , 5.0 , 0.026 , -29.266 , 0.028
10.19 , 5.0 , 0.015 , -29.305 , 0.028
10.29 , 5.0 , 0.015 , -29.305 , 0.028
10.38 , 5.0 , 0.015 , -29.318 , 0.028
10.49 , 5.0 , 0.003 , -29.161 , 0.028
10.59 , 5.0 , 0.003 , -29.161 , 0.028
10.68 , 5.0 , 0.015 , -29.148 , 0.032
10.78 , 5.0 , 0.022 , -29.24 , 0.032
10.89 , 5.0 , 0.039 , -29.226 , 0.032
10.99 , 5.0 , 0.039 , -29.226 , 0.032
11.08 , 5.0 , 0.022 , -29.226 , 0.032
11.18 , 5.0 , 0.013 , -29.213 , 0.032
11.29 , 5.0 , 0.013 , -29.213 , 0.032
11.39 , 5.0 , 0.018 , -29.305 , 0.032
11.48 , 5.0 , 0.018 , -29.187 , 0.032
11.58 , 5.0 , 0.022 , -29.305 , 0.032
11.69 , 5.0 , 0.022 , -29.305 , 0.032
11.79 , 5.0 , 0.018 , -29.358 , 0.032
11.88 , 5.0 , 0.028 , -29.384 , 0.032
11.99 , 5.0 , 0.028 , -29.384 , 0.032
12.09 , 5.0 , -0.012 , -29.318 , 0.032
12.19 , 5.0 , 0.009 , -29.253 , 0.032
12.28 , 5.0 , 0.009 , -29.253 , 0.032
12.39 , 5.0 , 0.003 , -29.305 , 0.032
12.49 , 5.0 , 0.03 , -29.384 , 0.032
12.58 , 5.0 , 0.022 , -29.292 , 0.032
12.68 , 5.0 , 0.022 , -29.292 , 0.032
12.79 , 5.0 , 0.024 , -29.358 , 0.032
12.89 , 5.0 , 0.018 , -29.253 , 0.032
12.98 , 5.0 , 0.018 , -29.253 , 0.032
13.08 , 5.0 , 0.02 , -29.292 , 0.032
13.19 , 5.0 , 0.015 , -29.371 , 0.032
13.29 , 5.0 , 0.013 , -29.174 , 0.032
13.38 , 5.0 , 0.013 , -29.174 , 0.032
13.49 , 5.0 , 0.013 , -29.279 , 0.032
13.59 , 5.0 , 0.039 , -29.358 , 0.032
13.69 , 5.0 , 0.039 , -29.358 , 0.032
13.78 , 5.0 , 0.018 , -29.476 , 0.032
13.89 , 5.0 , 0.028 , -29.371 , 0.032
13.99 , 5.0 , 0.024 , -29.292 , 0.032
14.09 , 5.0 , 0.024 , -29.292 , 0.032
14.18 , 5.0 , 0.013 , -29.384 , 0.032
14.29 , 5.0 , 0.028 , -29.292 , 0.032
14.39 , 5.0 , 0.028 , -29.292 , 0.032
14.48 , 5.0 , 0.02 , -29.305 , 0.032
14.58 , 5.0 , 0.011 , -29.305 , 0.032
14.69 , 5.0 , 0.011 , -29.305 , 0.032
14.79 , 5.0 , 0.037 , -29.305 , 0.032
14.88 , 5.0 , 0.013 , -29.187 , 0.032
14.98 , 5.0 , 0.024 , -29.41 , 0.032
15.09 , 5.0 , 0.024 , -29.41 , 0.032
15.19 , 5.0 , 0.015 , -29.423 , 0.032
