ech1_s15_p0
long
Time , Disp, Load , Pressure, Volume
0.08 , 0.018 , -0.053 , 0.092 , 0.0
0.16 , 0.062 , -0.04 , 0.066 , 0.0
0.25 , 0.125 , -0.04 , 0.066 , 0.0
0.38 , 0.209 , -0.066 , 0.105 , 0.0
0.46 , 0.25 , -0.049 , 0.17 , 0.0
0.56 , 0.313 , -0.049 , 0.17 , 0.0
0.68 , 0.398 , -0.034 , -0.092 , 0.0
0.75 , 0.438 , -0.045 , 0.118 , 0.0
0.86 , 0.5 , -0.04 , 0.052 , 0.0
0.97 , 0.578 , -0.04 , 0.052 , 0.0
1.05 , 0.625 , -0.051 , 0.131 , 0.0
1.15 , 0.688 , -0.013 , -0.092 , 0.0
1.27 , 0.767 , -0.013 , -0.092 , 0.0
1.35 , 0.813 , -0.013 , 0.052 , 0.0
1.45 , 0.875 , 0.004 , -0.105 , 0.0
1.58 , 0.957 , 0.013 , -0.066 , 0.0
1.66 , 1.0 , 0.013 , -0.066 , 0.0
5.2 , 3.222 , 0.019 , -0.092 , 0.0
5.33 , 3.301 , 0.398 , -0.537 , 0.0
5.41 , 3.353 , 0.41 , -0.262 , 0.0
5.52 , 3.418 , 0.434 , -0.472 , 0.0
5.63 , 3.491 , 0.434 , -0.472 , 0.0
5.73 , 3.55 , 0.449 , -0.275 , 0.0
5.84 , 3.616 , 0.47 , -0.406 , 0.0
5.95 , 3.691 , 0.495 , -0.288 , 0.0
6.05 , 3.746 , 0.495 , -0.288 , 0.0
6.16 , 3.812 , 0.523 , -0.236 , 0.0
6.27 , 3.889 , 0.538 , -0.315 , 0.0
6.35 , 3.938 , 0.538 , -0.315 , 0.0
6.45 , 4.0 , 0.551 , -0.367 , 0.0
6.57 , 4.08 , 0.595 , -0.419 , 0.0
6.65 , 4.125 , 0.61 , -0.341 , 0.0
6.75 , 4.188 , 0.61 , -0.341 , 0.0
6.88 , 4.269 , 0.636 , -0.039 , 0.0
6.96 , 4.313 , 0.685 , -0.17 , 0.0
7.05 , 4.375 , 0.685 , -0.17 , 0.0
7.18 , 4.459 , 0.689 , -0.0 , 0.0
7.24 , 4.5 , 0.736 , -0.432 , 0.0
7.36 , 4.563 , 0.746 , -0.183 , 0.0
7.47 , 4.639 , 0.746 , -0.183 , 0.0
7.55 , 4.688 , 0.823 , -0.301 , 0.0
7.66 , 4.75 , 0.821 , -0.328 , 0.0
7.77 , 4.828 , 0.821 , -0.328 , 0.0
7.85 , 4.875 , 0.861 , -0.026 , 0.0
7.95 , 4.938 , 0.876 , -0.17 , 0.0
8.07 , 5.001 , 0.929 , 0.052 , 0.0
8.15 , 5.0 , 0.929 , 0.052 , 0.0
8.25 , 5.0 , 0.953 , -0.105 , 0.0
8.35 , 5.0 , 0.974 , -0.079 , 0.0
8.46 , 5.0 , 0.974 , -0.079 , 0.0
8.55 , 5.0 , 1.004 , -0.183 , 0.0
8.65 , 5.0 , 0.961 , -0.288 , 0.0
8.75 , 5.0 , 0.961 , -0.288 , 0.0
8.86 , 5.0 , 0.944 , -0.262 , 0.0
8.95 , 5.0 , 0.902 , -0.262 , 0.0
9.05 , 5.0 , 0.897 , -0.288 , 0.002
9.16 , 5.0 , 0.897 , -0.288 , 0.002
9.26 , 5.0 , 0.88 , -0.105 , 0.002
9.35 , 5.0 , 0.872 , -0.275 , 0.002
9.45 , 5.0 , 0.872 , -0.275 , 0.002
9.56 , 5.0 , 0.874 , -0.079 , 0.006
9.66 , 5.0 , 0.855 , -0.197 , 0.006
9.75 , 5.0 , 0.842 , -0.262 , 0.006
9.85 , 5.0 , 0.842 , -0.262 , 0.006
9.96 , 5.0 , 0.836 , -0.406 , 0.006
10.05 , 5.0 , 0.842 , -0.406 , 0.006
10.15 , 5.0 , 0.842 , -0.406 , 0.006
10.25 , 5.0 , 0.821 , -0.21 , 0.006
10.36 , 5.0 , 0.821 , -0.328 , 0.006
10.45 , 5.0 , 0.821 , -0.328 , 0.006
10.55 , 5.0 , 0.817 , -0.262 , 0.01
10.65 , 5.0 , 0.804 , -0.197 , 0.01
10.76 , 5.0 , 0.789 , -0.406 , 0.01
10.85 , 5.0 , 0.789 , -0.406 , 0.01
10.95 , 5.0 , 0.793 , -0.249 , 0.01
11.06 , 5.0 , 0.806 , -0.275 , 0.01
11.16 , 5.0 , 0.806 , -0.275 , 0.01
11.25 , 5.0 , 0.814 , -0.354 , 0.01
11.35 , 5.0 , 0.787 , -0.21 , 0.01
11.46 , 5.0 , 0.785 , -0.406 , 0.01
11.55 , 5.0 , 0.785 , -0.406 , 0.01
11.65 , 5.0 , 0.78 , -0.315 , 0.01
11.75 , 5.0 , 0.77 , -0.419 , 0.01
11.86 , 5.0 , 0.77 , -0.419 , 0.01
11.95 , 5.0 , 0.768 , -0.262 , 0.01
12.05 , 5.0 , 0.751 , -0.406 , 0.01
12.15 , 5.0 , 0.751 , -0.406 , 0.01
12.26 , 5.0 , 0.772 , -0.38 , 0.01
12.35 , 5.0 , 0.766 , -0.433 , 0.01
12.45 , 5.0 , 0.755 , -0.354 , 0.01
12.56 , 5.0 , 0.755 , -0.354 , 0.01
12.66 , 5.0 , 0.751 , -0.393 , 0.01
12.75 , 5.0 , 0.742 , -0.419 , 0.01
12.85 , 5.0 , 0.742 , -0.419 , 0.01
12.96 , 5.0 , 0.736 , -0.367 , 0.01
13.06 , 5.0 , 0.732 , -0.262 , 0.01
13.15 , 5.0 , 0.729 , -0.223 , 0.01
13.25 , 5.0 , 0.729 , -0.223 , 0.01
13.36 , 5.0 , 0.723 , -0.341 , 0.01
13.45 , 5.0 , 0.732 , -0.315 , 0.01
13.55 , 5.0 , 0.732 , -0.315 , 0.01
13.65 , 5.0 , 0.721 , -0.459 , 0.01
13.76 , 5.0 , 0.712 , -0.406 , 0.01
13.85 , 5.0 , 0.715 , -0.38 , 0.01
13.95 , 5.0 , 0.715 , -0.38 , 0.01
14.05 , 5.0 , 0.721 , -0.485 , 0.01
14.16 , 5.0 , 0.719 , -0.197 , 0.01
14.25 , 5.0 , 0.719 , -0.197 , 0.01
14.35 , 5.0 , 0.723 , -0.223 , 0.01
14.46 , 5.0 , 0.729 , -0.446 , 0.01
14.56 , 5.0 , 0.729 , -0.446 , 0.01
14.65 , 5.0 , 0.706 , -0.564 , 0.01
14.75 , 5.0 , 0.706 , -0.367 , 0.01
14.86 , 5.0 , 0.704 , -0.432 , 0.01
14.95 , 5.0 , 0.704 , -0.432 , 0.01
15.05 , 5.0 , 0.695 , -0.419 , 0.01
15.15 , 5.0 , 0.695 , -0.432 , 0.01
15.26 , 5.0 , 0.695 , -0.432 , 0.01
15.35 , 5.0 , 0.698 , -0.498 , 0.01
15.45 , 5.0 , 0.689 , -0.354 , 0.01
15.55 , 5.0 , 0.691 , -0.393 , 0.01
15.66 , 5.0 , 0.691 , -0.393 , 0.01
15.75 , 5.0 , 0.689 , -0.38 , 0.01
15.85 , 5.0 , 0.698 , -0.459 , 0.01
15.94 , 5.0 , 0.698 , -0.459 , 0.01
16.06 , 5.0 , 0.683 , -0.38 , 0.01
16.15 , 5.0 , 0.689 , -0.472 , 0.01
16.25 , 5.0 , 0.689 , -0.472 , 0.01
16.36 , 5.0 , 0.687 , -0.446 , 0.01
16.46 , 5.0 , 0.681 , -0.446 , 0.01
16.55 , 5.0 , 0.681 , -0.537 , 0.01
16.65 , 5.0 , 0.681 , -0.537 , 0.01
16.76 , 5.0 , 0.678 , -0.511 , 0.01
16.85 , 5.0 , 0.663 , -0.432 , 0.01
16.95 , 5.0 , 0.663 , -0.432 , 0.01
17.05 , 5.0 , 0.68 , -0.354 , 0.01
17.16 , 5.0 , 0.683 , -0.446 , 0.01
17.25 , 5.0 , 0.676 , -0.38 , 0.01
17.35 , 5.0 , 0.676 , -0.38 , 0.01
17.45 , 5.0 , 0.683 , -0.406 , 0.01
17.56 , 5.0 , 0.659 , -0.354 , 0.01
17.65 , 5.0 , 0.659 , -0.354 , 0.01
17.75 , 5.0 , 0.672 , -0.354 , 0.01
17.86 , 5.0 , 0.655 , -0.629 , 0.01
17.96 , 5.0 , 0.655 , -0.629 , 0.01
18.05 , 5.0 , 0.661 , -0.472 , 0.01
18.15 , 5.0 , 0.668 , -0.419 , 0.01
18.26 , 5.0 , 0.663 , -0.59 , 0.01
18.36 , 5.0 , 0.663 , -0.59 , 0.01
18.45 , 5.0 , 0.678 , -0.393 , 0.01
18.55 , 5.0 , 0.672 , -0.695 , 0.01
18.66 , 5.0 , 0.672 , -0.695 , 0.01
18.75 , 5.0 , 0.655 , -0.446 , 0.01
18.85 , 5.0 , 0.67 , -0.288 , 0.01
18.95 , 5.0 , 0.672 , -0.55 , 0.01
19.06 , 5.0 , 0.672 , -0.55 , 0.01
19.15 , 5.0 , 0.657 , -0.262 , 0.01
19.25 , 5.0 , 0.659 , -0.472 , 0.01
19.34 , 5.0 , 0.659 , -0.472 , 0.01
19.46 , 5.0 , 0.668 , -0.157 , 0.01
19.55 , 5.0 , 0.649 , -0.118 , 0.01
19.65 , 5.0 , 0.666 , -0.564 , 0.01
19.76 , 5.0 , 0.666 , -0.564 , 0.01
19.86 , 5.0 , 0.655 , -0.406 , 0.01
19.95 , 5.0 , 0.644 , -0.524 , 0.01
20.05 , 5.0 , 0.644 , -0.524 , 0.01
20.16 , 5.0 , 0.649 , -0.236 , 0.01
20.26 , 5.0 , 0.661 , -0.459 , 0.01
20.35 , 5.0 , 0.661 , -0.459 , 0.01
20.45 , 5.0 , 0.642 , -0.668 , 0.01
20.56 , 5.0 , 0.646 , -0.655 , 0.01
20.65 , 5.0 , 0.638 , -0.668 , 0.01
20.75 , 5.0 , 0.638 , -0.668 , 0.01
20.85 , 5.0 , 0.644 , -0.328 , 0.01
20.96 , 5.0 , 0.629 , -0.564 , 0.01
21.05 , 5.0 , 0.629 , -0.564 , 0.01
21.15 , 5.0 , 0.627 , -0.603 , 0.01
21.24 , 5.0 , 0.632 , -0.537 , 0.01
21.36 , 5.0 , 0.627 , -0.655 , 0.01
21.45 , 5.0 , 0.627 , -0.655 , 0.01
21.55 , 5.0 , 0.629 , -0.288 , 0.01
21.66 , 5.0 , 0.625 , -0.577 , 0.01
21.76 , 5.0 , 0.625 , -0.577 , 0.01
21.85 , 5.0 , 0.638 , -0.695 , 0.01
21.95 , 5.0 , 0.632 , -0.446 , 0.01
22.06 , 5.0 , 0.632 , -0.446 , 0.01
22.15 , 5.0 , 0.627 , -0.406 , 0.01
22.25 , 5.0 , 0.632 , -0.328 , 0.01
22.35 , 5.0 , 0.627 , -0.275 , 0.01
22.46 , 5.0 , 0.627 , -0.275 , 0.01
22.55 , 5.0 , 0.625 , -0.485 , 0.01
22.65 , 5.0 , 0.623 , -0.354 , 0.01
22.75 , 5.0 , 0.623 , -0.354 , 0.01
22.86 , 5.0 , 0.629 , -0.564 , 0.01
22.95 , 5.0 , 0.638 , -0.354 , 0.01
