Ech1
long
Time , Disp, Load , Pressure, Volume
0.08 , 0.02 , -0.002 , 0.066 , 0.0
0.18 , 0.077 , -0.006 , -0.092 , 0.0
0.27 , 0.139 , -0.006 , -0.092 , 0.0
0.4 , 0.221 , 0.006 , 0.197 , 0.0
0.48 , 0.265 , -0.021 , -0.118 , 0.0
0.58 , 0.328 , -0.021 , -0.118 , 0.0
0.71 , 0.41 , -0.011 , -0.052 , 0.0
0.79 , 0.452 , -0.015 , -0.144 , 0.0
0.88 , 0.515 , -0.015 , -0.144 , 0.0
1.01 , 0.6 , -0.015 , -0.236 , 0.0
1.07 , 0.64 , -0.009 , -0.144 , 0.0
1.18 , 0.702 , -0.004 , -0.144 , 0.0
1.3 , 0.78 , -0.004 , -0.144 , 0.0
1.38 , 0.828 , 0.011 , -0.21 , 0.0
1.47 , 0.89 , -0.015 , -0.236 , 0.0
1.6 , 0.969 , -0.015 , -0.236 , 0.0
1.68 , 1.015 , -0.019 , -0.21 , 0.0
5.27 , 3.265 , -0.011 , -0.144 , 0.0
5.39 , 3.327 , -0.011 , -0.144 , 0.0
5.5 , 3.405 , -0.004 , -0.485 , 0.0
5.58 , 3.453 , -0.008 , -0.616 , 0.0
5.67 , 3.515 , -0.008 , -0.616 , 0.0
5.8 , 3.595 , -0.004 , -0.485 , 0.0
5.88 , 3.64 , 0.004 , -0.59 , 0.0
5.98 , 3.703 , -0.023 , -0.419 , 0.0
6.1 , 3.785 , -0.023 , -0.419 , 0.0
6.18 , 3.828 , -0.006 , -0.668 , 0.0
6.28 , 3.89 , -0.03 , -0.577 , 0.0
6.41 , 3.974 , -0.03 , -0.577 , 0.0
6.47 , 4.015 , -0.013 , -0.76 , 0.0
6.58 , 4.078 , -0.021 , -0.498 , 0.0
6.7 , 4.154 , -0.021 , -0.498 , 0.0
6.78 , 4.202 , -0.017 , -0.695 , 0.0
6.87 , 4.265 , -0.004 , -0.616 , 0.0
7.0 , 4.344 , -0.004 , -0.708 , 0.0
7.08 , 4.39 , -0.004 , -0.708 , 0.0
7.17 , 4.453 , -0.023 , -0.786 , 0.0
7.3 , 4.533 , -0.032 , -0.708 , 0.0
7.38 , 4.577 , -0.032 , -0.708 , 0.0
7.48 , 4.64 , -0.011 , -0.76 , 0.0
7.61 , 4.723 , -0.008 , -0.708 , 0.0
7.69 , 4.765 , -0.017 , -0.813 , 0.0
7.78 , 4.827 , -0.017 , -0.813 , 0.0
7.91 , 4.913 , -0.04 , -0.721 , 0.0
7.97 , 4.952 , -0.015 , -0.616 , 0.0
8.09 , 5.016 , -0.015 , -0.616 , 0.0
8.2 , 5.092 , 0.006 , -0.786 , 0.0
8.28 , 5.14 , 0.002 , -0.668 , 0.0
8.37 , 5.202 , 0.002 , -0.668 , 0.0
8.5 , 5.282 , -0.004 , -0.839 , 0.0
8.58 , 5.328 , -0.015 , -0.721 , 0.0
8.68 , 5.39 , -0.011 , -0.917 , 0.0
8.8 , 5.472 , -0.011 , -0.917 , 0.0
8.88 , 5.515 , -0.013 , -0.721 , 0.0
8.98 , 5.578 , 0.013 , -0.878 , 0.0
9.11 , 5.662 , 0.013 , -0.878 , 0.0
9.17 , 5.702 , -0.011 , -0.734 , 0.0
9.28 , 5.765 , -0.023 , -0.917 , 0.0
9.39 , 5.841 , -0.015 , -0.891 , 0.0
9.47 , 5.89 , -0.015 , -0.891 , 0.0
9.59 , 5.953 , -0.013 , -0.865 , 0.0
9.7 , 6.031 , -0.015 , -0.813 , 0.0
9.78 , 6.077 , -0.015 , -0.813 , 0.0
9.87 , 6.14 , -0.015 , -0.813 , 0.0
10.0 , 6.221 , 0.004 , -0.865 , 0.0
10.08 , 6.265 , -0.017 , -0.97 , 0.0
10.18 , 6.327 , -0.017 , -0.97 , 0.0
10.31 , 6.41 , -0.015 , -0.878 , 0.0
10.39 , 6.452 , -0.006 , -0.852 , 0.0
10.48 , 6.515 , -0.006 , -0.852 , 0.0
10.61 , 6.6 , -0.008 , -0.852 , 0.0
10.67 , 6.64 , -0.015 , -0.944 , 0.0
10.78 , 6.703 , -0.015 , -0.944 , 0.0
10.9 , 6.78 , 0.0 , -1.048 , 0.0
10.98 , 6.828 , -0.019 , -0.931 , 0.0
11.07 , 6.89 , -0.006 , -0.891 , 0.0
11.2 , 6.969 , -0.006 , -0.891 , 0.0
11.28 , 7.015 , -0.006 , -0.957 , 0.0
11.38 , 7.077 , -0.011 , -0.97 , 0.0
11.5 , 7.159 , -0.011 , -0.97 , 0.0
11.58 , 7.202 , -0.015 , -0.839 , 0.0
11.68 , 7.265 , 0.0 , -0.931 , 0.0
11.81 , 7.348 , 0.004 , -0.917 , 0.0
11.89 , 7.39 , 0.004 , -0.917 , 0.0
11.98 , 7.453 , -0.011 , -0.944 , 0.0
12.11 , 7.538 , -0.017 , -0.878 , 0.0
