Ech1_suite
long
Time , Disp, Load , Pressure, Volume
0.09 , 28.0 , -0.113 , 32.988 , 1.657
0.19 , 28.0 , -0.113 , 32.988 , 1.657
0.28 , 28.0 , -0.115 , 33.224 , 1.657
0.38 , 28.0 , -0.107 , 33.46 , 1.657
0.49 , 28.0 , -0.107 , 33.46 , 1.657
0.59 , 28.0 , -0.098 , 33.158 , 1.657
0.68 , 28.0 , -0.107 , 33.302 , 1.657
0.78 , 28.0 , -0.096 , 33.145 , 1.657
0.89 , 28.0 , -0.096 , 33.145 , 1.657
0.99 , 28.0 , -0.109 , 33.316 , 1.657
1.08 , 28.0 , -0.101 , 33.329 , 1.657
1.2 , 28.0 , -0.101 , 33.329 , 1.657
1.29 , 28.0 , -0.111 , 33.224 , 1.657
1.39 , 28.0 , -0.109 , 33.119 , 1.657
1.48 , 28.0 , -0.109 , 33.119 , 1.657
1.59 , 28.0 , -0.105 , 33.093 , 1.657
1.69 , 28.0 , -0.103 , 33.04 , 1.657
1.79 , 28.0 , -0.109 , 32.988 , 1.657
1.88 , 28.0 , -0.109 , 32.988 , 1.657
1.99 , 28.0 , -0.113 , 33.211 , 1.657
2.09 , 28.0 , -0.118 , 33.132 , 1.657
2.19 , 28.0 , -0.118 , 33.132 , 1.657
2.28 , 28.0 , -0.098 , 33.171 , 1.657
2.39 , 28.0 , -0.092 , 33.132 , 1.657
2.49 , 28.0 , -0.107 , 33.276 , 1.657
2.59 , 28.0 , -0.107 , 33.276 , 1.657
2.68 , 28.0 , -0.111 , 33.027 , 1.657
2.79 , 28.0 , -0.105 , 33.158 , 1.657
2.89 , 28.0 , -0.105 , 33.158 , 1.657
2.98 , 28.0 , -0.107 , 33.171 , 1.657
3.1 , 28.0 , -0.088 , 33.185 , 1.657
3.19 , 28.0 , -0.088 , 33.185 , 1.657
3.29 , 28.0 , -0.115 , 33.145 , 1.657
3.38 , 28.0 , -0.111 , 33.224 , 1.657
3.5 , 28.0 , -0.12 , 33.211 , 1.657
3.59 , 28.0 , -0.12 , 33.211 , 1.657
3.69 , 28.0 , -0.107 , 33.08 , 1.657
3.78 , 28.0 , -0.113 , 33.08 , 1.657
3.89 , 28.0 , -0.113 , 33.08 , 1.657
3.99 , 28.0 , -0.103 , 33.119 , 1.657
4.09 , 28.0 , -0.115 , 33.185 , 1.657
4.18 , 28.0 , -0.113 , 33.198 , 1.657
4.29 , 28.0 , -0.113 , 33.198 , 1.657
4.39 , 28.0 , -0.122 , 33.237 , 1.657
4.49 , 28.0 , -0.107 , 33.185 , 1.657
4.58 , 28.0 , -0.107 , 33.185 , 1.657
4.69 , 28.0 , -0.09 , 33.185 , 1.657
4.79 , 28.0 , -0.115 , 32.988 , 1.657
4.89 , 28.0 , -0.101 , 33.119 , 1.657
4.98 , 28.0 , -0.101 , 33.119 , 1.657
5.09 , 28.0 , -0.12 , 33.106 , 1.657
5.19 , 28.0 , -0.103 , 32.896 , 1.657
5.28 , 28.0 , -0.103 , 32.896 , 1.657
5.38 , 28.0 , -0.111 , 33.093 , 1.657
5.49 , 28.0 , -0.098 , 33.053 , 1.657
5.59 , 28.0 , -0.098 , 33.053 , 1.657
5.68 , 28.0 , -0.098 , 33.067 , 1.657
5.8 , 28.0 , -0.107 , 33.145 , 1.657
5.89 , 28.0 , -0.092 , 33.093 , 1.657
5.99 , 28.0 , -0.092 , 33.093 , 1.657
6.08 , 28.0 , -0.101 , 33.04 , 1.657
6.2 , 28.0 , -0.107 , 32.988 , 1.657
6.29 , 28.0 , -0.107 , 32.988 , 1.657
6.39 , 28.0 , -0.1 , 32.883 , 1.657
6.48 , 28.0 , -0.109 , 33.014 , 1.657
6.59 , 28.0 , -0.098 , 33.001 , 1.657
6.69 , 28.0 , -0.098 , 33.001 , 1.657
6.79 , 28.0 , -0.1 , 33.014 , 1.657
6.88 , 28.0 , -0.105 , 33.08 , 1.657
6.99 , 28.0 , -0.105 , 33.08 , 1.657
7.09 , 28.0 , -0.103 , 33.119 , 1.657
7.19 , 28.0 , -0.109 , 33.158 , 1.657
7.28 , 28.0 , -0.109 , 33.158 , 1.657
7.39 , 28.0 , -0.101 , 33.027 , 1.657
7.49 , 28.0 , -0.098 , 33.053 , 1.657
7.58 , 28.0 , -0.105 , 33.001 , 1.657
7.68 , 28.0 , -0.105 , 33.001 , 1.657
7.79 , 28.0 , -0.096 , 32.909 , 1.657
7.89 , 28.0 , -0.098 , 33.053 , 1.657
7.98 , 28.0 , -0.098 , 33.053 , 1.657
8.1 , 28.0 , -0.103 , 33.119 , 1.657
8.19 , 28.0 , -0.096 , 33.04 , 1.657
8.29 , 28.0 , -0.109 , 32.949 , 1.657
8.38 , 28.0 , -0.109 , 32.949 , 1.657
8.5 , 28.0 , -0.113 , 32.962 , 1.657
8.59 , 28.0 , -0.107 , 33.145 , 1.657
8.69 , 28.0 , -0.107 , 33.145 , 1.657
8.78 , 28.0 , -0.107 , 33.04 , 1.657
8.89 , 28.0 , -0.098 , 33.014 , 1.657
8.99 , 28.0 , -0.098 , 33.014 , 1.657
9.09 , 28.0 , -0.103 , 32.883 , 1.657
9.18 , 28.0 , -0.105 , 32.883 , 1.657
9.29 , 28.0 , -0.094 , 33.08 , 1.657
9.39 , 28.0 , -0.094 , 33.08 , 1.657
9.49 , 28.0 , -0.092 , 33.067 , 1.657
9.58 , 28.0 , -0.107 , 32.922 , 1.657
9.69 , 28.0 , -0.107 , 32.922 , 1.657
9.79 , 28.0 , -0.109 , 32.883 , 1.657
9.88 , 28.0 , -0.103 , 32.975 , 1.657
10.0 , 28.0 , -0.1 , 32.896 , 1.657
10.09 , 28.0 , -0.1 , 32.896 , 1.657
10.19 , 28.0 , -0.094 , 32.883 , 1.657
10.28 , 28.0 , -0.113 , 33.053 , 1.657
10.4 , 28.0 , -0.113 , 33.053 , 1.657
10.49 , 28.0 , -0.107 , 32.844 , 1.657
10.59 , 28.0 , -0.094 , 32.975 , 1.657
10.68 , 28.0 , -0.086 , 33.132 , 1.657
10.8 , 28.0 , -0.086 , 33.132 , 1.657
10.89 , 28.0 , -0.109 , 32.896 , 1.657
10.99 , 28.0 , -0.103 , 32.844 , 1.657
11.08 , 28.0 , -0.103 , 32.844 , 1.657
11.19 , 28.0 , -0.098 , 32.818 , 1.657
11.29 , 28.0 , -0.098 , 32.962 , 1.657
11.39 , 28.0 , -0.098 , 32.962 , 1.657
11.48 , 28.0 , -0.113 , 32.87 , 1.657
11.59 , 28.0 , -0.1 , 32.975 , 1.657
11.69 , 28.0 , -0.103 , 32.752 , 1.657
11.79 , 28.0 , -0.103 , 32.752 , 1.657
11.88 , 28.0 , -0.115 , 32.831 , 1.657
11.99 , 28.0 , -0.109 , 32.883 , 1.657
12.09 , 28.0 , -0.109 , 32.883 , 1.657
12.18 , 28.0 , -0.107 , 33.053 , 1.657
12.28 , 28.0 , -0.103 , 32.883 , 1.657
12.39 , 28.0 , -0.09 , 33.106 , 1.657
12.49 , 28.0 , -0.09 , 33.106 , 1.657
12.58 , 28.0 , -0.09 , 32.831 , 1.657
12.68 , 28.0 , -0.098 , 32.818 , 1.657
12.79 , 28.0 , -0.098 , 32.818 , 1.657
12.89 , 28.0 , -0.092 , 32.857 , 1.657
12.98 , 28.0 , -0.098 , 32.962 , 1.657
13.1 , 28.0 , -0.098 , 32.962 , 1.657
13.19 , 28.0 , -0.113 , 32.765 , 1.657
13.29 , 28.0 , -0.113 , 32.896 , 1.657
13.38 , 28.0 , -0.103 , 32.909 , 1.657
13.49 , 28.0 , -0.103 , 32.909 , 1.657
13.59 , 28.0 , -0.111 , 32.896 , 1.657
13.69 , 28.0 , -0.096 , 32.87 , 1.657
13.78 , 28.0 , -0.096 , 32.87 , 1.657
13.89 , 28.0 , -0.103 , 32.883 , 1.657
13.99 , 28.0 , -0.081 , 32.844 , 1.657
14.09 , 28.0 , -0.103 , 32.883 , 1.657
14.18 , 28.0 , -0.103 , 32.883 , 1.657
14.29 , 28.0 , -0.096 , 32.896 , 1.657
14.39 , 28.0 , -0.103 , 33.001 , 1.657
14.48 , 28.0 , -0.103 , 33.001 , 1.657
14.58 , 28.0 , -0.107 , 32.988 , 1.657
14.69 , 28.0 , -0.098 , 32.87 , 1.657
14.79 , 28.0 , -0.098 , 32.87 , 1.657
14.88 , 28.0 , -0.096 , 32.909 , 1.657
15.0 , 28.0 , -0.096 , 32.752 , 1.657
15.09 , 28.0 , -0.115 , 32.752 , 1.657
15.19 , 28.0 , -0.115 , 32.752 , 1.657
15.28 , 28.0 , -0.103 , 33.08 , 1.657
15.4 , 28.0 , -0.096 , 32.7 , 1.657
15.49 , 28.0 , -0.096 , 32.7 , 1.657
15.59 , 28.0 , -0.1 , 32.7 , 1.657
15.68 , 28.0 , -0.107 , 32.949 , 1.657
15.79 , 28.0 , -0.103 , 32.7 , 1.657
15.89 , 28.0 , -0.103 , 32.7 , 1.657
15.99 , 28.0 , -0.113 , 32.935 , 1.657
16.08 , 28.0 , -0.107 , 32.791 , 1.657
16.19 , 28.0 , -0.107 , 32.791 , 1.657
16.29 , 28.0 , -0.105 , 32.857 , 1.657
16.39 , 28.0 , -0.105 , 32.857 , 1.657
16.48 , 28.0 , -0.075 , 32.686 , 1.657
16.59 , 28.0 , -0.075 , 32.686 , 1.657
16.69 , 28.0 , -0.092 , 32.791 , 1.657
16.78 , 28.0 , -0.115 , 32.844 , 1.657
16.88 , 28.0 , -0.115 , 32.844 , 1.657
16.99 , 28.0 , -0.113 , 32.647 , 1.657
17.09 , 28.0 , -0.103 , 32.844 , 1.657
17.18 , 28.0 , -0.103 , 32.844 , 1.657
17.28 , 28.0 , -0.109 , 32.739 , 1.657
17.39 , 28.0 , -0.1 , 32.765 , 1.657
17.49 , 28.0 , -0.103 , 32.975 , 1.657
17.58 , 28.0 , -0.103 , 32.975 , 1.657
17.7 , 28.0 , -0.107 , 32.87 , 1.657
17.79 , 28.0 , -0.094 , 32.713 , 1.657
17.89 , 28.0 , -0.094 , 32.713 , 1.657
17.98 , 28.0 , -0.096 , 32.66 , 1.657
18.09 , 28.0 , -0.088 , 32.686 , 1.657
18.19 , 28.0 , -0.103 , 32.673 , 1.657
18.29 , 28.0 , -0.103 , 32.673 , 1.657
18.38 , 28.0 , -0.09 , 32.804 , 1.657
18.49 , 28.0 , -0.098 , 32.87 , 1.657
18.59 , 28.0 , -0.098 , 32.87 , 1.657
18.69 , 28.0 , -0.098 , 32.896 , 1.657
18.78 , 28.0 , -0.1 , 32.831 , 1.657
