ech2
long
Time , Disp, Load , Pressure, Volume
0.09 , 3.023 , -0.001 , -5.858 , 61.75
0.2 , 3.085 , -0.012 , -5.898 , 61.75
0.29 , 3.148 , -0.012 , -5.898 , 61.75
0.42 , 3.234 , -0.01 , -6.016 , 61.75
0.49 , 3.273 , -0.008 , -6.016 , 61.75
0.6 , 3.336 , -0.008 , -6.016 , 61.75
0.71 , 3.413 , -0.001 , -6.029 , 61.75
0.79 , 3.46 , -0.01 , -6.055 , 61.75
0.88 , 3.523 , -0.021 , -6.173 , 61.75
1.01 , 3.603 , -0.021 , -6.173 , 61.75
1.09 , 3.648 , -0.014 , -6.278 , 61.75
1.19 , 3.711 , -0.008 , -6.186 , 61.75
1.32 , 3.792 , -0.008 , -6.186 , 61.75
1.4 , 3.835 , -0.006 , -6.16 , 61.75
1.49 , 3.898 , -0.012 , -6.383 , 61.75
1.62 , 3.982 , -0.012 , -6.383 , 61.75
1.68 , 4.023 , -0.008 , -6.343 , 61.75
1.79 , 4.085 , -0.004 , -6.383 , 61.75
1.91 , 4.162 , -0.01 , -6.343 , 61.75
1.99 , 4.211 , -0.01 , -6.343 , 61.75
2.1 , 4.274 , -0.008 , -6.396 , 61.75
2.21 , 4.351 , -0.016 , -6.553 , 61.75
2.29 , 4.398 , -0.016 , -6.553 , 61.75
2.39 , 4.461 , -0.006 , -6.605 , 61.75
2.51 , 4.541 , 0.001 , -6.474 , 61.75
2.59 , 4.585 , -0.008 , -6.658 , 61.75
2.69 , 4.648 , -0.008 , -6.658 , 61.75
2.82 , 4.731 , -0.008 , -6.632 , 61.75
2.9 , 4.773 , -0.006 , -6.409 , 61.75
2.99 , 4.836 , -0.006 , -6.409 , 61.75
3.12 , 4.921 , -0.004 , -6.71 , 61.75
3.18 , 4.96 , -0.014 , -6.566 , 61.75
3.3 , 5.023 , -0.014 , -6.566 , 61.75
3.41 , 5.1 , -0.012 , -6.776 , 61.75
3.49 , 5.148 , -0.018 , -6.776 , 61.75
3.58 , 5.211 , -0.004 , -6.868 , 61.75
3.71 , 5.29 , -0.004 , -6.868 , 61.75
3.79 , 5.335 , -0.01 , -6.881 , 61.75
3.89 , 5.398 , -0.008 , -6.841 , 61.75
4.02 , 5.48 , -0.008 , -6.841 , 61.75
4.1 , 5.523 , -0.016 , -6.776 , 61.75
4.19 , 5.585 , -0.001 , -6.868 , 61.75
4.32 , 5.669 , 0.001 , -7.169 , 61.75
4.38 , 5.711 , 0.001 , -7.169 , 61.75
4.49 , 5.773 , -0.012 , -7.038 , 61.75
4.61 , 5.849 , -0.008 , -7.09 , 61.75
4.69 , 5.898 , -0.008 , -7.09 , 61.75
4.8 , 5.961 , -0.01 , -7.051 , 61.75
4.91 , 6.039 , -0.008 , -7.169 , 61.75
4.99 , 6.085 , -0.008 , -7.169 , 61.75
5.09 , 6.148 , -0.004 , -7.051 , 61.75
5.21 , 6.228 , -0.001 , -7.09 , 61.75
5.29 , 6.273 , 0.003 , -7.208 , 61.75
5.39 , 6.335 , 0.003 , -7.208 , 61.75
5.5 , 6.408 , -0.014 , -7.366 , 61.75
5.6 , 6.461 , -0.01 , -7.366 , 61.75
5.69 , 6.523 , -0.01 , -7.366 , 61.75
5.82 , 6.608 , 0.005 , -7.248 , 61.75
5.88 , 6.648 , 0.003 , -7.274 , 61.75
6.0 , 6.711 , -0.014 , -7.444 , 61.75
6.11 , 6.787 , -0.014 , -7.444 , 61.75
6.19 , 6.835 , -0.001 , -7.418 , 61.75
6.28 , 6.898 , -0.012 , -7.405 , 61.75
6.4 , 6.967 , -0.012 , -7.405 , 61.75
6.49 , 7.023 , -0.01 , -7.405 , 61.75
6.59 , 7.086 , 0.001 , -7.641 , 61.75
6.71 , 7.167 , -0.018 , -7.47 , 61.75
6.79 , 7.211 , -0.018 , -7.47 , 61.75
6.89 , 7.273 , -0.008 , -7.615 , 61.75
7.02 , 7.357 , -0.001 , -7.575 , 61.75
7.08 , 7.398 , -0.001 , -7.575 , 61.75
7.19 , 7.46 , 0.011 , -7.588 , 61.75
7.31 , 7.536 , -0.004 , -7.851 , 61.75
7.39 , 7.586 , -0.004 , -7.851 , 61.75
7.5 , 7.648 , -0.008 , -7.654 , 61.75
7.61 , 7.726 , -0.001 , -7.641 , 61.75
7.69 , 7.773 , -0.004 , -7.654 , 61.75
7.78 , 7.836 , -0.004 , -7.654 , 61.75
