ech2_suite
long
Time , Disp, Load , Pressure, Volume
0.09 , 33.0 , -0.004 , -6.894 , 62.14
0.17 , 33.0 , -0.006 , -7.064 , 62.14
0.26 , 33.0 , -0.006 , -7.064 , 62.14
0.38 , 33.0 , -0.021 , -7.077 , 62.14
0.47 , 33.0 , 0.003 , -6.868 , 62.14
0.57 , 33.0 , 0.003 , -6.868 , 62.14
0.68 , 33.0 , -0.001 , -7.117 , 62.14
0.77 , 33.0 , -0.001 , -6.907 , 62.14
0.87 , 33.0 , -0.001 , -6.907 , 62.14
0.97 , 33.0 , -0.001 , -7.038 , 62.14
1.08 , 33.0 , -0.01 , -7.038 , 62.14
1.17 , 33.0 , -0.004 , -6.815 , 62.14
1.27 , 33.0 , -0.004 , -6.815 , 62.14
1.37 , 33.0 , -0.01 , -7.051 , 62.14
1.48 , 33.0 , 0.001 , -7.09 , 62.14
1.57 , 33.0 , 0.001 , -7.09 , 62.14
1.67 , 33.0 , -0.004 , -7.012 , 62.14
1.76 , 33.0 , -0.001 , -6.92 , 62.14
1.88 , 33.0 , -0.014 , -6.894 , 62.15
1.97 , 33.0 , -0.014 , -6.894 , 62.15
2.07 , 33.0 , -0.01 , -6.75 , 62.15
2.16 , 33.0 , 0.003 , -6.92 , 62.15
2.28 , 33.0 , 0.003 , -6.92 , 62.15
2.37 , 33.0 , -0.008 , -6.946 , 62.15
2.47 , 33.0 , -0.004 , -6.933 , 62.15
2.56 , 33.0 , -0.004 , -6.933 , 62.15
2.68 , 33.0 , -0.014 , -7.156 , 62.15
2.77 , 33.0 , -0.008 , -6.841 , 62.15
2.87 , 33.0 , -0.012 , -6.92 , 62.16
2.98 , 33.0 , -0.012 , -6.92 , 62.16
3.07 , 33.0 , 0.007 , -6.986 , 62.16
3.17 , 33.0 , 0.005 , -7.012 , 62.16
3.27 , 33.0 , 0.005 , -7.012 , 62.16
3.38 , 33.0 , -0.001 , -7.195 , 62.16
3.47 , 33.0 , -0.004 , -6.972 , 62.16
3.57 , 33.0 , -0.004 , -7.012 , 62.16
3.67 , 33.0 , -0.004 , -7.012 , 62.16
3.78 , 33.0 , -0.006 , -7.117 , 62.16
3.87 , 33.0 , -0.004 , -7.103 , 62.16
3.97 , 33.0 , -0.004 , -7.103 , 62.16
4.06 , 33.0 , -0.004 , -7.103 , 62.16
4.18 , 33.0 , -0.006 , -6.986 , 62.16
4.27 , 33.0 , -0.008 , -6.972 , 62.16
4.37 , 33.0 , -0.008 , -6.972 , 62.17
4.46 , 33.0 , 0.005 , -7.064 , 62.17
4.58 , 33.0 , -0.008 , -7.051 , 62.17
4.67 , 33.0 , -0.008 , -7.051 , 62.17
4.77 , 33.0 , -0.01 , -7.025 , 62.17
4.86 , 33.0 , -0.001 , -7.038 , 62.17
4.98 , 33.0 , -0.001 , -7.038 , 62.17
5.07 , 33.0 , -0.018 , -7.13 , 62.17
5.17 , 33.0 , -0.018 , -6.972 , 62.17
5.28 , 33.0 , -0.008 , -7.012 , 62.17
5.37 , 33.0 , -0.008 , -7.012 , 62.18
5.47 , 33.0 , 0.001 , -7.156 , 62.18
5.57 , 33.0 , -0.006 , -7.13 , 62.18
5.68 , 33.0 , -0.006 , -7.13 , 62.18
5.77 , 33.0 , -0.01 , -7.143 , 62.18
5.87 , 33.0 , -0.004 , -7.025 , 62.18
5.97 , 33.0 , -0.006 , -6.92 , 62.18
6.08 , 33.0 , -0.006 , -6.92 , 62.18
6.17 , 33.0 , -0.006 , -7.077 , 62.18
6.27 , 33.0 , 0.001 , -7.143 , 62.18
6.37 , 33.0 , 0.001 , -7.143 , 62.19
6.48 , 33.0 , -0.012 , -6.999 , 62.19
6.57 , 33.0 , -0.001 , -7.103 , 62.19
6.67 , 33.0 , -0.001 , -7.103 , 62.19
6.76 , 33.0 , -0.012 , -6.972 , 62.19
6.88 , 33.0 , -0.004 , -7.143 , 62.19
6.97 , 33.0 , -0.004 , -7.064 , 62.19
7.07 , 33.0 , -0.004 , -7.064 , 62.19
7.16 , 33.0 , -0.014 , -7.169 , 62.19
7.28 , 33.0 , -0.01 , -6.946 , 62.19
7.37 , 33.0 , -0.01 , -6.946 , 62.19
7.47 , 33.0 , -0.012 , -6.972 , 62.19
7.58 , 33.0 , -0.012 , -7.248 , 62.19
7.67 , 33.0 , -0.001 , -7.169 , 62.19
7.77 , 33.0 , -0.001 , -7.169 , 62.19
7.87 , 33.0 , -0.001 , -7.117 , 62.2
7.98 , 33.0 , -0.001 , -6.907 , 62.2
8.07 , 33.0 , -0.001 , -6.907 , 62.2
8.17 , 33.0 , -0.004 , -7.025 , 62.2
8.27 , 33.0 , -0.01 , -7.156 , 62.2
8.38 , 33.0 , -0.01 , -7.156 , 62.2
8.47 , 33.0 , -0.006 , -7.117 , 62.2

Pause

8.57 , 33.0 , -0.014 , -7.221 , 62.2
8.66 , 33.0 , 0.005 , -6.946 , 62.2
8.78 , 33.0 , 0.005 , -6.946 , 62.2
8.87 , 33.0 , 0.001 , -7.143 , 62.2
8.97 , 33.0 , -0.014 , -7.038 , 62.2
9.06 , 33.0 , -0.014 , -7.038 , 62.2
9.18 , 33.0 , -0.01 , -7.038 , 62.2
9.27 , 33.0 , -0.016 , -6.986 , 62.2
9.37 , 33.0 , -0.014 , -7.182 , 62.21
9.46 , 33.0 , -0.014 , -7.182 , 62.21
9.58 , 33.0 , -0.014 , -7.195 , 62.21
9.67 , 33.0 , -0.01 , -6.972 , 62.21
9.77 , 33.0 , -0.01 , -6.972 , 62.21
9.88 , 33.0 , -0.001 , -7.038 , 62.21
9.97 , 33.0 , -0.006 , -6.959 , 62.21
10.07 , 33.0 , -0.006 , -6.959 , 62.21
10.17 , 33.0 , -0.012 , -6.959 , 62.21
10.28 , 33.0 , -0.012 , -7.077 , 62.21
10.37 , 33.0 , 0.005 , -7.038 , 62.21
10.47 , 33.0 , 0.005 , -7.038 , 62.21
10.57 , 33.0 , -0.006 , -7.182 , 62.21
10.68 , 33.0 , -0.006 , -7.117 , 62.21
10.77 , 33.0 , -0.006 , -7.117 , 62.21
10.87 , 33.0 , 0.005 , -6.986 , 62.21
10.97 , 33.0 , -0.004 , -7.169 , 62.21
11.08 , 33.0 , 0.005 , -7.143 , 62.21
11.17 , 33.0 , 0.005 , -7.143 , 62.21
11.48 , 33.0 , -0.004 , -7.012 , 62.21
11.57 , 33.0 , -0.004 , -7.13 , 62.21
11.67 , 33.0 , -0.004 , -7.182 , 62.21
11.76 , 33.0 , -0.016 , -7.287 , 62.21
11.87 , 33.0 , -0.016 , -7.287 , 62.21
11.97 , 33.0 , -0.001 , -7.103 , 62.21
12.07 , 33.0 , -0.006 , -7.077 , 62.21
12.18 , 33.0 , -0.006 , -7.077 , 62.21
12.27 , 33.0 , -0.004 , -7.313 , 62.21
12.37 , 33.0 , 0.005 , -7.182 , 62.21
12.47 , 33.0 , 0.005 , -7.182 , 62.21
12.75 , 33.0 , -0.006 , -7.012 , 62.21
12.85 , 33.0 , 0.001 , -7.038 , 62.21
12.96 , 33.0 , -0.012 , -7.064 , 62.21
13.07 , 33.0 , -0.006 , -7.3 , 62.21
13.17 , 33.0 , -0.006 , -7.3 , 62.21
13.27 , 33.0 , -0.006 , -7.13 , 62.21
13.38 , 33.0 , 0.005 , -7.287 , 62.21
13.47 , 33.0 , -0.001 , -6.986 , 62.21
13.57 , 33.0 , -0.001 , -6.986 , 62.21
13.66 , 33.0 , 0.001 , -7.143 , 62.21
13.78 , 33.0 , -0.006 , -7.077 , 62.21
13.87 , 33.0 , -0.006 , -7.077 , 62.21
13.97 , 33.0 , -0.014 , -7.169 , 62.21
14.06 , 33.0 , 0.003 , -7.182 , 62.21
14.17 , 33.0 , 0.003 , -7.182 , 62.21
14.27 , 33.0 , 0.001 , -6.999 , 62.21
14.37 , 33.0 , -0.008 , -7.221 , 62.21
14.46 , 33.0 , 0.005 , -7.221 , 62.21
14.57 , 33.0 , 0.005 , -7.221 , 62.21
14.67 , 33.0 , -0.01 , -7.274 , 62.21
14.77 , 33.0 , -0.001 , -7.221 , 62.21
14.88 , 33.0 , -0.001 , -7.221 , 62.21

End Pause

14.99 , 33.0 , -0.001 , -7.221 , 62.21
15.07 , 33.0 , 0.003 , -7.261 , 62.21
15.17 , 33.0 , 0.003 , -7.103 , 62.21
15.28 , 33.0 , 0.003 , -7.103 , 62.21
15.37 , 33.0 , -0.006 , -7.156 , 62.21
15.47 , 33.0 , -0.01 , -7.13 , 62.21
15.57 , 33.0 , -0.01 , -7.13 , 62.21
15.68 , 33.0 , -0.004 , -7.13 , 62.21
15.77 , 33.0 , -0.004 , -7.169 , 62.22
15.87 , 33.0 , -0.004 , -7.169 , 62.22
15.96 , 33.0 , 0.005 , -7.077 , 62.22
16.08 , 33.0 , -0.006 , -7.025 , 62.22
16.17 , 33.0 , -0.016 , -7.13 , 62.22
16.27 , 33.0 , -0.016 , -7.13 , 62.26
