Ech4_s15_p0
Time , Disp, Load , Pressure, Volume
0.08 , 0.02 , -0.006 , 1.402 , 0.0
0.18 , 0.076 , 0.011 , 1.311 , 0.0
0.27 , 0.139 , 0.011 , 1.311 , 0.0
0.4 , 0.22 , 0.017 , 1.284 , 0.0
0.48 , 0.264 , 0.017 , 1.284 , 0.0
0.58 , 0.326 , -0.004 , 1.389 , 0.0
0.7 , 0.41 , -0.004 , 1.389 , 0.0
0.78 , 0.452 , 0.002 , 1.297 , 0.0
0.88 , 0.514 , 0.002 , 1.297 , 0.0
1.01 , 0.6 , 0.013 , 1.193 , 0.0
1.07 , 0.639 , 0.013 , 1.193 , 0.0
1.18 , 0.702 , 0.011 , 1.402 , 0.0
1.29 , 0.78 , 0.011 , 1.402 , 0.0
1.37 , 0.827 , -0.011 , 1.075 , 0.0
1.47 , 0.889 , -0.011 , 1.075 , 0.0
1.6 , 0.97 , -0.006 , 1.258 , 0.0
1.68 , 1.014 , -0.006 , 1.258 , 0.0
1.77 , 1.077 , 0.011 , 1.14 , 0.0
1.9 , 1.159 , 0.011 , 1.14 , 0.0
1.98 , 1.201 , -0.002 , 1.101 , 0.0
2.08 , 1.264 , -0.002 , 1.101 , 0.0
2.21 , 1.349 , 0.015 , 1.35 , 0.0
2.27 , 1.389 , 0.006 , 1.088 , 0.0
2.38 , 1.451 , 0.006 , 1.088 , 0.0
2.49 , 1.529 , 0.006 , 1.376 , 0.0
2.57 , 1.577 , 0.006 , 1.376 , 0.0
2.67 , 1.639 , 0.002 , 0.97 , 0.0
2.8 , 1.719 , 0.002 , 0.97 , 0.0
2.88 , 1.764 , 0.004 , 1.284 , 0.0
2.97 , 1.827 , 0.004 , 1.284 , 0.0
3.1 , 1.909 , 0.009 , 1.075 , 0.0
3.18 , 1.951 , 0.009 , 1.075 , 0.0
3.28 , 2.014 , 0.019 , 1.166 , 0.0
3.41 , 2.099 , 0.019 , 1.166 , 0.0
3.47 , 2.139 , 0.011 , 1.193 , 0.0
3.58 , 2.202 , 0.011 , 1.193 , 0.0
3.69 , 2.279 , -0.002 , 1.232 , 0.0
3.77 , 2.326 , -0.002 , 1.232 , 0.0
3.87 , 2.389 , -0.004 , 1.245 , 0.0
4.0 , 2.468 , -0.004 , 1.245 , 0.0
4.08 , 2.514 , -0.004 , 1.062 , 0.0
4.17 , 2.577 , -0.004 , 1.062 , 0.0
4.3 , 2.658 , -0.002 , 1.14 , 0.0
4.38 , 2.702 , -0.002 , 1.14 , 0.0
4.48 , 2.764 , -0.006 , 0.983 , 0.0
4.6 , 2.848 , 0.006 , 0.865 , 0.0
4.67 , 2.889 , 0.006 , 0.865 , 0.0
4.78 , 2.951 , -0.011 , 1.088 , 0.0
4.89 , 3.028 , -0.011 , 1.088 , 0.0
4.97 , 3.076 , 0.006 , 1.075 , 0.0
5.08 , 3.139 , 0.006 , 1.075 , 0.0
5.2 , 3.218 , -0.006 , 1.153 , 0.0
5.28 , 3.264 , -0.006 , 1.153 , 0.0
5.37 , 3.327 , 0.002 , 1.206 , 0.0
5.5 , 3.408 , 0.002 , 1.206 , 0.0
5.58 , 3.452 , 0.015 , 1.284 , 0.0
5.68 , 3.514 , 0.015 , 1.284 , 0.0
5.8 , 3.597 , 0.002 , 1.18 , 0.0
5.88 , 3.639 , 0.002 , 1.18 , 0.0
5.98 , 3.701 , 0.002 , 1.245 , 0.0
6.11 , 3.787 , 0.002 , 1.245 , 0.0
6.17 , 3.826 , 0.013 , 0.917 , 0.0
6.28 , 3.889 , 0.013 , 0.917 , 0.0
6.39 , 3.967 , 0.011 , 1.009 , 0.0
6.47 , 4.014 , 0.011 , 1.009 , 0.0
6.57 , 4.076 , 0.004 , 1.245 , 0.0
6.7 , 4.157 , -0.004 , 1.048 , 0.0
6.78 , 4.201 , -0.004 , 1.048 , 0.0
6.87 , 4.264 , -0.006 , 0.904 , 0.0
7.0 , 4.347 , -0.006 , 0.904 , 0.0
7.08 , 4.389 , -0.011 , 0.97 , 0.0
7.18 , 4.452 , -0.011 , 0.97 , 0.0
7.31 , 4.537 , -0.015 , 1.101 , 0.0
7.37 , 4.576 , -0.015 , 1.101 , 0.0
7.48 , 4.639 , 0.017 , 1.114 , 0.0
7.59 , 4.717 , 0.017 , 1.114 , 0.0
7.67 , 4.764 , -0.006 , 0.839 , 0.0
7.77 , 4.827 , -0.006 , 0.839 , 0.0
7.9 , 4.906 , -0.013 , 0.799 , 0.0
7.98 , 4.951 , -0.013 , 0.799 , 0.0
8.07 , 5.014 , 0.011 , 0.878 , 0.0
8.2 , 5.096 , 0.011 , 0.878 , 0.0
8.28 , 5.139 , -0.002 , 0.957 , 0.0
8.38 , 5.201 , -0.002 , 0.957 , 0.0
8.5 , 5.286 , 0.004 , 0.826 , 0.0
8.57 , 5.326 , 0.004 , 0.826 , 0.0
8.68 , 5.389 , -0.004 , 1.035 , 0.0
8.79 , 5.466 , -0.004 , 1.035 , 0.0
8.87 , 5.514 , -0.006 , 0.983 , 0.0
8.97 , 5.577 , -0.013 , 0.891 , 0.0
9.1 , 5.656 , -0.013 , 0.891 , 0.0
9.18 , 5.702 , 0.0 , 1.009 , 0.0
9.27 , 5.764 , 0.0 , 1.009 , 0.0
9.4 , 5.845 , -0.015 , 0.931 , 0.0
9.48 , 5.889 , -0.015 , 0.931 , 0.0
9.58 , 5.952 , 0.0 , 0.944 , 0.0
9.7 , 6.035 , 0.0 , 0.944 , 0.0
9.77 , 6.076 , 0.017 , 0.996 , 0.0
9.88 , 6.139 , 0.017 , 0.996 , 0.0
9.99 , 6.215 , -0.004 , 1.088 , 0.0
10.07 , 6.264 , -0.004 , 1.088 , 0.0
10.18 , 6.327 , 0.004 , 0.996 , 0.0
10.3 , 6.405 , 0.004 , 0.996 , 0.0
10.38 , 6.451 , -0.008 , 1.009 , 0.0
10.47 , 6.514 , -0.008 , 1.009 , 0.0
10.6 , 6.595 , 0.0 , 1.153 , 0.0
10.68 , 6.639 , 0.0 , 1.153 , 0.0
10.77 , 6.702 , -0.004 , 1.219 , 0.0
10.9 , 6.785 , -0.004 , 1.219 , 0.0
10.98 , 6.826 , 0.006 , 1.035 , 0.0
11.08 , 6.889 , 0.006 , 1.035 , 0.0
11.21 , 6.974 , 0.0 , 1.048 , 0.0
11.27 , 7.014 , 0.023 , 1.166 , 0.0
11.38 , 7.076 , 0.023 , 1.166 , 0.0
11.49 , 7.154 , 0.0 , 1.206 , 0.0
11.57 , 7.201 , 0.0 , 1.206 , 0.0
11.67 , 7.264 , 0.002 , 1.18 , 0.0
11.8 , 7.344 , 0.002 , 1.18 , 0.0
11.88 , 7.389 , 0.013 , 1.258 , 0.0
11.97 , 7.452 , 0.013 , 1.258 , 0.0
12.1 , 7.534 , 0.03 , 1.166 , 0.0
12.18 , 7.576 , 0.03 , 1.166 , 0.0
12.28 , 7.639 , 0.009 , 1.455 , 0.0
12.41 , 7.724 , 0.009 , 1.455 , 0.0
12.47 , 7.764 , 0.021 , 1.324 , 0.0
12.58 , 7.826 , 0.021 , 1.324 , 0.0
12.69 , 7.904 , 0.002 , 1.389 , 0.0
12.77 , 7.951 , 0.002 , 1.389 , 0.0
12.87 , 8.014 , 0.0 , 1.494 , 0.0
13.0 , 8.094 , 0.0 , 1.494 , 0.0
13.08 , 8.139 , -0.013 , 1.533 , 0.0
13.17 , 8.202 , -0.013 , 1.533 , 0.0
13.3 , 8.283 , 0.0 , 1.835 , 0.0
13.38 , 8.326 , 0.0 , 1.835 , 0.0
13.48 , 8.389 , 0.017 , 1.481 , 0.0
13.6 , 8.473 , -0.008 , 1.664 , 0.0
13.67 , 8.514 , -0.008 , 1.664 , 0.0
13.78 , 8.577 , 0.002 , 1.848 , 0.0
13.89 , 8.653 , 0.002 , 1.848 , 0.0
13.97 , 8.702 , 0.002 , 1.887 , 0.0
14.07 , 8.764 , 0.002 , 1.887 , 0.0
14.2 , 8.843 , 0.0 , 1.73 , 0.0
14.28 , 8.889 , 0.0 , 1.73 , 0.0
14.37 , 8.951 , 0.002 , 2.005 , 0.0
14.5 , 9.033 , 0.002 , 2.005 , 0.0
14.58 , 9.076 , 0.017 , 2.136 , 0.0
14.68 , 9.139 , 0.017 , 2.136 , 0.0
14.8 , 9.222 , 0.011 , 2.451 , 0.0
14.88 , 9.264 , 0.011 , 2.451 , 0.0
14.98 , 9.326 , 0.015 , 2.412 , 0.0
15.11 , 9.412 , 0.015 , 2.412 , 0.0
15.17 , 9.451 , 0.009 , 2.333 , 0.0
15.28 , 9.514 , 0.009 , 2.333 , 0.0
15.4 , 9.592 , -0.002 , 2.647 , 0.0
15.47 , 9.639 , -0.002 , 2.647 , 0.0
15.57 , 9.701 , 0.004 , 2.556 , 0.0
15.7 , 9.782 , 0.004 , 2.556 , 0.0
15.78 , 9.826 , -0.004 , 2.792 , 0.0
15.87 , 9.892 , 0.015 , 3.054 , 0.0
15.97 , 9.951 , 0.015 , 3.054 , 0.0
16.08 , 10.014 , -0.006 , 3.027 , 0.0
16.19 , 10.092 , -0.006 , 3.027 , 0.0
16.27 , 10.139 , -0.002 , 3.303 , 0.0
16.37 , 10.201 , -0.002 , 3.303 , 0.0
16.5 , 10.282 , -0.011 , 3.159 , 0.0
16.58 , 10.326 , -0.011 , 3.159 , 0.0
16.67 , 10.389 , -0.006 , 3.342 , 0.0
16.8 , 10.471 , -0.006 , 3.342 , 0.0
16.88 , 10.514 , -0.011 , 3.617 , 0.0
16.98 , 10.576 , -0.011 , 3.617 , 0.0
17.11 , 10.661 , -0.004 , 3.512 , 0.0
17.17 , 10.701 , -0.004 , 3.512 , 0.0
17.28 , 10.764 , -0.021 , 3.683 , 0.0
17.39 , 10.841 , -0.021 , 3.683 , 0.0
17.47 , 10.889 , -0.006 , 3.932 , 0.0
17.57 , 10.951 , -0.006 , 3.932 , 0.0
17.7 , 11.031 , 0.002 , 4.155 , 0.0
17.78 , 11.076 , 0.002 , 4.155 , 0.0
17.87 , 11.139 , -0.002 , 4.325 , 0.0
18.0 , 11.221 , 0.008 , 4.194 , 0.0
18.08 , 11.264 , 0.008 , 4.194 , 0.0
18.18 , 11.327 , -0.011 , 4.364 , 0.0
18.3 , 11.411 , -0.011 , 4.364 , 0.0
18.37 , 11.451 , -0.004 , 4.744 , 0.0
18.48 , 11.514 , -0.004 , 4.744 , 0.0
18.59 , 11.59 , -0.006 , 4.731 , 0.0
18.67 , 11.639 , -0.006 , 4.731 , 0.0
18.77 , 11.702 , 0.015 , 4.928 , 0.0
18.9 , 11.781 , 0.015 , 4.928 , 0.0
18.98 , 11.826 , -0.004 , 5.164 , 0.0
19.07 , 11.889 , -0.004 , 5.164 , 0.0
19.2 , 11.97 , -0.011 , 5.321 , 0.0
19.28 , 12.014 , -0.011 , 5.321 , 0.0
19.38 , 12.076 , 0.006 , 5.57 , 0.0
19.5 , 12.16 , 0.006 , 5.57 , 0.0
19.57 , 12.201 , -0.011 , 5.872 , 0.0
19.68 , 12.264 , -0.011 , 5.872 , 0.0
19.79 , 12.34 , 0.008 , 6.16 , 0.0
19.87 , 12.389 , 0.008 , 6.16 , 0.0
