Ech5_s15_terminated
Time , Disp, Load , Pressure, Volume
0.07 , 25.0 , -0.003 , 62.044 , 13.63
0.17 , 25.0 , 0.025 , 62.07 , 13.63
0.26 , 25.0 , 0.025 , 62.07 , 13.63
0.38 , 25.0 , -0.001 , 62.201 , 13.63
0.47 , 25.0 , -0.001 , 62.201 , 13.63
0.57 , 25.0 , -0.001 , 62.031 , 13.63
0.66 , 25.0 , 0.005 , 62.201 , 13.63
0.78 , 25.0 , 0.005 , 62.201 , 13.63
0.87 , 25.0 , 0.005 , 62.241 , 13.63
0.97 , 25.0 , 0.005 , 62.241 , 13.63
1.06 , 25.0 , -0.018 , 62.935 , 13.65
1.18 , 25.0 , -0.018 , 62.935 , 13.65
1.27 , 25.0 , -0.001 , 63.381 , 13.65
1.37 , 25.0 , -0.001 , 63.381 , 13.65
1.46 , 25.0 , 0.01 , 63.879 , 13.65
1.58 , 25.0 , 0.01 , 63.879 , 13.67
1.67 , 25.0 , -0.01 , 64.154 , 13.67
1.77 , 25.0 , -0.01 , 64.154 , 13.67
1.86 , 25.0 , 0.02 , 64.731 , 13.67
1.98 , 25.0 , 0.02 , 64.731 , 13.67
2.07 , 25.0 , -0.01 , 64.94 , 13.7
2.17 , 25.0 , -0.01 , 64.94 , 13.7

Pause

2.3 , 25.0 , 0.014 , 65.53 , 13.7
2.38 , 25.0 , 0.014 , 65.53 , 13.7
2.47 , 25.0 , 0.016 , 65.661 , 13.7
2.57 , 25.0 , 0.016 , 65.661 , 13.7
2.66 , 25.0 , 0.01 , 65.963 , 13.7
2.77 , 25.0 , 0.007 , 65.858 , 13.7
2.87 , 25.0 , 0.007 , 65.858 , 13.7
2.97 , 25.0 , 0.003 , 65.517 , 13.7
3.06 , 25.0 , 0.003 , 65.517 , 13.72
3.17 , 25.0 , -0.003 , 65.255 , 13.72
3.27 , 25.0 , -0.003 , 65.255 , 13.72
3.37 , 25.0 , -0.003 , 65.556 , 13.72
3.46 , 25.0 , -0.003 , 65.556 , 13.72
3.57 , 25.0 , 0.024 , 65.648 , 13.72
3.67 , 25.0 , 0.024 , 65.648 , 13.72
3.77 , 25.0 , -0.016 , 65.53 , 13.72
3.86 , 25.0 , -0.016 , 65.53 , 13.72
3.97 , 25.0 , 0.001 , 65.648 , 13.72
4.07 , 25.0 , 0.001 , 65.648 , 13.72
4.17 , 25.0 , 0.003 , 65.294 , 13.72
4.26 , 25.0 , 0.003 , 65.294 , 13.72
4.6 , 25.0 , -0.018 , 65.438 , 13.72
4.69 , 25.0 , -0.016 , 65.255 , 13.72
4.79 , 25.0 , -0.016 , 65.255 , 13.72
4.89 , 25.0 , 0.003 , 65.242 , 13.72
4.98 , 25.0 , 0.003 , 65.242 , 13.72
5.08 , 25.0 , 0.016 , 65.176 , 13.72
5.17 , 25.0 , 0.016 , 65.176 , 13.72
5.27 , 25.0 , -0.001 , 65.124 , 13.72
5.36 , 25.0 , -0.001 , 65.124 , 13.72
5.46 , 25.0 , -0.001 , 65.045 , 13.72
5.57 , 25.0 , -0.001 , 65.045 , 13.72
5.67 , 25.0 , -0.005 , 65.045 , 13.72
5.96 , 25.0 , 0.007 , 65.032 , 13.72
6.05 , 25.0 , 0.014 , 64.914 , 13.72
6.16 , 25.0 , 0.014 , 64.914 , 13.72
6.26 , 25.0 , 0.007 , 64.862 , 13.72
6.37 , 25.0 , 0.007 , 64.862 , 13.72
6.47 , 25.0 , -0.007 , 64.823 , 13.72
6.56 , 25.0 , -0.007 , 64.823 , 13.72
6.68 , 25.0 , 0.014 , 64.914 , 13.72
6.77 , 25.0 , 0.014 , 64.914 , 13.72
6.87 , 25.0 , -0.005 , 64.718 , 13.72
6.96 , 25.0 , -0.005 , 64.718 , 13.72
7.08 , 25.0 , -0.014 , 64.744 , 13.72
7.17 , 25.0 , -0.014 , 64.744 , 13.72
7.27 , 25.0 , -0.014 , 64.652 , 13.72
7.36 , 25.0 , 0.014 , 64.731 , 13.72
7.48 , 25.0 , 0.014 , 64.731 , 13.72
7.57 , 25.0 , -0.012 , 64.508 , 13.72
7.67 , 25.0 , -0.012 , 64.508 , 13.72
7.76 , 25.0 , -0.003 , 64.469 , 13.72
7.88 , 25.0 , -0.003 , 64.469 , 13.72
7.97 , 25.0 , 0.001 , 64.639 , 13.72
8.07 , 25.0 , 0.001 , 64.639 , 13.72
8.16 , 25.0 , -0.018 , 64.534 , 13.72
8.27 , 25.0 , -0.018 , 64.534 , 13.72

End Pause

8.37 , 25.0 , -0.001 , 64.39 , 13.72
8.47 , 25.0 , -0.001 , 64.39 , 13.72
8.56 , 25.0 , -0.001 , 64.39 , 13.72
8.67 , 25.0 , -0.001 , 64.39 , 13.72
8.77 , 25.0 , 0.001 , 64.429 , 13.72
8.87 , 25.0 , 0.001 , 64.429 , 13.72
8.96 , 25.0 , 0.005 , 64.862 , 13.72
9.07 , 25.0 , 0.005 , 64.862 , 13.72
9.17 , 25.0 , 0.001 , 66.618 , 13.77
9.27 , 25.0 , 0.001 , 66.618 , 13.77
9.36 , 25.0 , 0.016 , 67.745 , 13.77
9.47 , 25.0 , 0.016 , 67.745 , 13.77
9.57 , 25.0 , -0.018 , 69.108 , 13.77
9.67 , 25.0 , 0.003 , 70.275 , 13.85
9.76 , 25.0 , 0.003 , 70.275 , 13.85
9.87 , 25.0 , -0.003 , 71.664 , 13.85
9.97 , 25.0 , -0.003 , 71.664 , 13.85
10.07 , 25.0 , 0.003 , 72.988 , 13.85
10.16 , 25.0 , 0.003 , 72.988 , 13.94
10.27 , 25.0 , 0.003 , 74.351 , 13.94
10.37 , 25.0 , 0.003 , 74.351 , 13.94
10.47 , 25.0 , -0.003 , 75.805 , 13.94
10.56 , 25.0 , -0.003 , 75.805 , 13.94
10.67 , 25.0 , -0.016 , 77.129 , 14.02
10.77 , 25.0 , -0.016 , 77.129 , 14.02
10.87 , 25.0 , -0.023 , 78.282 , 14.02
10.96 , 25.0 , -0.023 , 78.282 , 14.02
11.07 , 25.0 , 0.009 , 79.488 , 14.02
11.17 , 25.0 , 0.009 , 79.488 , 14.1
11.26 , 25.0 , 0.007 , 80.864 , 14.1
11.38 , 25.0 , 0.007 , 80.864 , 14.1
11.47 , 25.0 , -0.001 , 82.306 , 14.1
11.57 , 25.0 , -0.001 , 82.306 , 14.1
11.66 , 25.0 , -0.01 , 83.433 , 14.19
11.76 , 25.0 , -0.01 , 83.433 , 14.19
11.87 , 25.0 , -0.001 , 84.508 , 14.19
11.97 , 25.0 , -0.006 , 85.897 , 14.19
12.06 , 25.0 , -0.006 , 85.897 , 14.19
12.18 , 25.0 , -0.004 , 86.959 , 14.27
12.27 , 25.0 , -0.004 , 86.959 , 14.27
12.37 , 25.0 , -0.012 , 87.981 , 14.27
12.46 , 25.0 , -0.012 , 87.981 , 14.27
12.58 , 25.0 , -0.008 , 89.318 , 14.27
12.67 , 25.0 , -0.008 , 89.318 , 14.35
12.77 , 25.0 , -0.001 , 90.72 , 14.35
12.86 , 25.0 , -0.001 , 90.72 , 14.35
12.98 , 25.0 , 0.007 , 91.769 , 14.35
13.07 , 25.0 , 0.007 , 91.769 , 14.35
13.17 , 25.0 , -0.002 , 93.053 , 14.44
