dumb
Time , Disp, Load , Pressure, Volume
0.08 , 21.018 , -0.254 , 21.533 , 0
0.14 , 21.06 , -0.244 , 21.468 , 0
0.25 , 21.122 , -0.244 , 21.468 , 0
0.36 , 21.199 , -0.242 , 21.52 , 0
0.45 , 21.247 , -0.242 , 21.52 , 0
0.54 , 21.309 , -0.242 , 21.52 , 0
0.67 , 21.389 , -0.242 , 21.52 , 0
0.75 , 21.434 , -0.251 , 21.481 , 0
0.85 , 21.497 , -0.251 , 21.481 , 0
0.97 , 21.579 , -0.247 , 21.324 , 0
1.05 , 21.624 , -0.259 , 21.481 , 0
1.15 , 21.685 , -0.259 , 21.481 , 0
1.28 , 21.77 , -0.252 , 21.52 , 0
1.34 , 21.81 , -0.252 , 21.52 , 0
1.45 , 21.872 , -0.252 , 21.232 , 0
1.57 , 21.95 , -0.252 , 21.232 , 0
1.65 , 21.995 , -0.248 , 21.52 , 0
1.76 , 21.979 , -0.248 , 21.52 , 0
1.85 , 21.926 , -0.249 , 21.389 , 0
1.95 , 21.864 , -0.249 , 21.389 , 0
2.06 , 21.788 , -0.248 , 21.546 , 0
2.14 , 21.739 , -0.248 , 21.546 , 0
2.25 , 21.676 , -0.25 , 21.546 , 0
2.35 , 21.608 , -0.25 , 21.546 , 0
2.45 , 21.551 , -0.25 , 21.494 , 0
2.54 , 21.488 , -0.25 , 21.494 , 0
2.67 , 21.408 , -0.24 , 21.494 , 0
2.75 , 21.364 , -0.24 , 21.494 , 0
2.85 , 21.301 , -0.237 , 21.507 , 0
2.98 , 21.217 , -0.237 , 21.507 , 0
3.04 , 21.176 , -0.241 , 21.612 , 0
3.15 , 21.114 , -0.241 , 21.612 , 0
3.26 , 21.037 , -0.244 , 21.481 , 0
3.34 , 21.0 , -0.25 , 21.586 , 0
3.47 , 21.021 , -0.25 , 21.586 , 0
3.55 , 21.065 , -0.229 , 21.533 , 0
3.65 , 21.128 , -0.229 , 21.533 , 0
3.78 , 21.212 , -0.243 , 21.638 , 0
3.84 , 21.252 , -0.243 , 21.638 , 0
3.95 , 21.315 , -0.258 , 21.625 , 0
4.06 , 21.392 , -0.258 , 21.625 , 0
4.14 , 21.44 , -0.247 , 21.441 , 0
4.24 , 21.503 , -0.247 , 21.441 , 0
4.37 , 21.582 , -0.253 , 21.494 , 0
4.45 , 21.628 , -0.253 , 21.494 , 0
4.54 , 21.69 , -0.247 , 21.612 , 0
4.67 , 21.772 , -0.247 , 21.612 , 0
4.75 , 21.815 , -0.243 , 21.664 , 0
4.85 , 21.878 , -0.243 , 21.664 , 0
4.98 , 21.962 , -0.254 , 21.546 , 0
5.04 , 21.998 , -0.254 , 21.546 , 0
5.15 , 22.0 , -0.254 , 21.52 , 0
5.25 , 22.0 , -0.254 , 21.52 , 0
5.36 , 22.0 , -0.241 , 21.586 , 0
5.44 , 22.0 , -0.289 , 26.749 , 0
5.55 , 22.0 , -0.289 , 26.749 , 0
5.65 , 22.0 , -0.207 , 19.109 , 0
5.75 , 22.0 , -0.207 , 19.109 , 0
5.86 , 22.0 , -0.228 , 21.94 , 0
5.95 , 22.0 , -0.228 , 21.94 , 0
6.05 , 22.0 , -0.227 , 22.071 , 0
6.15 , 22.0 , -0.227 , 22.071 , 0
6.24 , 22.0 , -0.237 , 22.346 , 0
6.35 , 22.0 , -0.237 , 22.346 , 0
6.45 , 22.0 , -0.236 , 22.28 , 0
6.55 , 22.0 , -0.236 , 22.28 , 0
6.64 , 22.0 , -0.227 , 22.267 , 0
6.76 , 22.0 , -0.227 , 22.267 , 0
6.85 , 22.0 , -0.255 , 22.529 , 0
6.95 , 22.0 , -0.255 , 22.529 , 0
7.04 , 22.0 , -0.242 , 22.372 , 0
7.14 , 22.0 , -0.242 , 22.372 , 0
7.25 , 22.0 , -0.256 , 21.913 , 0
7.35 , 22.0 , -0.256 , 21.913 , 0
7.44 , 22.0 , -0.251 , 22.228 , 0
7.54 , 22.0 , -0.251 , 22.228 , 0
7.65 , 22.0 , -0.252 , 22.189 , 0
7.75 , 22.0 , -0.243 , 22.398 , 0
7.84 , 22.0 , -0.243 , 22.398 , 0
7.94 , 22.0 , -0.239 , 22.477 , 0
8.05 , 22.0 , -0.239 , 22.477 , 0
8.15 , 22.0 , -0.242 , 22.333 , 0
8.24 , 22.0 , -0.242 , 22.333 , 0
8.34 , 22.0 , -0.238 , 22.215 , 0
8.45 , 22.0 , -0.238 , 22.215 , 0
8.55 , 22.0 , -0.251 , 22.306 , 0
8.64 , 22.0 , -0.251 , 22.306 , 0
8.74 , 22.0 , -0.259 , 22.11 , 0
8.85 , 22.0 , -0.259 , 22.11 , 0
8.95 , 22.0 , -0.25 , 22.346 , 0
9.05 , 22.0 , -0.25 , 22.346 , 0
9.14 , 22.0 , -0.263 , 22.359 , 0
