ech1_13_1
Time , Disp, Load , Pressure, Volume
0.08 , 13.5 , -0.021 , -0.315 , -3.8
0.16 , 13.5 , -0.002 , -0.262 , -3.8
0.27 , 13.5 , -0.004 , -0.223 , -3.8
0.35 , 13.5 , -0.004 , -0.223 , -3.8
0.46 , 13.5 , 0.009 , 2.687 , -3.8
0.56 , 13.5 , 0.009 , 2.687 , -3.8
0.66 , 13.5 , -0.009 , 4.233 , -3.8
0.75 , 13.5 , -0.009 , 4.233 , -3.8
0.86 , 13.5 , 0.002 , 5.701 , -3.8
0.96 , 13.5 , 0.002 , 5.701 , -3.8
1.06 , 13.5 , 0.034 , 7.352 , -3.8
1.15 , 13.5 , 0.034 , 7.352 , -3.8
1.26 , 13.5 , 0.017 , 9.122 , -3.8
1.36 , 13.5 , 0.017 , 9.122 , -3.8
1.46 , 13.5 , 0.043 , 11.166 , -3.8
1.55 , 13.5 , 0.043 , 11.166 , -3.8
1.66 , 13.5 , 0.053 , 13.25 , -3.8
1.76 , 13.5 , 0.053 , 13.25 , -3.8
1.86 , 13.5 , 0.002 , 15.478 , -3.8
1.95 , 13.5 , 0.002 , 15.478 , -3.8
2.06 , 13.5 , -0.019 , 17.523 , -3.8
2.16 , 13.5 , -0.019 , 17.523 , -3.8
2.26 , 13.5 , -0.0 , 19.213 , -3.8
2.35 , 13.5 , -0.006 , 20.76 , -3.8
2.47 , 13.5 , -0.006 , 20.76 , -3.8
2.56 , 13.5 , -0.025 , 22.149 , -3.8
2.66 , 13.5 , -0.025 , 22.149 , -3.8
2.75 , 13.5 , -0.011 , 24.023 , -3.8
2.86 , 13.5 , -0.011 , 24.023 , -3.8
2.96 , 13.5 , -0.017 , 26.002 , -3.8
3.07 , 13.5 , -0.017 , 26.002 , -3.8
3.15 , 13.5 , -0.009 , 28.047 , -3.8
3.26 , 13.5 , -0.009 , 28.047 , -3.8
3.36 , 13.5 , -0.008 , 29.934 , -3.8
3.46 , 13.5 , -0.008 , 29.934 , -3.8
3.55 , 13.5 , -0.009 , 31.887 , -3.8
3.67 , 13.5 , -0.009 , 31.887 , -3.8
3.76 , 13.5 , 0.002 , 33.158 , -3.8
3.86 , 13.5 , 0.002 , 33.158 , -3.8
3.95 , 13.5 , 0.021 , 35.124 , -3.8
4.07 , 13.5 , 0.021 , 35.124 , -3.8
4.16 , 13.5 , -0.026 , 36.972 , -3.8
4.26 , 13.5 , -0.026 , 36.972 , -3.8
4.35 , 13.5 , 0.006 , 39.24 , -3.8
4.47 , 13.5 , -0.004 , 40.917 , -3.8
4.56 , 13.5 , -0.004 , 40.917 , -3.8
4.66 , 13.5 , -0.017 , 42.123 , -3.8
4.75 , 13.5 , -0.017 , 42.123 , -3.8
4.87 , 13.5 , -0.011 , 43.525 , -3.8
4.96 , 13.5 , -0.011 , 43.525 , -3.8
5.06 , 13.5 , -0.009 , 44.914 , -3.8
5.15 , 13.5 , -0.009 , 44.914 , -3.8
5.25 , 13.5 , -0.006 , 46.592 , -3.8
5.36 , 13.5 , -0.006 , 46.592 , -3.8
5.46 , 13.5 , -0.006 , 48.82 , -3.8
5.55 , 13.5 , -0.006 , 48.82 , -3.8
5.67 , 13.5 , -0.004 , 50.602 , -3.8
5.76 , 13.5 , -0.004 , 50.602 , -3.8
5.86 , 13.5 , -0.015 , 51.874 , -3.8
5.95 , 13.5 , -0.015 , 51.874 , -3.8
6.05 , 13.5 , -0.008 , 53.302 , -3.8
6.16 , 13.5 , -0.008 , 53.302 , -3.8
6.26 , 13.5 , -0.017 , 54.927 , -3.8
6.35 , 13.5 , -0.017 , 54.927 , -3.8
6.45 , 13.5 , 0.009 , 56.29 , -3.8
6.56 , 13.5 , 0.009 , 56.29 , -3.8
6.66 , 13.5 , -0.017 , 58.112 , -3.8
6.76 , 13.5 , -0.002 , 60.026 , -3.8
6.85 , 13.5 , -0.002 , 60.026 , -3.8
6.96 , 13.5 , 0.008 , 61.507 , -3.8
7.06 , 13.5 , 0.008 , 61.507 , -3.8
7.16 , 13.5 , -0.008 , 62.516 , -3.8
7.25 , 13.5 , -0.008 , 62.516 , -3.8
7.36 , 13.5 , -0.017 , 63.669 , -3.8
7.46 , 13.5 , -0.017 , 63.669 , -3.8
7.56 , 13.5 , -0.011 , 65.15 , -3.8
7.65 , 13.5 , -0.011 , 65.15 , -3.8
7.76 , 13.5 , -0.021 , 66.841 , -3.8
7.86 , 13.5 , -0.021 , 66.841 , -3.8
7.96 , 13.5 , 0.004 , 68.702 , -3.8
8.05 , 13.5 , 0.004 , 68.702 , -3.8
8.16 , 13.5 , 0.011 , 70.235 , -3.8
8.26 , 13.5 , 0.011 , 70.235 , -3.8
8.36 , 13.5 , -0.0 , 71.651 , -3.8
8.45 , 13.5 , -0.0 , 71.651 , -3.8
8.56 , 13.5 , 0.002 , 72.778 , -3.8
8.66 , 13.5 , 0.002 , 72.778 , -3.8
8.76 , 13.5 , -0.032 , 74.351 , -3.8
8.85 , 13.5 , 0.011 , 75.884 , -3.8
8.96 , 13.5 , 0.011 , 75.884 , -3.8
9.06 , 13.5 , 0.009 , 77.548 , -3.8
9.16 , 13.5 , 0.009 , 77.548 , -3.8
9.25 , 13.5 , -0.002 , 78.78 , -3.8
9.36 , 13.5 , -0.002 , 78.78 , -3.8
9.46 , 13.5 , -0.004 , 80.039 , -3.8
9.56 , 13.5 , -0.004 , 80.039 , -3.8
9.65 , 13.5 , 0.009 , 81.257 , -3.8
9.77 , 13.5 , 0.009 , 81.257 , -3.8
9.86 , 13.5 , -0.023 , 82.031 , -3.8
9.96 , 13.5 , -0.023 , 82.031 , -3.8
10.05 , 13.5 , 0.019 , 83.643 , -3.8
10.16 , 13.5 , 0.019 , 83.643 , -3.8
10.26 , 13.5 , -0.008 , 85.045 , -3.8
10.36 , 13.5 , -0.008 , 85.045 , -3.8
10.45 , 13.5 , -0.006 , 86.723 , -3.8
10.57 , 13.5 , -0.006 , 86.723 , -3.8
10.66 , 13.5 , -0.015 , 87.797 , -3.8
10.76 , 13.5 , -0.015 , 87.797 , -3.8
10.85 , 13.5 , 0.023 , 88.859 , -3.8
10.97 , 13.5 , 0.023 , 88.859 , -3.8
11.06 , 13.5 , -0.026 , 90.261 , -3.8
11.16 , 13.5 , -0.002 , 91.585 , -3.8
11.25 , 13.5 , -0.002 , 91.585 , -3.8
11.37 , 13.5 , -0.026 , 93.027 , -3.8
11.46 , 13.5 , -0.026 , 93.027 , -3.8
11.56 , 13.5 , 0.008 , 94.704 , -3.8
11.65 , 13.5 , 0.008 , 94.704 , -3.8
11.75 , 13.5 , 0.002 , 95.805 , -3.8
11.86 , 13.5 , 0.002 , 95.805 , -3.8
11.96 , 13.5 , -0.013 , 97.076 , -3.8
12.05 , 13.5 , -0.013 , 97.076 , -3.8
12.15 , 13.5 , 0.008 , 97.981 , -3.8
12.26 , 13.5 , 0.008 , 97.981 , -3.8
12.36 , 13.5 , -0.015 , 99.252 , -3.8
12.45 , 13.5 , -0.015 , 99.252 , -3.8
12.55 , 13.5 , -0.006 , 100.785 , -3.8
12.66 , 13.5 , -0.006 , 100.785 , -3.8
12.76 , 13.5 , -0.013 , 102.463 , -3.8
12.85 , 13.5 , -0.013 , 102.463 , -3.8
12.95 , 13.5 , -0.011 , 103.603 , -3.8
13.06 , 13.5 , -0.011 , 103.603 , -3.8
13.16 , 13.5 , -0.004 , 105.058 , -3.8
13.26 , 13.5 , 0.002 , 106.382 , -3.8
13.35 , 13.5 , 0.002 , 106.382 , -3.8
13.46 , 13.5 , -0.011 , 107.325 , -3.8
13.56 , 13.5 , -0.011 , 107.325 , -3.8
13.66 , 13.5 , -0.013 , 109.042 , -3.8
13.75 , 13.5 , -0.013 , 109.042 , -3.8
13.86 , 13.5 , 0.008 , 110.353 , -3.8
13.96 , 13.5 , 0.008 , 110.353 , -3.8
14.06 , 13.5 , -0.004 , 112.07 , -3.8
14.15 , 13.5 , -0.004 , 112.07 , -3.8
14.26 , 13.5 , -0.006 , 113.092 , -3.8
14.36 , 13.5 , -0.006 , 113.092 , -3.8
14.46 , 13.5 , 0.002 , 114.35 , -3.8
14.55 , 13.5 , 0.002 , 114.35 , -3.8
