ech1_14
Time , Disp, Load , Pressure, Volume
0.09 , 0.025 , -0.008 , 6.396 , -1.8
0.18 , 0.085 , -0.006 , 6.422 , -1.8
0.3 , 0.148 , -0.006 , 6.422 , -1.8
0.39 , 0.215 , -0.002 , 6.435 , -1.8
0.49 , 0.273 , -0.002 , 6.435 , -1.8
0.58 , 0.336 , -0.002 , 6.042 , -1.8
0.71 , 0.416 , -0.002 , 6.042 , -1.8
0.79 , 0.461 , -0.006 , 5.95 , -1.8
0.89 , 0.523 , -0.006 , 5.95 , -1.8
1.02 , 0.606 , -0.004 , 5.688 , -1.8
1.1 , 0.648 , -0.004 , 5.688 , -1.8
1.19 , 0.711 , -0.013 , 5.518 , -1.8
1.32 , 0.796 , -0.013 , 5.518 , -1.8
1.38 , 0.836 , -0.006 , 5.282 , -1.8
1.5 , 0.899 , -0.006 , 5.282 , -1.8
1.61 , 0.976 , -0.004 , 5.033 , -1.8
1.69 , 1.023 , -0.004 , 5.033 , -1.8
1.78 , 1.086 , -0.011 , 4.889 , -1.8
1.91 , 1.166 , -0.011 , 4.889 , -1.8
1.99 , 1.211 , -0.009 , 4.889 , -1.8
2.09 , 1.274 , -0.013 , 4.705 , -1.8
2.22 , 1.356 , -0.013 , 4.705 , -1.8
2.3 , 1.398 , -0.013 , 4.482 , -1.8
2.39 , 1.461 , -0.013 , 4.482 , -1.8
2.52 , 1.546 , 0.002 , 4.417 , -1.8
2.58 , 1.586 , 0.002 , 4.417 , -1.8
2.7 , 1.648 , -0.006 , 4.207 , -1.8
2.81 , 1.726 , -0.006 , 4.207 , -1.8
2.89 , 1.773 , -0.009 , 3.866 , -1.8
2.98 , 1.836 , -0.009 , 3.866 , -1.8
3.11 , 1.916 , -0.006 , 3.906 , -1.8
3.19 , 1.961 , -0.006 , 3.906 , -1.8
3.29 , 2.023 , -0.002 , 3.604 , -1.8
3.4 , 2.097 , -0.002 , 3.604 , -1.8
3.48 , 2.148 , -0.009 , 3.617 , -1.8
3.59 , 2.211 , -0.009 , 3.617 , -1.8
3.69 , 2.277 , -0.011 , 3.46 , -1.8
3.79 , 2.336 , -0.011 , 3.46 , -1.8
3.88 , 2.399 , 0.0 , 3.237 , -1.8
3.99 , 2.467 , 0.0 , 3.237 , -1.8
4.09 , 2.524 , -0.009 , 3.159 , -1.8
4.19 , 2.586 , -0.006 , 3.001 , -1.8
4.3 , 2.657 , -0.006 , 3.001 , -1.8
