dumb
Time , Disp, Load , Pressure, Volume
0.05 , 0.0 , -0.141 , -1.599 , 0
0.15 , 0.0 , -0.126 , -1.691 , 0
0.24 , 0.0 , -0.126 , -1.691 , 0
0.35 , 0.0 , -0.139 , -1.52 , 0
0.45 , 0.0 , -0.139 , -1.52 , 0
0.55 , 0.0 , -0.118 , -1.573 , 0
0.64 , 0.0 , -0.137 , -5.203 , 0
0.75 , 0.0 , -0.137 , -5.203 , 0
0.85 , 0.0 , -0.141 , -8.637 , 0
0.95 , 0.0 , -0.141 , -8.637 , 0
1.04 , 0.0 , -0.13 , -6.828 , 0
1.15 , 0.0 , -0.13 , -6.828 , 0
1.25 , 0.0 , -0.134 , -5.911 , 0
1.35 , 0.0 , -0.134 , -5.911 , 0
1.44 , 0.0 , -0.13 , -5.924 , 0
1.55 , 0.0 , -0.13 , -5.924 , 0
1.65 , 0.0 , -0.132 , -5.675 , 0
1.75 , 0.0 , -0.132 , -5.675 , 0
1.84 , 0.0 , -0.143 , -5.95 , 0
1.95 , 0.0 , -0.143 , -5.95 , 0
2.05 , 0.0 , -0.132 , -7.261 , 0
2.15 , 0.0 , -0.132 , -7.261 , 0
2.24 , 0.0 , -0.134 , -8.349 , 0
2.36 , 0.0 , -0.134 , -8.349 , 0
2.45 , 0.0 , -0.143 , -9.659 , 0
2.55 , 0.0 , -0.143 , -9.659 , 0
2.64 , 0.0 , -0.147 , -10.328 , 0
2.75 , 0.0 , -0.147 , -10.328 , 0
2.85 , 0.0 , -0.143 , -11.062 , 0
2.95 , 0.0 , -0.117 , -11.809 , 0
3.04 , 0.0 , -0.117 , -11.809 , 0
3.16 , 0.0 , -0.136 , -12.136 , 0
3.25 , 0.0 , -0.136 , -12.136 , 0
3.35 , 0.0 , -0.128 , -10.183 , 0
3.44 , 0.0 , -0.128 , -10.183 , 0
3.56 , 0.0 , -0.126 , -9.554 , 0
3.65 , 0.0 , -0.126 , -9.554 , 0
3.75 , 0.0 , -0.132 , -10.026 , 0
3.84 , 0.0 , -0.132 , -10.026 , 0
3.96 , 0.0 , -0.113 , -9.751 , 0
4.05 , 0.0 , -0.113 , -9.751 , 0
4.15 , 0.0 , -0.13 , -10.603 , 0
4.24 , 0.0 , -0.13 , -10.603 , 0
4.36 , 0.0 , -0.147 , -11.481 , 0
4.45 , 0.0 , -0.147 , -11.481 , 0
4.55 , 0.0 , -0.147 , -11.73 , 0
4.64 , 0.0 , -0.147 , -11.73 , 0
4.74 , 0.0 , -0.141 , -12.058 , 0
4.85 , 0.0 , -0.141 , -12.058 , 0
4.95 , 0.0 , -0.13 , -11.677 , 0
5.04 , 0.0 , -0.13 , -11.677 , 0
5.14 , 0.0 , -0.145 , -11.101 , 0
5.25 , 0.0 , -0.141 , -10.485 , 0
5.35 , 0.0 , -0.141 , -10.485 , 0
5.44 , 0.0 , -0.136 , -10.839 , 0
5.54 , 0.0 , -0.136 , -10.839 , 0
5.65 , 0.0 , -0.13 , -10.695 , 0
5.75 , 0.0 , -0.13 , -10.695 , 0
5.84 , 0.0 , -0.143 , -10.708 , 0
5.94 , 0.0 , -0.143 , -10.708 , 0
6.06 , 0.0 , -0.139 , -11.442 , 0
6.15 , 0.0 , -0.139 , -11.442 , 0
6.24 , 0.0 , -0.149 , -11.101 , 0
6.34 , 0.0 , -0.149 , -11.101 , 0
6.45 , 0.0 , -0.134 , -11.166 , 0
6.55 , 0.0 , -0.134 , -11.166 , 0
6.64 , 0.0 , -0.134 , -10.747 , 0
6.74 , 0.0 , -0.134 , -10.747 , 0
6.85 , 0.0 , -0.126 , -10.55 , 0
6.95 , 0.0 , -0.126 , -10.55 , 0
7.05 , 0.0 , -0.134 , -10.367 , 0
7.14 , 0.0 , -0.134 , -10.367 , 0
7.25 , 0.0 , -0.132 , -10.446 , 0
7.35 , 0.0 , -0.132 , -10.446 , 0
7.45 , 0.0 , -0.151 , -11.428 , 0
7.54 , 0.0 , -0.151 , -11.822 , 0
7.65 , 0.0 , -0.151 , -11.822 , 0
7.75 , 0.0 , -0.141 , -12.176 , 0
7.85 , 0.0 , -0.141 , -12.176 , 0
7.94 , 0.0 , -0.13 , -10.865 , 0
8.05 , 0.0 , -0.13 , -10.865 , 0
8.15 , 0.0 , -0.132 , -10.773 , 0
8.25 , 0.0 , -0.132 , -10.773 , 0
8.34 , 0.0 , -0.13 , -10.721 , 0
8.45 , 0.0 , -0.13 , -10.721 , 0
8.57 , 0.0 , -0.147 , -10.498 , 0
8.65 , 0.0 , -0.147 , -10.498 , 0
8.74 , 0.0 , -0.141 , -11.009 , 0
8.85 , 0.0 , -0.141 , -11.009 , 0
8.95 , 0.0 , -0.136 , -11.743 , 0
9.05 , 0.0 , -0.136 , -11.743 , 0
9.16 , 0.0 , -0.122 , -12.084 , 0
9.25 , 0.0 , -0.122 , -12.084 , 0
9.35 , 0.0 , -0.136 , -12.398 , 0
9.45 , 0.0 , -0.136 , -12.398 , 0
9.54 , 0.0 , -0.149 , -12.634 , 0
9.65 , 0.0 , -0.149 , -12.634 , 0
9.76 , 0.0 , -0.16 , -12.857 , 0
9.85 , 0.0 , -0.143 , -12.674 , 0
9.94 , 0.0 , -0.143 , -12.674 , 0
10.05 , 0.0 , -0.143 , -12.123 , 0
10.15 , 0.0 , -0.143 , -12.123 , 0
10.25 , 0.0 , -0.126 , -12.123 , 0
10.34 , 0.0 , -0.126 , -12.123 , 0
10.45 , 0.0 , -0.149 , -11.9 , 0
10.57 , 0.0 , -0.149 , -11.9 , 0
10.65 , 0.0 , -0.132 , -11.861 , 0
10.74 , 0.0 , -0.132 , -11.861 , 0
10.85 , 0.0 , -0.13 , -13.552 , 0
10.95 , 0.0 , -0.13 , -13.552 , 0
11.05 , 0.0 , -0.115 , -13.263 , 0
11.15 , 0.0 , -0.115 , -13.263 , 0
11.24 , 0.0 , -0.126 , -13.827 , 0
11.35 , 0.0 , -0.126 , -13.827 , 0
11.45 , 0.0 , -0.128 , -13.735 , 0
11.54 , 0.0 , -0.128 , -13.735 , 0
11.66 , 0.0 , -0.147 , -13.119 , 0
11.75 , 0.0 , -0.147 , -13.119 , 0
11.85 , 0.0 , -0.134 , -13.119 , 0
11.94 , 0.0 , -0.143 , -12.765 , 0
12.04 , 0.0 , -0.143 , -12.765 , 0
12.15 , 0.0 , -0.136 , -12.896 , 0
12.25 , 0.0 , -0.136 , -12.896 , 0
12.34 , 0.0 , -0.124 , -12.857 , 0
12.44 , 0.0 , -0.124 , -12.857 , 0
12.55 , 0.0 , -0.128 , -13.329 , 0
12.65 , 0.0 , -0.128 , -13.329 , 0
12.74 , 0.0 , -0.122 , -13.29 , 0
12.84 , 0.0 , -0.122 , -13.29 , 0
