S15_P1200
Time , Disp, Load , Pressure, Volume
0.06 , -24.0 , -0.108 , 583.979 , 0
0.15 , -24.0 , -0.108 , 583.979 , 0
0.27 , -24.0 , -0.11 , 583.599 , 0
0.36 , -24.0 , -0.11 , 583.599 , 0
0.47 , -24.0 , -0.114 , 583.586 , 0
0.57 , -24.0 , -0.114 , 583.586 , 0
0.68 , -24.0 , -0.12 , 581.306 , 0
0.78 , -24.0 , -0.12 , 581.306 , 0
0.88 , -24.0 , -0.112 , 581.188 , 0
0.97 , -24.0 , -0.112 , 581.188 , 0
1.08 , -24.0 , -0.116 , 581.646 , 0
1.18 , -24.0 , -0.105 , 581.751 , 0
1.28 , -24.0 , -0.105 , 581.751 , 0
1.37 , -24.0 , -0.112 , 581.804 , 0
1.48 , -24.0 , -0.112 , 581.804 , 0
1.58 , -24.0 , -0.114 , 581.646 , 0
1.68 , -24.0 , -0.114 , 581.646 , 0
1.77 , -24.0 , -0.112 , 581.777 , 0
1.87 , -24.0 , -0.112 , 581.777 , 0
1.98 , -24.0 , -0.097 , 581.869 , 0
2.08 , -24.0 , -0.097 , 581.869 , 0
2.17 , -24.0 , -0.131 , 581.738 , 0
2.27 , -24.0 , -0.131 , 581.738 , 0
2.38 , -24.0 , -0.116 , 581.424 , 0
2.48 , -24.0 , -0.116 , 581.424 , 0
2.57 , -24.0 , -0.118 , 581.568 , 0
2.67 , -24.0 , -0.118 , 581.568 , 0
2.78 , -24.0 , -0.112 , 581.463 , 0
2.88 , -24.0 , -0.112 , 581.463 , 0
2.98 , -24.0 , -0.105 , 581.41 , 0
3.07 , -24.0 , -0.105 , 581.41 , 0
3.18 , -24.0 , -0.125 , 581.83 , 0
3.28 , -24.0 , -0.12 , 580.912 , 0
3.38 , -24.0 , -0.12 , 580.912 , 0
3.47 , -24.0 , -0.118 , 581.424 , 0
3.59 , -24.0 , -0.118 , 581.424 , 0
3.68 , -24.0 , -0.118 , 581.502 , 0
3.78 , -24.0 , -0.118 , 581.502 , 0
3.87 , -24.0 , -0.114 , 581.555 , 0
3.97 , -24.0 , -0.114 , 581.555 , 0
4.08 , -24.0 , -0.108 , 581.227 , 0
4.18 , -24.0 , -0.108 , 581.227 , 0
4.27 , -24.0 , -0.112 , 581.332 , 0
4.37 , -24.0 , -0.112 , 581.332 , 0
4.48 , -24.0 , -0.116 , 581.358 , 0
4.58 , -24.0 , -0.116 , 581.358 , 0
4.68 , -24.0 , -0.116 , 581.266 , 0
4.77 , -24.0 , -0.116 , 581.266 , 0
4.88 , -24.0 , -0.116 , 581.174 , 0
4.98 , -24.0 , -0.116 , 581.174 , 0
5.08 , -24.0 , -0.11 , 581.476 , 0
5.17 , -24.0 , -0.11 , 581.476 , 0
5.28 , -24.0 , -0.125 , 581.096 , 0
