S15_P1200_2
Time , Disp, Load , Pressure, Volume
0.08 , -24.0 , -0.109 , 61.821 , 0
0.14 , -24.0 , -0.105 , 61.677 , 0
0.26 , -24.0 , -0.105 , 61.677 , 0
0.35 , -24.0 , -0.103 , 61.847 , 0
0.45 , -24.0 , -0.103 , 61.847 , 0
0.55 , -24.0 , -0.088 , 61.009 , 0
0.64 , -24.0 , -0.088 , 61.009 , 0
0.75 , -24.0 , -0.099 , 60.117 , 0
0.85 , -24.0 , -0.099 , 60.34 , 0
0.95 , -24.0 , -0.099 , 60.34 , 0
1.04 , -24.0 , -0.092 , 60.484 , 0
1.15 , -24.0 , -0.092 , 60.484 , 0
1.25 , -24.0 , -0.114 , 60.249 , 0
1.35 , -24.0 , -0.114 , 60.249 , 0
1.44 , -24.0 , -0.126 , 60.406 , 0
1.56 , -24.0 , -0.126 , 60.406 , 0
1.65 , -24.0 , -0.12 , 60.445 , 0
1.75 , -24.0 , -0.12 , 60.445 , 0
1.84 , -24.0 , -0.107 , 60.38 , 0
1.96 , -24.0 , -0.107 , 60.38 , 0
2.05 , -24.0 , -0.092 , 60.471 , 0
2.15 , -24.0 , -0.092 , 60.471 , 0
2.24 , -24.0 , -0.12 , 60.458 , 0
2.36 , -24.0 , -0.12 , 60.458 , 0
2.45 , -24.0 , -0.088 , 60.327 , 0
2.55 , -24.0 , -0.088 , 60.327 , 0
2.65 , -24.0 , -0.122 , 60.419 , 0
2.74 , -24.0 , -0.122 , 60.419 , 0
2.85 , -24.0 , -0.112 , 60.327 , 0
2.95 , -24.0 , -0.084 , 60.366 , 0
3.05 , -24.0 , -0.084 , 60.366 , 0
3.14 , -24.0 , -0.097 , 60.55 , 0
3.26 , -24.0 , -0.097 , 60.55 , 0
3.35 , -24.0 , -0.086 , 60.471 , 0
3.45 , -24.0 , -0.086 , 60.471 , 0
3.54 , -24.0 , -0.12 , 60.419 , 0
3.66 , -24.0 , -0.12 , 60.419 , 0
3.75 , -24.0 , -0.114 , 60.38 , 0
3.85 , -24.0 , -0.114 , 60.38 , 0
3.94 , -24.0 , -0.126 , 60.615 , 0
4.06 , -24.0 , -0.126 , 60.615 , 0
4.15 , -24.0 , -0.095 , 60.484 , 0
4.25 , -24.0 , -0.095 , 60.484 , 0
4.35 , -24.0 , -0.099 , 60.602 , 0
4.44 , -24.0 , -0.099 , 60.602 , 0
4.55 , -24.0 , -0.105 , 60.511 , 0
4.65 , -24.0 , -0.105 , 60.511 , 0
4.75 , -24.0 , -0.118 , 60.615 , 0
4.84 , -24.0 , -0.118 , 60.615 , 0
4.95 , -24.0 , -0.101 , 60.511 , 0
5.05 , -24.0 , -0.101 , 60.511 , 0
5.15 , -24.0 , -0.105 , 60.471 , 0
5.24 , -24.0 , -0.103 , 60.301 , 0
5.36 , -24.0 , -0.103 , 60.301 , 0
5.45 , -24.0 , -0.135 , 60.288 , 0
5.55 , -24.0 , -0.135 , 60.288 , 0
5.64 , -24.0 , -0.126 , 60.38 , 0
5.76 , -24.0 , -0.126 , 60.38 , 0
5.85 , -24.0 , -0.112 , 60.34 , 0
5.95 , -24.0 , -0.112 , 60.34 , 0
6.05 , -24.0 , -0.109 , 60.366 , 0
6.16 , -24.0 , -0.109 , 60.366 , 0
6.25 , -24.0 , -0.107 , 60.773 , 0
6.35 , -24.0 , -0.107 , 60.773 , 0
6.45 , -24.0 , -0.09 , 60.366 , 0
6.54 , -24.0 , -0.09 , 60.366 , 0
6.65 , -24.0 , -0.097 , 60.406 , 0
6.75 , -24.0 , -0.097 , 60.406 , 0
6.85 , -24.0 , -0.109 , 60.864 , 0
6.94 , -24.0 , -0.109 , 60.864 , 0
7.06 , -24.0 , -0.099 , 60.615 , 0
7.15 , -24.0 , -0.099 , 60.615 , 0
7.25 , -24.0 , -0.126 , 60.38 , 0
7.34 , -24.0 , -0.126 , 60.38 , 0
7.46 , -24.0 , -0.12 , 60.366 , 0
7.55 , -24.0 , -0.114 , 60.615 , 0
7.65 , -24.0 , -0.114 , 60.615 , 0
7.74 , -24.0 , -0.097 , 60.419 , 0
7.86 , -24.0 , -0.097 , 60.419 , 0
7.95 , -24.0 , -0.09 , 60.432 , 0
8.05 , -24.0 , -0.09 , 60.432 , 0
8.15 , -24.0 , -0.101 , 60.366 , 0
8.24 , -24.0 , -0.101 , 60.366 , 0
8.35 , -24.0 , -0.112 , 60.72 , 0
8.45 , -24.0 , -0.112 , 60.72 , 0
8.55 , -24.0 , -0.084 , 60.353 , 0
8.64 , -24.0 , -0.084 , 60.353 , 0
8.75 , -24.0 , -0.118 , 60.642 , 0
8.85 , -24.0 , -0.118 , 60.642 , 0
8.95 , -24.0 , -0.114 , 60.419 , 0
9.04 , -24.0 , -0.114 , 60.419 , 0
9.16 , -24.0 , -0.105 , 60.498 , 0
9.25 , -24.0 , -0.105 , 60.498 , 0
9.35 , -24.0 , -0.097 , 60.471 , 0
9.44 , -24.0 , -0.097 , 60.471 , 0
9.56 , -24.0 , -0.101 , 60.406 , 0
9.65 , -24.0 , -0.101 , 60.406 , 0
9.75 , -24.0 , -0.122 , 60.34 , 0
9.84 , -24.0 , -0.105 , 60.537 , 0
9.94 , -24.0 , -0.105 , 60.537 , 0
10.05 , -24.0 , -0.103 , 60.655 , 0
10.15 , -24.0 , -0.103 , 60.655 , 0
10.25 , -24.0 , -0.086 , 60.511 , 0
10.34 , -24.0 , -0.086 , 60.511 , 0
10.45 , -24.0 , -0.09 , 60.38 , 0
10.55 , -24.0 , -0.09 , 60.38 , 0
10.65 , -24.0 , -0.099 , 60.458 , 0
10.74 , -24.0 , -0.099 , 60.458 , 0
10.86 , -24.0 , -0.12 , 60.511 , 0
10.95 , -24.0 , -0.12 , 60.511 , 0
11.05 , -24.0 , -0.105 , 60.589 , 0
11.14 , -24.0 , -0.105 , 60.589 , 0
11.26 , -24.0 , -0.101 , 60.707 , 0
11.35 , -24.0 , -0.101 , 60.707 , 0
11.45 , -24.0 , -0.114 , 60.471 , 0
11.54 , -24.0 , -0.114 , 60.471 , 0
11.66 , -24.0 , -0.109 , 60.484 , 0
11.75 , -24.0 , -0.109 , 60.484 , 0
11.85 , -24.0 , -0.095 , 60.537 , 0
11.95 , -24.0 , -0.09 , 60.432 , 0
12.06 , -24.0 , -0.09 , 60.432 , 0
12.15 , -24.0 , -0.122 , 60.668 , 0
12.25 , -24.0 , -0.122 , 60.668 , 0
12.35 , -24.0 , -0.135 , 65.203 , 0
12.44 , -24.0 , -0.135 , 65.203 , 0
12.55 , -24.0 , -0.099 , 66.592 , 0
