ech1_S15_P200_suite
Time , Disp, Load , Pressure, Volume
0.07 , 25.0 , 1.824 , 143.878 , 0
0.17 , 25.0 , 1.785 , 144.035 , 0
0.28 , 25.0 , 1.785 , 144.035 , 0
0.38 , 25.0 , 1.817 , 143.852 , 0
0.48 , 25.0 , 1.817 , 143.852 , 0
0.57 , 25.0 , 1.811 , 133.682 , 0
0.68 , 25.0 , 1.811 , 133.682 , 0
0.78 , 25.0 , 1.754 , 131.821 , 0

Pause

0.88 , 25.0 , 1.754 , 131.821 , 0
0.97 , 25.0 , 1.628 , 128.361 , 0
1.07 , 25.0 , 1.628 , 128.361 , 0
1.18 , 25.0 , 1.616 , 129.016 , 0
1.28 , 25.0 , 1.616 , 129.016 , 0
1.37 , 25.0 , 1.59 , 129.357 , 0
1.47 , 25.0 , 1.59 , 129.357 , 0
1.58 , 25.0 , 1.601 , 129.829 , 0
1.68 , 25.0 , 1.601 , 129.829 , 0
1.77 , 25.0 , 1.609 , 129.842 , 0
1.87 , 25.0 , 1.601 , 130.025 , 0
1.98 , 25.0 , 1.601 , 130.025 , 0
2.08 , 25.0 , 1.622 , 129.946 , 0
2.17 , 25.0 , 1.622 , 129.946 , 0
2.27 , 25.0 , 1.607 , 129.946 , 0
2.38 , 25.0 , 1.607 , 129.946 , 0
2.48 , 25.0 , 1.599 , 129.92 , 0
2.57 , 25.0 , 1.599 , 129.92 , 0
2.67 , 25.0 , 1.622 , 129.933 , 0
2.78 , 25.0 , 1.622 , 129.933 , 0
2.88 , 25.0 , 1.607 , 129.894 , 0
2.97 , 25.0 , 1.607 , 129.894 , 0
3.07 , 25.0 , 1.605 , 129.96 , 0
3.18 , 25.0 , 1.605 , 129.96 , 0
3.28 , 25.0 , 1.603 , 129.973 , 0
3.37 , 25.0 , 1.603 , 129.973 , 0
3.47 , 25.0 , 1.601 , 130.143 , 0
3.58 , 25.0 , 1.601 , 130.143 , 0
3.68 , 25.0 , 1.611 , 130.34 , 0
3.77 , 25.0 , 1.611 , 130.34 , 0
3.87 , 25.0 , 1.63 , 130.274 , 0
3.98 , 25.0 , 1.63 , 130.274 , 0
4.08 , 25.0 , 1.603 , 130.379 , 0
4.17 , 25.0 , 1.62 , 130.602 , 0
4.27 , 25.0 , 1.62 , 130.602 , 0
4.38 , 25.0 , 1.62 , 130.405 , 0
4.48 , 25.0 , 1.62 , 130.405 , 0
4.57 , 25.0 , 1.616 , 130.523 , 0
4.67 , 25.0 , 1.616 , 130.523 , 0
4.78 , 25.0 , 1.609 , 130.392 , 0
4.88 , 25.0 , 1.609 , 130.392 , 0
4.97 , 25.0 , 1.628 , 130.628 , 0
5.07 , 25.0 , 1.628 , 130.628 , 0
5.18 , 25.0 , 1.579 , 130.458 , 0
5.28 , 25.0 , 1.579 , 130.458 , 0
5.38 , 25.0 , 1.596 , 130.51 , 0
5.47 , 25.0 , 1.596 , 130.51 , 0
5.58 , 25.0 , 1.62 , 130.615 , 0
5.68 , 25.0 , 1.62 , 130.615 , 0
5.78 , 25.0 , 1.613 , 130.589 , 0
5.87 , 25.0 , 1.613 , 130.589 , 0
5.98 , 25.0 , 1.605 , 130.746 , 0
6.08 , 25.0 , 1.605 , 130.746 , 0
6.18 , 25.0 , 1.609 , 130.72 , 0
6.27 , 25.0 , 1.609 , 130.72 , 0
6.37 , 25.0 , 1.613 , 130.798 , 0
6.48 , 25.0 , 1.618 , 130.707 , 0
6.58 , 25.0 , 1.618 , 130.707 , 0
6.67 , 25.0 , 1.618 , 130.707 , 0
6.77 , 25.0 , 1.618 , 130.707 , 0
6.88 , 25.0 , 1.607 , 130.733 , 0
6.98 , 25.0 , 1.607 , 130.733 , 0
7.07 , 25.0 , 1.605 , 130.772 , 0
7.17 , 25.0 , 1.605 , 130.772 , 0
7.28 , 25.0 , 1.601 , 130.851 , 0
7.38 , 25.0 , 1.601 , 130.851 , 0
7.47 , 25.0 , 1.613 , 130.772 , 0
7.57 , 25.0 , 1.613 , 130.772 , 0
7.68 , 25.0 , 1.601 , 130.746 , 0
7.78 , 25.0 , 1.601 , 130.746 , 0
7.87 , 25.0 , 1.609 , 130.956 , 0
7.97 , 25.0 , 1.609 , 130.956 , 0
8.08 , 25.0 , 1.611 , 130.785 , 0
8.18 , 25.0 , 1.611 , 130.785 , 0
8.27 , 25.0 , 1.616 , 131.034 , 0
8.37 , 25.0 , 1.616 , 131.034 , 0
8.48 , 25.0 , 1.596 , 131.008 , 0
8.58 , 25.0 , 1.596 , 131.008 , 0
8.67 , 25.0 , 1.622 , 131.139 , 0
8.77 , 25.0 , 1.611 , 130.811 , 0
8.88 , 25.0 , 1.611 , 130.811 , 0
8.98 , 25.0 , 1.618 , 131.087 , 0
9.07 , 25.0 , 1.618 , 131.087 , 0
9.17 , 25.0 , 1.603 , 131.113 , 0
9.28 , 25.0 , 1.603 , 131.113 , 0
9.38 , 25.0 , 1.603 , 130.89 , 0
9.47 , 25.0 , 1.603 , 130.89 , 0
9.57 , 25.0 , 1.624 , 131.087 , 0
9.68 , 25.0 , 1.624 , 131.087 , 0
9.78 , 25.0 , 1.607 , 131.126 , 0
9.87 , 25.0 , 1.607 , 131.126 , 0
9.97 , 25.0 , 1.613 , 131.139 , 0
10.08 , 25.0 , 1.613 , 131.139 , 0
10.18 , 25.0 , 1.609 , 131.087 , 0
10.28 , 25.0 , 1.609 , 131.087 , 0
10.37 , 25.0 , 1.616 , 131.139 , 0
10.47 , 25.0 , 1.616 , 131.139 , 0
10.58 , 25.0 , 1.603 , 131.139 , 0
10.68 , 25.0 , 1.603 , 131.139 , 0
10.77 , 25.0 , 1.592 , 131.218 , 0
10.87 , 25.0 , 1.592 , 131.218 , 0
10.98 , 25.0 , 1.586 , 131.165 , 0
11.08 , 25.0 , 1.607 , 131.008 , 0
11.17 , 25.0 , 1.607 , 131.008 , 0
11.27 , 25.0 , 1.613 , 131.323 , 0
11.38 , 25.0 , 1.613 , 131.323 , 0
11.48 , 25.0 , 1.601 , 131.244 , 0
11.57 , 25.0 , 1.601 , 131.244 , 0
11.67 , 25.0 , 1.601 , 131.139 , 0
11.78 , 25.0 , 1.601 , 131.139 , 0
11.88 , 25.0 , 1.592 , 131.27 , 0
11.97 , 25.0 , 1.592 , 131.27 , 0
12.07 , 25.0 , 1.609 , 131.034 , 0
12.18 , 25.0 , 1.609 , 131.034 , 0
12.28 , 25.0 , 1.599 , 131.113 , 0
12.37 , 25.0 , 1.599 , 131.113 , 0
12.47 , 25.0 , 1.607 , 131.231 , 0
12.58 , 25.0 , 1.607 , 131.231 , 0
12.68 , 25.0 , 1.62 , 131.139 , 0
12.77 , 25.0 , 1.62 , 131.139 , 0
12.87 , 25.0 , 1.609 , 131.467 , 0
12.98 , 25.0 , 1.609 , 131.467 , 0
13.08 , 25.0 , 1.603 , 131.349 , 0
13.17 , 25.0 , 1.62 , 131.309 , 0
13.27 , 25.0 , 1.62 , 131.309 , 0
13.38 , 25.0 , 1.592 , 131.178 , 0
13.48 , 25.0 , 1.592 , 131.178 , 0
13.57 , 25.0 , 1.605 , 131.283 , 0
13.67 , 25.0 , 1.605 , 131.283 , 0
13.78 , 25.0 , 1.609 , 131.047 , 0
13.88 , 25.0 , 1.609 , 131.047 , 0
13.97 , 25.0 , 1.605 , 131.205 , 0
14.07 , 25.0 , 1.605 , 131.205 , 0
14.18 , 25.0 , 1.611 , 131.218 , 0
14.28 , 25.0 , 1.611 , 131.218 , 0
14.37 , 25.0 , 1.626 , 131.336 , 0
14.47 , 25.0 , 1.626 , 131.336 , 0
14.58 , 25.0 , 1.613 , 131.165 , 0
14.68 , 25.0 , 1.613 , 131.165 , 0
14.78 , 25.0 , 1.601 , 131.152 , 0
14.87 , 25.0 , 1.601 , 131.152 , 0
14.98 , 25.0 , 1.609 , 131.244 , 0
15.08 , 25.0 , 1.609 , 131.244 , 0
15.18 , 25.0 , 1.594 , 131.218 , 0
15.27 , 25.0 , 1.594 , 131.218 , 0
15.38 , 25.0 , 1.613 , 131.323 , 0
15.48 , 25.0 , 1.607 , 131.218 , 0
15.58 , 25.0 , 1.607 , 131.218 , 0
15.67 , 25.0 , 1.599 , 131.126 , 0
15.78 , 25.0 , 1.599 , 131.126 , 0
15.88 , 25.0 , 1.618 , 131.257 , 0
15.98 , 25.0 , 1.618 , 131.257 , 0
16.07 , 25.0 , 1.601 , 131.296 , 0
16.17 , 25.0 , 1.601 , 131.296 , 0
16.28 , 25.0 , 1.605 , 131.349 , 0
16.38 , 25.0 , 1.605 , 131.349 , 0
16.47 , 25.0 , 1.611 , 131.192 , 0
16.57 , 25.0 , 1.611 , 131.192 , 0
16.68 , 25.0 , 1.611 , 131.231 , 0
16.78 , 25.0 , 1.611 , 131.231 , 0
16.87 , 25.0 , 1.609 , 131.27 , 0
16.97 , 25.0 , 1.609 , 131.27 , 0
17.08 , 25.0 , 1.601 , 131.205 , 0
17.18 , 25.0 , 1.601 , 131.205 , 0
17.27 , 25.0 , 1.611 , 131.323 , 0
17.37 , 25.0 , 1.611 , 131.323 , 0
17.48 , 25.0 , 1.611 , 131.296 , 0
17.58 , 25.0 , 1.611 , 131.296 , 0
17.67 , 25.0 , 1.618 , 131.178 , 0
17.77 , 25.0 , 1.594 , 131.192 , 0
17.88 , 25.0 , 1.594 , 131.192 , 0
17.98 , 25.0 , 1.622 , 131.165 , 0
18.07 , 25.0 , 1.622 , 131.165 , 0
18.17 , 25.0 , 1.622 , 131.231 , 0
18.28 , 25.0 , 1.622 , 131.231 , 0
18.38 , 25.0 , 1.605 , 131.192 , 0
18.47 , 25.0 , 1.605 , 131.192 , 0
18.57 , 25.0 , 1.616 , 131.231 , 0
18.68 , 25.0 , 1.616 , 131.231 , 0
18.78 , 25.0 , 1.611 , 131.244 , 0
18.87 , 25.0 , 1.611 , 131.244 , 0
18.97 , 25.0 , 1.609 , 131.087 , 0
19.08 , 25.0 , 1.609 , 131.087 , 0
19.18 , 25.0 , 1.609 , 131.388 , 0
19.27 , 25.0 , 1.609 , 131.388 , 0
19.37 , 25.0 , 1.603 , 131.205 , 0
