ech1_S15_P300_vrai
Time , Disp, Load , Pressure, Volume
0.04 , 25.0 , -0.25 , 62.608 , 0
0.14 , 25.0 , -0.25 , 62.608 , 0
0.24 , 25.0 , -0.265 , 62.555 , 0
0.35 , 25.0 , -0.265 , 62.555 , 0
0.45 , 25.0 , -0.246 , 62.398 , 0
0.56 , 25.0 , -0.246 , 62.398 , 0
0.64 , 25.0 , -0.227 , 62.49 , 0
0.75 , 25.0 , -0.227 , 62.49 , 0
0.85 , 25.0 , -0.219 , 67.745 , 0
0.94 , 25.0 , -0.229 , 72.581 , 0
1.04 , 25.0 , -0.229 , 72.581 , 0

Pause

1.15 , 25.0 , -0.117 , 72.385 , 0
1.25 , 25.0 , -0.117 , 72.385 , 0
1.34 , 25.0 , -0.093 , 72.096 , 0
1.44 , 25.0 , -0.093 , 72.096 , 0
1.55 , 25.0 , -0.102 , 69.672 , 0
1.65 , 25.0 , -0.102 , 69.672 , 0
1.74 , 25.0 , -0.14 , 70.026 , 0
1.84 , 25.0 , -0.14 , 70.026 , 0
1.95 , 25.0 , -0.142 , 69.383 , 0
2.05 , 25.0 , -0.142 , 69.383 , 0
2.14 , 25.0 , -0.136 , 69.226 , 0
2.24 , 25.0 , -0.136 , 69.226 , 0
2.35 , 25.0 , -0.157 , 68.715 , 0
2.45 , 25.0 , -0.157 , 68.715 , 0
2.54 , 25.0 , -0.157 , 68.663 , 0
2.64 , 25.0 , -0.157 , 68.663 , 0
2.75 , 25.0 , -0.157 , 68.571 , 0
2.85 , 25.0 , -0.157 , 68.571 , 0
2.94 , 25.0 , -0.168 , 68.623 , 0
3.04 , 25.0 , -0.168 , 68.623 , 0
3.15 , 25.0 , -0.161 , 68.44 , 0
3.25 , 25.0 , -0.174 , 68.269 , 0
3.34 , 25.0 , -0.174 , 68.269 , 0
3.44 , 25.0 , -0.168 , 68.571 , 0
3.55 , 25.0 , -0.168 , 68.571 , 0
3.65 , 25.0 , -0.165 , 68.348 , 0
3.74 , 25.0 , -0.165 , 68.348 , 0
3.84 , 25.0 , -0.182 , 67.968 , 0
3.95 , 25.0 , -0.182 , 67.968 , 0
4.05 , 25.0 , -0.157 , 68.165 , 0
4.14 , 25.0 , -0.157 , 68.165 , 0
4.24 , 25.0 , -0.174 , 68.033 , 0
4.35 , 25.0 , -0.174 , 68.033 , 0
4.45 , 25.0 , -0.174 , 68.047 , 0
4.54 , 25.0 , -0.174 , 68.047 , 0
4.64 , 25.0 , -0.17 , 68.151 , 0
4.75 , 25.0 , -0.17 , 68.151 , 0
4.85 , 25.0 , -0.187 , 68.191 , 0
4.94 , 25.0 , -0.187 , 68.191 , 0
5.04 , 25.0 , -0.182 , 67.863 , 0
5.14 , 25.0 , -0.182 , 67.863 , 0
5.25 , 25.0 , -0.185 , 68.033 , 0
5.35 , 25.0 , -0.185 , 68.033 , 0
5.44 , 25.0 , -0.174 , 67.745 , 0
5.54 , 25.0 , -0.189 , 67.732 , 0
5.65 , 25.0 , -0.189 , 67.732 , 0
5.75 , 25.0 , -0.172 , 67.994 , 0
5.84 , 25.0 , -0.172 , 67.994 , 0
5.94 , 25.0 , -0.174 , 67.771 , 0
6.05 , 25.0 , -0.174 , 67.771 , 0
6.15 , 25.0 , -0.178 , 67.667 , 0
6.24 , 25.0 , -0.178 , 67.667 , 0
6.34 , 25.0 , -0.199 , 67.653 , 0
6.45 , 25.0 , -0.199 , 67.653 , 0
6.55 , 25.0 , -0.182 , 67.732 , 0
6.64 , 25.0 , -0.182 , 67.732 , 0
6.74 , 25.0 , -0.165 , 67.614 , 0
6.85 , 25.0 , -0.165 , 67.614 , 0
6.95 , 25.0 , -0.191 , 67.719 , 0
7.04 , 25.0 , -0.191 , 67.719 , 0
7.14 , 25.0 , -0.178 , 67.588 , 0
7.25 , 25.0 , -0.178 , 67.588 , 0
7.35 , 25.0 , -0.182 , 67.627 , 0
7.44 , 25.0 , -0.182 , 67.627 , 0
7.54 , 25.0 , -0.193 , 67.575 , 0
7.65 , 25.0 , -0.193 , 67.575 , 0
7.75 , 25.0 , -0.17 , 67.535 , 0
7.84 , 25.0 , -0.187 , 67.627 , 0
7.94 , 25.0 , -0.187 , 67.627 , 0
8.05 , 25.0 , -0.189 , 67.444 , 0
8.15 , 25.0 , -0.189 , 67.444 , 0
8.24 , 25.0 , -0.189 , 67.457 , 0
8.34 , 25.0 , -0.189 , 67.457 , 0
8.45 , 25.0 , -0.185 , 67.339 , 0
8.55 , 25.0 , -0.185 , 67.339 , 0
8.64 , 25.0 , -0.199 , 67.431 , 0
8.74 , 25.0 , -0.199 , 67.431 , 0
8.85 , 25.0 , -0.189 , 67.627 , 0
8.95 , 25.0 , -0.189 , 67.627 , 0
9.04 , 25.0 , -0.189 , 67.404 , 0
9.14 , 25.0 , -0.189 , 67.404 , 0
9.25 , 25.0 , -0.185 , 67.352 , 0
9.35 , 25.0 , -0.185 , 67.352 , 0
9.44 , 25.0 , -0.18 , 67.142 , 0
9.54 , 25.0 , -0.18 , 67.142 , 0
9.65 , 25.0 , -0.18 , 67.575 , 0
9.75 , 25.0 , -0.18 , 67.575 , 0
9.84 , 25.0 , -0.182 , 67.365 , 0
9.94 , 25.0 , -0.17 , 67.221 , 0
10.04 , 25.0 , -0.17 , 67.221 , 0
10.15 , 25.0 , -0.187 , 67.09 , 0
10.24 , 25.0 , -0.187 , 67.09 , 0
10.34 , 25.0 , -0.178 , 67.549 , 0
10.44 , 25.0 , -0.178 , 67.549 , 0
10.55 , 25.0 , -0.189 , 67.168 , 0
10.65 , 25.0 , -0.189 , 67.168 , 0
10.74 , 25.0 , -0.189 , 67.116 , 0
10.84 , 25.0 , -0.189 , 67.116 , 0
10.95 , 25.0 , -0.165 , 67.47 , 0
11.05 , 25.0 , -0.165 , 67.47 , 0
11.14 , 25.0 , -0.182 , 67.549 , 0
11.24 , 25.0 , -0.182 , 67.549 , 0
11.35 , 25.0 , -0.189 , 67.142 , 0
11.45 , 25.0 , -0.189 , 67.142 , 0
11.54 , 25.0 , -0.18 , 67.313 , 0
11.64 , 25.0 , -0.18 , 67.313 , 0
11.75 , 25.0 , -0.195 , 67.418 , 0
11.85 , 25.0 , -0.195 , 67.418 , 0
11.94 , 25.0 , -0.187 , 67.221 , 0
12.04 , 25.0 , -0.187 , 67.221 , 0
12.15 , 25.0 , -0.187 , 67.064 , 0
12.25 , 25.0 , -0.187 , 67.286 , 0
12.34 , 25.0 , -0.187 , 67.286 , 0
12.44 , 25.0 , -0.182 , 67.168 , 0
12.55 , 25.0 , -0.182 , 67.168 , 0
12.65 , 25.0 , -0.206 , 66.893 , 0
12.74 , 25.0 , -0.206 , 66.893 , 0
12.84 , 25.0 , -0.176 , 67.208 , 0
12.95 , 25.0 , -0.176 , 67.208 , 0
13.05 , 25.0 , -0.195 , 67.116 , 0
13.14 , 25.0 , -0.195 , 67.116 , 0
13.24 , 25.0 , -0.191 , 68.191 , 0
13.35 , 25.0 , -0.191 , 68.191 , 0
13.45 , 25.0 , -0.178 , 68.112 , 0
13.54 , 25.0 , -0.178 , 68.112 , 0
13.64 , 25.0 , -0.178 , 68.335 , 0
13.75 , 25.0 , -0.178 , 68.335 , 0
13.85 , 25.0 , -0.195 , 68.885 , 0
13.94 , 25.0 , -0.195 , 68.885 , 0
14.04 , 25.0 , -0.168 , 68.833 , 0
14.15 , 25.0 , -0.168 , 68.833 , 0
14.25 , 25.0 , -0.159 , 69.239 , 0
14.34 , 25.0 , -0.159 , 69.239 , 0
14.44 , 25.0 , -0.163 , 69.541 , 0
14.55 , 25.0 , -0.163 , 69.737 , 0
14.65 , 25.0 , -0.163 , 69.737 , 0
14.74 , 25.0 , -0.142 , 69.895 , 0
14.84 , 25.0 , -0.142 , 69.895 , 0
14.95 , 25.0 , -0.163 , 70.288 , 0
15.05 , 25.0 , -0.163 , 70.288 , 0
15.14 , 25.0 , -0.155 , 70.615 , 0
15.24 , 25.0 , -0.155 , 70.615 , 0
15.35 , 25.0 , -0.146 , 70.602 , 0
15.45 , 25.0 , -0.146 , 70.602 , 0
15.54 , 25.0 , -0.138 , 71.205 , 0
