S15_P315_VraideVrai
Time , Disp, Load , Pressure, Volume
0.09 , -24.0 , 1.145 , 308.923 , 0
0.18 , -24.0 , 1.145 , 309.014 , 0
0.3 , -24.0 , 1.145 , 309.014 , 0
0.39 , -24.0 , 1.139 , 308.962 , 0
0.49 , -24.0 , 1.139 , 308.962 , 0
0.58 , -24.0 , 1.133 , 305.908 , 0
0.7 , -24.0 , 1.133 , 305.908 , 0
0.79 , -24.0 , 1.145 , 306.878 , 0
0.9 , -24.0 , 1.145 , 306.931 , 0
0.98 , -24.0 , 1.145 , 306.931 , 0
1.1 , -24.0 , 1.135 , 307.075 , 0
1.19 , -24.0 , 1.135 , 307.075 , 0
1.29 , -24.0 , 1.143 , 307.18 , 0
1.39 , -24.0 , 1.143 , 307.18 , 0
1.5 , -24.0 , 1.133 , 307.153 , 0
1.59 , -24.0 , 1.133 , 307.153 , 0
1.69 , -24.0 , 1.147 , 307.18 , 0
2.12 , -24.0 , 1.141 , 307.206 , 0
2.22 , -24.0 , 1.141 , 307.206 , 0
2.3 , -24.0 , 1.145 , 307.35 , 0
2.4 , -24.0 , 1.145 , 307.35 , 0
2.49 , -24.0 , 1.135 , 307.088 , 0
2.59 , -24.0 , 1.135 , 307.088 , 0
2.68 , -24.0 , 1.145 , 307.363 , 0
2.8 , -24.0 , 1.145 , 307.363 , 0
2.89 , -24.0 , 1.143 , 307.297 , 0
2.99 , -24.0 , 1.143 , 307.297 , 0
3.09 , -24.0 , 1.141 , 307.324 , 0
3.2 , -24.0 , 1.141 , 307.324 , 0
3.29 , -24.0 , 1.137 , 307.114 , 0
3.39 , -24.0 , 1.152 , 307.35 , 0
3.49 , -24.0 , 1.152 , 307.35 , 0
3.58 , -24.0 , 1.133 , 307.311 , 0
3.69 , -24.0 , 1.133 , 307.311 , 0
3.79 , -24.0 , 1.139 , 307.206 , 0
3.89 , -24.0 , 1.139 , 307.206 , 0
3.98 , -24.0 , 1.135 , 307.232 , 0
4.1 , -24.0 , 1.135 , 307.232 , 0
4.19 , -24.0 , 1.139 , 307.166 , 0
4.29 , -24.0 , 1.139 , 307.166 , 0
4.38 , -24.0 , 1.135 , 307.153 , 0
4.5 , -24.0 , 1.135 , 307.153 , 0
4.59 , -24.0 , 1.126 , 307.258 , 0
4.69 , -24.0 , 1.126 , 307.258 , 0
4.78 , -24.0 , 1.133 , 307.114 , 0
4.9 , -24.0 , 1.133 , 307.114 , 0
4.99 , -24.0 , 1.137 , 307.193 , 0
5.09 , -24.0 , 1.137 , 307.193 , 0
5.19 , -24.0 , 1.133 , 307.311 , 0
5.28 , -24.0 , 1.133 , 307.311 , 0
5.39 , -24.0 , 1.124 , 307.258 , 0
5.49 , -24.0 , 1.124 , 307.258 , 0
5.59 , -24.0 , 1.141 , 307.206 , 0
5.68 , -24.0 , 1.126 , 306.996 , 0
5.79 , -24.0 , 1.126 , 306.996 , 0
5.89 , -24.0 , 1.13 , 307.101 , 0
5.99 , -24.0 , 1.13 , 307.101 , 0
6.08 , -24.0 , 1.126 , 307.232 , 0
6.2 , -24.0 , 1.126 , 307.232 , 0
6.29 , -24.0 , 1.128 , 306.957 , 0
6.39 , -24.0 , 1.128 , 306.957 , 0
6.48 , -24.0 , 1.137 , 307.284 , 0
6.6 , -24.0 , 1.137 , 307.284 , 0
6.69 , -24.0 , 1.139 , 307.166 , 0
6.79 , -24.0 , 1.139 , 307.166 , 0
6.89 , -24.0 , 1.12 , 307.219 , 0
7.0 , -24.0 , 1.12 , 307.219 , 0
7.09 , -24.0 , 1.133 , 306.931 , 0
7.19 , -24.0 , 1.133 , 306.931 , 0
7.29 , -24.0 , 1.126 , 307.153 , 0
7.38 , -24.0 , 1.126 , 307.153 , 0
7.49 , -24.0 , 1.133 , 307.14 , 0
7.59 , -24.0 , 1.133 , 307.14 , 0
7.69 , -24.0 , 1.126 , 307.166 , 0
7.78 , -24.0 , 1.126 , 307.166 , 0
7.9 , -24.0 , 1.133 , 307.101 , 0
7.99 , -24.0 , 1.126 , 306.97 , 0
8.09 , -24.0 , 1.126 , 306.97 , 0
8.2 , -24.0 , 1.128 , 307.022 , 0
8.3 , -24.0 , 1.128 , 307.022 , 0
8.39 , -24.0 , 1.122 , 307.232 , 0
8.49 , -24.0 , 1.122 , 307.232 , 0
8.58 , -24.0 , 1.124 , 307.18 , 0
8.7 , -24.0 , 1.124 , 307.18 , 0
8.79 , -24.0 , 1.133 , 307.062 , 0
8.89 , -24.0 , 1.133 , 307.062 , 0
8.99 , -24.0 , 1.13 , 306.904 , 0
9.1 , -24.0 , 1.13 , 306.904 , 0
9.19 , -24.0 , 1.128 , 307.166 , 0
9.29 , -24.0 , 1.128 , 307.166 , 0
9.39 , -24.0 , 1.126 , 306.97 , 0
9.48 , -24.0 , 1.126 , 306.97 , 0
9.6 , -24.0 , 1.124 , 307.127 , 0
9.69 , -24.0 , 1.124 , 307.127 , 0
9.79 , -24.0 , 1.13 , 307.062 , 0
9.88 , -24.0 , 1.13 , 307.062 , 0
10.0 , -24.0 , 1.124 , 307.193 , 0
10.09 , -24.0 , 1.118 , 306.996 , 0
10.19 , -24.0 , 1.118 , 306.996 , 0
10.28 , -24.0 , 1.133 , 307.048 , 0
10.4 , -24.0 , 1.133 , 307.048 , 0
10.49 , -24.0 , 1.128 , 306.957 , 0
10.59 , -24.0 , 1.128 , 306.957 , 0
10.69 , -24.0 , 1.128 , 307.153 , 0
10.8 , -24.0 , 1.128 , 307.153 , 0
