ech1_S15_P80
Time , Disp, Load , Pressure, Volume
0.08 , 25.0 , 2.171 , 6.841 , 0
0.17 , 25.0 , 2.171 , 6.841 , 0
0.27 , 25.0 , 2.158 , 6.789 , 0
0.38 , 25.0 , 2.158 , 6.789 , 0
0.48 , 25.0 , 2.145 , 6.92 , 0
0.57 , 25.0 , 2.145 , 6.92 , 0
0.67 , 25.0 , 2.164 , 3.565 , 0
0.78 , 25.0 , 2.164 , 3.565 , 0
0.88 , 25.0 , 2.132 , 0.301 , 0
0.97 , 25.0 , 2.132 , 0.301 , 0
1.07 , 25.0 , 2.092 , -0.406 , 0
1.18 , 25.0 , 2.092 , -0.406 , 0
1.28 , 25.0 , 2.092 , -2.149 , 0
1.37 , 25.0 , 2.092 , -2.149 , 0
1.47 , 25.0 , 2.096 , -3.041 , 0

Pause

1.58 , 25.0 , 2.047 , -1.402 , 0
1.68 , 25.0 , 2.047 , -1.402 , 0
1.77 , 25.0 , 2.066 , -1.297 , 0
1.89 , 25.0 , 2.066 , -1.297 , 0
1.98 , 25.0 , 2.107 , -1.402 , 0
2.09 , 25.0 , 2.107 , -1.402 , 0
2.17 , 25.0 , 2.064 , -0.878 , 0
2.27 , 25.0 , 2.064 , -0.878 , 0
2.38 , 25.0 , 2.079 , -5.754 , 0
2.48 , 25.0 , 2.079 , -5.754 , 0
2.58 , 25.0 , 2.037 , -8.48 , 0
2.67 , 25.0 , 2.037 , -8.48 , 0
2.78 , 25.0 , 1.994 , -8.899 , 0
2.88 , 25.0 , 1.994 , -8.899 , 0
2.98 , 25.0 , 2.016 , -9.594 , 0
3.07 , 25.0 , 2.016 , -9.594 , 0
3.18 , 25.0 , 1.979 , -8.453 , 0
3.28 , 25.0 , 1.979 , -8.453 , 0
3.38 , 25.0 , 2.009 , -8.48 , 0
3.47 , 25.0 , 2.009 , -8.48 , 0
3.58 , 25.0 , 2.009 , -8.322 , 0
3.68 , 25.0 , 1.996 , -8.008 , 0
3.78 , 25.0 , 1.996 , -8.008 , 0
3.87 , 25.0 , 2.026 , -11.927 , 0
3.97 , 25.0 , 2.026 , -11.927 , 0
4.08 , 25.0 , 1.994 , -12.713 , 0
4.18 , 25.0 , 1.994 , -12.713 , 0
4.27 , 25.0 , 2.003 , -13.093 , 0
4.37 , 25.0 , 2.003 , -13.093 , 0
