Ech1_s15_p200
Time , Disp, Load , Pressure, Volume
0.08 , -24.0 , 0.351 , 4.01 , 1.235
0.2 , -24.0 , 0.351 , 4.01 , 1.235
0.29 , -24.0 , 0.351 , 4.102 , 1.235
0.39 , -24.0 , 0.351 , 4.102 , 1.235
0.48 , -24.0 , 0.349 , 3.997 , 1.235
0.6 , -24.0 , 0.349 , 3.997 , 1.235
0.69 , -24.0 , 0.342 , 4.181 , 1.235
0.79 , -24.0 , 0.342 , 4.181 , 1.235
0.88 , -24.0 , 0.353 , 4.01 , 1.237
1.0 , -24.0 , 0.353 , 4.01 , 1.237
1.09 , -24.0 , 0.344 , 3.945 , 1.237
1.19 , -24.0 , 0.344 , 3.945 , 1.237
1.28 , -24.0 , 0.349 , 4.01 , 1.237
1.4 , -24.0 , 0.349 , 4.01 , 1.241
1.49 , -24.0 , 0.353 , 4.01 , 1.241
1.59 , -24.0 , 0.353 , 4.01 , 1.241
1.68 , -24.0 , 0.347 , 3.971 , 1.241
1.79 , -24.0 , 0.347 , 3.971 , 1.241
1.89 , -24.0 , 0.351 , 4.312 , 1.245
1.99 , -24.0 , 0.351 , 4.312 , 1.245
2.08 , -24.0 , 0.359 , 4.089 , 1.245
2.19 , -24.0 , 0.342 , 4.037 , 1.245
2.29 , -24.0 , 0.342 , 4.037 , 1.245
2.39 , -24.0 , 0.359 , 4.01 , 1.25
2.48 , -24.0 , 0.359 , 4.01 , 1.25
2.59 , -24.0 , 0.338 , 4.194 , 1.25
2.69 , -24.0 , 0.338 , 4.194 , 1.25
2.79 , -24.0 , 0.357 , 4.024 , 1.25
2.9 , -24.0 , 0.357 , 4.024 , 1.254
2.99 , -24.0 , 0.349 , 4.063 , 1.254
3.09 , -24.0 , 0.349 , 4.063 , 1.254
3.19 , -24.0 , 0.349 , 4.115 , 1.254
3.28 , -24.0 , 0.349 , 4.115 , 1.254
3.39 , -24.0 , 0.332 , 4.024 , 1.258
3.49 , -24.0 , 0.332 , 4.024 , 1.258
3.59 , -24.0 , 0.355 , 4.155 , 1.258
3.7 , -24.0 , 0.355 , 4.155 , 1.258
3.79 , -24.0 , 0.34 , 4.115 , 1.258
3.89 , -24.0 , 0.34 , 4.115 , 1.262
3.98 , -24.0 , 0.357 , 4.102 , 1.262
4.1 , -24.0 , 0.357 , 4.102 , 1.262
4.19 , -24.0 , 0.334 , 4.338 , 1.262
4.29 , -24.0 , 0.332 , 4.194 , 1.262
4.38 , -24.0 , 0.332 , 4.194 , 1.266
4.5 , -24.0 , 0.334 , 4.181 , 1.266
4.59 , -24.0 , 0.334 , 4.181 , 1.266
4.69 , -24.0 , 0.34 , 4.181 , 1.266
4.78 , -24.0 , 0.34 , 4.181 , 1.266
4.9 , -24.0 , 0.344 , 4.115 , 1.27
4.99 , -24.0 , 0.344 , 4.115 , 1.27
5.09 , -24.0 , 0.353 , 4.089 , 1.27
5.18 , -24.0 , 0.353 , 4.089 , 1.27
5.3 , -24.0 , 0.342 , 4.128 , 1.27
