Ech1_s15_p30_2
Time , Disp, Load , Pressure, Volume
0.09 , -24.0 , 1.765 , 6.763 , 0.704
0.19 , -24.0 , 1.765 , 6.763 , 0.704
0.28 , -24.0 , 1.763 , 6.789 , 0.704
0.38 , -24.0 , 1.763 , 6.789 , 0.704
0.49 , -24.0 , 1.763 , 6.763 , 0.704
0.59 , -24.0 , 1.763 , 6.763 , 0.704
0.68 , -24.0 , 1.776 , 6.605 , 0.704
0.78 , -24.0 , 1.776 , 6.605 , 0.704
0.87 , -24.0 , 1.759 , 6.854 , 0.707
0.99 , -24.0 , 1.759 , 6.854 , 0.707
1.08 , -24.0 , 1.761 , 6.632 , 0.707
1.18 , -24.0 , 1.761 , 6.632 , 0.707
1.29 , -24.0 , 1.765 , 6.986 , 0.707
1.38 , -24.0 , 1.765 , 6.986 , 0.711
1.48 , -24.0 , 1.756 , 6.75 , 0.711
1.58 , -24.0 , 1.756 , 6.75 , 0.711
1.69 , -24.0 , 1.756 , 6.802 , 0.711
1.78 , -24.0 , 1.767 , 6.737 , 0.711
1.88 , -24.0 , 1.767 , 6.737 , 0.715
1.98 , -24.0 , 1.759 , 6.841 , 0.715
2.09 , -24.0 , 1.759 , 6.841 , 0.715
2.18 , -24.0 , 1.767 , 6.907 , 0.715
2.28 , -24.0 , 1.767 , 6.907 , 0.715
2.38 , -24.0 , 1.765 , 6.894 , 0.719
2.49 , -24.0 , 1.765 , 6.894 , 0.719
2.58 , -24.0 , 1.773 , 6.999 , 0.719
2.68 , -24.0 , 1.773 , 6.999 , 0.719
2.78 , -24.0 , 1.756 , 7.064 , 0.719
2.89 , -24.0 , 1.756 , 7.064 , 0.723
2.98 , -24.0 , 1.756 , 7.143 , 0.723
3.08 , -24.0 , 1.756 , 7.143 , 0.723
3.17 , -24.0 , 1.79 , 7.366 , 0.723
3.29 , -24.0 , 1.79 , 7.366 , 0.723
3.38 , -24.0 , 1.767 , 7.444 , 0.727
3.48 , -24.0 , 1.767 , 7.444 , 0.727
3.57 , -24.0 , 1.771 , 7.562 , 0.727
3.69 , -24.0 , 1.771 , 7.562 , 0.727
3.78 , -24.0 , 1.761 , 7.772 , 0.727
3.88 , -24.0 , 1.767 , 7.785 , 0.732
3.97 , -24.0 , 1.767 , 7.785 , 0.732
4.09 , -24.0 , 1.793 , 8.047 , 0.732
4.18 , -24.0 , 1.793 , 8.047 , 0.732
4.28 , -24.0 , 1.778 , 8.008 , 0.732
4.37 , -24.0 , 1.778 , 8.008 , 0.736
4.49 , -24.0 , 1.744 , 8.073 , 0.736
4.58 , -24.0 , 1.744 , 8.073 , 0.736
4.68 , -24.0 , 1.782 , 8.375 , 0.736
4.77 , -24.0 , 1.782 , 8.375 , 0.736
4.89 , -24.0 , 1.735 , 8.532 , 0.74
4.98 , -24.0 , 1.735 , 8.532 , 0.74
5.08 , -24.0 , 1.782 , 8.467 , 0.74
5.19 , -24.0 , 1.782 , 8.467 , 0.74
5.29 , -24.0 , 1.782 , 8.467 , 0.74
5.38 , -24.0 , 1.782 , 8.467 , 0.744
5.48 , -24.0 , 1.795 , 8.44 , 0.744
5.59 , -24.0 , 1.795 , 8.44 , 0.744
5.68 , -24.0 , 1.79 , 8.65 , 0.744
5.78 , -24.0 , 1.79 , 8.65 , 0.744
5.88 , -24.0 , 1.771 , 8.742 , 0.748
5.99 , -24.0 , 1.771 , 8.742 , 0.748
6.08 , -24.0 , 1.769 , 8.912 , 0.748
6.18 , -24.0 , 1.775 , 9.24 , 0.748
6.28 , -24.0 , 1.775 , 9.24 , 0.748
6.39 , -24.0 , 1.771 , 9.056 , 0.752
6.48 , -24.0 , 1.771 , 9.056 , 0.752
6.58 , -24.0 , 1.773 , 9.279 , 0.752
6.68 , -24.0 , 1.773 , 9.279 , 0.752
6.79 , -24.0 , 1.799 , 9.069 , 0.752
6.88 , -24.0 , 1.799 , 9.069 , 0.757
6.98 , -24.0 , 1.765 , 9.266 , 0.757
7.08 , -24.0 , 1.765 , 9.266 , 0.757
7.19 , -24.0 , 1.769 , 9.332 , 0.757
7.28 , -24.0 , 1.769 , 9.332 , 0.757
7.38 , -24.0 , 1.782 , 9.332 , 0.761
7.48 , -24.0 , 1.782 , 9.332 , 0.761
7.59 , -24.0 , 1.793 , 9.423 , 0.761
7.68 , -24.0 , 1.793 , 9.423 , 0.761
7.78 , -24.0 , 1.778 , 9.698 , 0.761
7.88 , -24.0 , 1.778 , 9.698 , 0.765
7.99 , -24.0 , 1.788 , 9.41 , 0.765
8.08 , -24.0 , 1.788 , 9.41 , 0.765
8.18 , -24.0 , 1.775 , 9.554 , 0.765
8.27 , -24.0 , 1.775 , 9.554 , 0.765
8.39 , -24.0 , 1.78 , 9.751 , 0.769
8.48 , -24.0 , 1.78 , 9.764 , 0.769
8.58 , -24.0 , 1.78 , 9.764 , 0.769
8.67 , -24.0 , 1.803 , 10.065 , 0.769
8.79 , -24.0 , 1.803 , 10.065 , 0.769
8.88 , -24.0 , 1.782 , 9.816 , 0.773
8.98 , -24.0 , 1.782 , 9.816 , 0.773
9.07 , -24.0 , 1.792 , 10.026 , 0.773
9.19 , -24.0 , 1.792 , 10.026 , 0.773
9.28 , -24.0 , 1.79 , 10.288 , 0.773
9.38 , -24.0 , 1.79 , 10.288 , 0.777
9.49 , -24.0 , 1.78 , 10.288 , 0.777
9.59 , -24.0 , 1.78 , 10.288 , 0.777
