caro_tomo_ech2
circ
Time , Disp, Load , Pressure, Volume
0.08 , 0.019 , 0.023 , -1.022 , 0
0.18 , 0.07 , 0.004 , -1.035 , 0
0.28 , 0.125 , 0.002 , -0.917 , 0
0.4 , 0.197 , 0.002 , -0.917 , 0
0.48 , 0.237 , -0.009 , -1.048 , 0
0.58 , 0.293 , -0.006 , -0.852 , 0
0.71 , 0.366 , -0.006 , -0.852 , 0
0.79 , 0.403 , 0.013 , -1.022 , 0
0.88 , 0.459 , 0.011 , -1.284 , 0
1.01 , 0.535 , -0.004 , -1.363 , 0
1.08 , 0.57 , -0.004 , -1.363 , 0
1.19 , 0.626 , 0.021 , -1.035 , 0
1.3 , 0.694 , 0.028 , -1.127 , 0
1.38 , 0.737 , 0.028 , -1.127 , 0
1.48 , 0.792 , 0.004 , -1.232 , 0
1.6 , 0.863 , -0.004 , -1.114 , 0
1.68 , 0.903 , -0.0 , -1.193 , 0
1.78 , 0.959 , -0.0 , -1.193 , 0
1.91 , 1.032 , 0.002 , -1.127 , 0
1.99 , 1.07 , 0.004 , -1.284 , 0
2.08 , 1.126 , 0.004 , -1.284 , 0
2.21 , 1.201 , 0.013 , -1.337 , 0
2.28 , 1.237 , 0.008 , -1.232 , 0
2.39 , 1.292 , 0.002 , -1.324 , 0
2.5 , 1.361 , 0.002 , -1.324 , 0
2.58 , 1.403 , 0.006 , -1.324 , 0
2.67 , 1.459 , 0.04 , -1.389 , 0
2.8 , 1.529 , 0.04 , -1.389 , 0
2.88 , 1.57 , 0.002 , -1.337 , 0
2.98 , 1.626 , 0.019 , -1.311 , 0
3.11 , 1.698 , 0.019 , -1.311 , 0
3.19 , 1.736 , 0.004 , -1.455 , 0
3.28 , 1.792 , 0.021 , -1.324 , 0
3.41 , 1.867 , -0.021 , -1.232 , 0
3.47 , 1.903 , -0.021 , -1.232 , 0
3.59 , 1.959 , 0.004 , -1.52 , 0
3.7 , 2.027 , -0.015 , -1.52 , 0
3.78 , 2.07 , -0.015 , -1.52 , 0
3.89 , 2.126 , 0.002 , -1.586 , 0
4.0 , 2.195 , 0.019 , -1.691 , 0
4.08 , 2.237 , 0.004 , -1.442 , 0
4.18 , 2.292 , 0.004 , -1.442 , 0
