caro_tomo_echI
circ
Time , Disp, Load , Pressure, Volume
0.05 , 0.003 , -0.0 , -0.668 , 0
0.14 , 0.049 , 0.019 , -0.747 , 0
0.25 , 0.116 , 0.019 , -0.747 , 0
0.33 , 0.16 , 0.004 , -0.498 , 0
0.45 , 0.216 , 0.015 , -0.76 , 0
0.56 , 0.285 , 0.015 , -0.76 , 0
0.64 , 0.327 , 0.008 , -0.734 , 0
0.73 , 0.383 , 0.004 , -0.695 , 0
0.86 , 0.454 , 0.017 , -0.904 , 0
0.94 , 0.493 , 0.017 , -0.904 , 0
1.04 , 0.549 , 0.004 , -0.904 , 0
1.16 , 0.623 , 0.017 , -0.904 , 0
1.24 , 0.66 , 0.017 , -0.904 , 0
1.34 , 0.716 , 0.011 , -0.852 , 0
1.47 , 0.792 , 0.017 , -0.734 , 0
1.53 , 0.827 , 0.002 , -0.878 , 0
1.64 , 0.883 , 0.002 , -0.878 , 0
1.76 , 0.951 , -0.0 , -0.944 , 0
1.84 , 0.994 , 0.017 , -1.009 , 0
1.93 , 1.049 , 0.017 , -1.009 , 0
2.06 , 1.12 , 0.004 , -0.839 , 0
2.14 , 1.16 , 0.008 , -0.786 , 0
2.24 , 1.216 , 0.006 , -1.048 , 0
2.36 , 1.289 , 0.006 , -1.048 , 0
2.44 , 1.327 , 0.011 , -0.852 , 0
2.54 , 1.383 , 0.006 , -0.904 , 0
2.67 , 1.458 , 0.006 , -0.904 , 0
2.73 , 1.494 , 0.013 , -0.891 , 0
2.84 , 1.549 , 0.015 , -0.904 , 0
2.96 , 1.617 , 0.015 , -0.904 , 0
3.04 , 1.661 , -0.0 , -0.839 , 0
3.15 , 1.716 , 0.002 , -0.891 , 0
3.26 , 1.786 , 0.013 , -0.826 , 0
3.34 , 1.827 , 0.013 , -0.826 , 0
3.44 , 1.883 , 0.028 , -0.917 , 0
3.56 , 1.955 , 0.004 , -1.088 , 0
3.64 , 1.994 , 0.004 , -1.088 , 0
3.74 , 2.05 , 0.017 , -1.14 , 0
3.87 , 2.124 , 0.008 , -1.219 , 0
3.93 , 2.16 , 0.013 , -1.271 , 0
4.04 , 2.216 , 0.013 , -1.271 , 0
4.15 , 2.283 , 0.006 , -1.363 , 0
4.23 , 2.327 , -0.009 , -1.507 , 0
4.35 , 2.383 , -0.009 , -1.507 , 0
4.46 , 2.452 , 0.015 , -1.284 , 0
4.54 , 2.493 , 0.006 , -1.442 , 0
4.63 , 2.549 , 0.006 , -1.442 , 0
4.76 , 2.621 , 0.004 , -1.56 , 0
4.84 , 2.66 , 0.023 , -1.389 , 0
4.94 , 2.716 , 0.017 , -1.442 , 0
5.05 , 2.781 , 0.017 , -1.442 , 0
5.15 , 2.827 , 0.015 , -1.52 , 0
5.24 , 2.883 , 0.011 , -1.664 , 0
5.35 , 2.95 , 0.011 , -1.664 , 0
5.43 , 2.994 , 0.015 , -1.324 , 0
5.55 , 3.05 , -0.0 , -1.625 , 0
5.66 , 3.118 , 0.013 , -1.612 , 0
5.74 , 3.16 , 0.013 , -1.612 , 0
5.83 , 3.216 , 0.017 , -1.678 , 0
5.94 , 3.278 , 0.015 , -1.966 , 0
6.04 , 3.327 , 0.015 , -1.966 , 0
6.14 , 3.383 , 0.019 , -2.018 , 0
6.26 , 3.456 , -0.0 , -1.796 , 0
6.34 , 3.494 , -0.0 , -1.796 , 0
6.44 , 3.549 , 0.004 , -2.031 , 0
6.57 , 3.625 , 0.017 , -2.031 , 0
6.63 , 3.66 , 0.015 , -2.254 , 0
6.74 , 3.716 , 0.015 , -2.254 , 0
6.86 , 3.785 , 0.019 , -2.084 , 0
6.94 , 3.827 , 0.019 , -2.307 , 0
7.03 , 3.883 , 0.019 , -2.307 , 0
7.16 , 3.953 , 0.03 , -2.136 , 0
7.24 , 3.994 , -0.004 , -2.136 , 0
7.34 , 4.049 , 0.004 , -2.464 , 0
7.46 , 4.122 , 0.004 , -2.464 , 0
7.54 , 4.161 , 0.017 , -2.294 , 0
7.64 , 4.216 , 0.011 , -2.398 , 0
7.77 , 4.291 , 0.011 , -2.398 , 0
7.83 , 4.327 , 0.009 , -2.412 , 0
7.94 , 4.383 , 0.021 , -2.346 , 0
8.06 , 4.451 , -0.0 , -2.569 , 0
8.14 , 4.494 , -0.0 , -2.569 , 0
8.23 , 4.549 , 0.021 , -2.398 , 0
8.36 , 4.619 , 0.006 , -2.543 , 0
8.44 , 4.66 , 0.006 , -2.543 , 0
8.53 , 4.716 , 0.013 , -2.49 , 0
8.66 , 4.788 , 0.013 , -2.529 , 0
8.74 , 4.827 , 0.013 , -2.529 , 0
8.84 , 4.883 , 0.019 , -2.634 , 0
8.97 , 4.957 , 0.015 , -2.739 , 0
9.05 , 4.995 , 0.002 , -2.582 , 0
9.14 , 5.049 , 0.002 , -2.582 , 0
9.27 , 5.126 , 0.019 , -2.923 , 0
9.33 , 5.16 , 0.017 , -2.778 , 0
9.45 , 5.216 , 0.017 , -2.778 , 0
9.56 , 5.285 , 0.006 , -2.713 , 0
9.64 , 5.327 , 0.004 , -2.818 , 0
9.73 , 5.383 , 0.028 , -2.661 , 0
9.86 , 5.454 , 0.028 , -2.661 , 0
9.94 , 5.494 , 0.011 , -2.556 , 0
10.04 , 5.549 , 0.013 , -2.87 , 0
10.17 , 5.623 , 0.013 , -2.87 , 0
10.25 , 5.66 , -0.004 , -2.896 , 0
10.34 , 5.716 , 0.013 , -2.91 , 0
10.47 , 5.792 , 0.013 , -2.91 , 0
10.53 , 5.827 , 0.011 , -2.857 , 0
10.64 , 5.883 , -0.004 , -2.792 , 0
10.76 , 5.951 , 0.011 , -3.027 , 0
10.84 , 5.994 , 0.011 , -3.027 , 0
10.93 , 6.05 , 0.013 , -2.844 , 0
11.06 , 6.12 , 0.013 , -2.726 , 0
11.14 , 6.16 , 0.013 , -2.726 , 0
11.24 , 6.216 , 0.009 , -2.949 , 0
11.36 , 6.289 , 0.013 , -2.831 , 0
11.44 , 6.327 , 0.013 , -2.778 , 0
11.54 , 6.383 , 0.013 , -2.778 , 0
11.67 , 6.458 , -0.006 , -2.975 , 0
11.73 , 6.494 , 0.021 , -3.027 , 0
11.84 , 6.549 , 0.021 , -3.027 , 0
11.96 , 6.618 , 0.021 , -2.949 , 0
12.04 , 6.661 , 0.0 , -3.106 , 0
12.13 , 6.716 , 0.0 , -3.106 , 0
12.26 , 6.786 , 0.004 , -3.132 , 0
12.34 , 6.827 , -0.013 , -3.041 , 0
12.44 , 6.882 , 0.004 , -2.857 , 0
12.56 , 6.955 , 0.004 , -2.857 , 0
12.64 , 6.993 , 0.006 , -2.883 , 0
12.74 , 7.049 , 0.006 , -2.988 , 0
12.87 , 7.124 , 0.006 , -2.988 , 0
12.93 , 7.16 , 0.017 , -2.896 , 0
13.04 , 7.216 , 0.021 , -2.844 , 0
13.15 , 7.284 , 0.03 , -3.067 , 0
13.23 , 7.327 , 0.03 , -3.067 , 0
13.35 , 7.383 , 0.017 , -2.844 , 0
13.44 , 7.444 , 0.011 , -2.936 , 0
13.54 , 7.493 , 0.011 , -2.936 , 0
13.63 , 7.549 , 0.006 , -2.883 , 0
13.76 , 7.621 , 0.006 , -2.844 , 0
13.84 , 7.66 , 0.019 , -2.883 , 0
13.94 , 7.716 , 0.019 , -2.883 , 0
14.07 , 7.79 , -0.002 , -2.739 , 0
14.15 , 7.827 , 0.009 , -2.765 , 0
14.24 , 7.883 , 0.009 , -2.765 , 0
14.37 , 7.959 , -0.002 , -2.805 , 0
14.43 , 7.994 , 0.0 , -2.726 , 0
14.55 , 8.049 , 0.0 , -2.726 , 0
14.66 , 8.119 , 0.019 , -2.739 , 0
14.74 , 8.16 , 0.004 , -2.661 , 0
14.83 , 8.216 , 0.004 , -2.412 , 0
14.96 , 8.287 , 0.004 , -2.412 , 0
15.04 , 8.327 , 0.013 , -2.451 , 0
15.14 , 8.382 , -0.002 , -2.582 , 0
15.25 , 8.447 , -0.002 , -2.582 , 0
15.34 , 8.494 , 0.015 , -2.438 , 0
15.44 , 8.549 , 0.017 , -2.49 , 0
15.57 , 8.625 , 0.017 , -2.32 , 0
15.63 , 8.66 , 0.017 , -2.32 , 0
15.74 , 8.716 , -0.002 , -2.215 , 0
15.86 , 8.785 , -0.009 , -2.215 , 0
15.94 , 8.827 , -0.009 , -2.215 , 0
16.03 , 8.882 , 0.002 , -2.412 , 0
16.14 , 8.944 , 0.026 , -2.176 , 0
16.24 , 8.993 , 0.026 , -2.176 , 0
16.34 , 9.049 , 0.006 , -2.031 , 0
16.46 , 9.122 , 0.03 , -2.097 , 0
16.54 , 9.16 , 0.017 , -1.94 , 0
16.64 , 9.216 , 0.017 , -1.94 , 0
16.77 , 9.291 , 0.006 , -1.992 , 0
16.83 , 9.327 , -0.004 , -2.031 , 0
16.94 , 9.382 , -0.004 , -2.031 , 0
17.06 , 9.451 , 0.021 , -1.9 , 0
17.14 , 9.493 , 0.023 , -1.612 , 0
17.23 , 9.549 , 0.023 , -1.651 , 0
17.36 , 9.619 , 0.023 , -1.651 , 0
17.44 , 9.66 , 0.079 , -1.691 , 0
17.54 , 9.716 , 0.151 , -1.599 , 0
17.66 , 9.788 , 0.151 , -1.599 , 0
17.74 , 9.827 , 0.206 , -1.429 , 0
17.84 , 9.882 , 0.264 , -1.271 , 0
17.97 , 9.957 , 0.306 , -1.153 , 0
18.03 , 9.994 , 0.306 , -1.153 , 0
18.14 , 10.049 , 0.374 , -1.022 , 0
18.25 , 10.117 , 0.427 , -1.062 , 0

Pause

18.37 , 10.155 , 0.427 , -1.062 , 0
18.45 , 10.155 , 0.5 , -0.931 , 0
18.54 , 10.155 , 0.568 , -1.075 , 0
18.64 , 10.155 , 0.568 , -1.075 , 0
