gonfl_ech1
circ
Time , Disp, Load , Pressure, Volume
0.1 , 0.025 , -0.002 , -0.315 , 0
0.23 , 0.103 , -0.002 , -0.315 , 0
0.29 , 0.136 , -0.007 , -0.406 , 0
0.39 , 0.192 , -0.022 , -0.354 , 0
0.52 , 0.263 , 0.008 , -0.433 , 0
0.6 , 0.303 , 0.008 , -0.433 , 0
0.69 , 0.359 , 0.012 , -0.537 , 0
0.82 , 0.432 , -0.002 , -0.354 , 0
0.9 , 0.47 , -0.002 , -0.354 , 0
1.0 , 0.526 , -0.009 , -0.433 , 0
1.13 , 0.601 , -0.026 , -0.393 , 0
1.19 , 0.637 , -0.026 , -0.393 , 0
1.3 , 0.692 , 0.002 , -0.301 , 0
1.41 , 0.761 , -0.009 , -0.275 , 0
1.49 , 0.804 , -0.013 , -0.275 , 0
1.59 , 0.859 , -0.013 , -0.275 , 0
1.72 , 0.929 , -0.005 , -0.485 , 0
1.8 , 0.97 , 0.004 , -0.197 , 0
1.89 , 1.026 , 0.004 , -0.197 , 0
2.02 , 1.098 , 0.01 , -0.262 , 0
2.1 , 1.137 , -0.005 , -0.328 , 0
2.2 , 1.192 , 0.019 , -0.433 , 0
2.32 , 1.267 , 0.019 , -0.433 , 0
2.41 , 1.304 , 0.012 , -0.406 , 0
2.5 , 1.359 , 0.004 , -0.393 , 0
2.63 , 1.435 , 0.004 , -0.393 , 0
2.69 , 1.47 , 0.015 , -0.341 , 0
2.8 , 1.526 , 0.023 , -0.708 , 0
2.92 , 1.595 , 0.023 , -0.708 , 0
3.0 , 1.637 , 0.019 , -0.629 , 0
3.09 , 1.692 , 0.032 , -0.852 , 0
3.22 , 1.764 , -0.007 , -0.865 , 0
3.3 , 1.803 , -0.007 , -0.865 , 0
3.4 , 1.859 , -0.009 , -0.59 , 0
3.52 , 1.933 , 0.032 , -0.524 , 0
3.6 , 1.97 , 0.032 , -0.524 , 0
3.7 , 2.026 , 0.027 , -0.734 , 0
3.83 , 2.102 , 0.042 , -0.695 , 0
3.89 , 2.137 , 0.021 , -0.537 , 0
4.0 , 2.193 , 0.021 , -0.537 , 0
4.12 , 2.261 , 0.032 , -0.59 , 0
4.2 , 2.304 , 0.053 , -0.76 , 0
4.29 , 2.359 , 0.053 , -0.76 , 0
4.42 , 2.43 , 0.029 , -0.668 , 0
4.5 , 2.47 , 0.017 , -0.682 , 0
4.6 , 2.526 , 0.04 , -1.075 , 0
4.72 , 2.599 , 0.04 , -1.075 , 0
4.8 , 2.637 , 0.068 , -0.786 , 0
4.9 , 2.693 , 0.059 , -1.035 , 0
5.01 , 2.759 , 0.059 , -1.035 , 0
5.09 , 2.803 , 0.051 , -0.97 , 0
5.2 , 2.859 , 0.053 , -0.917 , 0
5.31 , 2.928 , 0.053 , -0.917 , 0
5.39 , 2.97 , 0.049 , -0.066 , 0
5.49 , 3.026 , 0.038 , -1.376 , 0
5.6 , 3.087 , 0.055 , -0.721 , 0
5.7 , 3.137 , 0.055 , -0.721 , 0
