gonfl_ech1_2
circ
Time , Disp, Load , Pressure, Volume
0.09 , 0.026 , -0.064 , -1.14 , 0
0.22 , 0.097 , -0.062 , -1.114 , 0
0.3 , 0.138 , -0.064 , -1.311 , 0
0.4 , 0.193 , -0.064 , -1.311 , 0
0.52 , 0.266 , -0.032 , -0.983 , 0
0.6 , 0.305 , -0.032 , -1.075 , 0
0.7 , 0.36 , -0.032 , -1.075 , 0
0.83 , 0.435 , -0.055 , -1.206 , 0
0.89 , 0.471 , -0.034 , -1.14 , 0
1.0 , 0.527 , -0.041 , -1.075 , 0
1.11 , 0.595 , -0.041 , -1.075 , 0
1.19 , 0.638 , -0.036 , -1.101 , 0
1.29 , 0.693 , -0.03 , -1.232 , 0
1.42 , 0.764 , -0.03 , -1.232 , 0
1.5 , 0.804 , -0.021 , -1.232 , 0
1.59 , 0.86 , -0.004 , -1.245 , 0
1.72 , 0.932 , -0.038 , -1.193 , 0
1.8 , 0.971 , -0.038 , -1.193 , 0
1.9 , 1.027 , -0.028 , -1.206 , 0
2.03 , 1.101 , -0.011 , -1.337 , 0
2.09 , 1.137 , -0.011 , -1.337 , 0
2.2 , 1.194 , -0.028 , -1.245 , 0
2.31 , 1.261 , -0.038 , -1.311 , 0
2.39 , 1.305 , -0.038 , -1.311 , 0
2.51 , 1.36 , -0.038 , -1.297 , 0
2.62 , 1.43 , -0.023 , -1.245 , 0
2.7 , 1.471 , -0.009 , -1.363 , 0
2.79 , 1.527 , -0.009 , -1.363 , 0
2.92 , 1.599 , -0.017 , -1.088 , 0
3.0 , 1.638 , -0.011 , -1.297 , 0
3.1 , 1.693 , -0.011 , -1.297 , 0
3.23 , 1.767 , -0.015 , -1.232 , 0
3.31 , 1.804 , -0.019 , -1.311 , 0
3.4 , 1.86 , -0.017 , -1.52 , 0
3.53 , 1.936 , -0.017 , -1.52 , 0
3.59 , 1.971 , 0.015 , -1.258 , 0
3.7 , 2.027 , -0.015 , -1.442 , 0
3.82 , 2.096 , -0.015 , -1.442 , 0
3.9 , 2.137 , 0.006 , -1.35 , 0
3.99 , 2.193 , -0.004 , -1.507 , 0
4.12 , 2.265 , -0.004 , -1.507 , 0
4.2 , 2.304 , 0.002 , -1.52 , 0
4.3 , 2.36 , 0.006 , -1.494 , 0
4.42 , 2.433 , -0.006 , -1.586 , 0
4.5 , 2.471 , -0.006 , -1.586 , 0
4.6 , 2.526 , -0.0 , -1.494 , 0
4.71 , 2.593 , -0.013 , -1.35 , 0
4.79 , 2.638 , -0.013 , -1.35 , 0
4.9 , 2.693 , 0.03 , -1.442 , 0
5.02 , 2.762 , 0.017 , -1.533 , 0
5.1 , 2.804 , 0.049 , -1.402 , 0
5.19 , 2.86 , 0.049 , -1.402 , 0
5.32 , 2.931 , 0.021 , -1.547 , 0
5.4 , 2.971 , 0.021 , -1.494 , 0
5.5 , 3.026 , 0.021 , -1.494 , 0
5.61 , 3.091 , 0.025 , -1.455 , 0
5.7 , 3.138 , 0.015 , -1.691 , 0
5.8 , 3.193 , 0.015 , -1.691 , 0
5.93 , 3.268 , 0.025 , -1.573 , 0
5.99 , 3.304 , 0.038 , -1.586 , 0
6.1 , 3.36 , 0.053 , -1.415 , 0
6.21 , 3.428 , 0.053 , -1.415 , 0
6.29 , 3.471 , 0.036 , -1.442 , 0
6.39 , 3.527 , 0.032 , -1.73 , 0
6.5 , 3.588 , 0.032 , -1.73 , 0
6.6 , 3.638 , 0.028 , -1.547 , 0
6.69 , 3.693 , 0.045 , -1.455 , 0
6.82 , 3.766 , 0.045 , -1.507 , 0
6.9 , 3.804 , 0.045 , -1.507 , 0
7.0 , 3.86 , 0.057 , -1.586 , 0
7.11 , 3.925 , 0.038 , -1.743 , 0
7.19 , 3.971 , 0.038 , -1.743 , 0
7.3 , 4.027 , 0.051 , -1.678 , 0
7.41 , 4.094 , 0.04 , -1.455 , 0
7.49 , 4.137 , 0.062 , -1.56 , 0
7.61 , 4.193 , 0.062 , -1.56 , 0
7.72 , 4.263 , 0.045 , -1.612 , 0
7.8 , 4.304 , 0.066 , -1.56 , 0
7.89 , 4.36 , 0.066 , -1.56 , 0
8.02 , 4.432 , 0.047 , -1.691 , 0
8.1 , 4.471 , 0.068 , -1.704 , 0
8.2 , 4.527 , 0.068 , -1.704 , 0
8.32 , 4.6 , 0.051 , -1.651 , 0
8.4 , 4.637 , 0.079 , -1.717 , 0
8.5 , 4.693 , 0.07 , -1.835 , 0
8.63 , 4.769 , 0.07 , -1.835 , 0
8.69 , 4.804 , 0.064 , -1.743 , 0
8.8 , 4.86 , 0.089 , -1.782 , 0
8.92 , 4.929 , 0.089 , -1.782 , 0
9.0 , 4.971 , 0.074 , -1.756 , 0
9.09 , 5.027 , 0.07 , -1.586 , 0
9.22 , 5.097 , 0.079 , -1.73 , 0
9.3 , 5.138 , 0.079 , -1.73 , 0
9.4 , 5.193 , 0.1 , -1.756 , 0
9.52 , 5.266 , 0.087 , -1.835 , 0
9.6 , 5.304 , 0.087 , -1.835 , 0
9.7 , 5.36 , 0.089 , -1.625 , 0
9.83 , 5.435 , 0.089 , -1.874 , 0
9.89 , 5.471 , 0.089 , -1.874 , 0
10.0 , 5.527 , 0.096 , -1.691 , 0
10.12 , 5.595 , 0.096 , -1.913 , 0
10.2 , 5.638 , 0.098 , -1.913 , 0
10.29 , 5.693 , 0.098 , -1.913 , 0
10.42 , 5.764 , 0.093 , -1.874 , 0
10.5 , 5.804 , 0.104 , -1.756 , 0
10.59 , 5.86 , 0.104 , -1.756 , 0
10.72 , 5.932 , 0.1 , -1.953 , 0
10.8 , 5.971 , 0.098 , -1.94 , 0
10.9 , 6.027 , 0.098 , -2.018 , 0
11.03 , 6.101 , 0.098 , -2.018 , 0
11.09 , 6.138 , 0.1 , -2.031 , 0
11.2 , 6.193 , 0.117 , -1.822 , 0
11.31 , 6.261 , 0.117 , -1.822 , 0
11.39 , 6.304 , 0.119 , -2.031 , 0
11.49 , 6.36 , 0.14 , -1.9 , 0
