gonfl_ech3
long
Time , Disp, Load , Pressure, Volume
0.09 , 0.025 , 0.015 , 0.105 , 0
0.22 , 0.097 , 0.015 , 0.105 , 0
0.3 , 0.136 , 0.004 , 0.17 , 0
0.4 , 0.192 , 0.021 , -0.052 , 0
0.52 , 0.266 , 0.021 , -0.052 , 0
0.59 , 0.303 , 0.017 , 0.092 , 0
0.7 , 0.358 , 0.004 , 0.092 , 0
0.81 , 0.426 , 0.007 , -0.0 , 0
0.89 , 0.47 , 0.007 , -0.0 , 0
1.0 , 0.526 , -0.004 , -0.236 , 0
1.12 , 0.595 , 0.015 , -0.262 , 0
1.2 , 0.636 , 0.015 , -0.262 , 0
1.29 , 0.692 , -0.006 , 0.026 , 0
1.42 , 0.764 , 0.017 , -0.288 , 0
1.5 , 0.803 , 0.013 , 0.039 , 0
1.6 , 0.859 , 0.013 , 0.039 , 0
1.72 , 0.933 , 0.0 , -0.21 , 0
1.8 , 0.97 , 0.028 , -0.223 , 0
1.9 , 1.025 , 0.028 , -0.223 , 0
2.03 , 1.101 , 0.004 , -0.38 , 0
2.09 , 1.136 , 0.011 , -0.249 , 0
2.2 , 1.192 , 0.011 , -0.249 , 0
2.31 , 1.261 , -0.01 , -0.249 , 0
2.39 , 1.303 , -0.01 , -0.537 , 0
2.49 , 1.359 , 0.002 , -0.144 , 0
2.62 , 1.43 , 0.002 , -0.144 , 0
2.7 , 1.469 , 0.021 , -0.223 , 0
2.79 , 1.525 , -0.004 , -0.511 , 0
2.92 , 1.599 , -0.004 , -0.511 , 0
3.0 , 1.637 , 0.015 , -0.524 , 0
3.1 , 1.692 , 0.017 , -0.682 , 0
3.23 , 1.767 , 0.009 , -0.603 , 0
3.29 , 1.803 , 0.009 , -0.603 , 0
3.4 , 1.858 , 0.002 , -0.564 , 0
3.51 , 1.927 , -0.015 , -0.55 , 0
3.59 , 1.969 , -0.015 , -0.55 , 0
3.69 , 2.025 , 0.013 , -0.472 , 0
3.8 , 2.087 , 0.015 , -0.485 , 0
3.9 , 2.136 , 0.002 , -0.59 , 0
3.99 , 2.192 , 0.002 , -0.59 , 0
4.12 , 2.265 , 0.0 , -0.786 , 0
4.2 , 2.303 , 0.004 , -0.891 , 0
