peel_circ_echI
circ
Time , Disp, Load , Pressure, Volume
0.09 , 0.023 , 2.869 , -22.32 , 0
0.17 , 0.06 , 2.869 , -22.32 , 0
0.25 , 0.112 , 2.867 , -22.306 , 0
0.33 , 0.157 , 2.858 , -22.438 , 0
0.44 , 0.213 , 2.858 , -22.438 , 0
0.55 , 0.281 , 2.888 , -22.595 , 0
0.63 , 0.324 , 2.897 , -22.621 , 0
0.73 , 0.38 , 2.897 , -22.621 , 0
0.86 , 0.45 , 2.931 , -22.411 , 0
0.93 , 0.491 , 2.963 , -22.608 , 0
1.03 , 0.546 , 2.971 , -22.293 , 0
1.16 , 0.619 , 2.971 , -22.293 , 0
1.24 , 0.657 , 2.988 , -22.464 , 0
1.33 , 0.713 , 2.995 , -22.398 , 0
1.46 , 0.787 , 2.995 , -22.398 , 0
1.53 , 0.824 , 2.999 , -22.372 , 0
1.64 , 0.88 , 3.012 , -22.529 , 0
1.75 , 0.947 , 3.012 , -22.529 , 0
1.83 , 0.991 , 3.009 , -22.464 , 0
1.93 , 1.046 , 3.022 , -22.424 , 0
2.05 , 1.116 , 3.012 , -22.542 , 0
2.13 , 1.157 , 3.012 , -22.542 , 0
2.23 , 1.213 , 3.014 , -22.542 , 0
2.36 , 1.285 , 3.014 , -22.608 , 0
2.44 , 1.324 , 3.014 , -22.608 , 0
2.53 , 1.379 , 3.012 , -22.503 , 0
2.66 , 1.453 , 3.005 , -22.516 , 0
2.74 , 1.491 , 3.02 , -22.621 , 0
2.84 , 1.546 , 3.02 , -22.621 , 0
2.97 , 1.622 , 3.018 , -22.464 , 0
3.03 , 1.657 , 3.018 , -22.608 , 0
3.14 , 1.713 , 3.018 , -22.608 , 0
3.25 , 1.782 , 3.014 , -22.451 , 0
3.33 , 1.824 , 2.999 , -22.451 , 0
3.43 , 1.88 , 3.003 , -22.647 , 0
3.56 , 1.951 , 3.003 , -22.647 , 0
3.64 , 1.99 , 3.018 , -22.529 , 0
3.73 , 2.046 , 3.016 , -22.477 , 0
3.86 , 2.119 , 3.016 , -22.477 , 0
3.94 , 2.157 , 3.035 , -22.385 , 0
4.04 , 2.213 , 3.024 , -22.306 , 0
4.16 , 2.288 , 3.024 , -22.306 , 0
4.23 , 2.324 , 3.035 , -22.32 , 0
4.34 , 2.38 , 3.02 , -22.49 , 0
4.45 , 2.448 , 3.039 , -22.805 , 0
4.53 , 2.491 , 3.039 , -22.805 , 0
4.63 , 2.546 , 3.029 , -22.634 , 0
4.76 , 2.617 , 3.033 , -22.346 , 0
4.84 , 2.657 , 3.033 , -22.346 , 0
4.93 , 2.713 , 3.02 , -22.647 , 0
5.06 , 2.786 , 3.031 , -22.516 , 0
5.14 , 2.824 , 3.043 , -22.359 , 0
5.24 , 2.88 , 3.043 , -22.359 , 0
5.36 , 2.954 , 3.035 , -22.398 , 0
5.43 , 2.99 , 3.037 , -22.516 , 0
5.54 , 3.046 , 3.037 , -22.516 , 0
5.65 , 3.114 , 3.052 , -22.66 , 0
5.73 , 3.157 , 3.05 , -22.438 , 0
5.83 , 3.213 , 3.05 , -22.438 , 0
5.95 , 3.283 , 3.056 , -22.398 , 0
6.03 , 3.324 , 3.052 , -22.346 , 0
6.13 , 3.379 , 3.073 , -22.687 , 0
6.26 , 3.452 , 3.073 , -22.687 , 0
6.34 , 3.49 , 3.058 , -22.503 , 0
6.43 , 3.546 , 3.056 , -22.372 , 0
6.55 , 3.612 , 3.056 , -22.372 , 0
6.63 , 3.657 , 3.065 , -22.49 , 0
6.74 , 3.713 , 3.058 , -22.464 , 0
6.85 , 3.78 , 3.046 , -22.306 , 0
6.93 , 3.824 , 3.046 , -22.306 , 0
7.04 , 3.88 , 3.058 , -22.529 , 0
7.15 , 3.949 , 3.067 , -22.582 , 0
7.23 , 3.99 , 3.067 , -22.582 , 0
7.33 , 4.046 , 3.06 , -22.438 , 0
7.46 , 4.118 , 3.05 , -22.621 , 0
7.54 , 4.157 , 3.05 , -22.464 , 0
7.63 , 4.213 , 3.05 , -22.464 , 0
7.76 , 4.287 , 3.052 , -22.503 , 0
7.84 , 4.323 , 3.08 , -22.516 , 0
7.94 , 4.379 , 3.08 , -22.516 , 0
8.06 , 4.455 , 3.069 , -22.451 , 0
8.13 , 4.49 , 3.067 , -22.529 , 0
8.24 , 4.546 , 3.067 , -22.529 , 0
8.35 , 4.615 , 3.071 , -22.424 , 0
8.43 , 4.657 , 3.084 , -22.621 , 0
8.53 , 4.713 , 3.065 , -22.293 , 0
8.64 , 4.775 , 3.065 , -22.293 , 0
8.74 , 4.824 , 3.065 , -22.542 , 0
8.83 , 4.879 , 3.067 , -22.503 , 0
8.96 , 4.953 , 3.067 , -22.503 , 0
9.04 , 4.99 , 3.06 , -22.556 , 0
9.14 , 5.046 , 3.035 , -22.438 , 0
9.26 , 5.121 , 3.026 , -22.398 , 0
9.33 , 5.157 , 3.026 , -22.398 , 0
9.44 , 5.213 , 3.005 , -22.542 , 0
9.55 , 5.281 , 3.026 , -22.398 , 0
9.63 , 5.324 , 3.026 , -22.398 , 0
9.73 , 5.379 , 3.029 , -22.516 , 0
9.86 , 5.45 , 3.035 , -22.542 , 0
9.94 , 5.491 , 3.035 , -22.542 , 0
10.03 , 5.546 , 3.043 , -22.556 , 0
10.16 , 5.619 , 3.024 , -22.411 , 0
10.24 , 5.657 , 3.05 , -22.333 , 0
10.34 , 5.712 , 3.05 , -22.333 , 0
10.46 , 5.787 , 3.043 , -22.542 , 0
10.53 , 5.824 , 3.067 , -22.647 , 0
10.64 , 5.879 , 3.067 , -22.647 , 0
10.75 , 5.947 , 3.067 , -22.49 , 0
10.83 , 5.991 , 3.054 , -22.451 , 0
10.94 , 6.046 , 3.056 , -22.359 , 0
11.05 , 6.116 , 3.056 , -22.359 , 0
11.13 , 6.157 , 3.056 , -22.516 , 0
11.23 , 6.213 , 3.067 , -22.306 , 0
11.36 , 6.285 , 3.067 , -22.306 , 0
11.44 , 6.324 , 3.058 , -22.398 , 0
11.53 , 6.379 , 3.067 , -22.595 , 0
11.66 , 6.454 , 3.067 , -22.595 , 0
11.74 , 6.49 , 3.09 , -22.451 , 0
11.84 , 6.546 , 3.092 , -22.503 , 0
11.97 , 6.622 , 3.073 , -22.215 , 0
12.03 , 6.659 , 3.073 , -22.215 , 0
12.14 , 6.713 , 3.084 , -22.569 , 0
12.25 , 6.782 , 3.099 , -22.516 , 0
12.33 , 6.824 , 3.099 , -22.516 , 0
12.43 , 6.88 , 3.097 , -22.398 , 0
12.56 , 6.951 , 3.105 , -22.529 , 0
12.64 , 6.991 , 3.099 , -22.411 , 0
12.73 , 7.046 , 3.099 , -22.411 , 0
12.86 , 7.12 , 3.101 , -22.556 , 0
12.94 , 7.157 , 3.109 , -22.438 , 0
13.04 , 7.212 , 3.109 , -22.438 , 0
13.16 , 7.288 , 3.101 , -22.556 , 0
13.23 , 7.323 , 3.124 , -22.516 , 0
13.34 , 7.379 , 3.109 , -22.293 , 0
13.45 , 7.448 , 3.109 , -22.293 , 0
13.53 , 7.49 , 3.088 , -22.529 , 0
13.63 , 7.546 , 3.094 , -22.451 , 0
13.76 , 7.617 , 3.094 , -22.451 , 0
13.84 , 7.657 , 3.092 , -22.398 , 0
13.93 , 7.713 , 3.109 , -22.346 , 0
14.06 , 7.786 , 3.109 , -22.346 , 0
14.14 , 7.824 , 3.065 , -22.503 , 0
14.24 , 7.88 , 3.092 , -22.569 , 0
14.36 , 7.955 , 3.067 , -22.49 , 0
14.43 , 7.99 , 3.067 , -22.49 , 0
14.54 , 8.046 , 3.069 , -22.359 , 0
14.65 , 8.114 , 3.082 , -22.32 , 0
14.73 , 8.157 , 3.082 , -22.32 , 0
14.83 , 8.213 , 3.073 , -22.359 , 0
14.96 , 8.283 , 3.05 , -22.726 , 0
15.04 , 8.324 , 3.052 , -22.385 , 0
15.13 , 8.379 , 3.052 , -22.385 , 0
15.26 , 8.452 , 3.052 , -22.451 , 0
15.34 , 8.49 , 3.05 , -22.569 , 0
15.43 , 8.546 , 3.05 , -22.569 , 0
15.56 , 8.621 , 3.05 , -22.359 , 0
15.63 , 8.657 , 3.043 , -22.346 , 0
15.74 , 8.712 , 3.043 , -22.346 , 0
15.85 , 8.78 , 3.035 , -22.516 , 0
15.93 , 8.824 , 3.054 , -22.529 , 0
16.04 , 8.88 , 3.046 , -22.621 , 0
16.15 , 8.949 , 3.046 , -22.621 , 0
16.23 , 8.99 , 3.06 , -22.306 , 0
16.33 , 9.046 , 3.056 , -22.254 , 0
16.46 , 9.118 , 3.056 , -22.254 , 0
16.54 , 9.157 , 3.056 , -22.28 , 0
