tra_circ_echI
circ
Time , Disp, Load , Pressure, Volume
0.09 , 0.02 , 4.2 , -24.351 , 0
0.22 , 0.099 , 4.2 , -24.351 , 0
0.29 , 0.132 , 4.2 , -24.417 , 0
0.38 , 0.188 , 4.207 , -24.443 , 0
0.51 , 0.259 , 4.219 , -24.39 , 0
0.59 , 0.299 , 4.219 , -24.39 , 0
0.69 , 0.354 , 4.239 , -24.548 , 0
0.81 , 0.428 , 4.256 , -24.325 , 0
0.89 , 0.466 , 4.256 , -24.325 , 0
0.99 , 0.521 , 4.283 , -24.246 , 0
1.12 , 0.597 , 4.29 , -24.259 , 0
1.18 , 0.632 , 4.319 , -24.207 , 0
1.29 , 0.688 , 4.319 , -24.207 , 0
1.41 , 0.757 , 4.341 , -24.338 , 0
1.49 , 0.799 , 4.364 , -24.39 , 0
1.58 , 0.855 , 4.364 , -24.39 , 0
1.71 , 0.925 , 4.387 , -24.272 , 0
1.79 , 0.965 , 4.411 , -24.338 , 0
1.89 , 1.021 , 4.432 , -24.351 , 0
2.01 , 1.094 , 4.432 , -24.351 , 0
2.09 , 1.132 , 4.451 , -24.456 , 0
2.19 , 1.188 , 4.481 , -24.286 , 0
2.32 , 1.263 , 4.481 , -24.286 , 0
2.38 , 1.299 , 4.504 , -24.43 , 0
2.49 , 1.354 , 4.543 , -24.403 , 0
2.6 , 1.423 , 4.543 , -24.403 , 0
2.68 , 1.466 , 4.57 , -24.351 , 0
2.78 , 1.521 , 4.596 , -24.377 , 0
2.91 , 1.591 , 4.628 , -24.482 , 0
2.99 , 1.632 , 4.628 , -24.482 , 0
3.08 , 1.688 , 4.668 , -24.443 , 0
3.21 , 1.76 , 4.706 , -24.338 , 0
3.29 , 1.799 , 4.706 , -24.338 , 0
3.39 , 1.855 , 4.76 , -24.338 , 0
3.52 , 1.929 , 4.802 , -24.168 , 0
3.58 , 1.965 , 4.826 , -24.417 , 0
3.69 , 2.021 , 4.826 , -24.417 , 0
3.8 , 2.089 , 4.872 , -24.312 , 0
3.88 , 2.132 , 4.919 , -24.299 , 0
4.0 , 2.188 , 4.919 , -24.299 , 0
4.11 , 2.257 , 4.983 , -24.482 , 0
4.19 , 2.299 , 5.034 , -24.469 , 0
4.28 , 2.354 , 5.034 , -24.469 , 0
4.41 , 2.426 , 5.059 , -24.351 , 0
4.49 , 2.466 , 5.161 , -24.39 , 0
4.59 , 2.521 , 5.227 , -24.417 , 0
4.7 , 2.586 , 5.227 , -24.417 , 0
4.79 , 2.632 , 5.287 , -24.574 , 0
4.89 , 2.688 , 5.351 , -24.286 , 0
5.02 , 2.764 , 5.351 , -24.286 , 0
5.08 , 2.799 , 5.438 , -24.272 , 0
5.19 , 2.854 , 5.514 , -24.417 , 0
5.31 , 2.923 , 5.606 , -24.482 , 0
5.39 , 2.966 , 5.606 , -24.482 , 0
5.48 , 3.021 , 5.71 , -24.456 , 0
5.61 , 3.092 , 5.81 , -24.325 , 0
5.69 , 3.132 , 5.81 , -24.325 , 0
5.79 , 3.188 , 5.899 , -24.299 , 0
5.9 , 3.252 , 6.027 , -24.207 , 0
5.99 , 3.299 , 6.027 , -24.207 , 0
6.09 , 3.355 , 6.142 , -24.22 , 0
6.2 , 3.421 , 6.267 , -24.168 , 0
6.28 , 3.466 , 6.374 , -24.154 , 0
6.39 , 3.521 , 6.374 , -24.154 , 0
6.51 , 3.589 , 6.491 , -24.574 , 0
6.58 , 3.632 , 6.614 , -24.377 , 0
6.68 , 3.688 , 6.614 , -24.377 , 0
6.81 , 3.758 , 6.718 , -24.325 , 0
6.89 , 3.799 , 6.841 , -24.403 , 0
6.98 , 3.854 , 6.954 , -24.548 , 0
7.11 , 3.927 , 6.954 , -24.548 , 0
7.19 , 3.966 , 7.086 , -24.482 , 0
7.29 , 4.021 , 7.203 , -24.286 , 0
7.42 , 4.095 , 7.203 , -24.286 , 0
7.48 , 4.132 , 7.331 , -24.259 , 0
7.59 , 4.188 , 7.462 , -24.312 , 0
7.7 , 4.255 , 7.462 , -24.312 , 0
7.78 , 4.299 , 7.601 , -24.259 , 0
7.9 , 4.355 , 7.726 , -24.351 , 0
7.99 , 4.415 , 7.866 , -24.312 , 0
8.09 , 4.465 , 7.866 , -24.312 , 0
8.18 , 4.521 , 7.99 , -24.259 , 0
8.31 , 4.593 , 8.126 , -24.299 , 0
8.39 , 4.632 , 8.126 , -24.299 , 0
8.49 , 4.688 , 8.275 , -24.39 , 0
8.61 , 4.761 , 8.417 , -24.338 , 0
8.69 , 4.799 , 8.577 , -24.312 , 0
8.79 , 4.854 , 8.577 , -24.312 , 0
8.92 , 4.93 , 8.753 , -24.469 , 0
8.98 , 4.965 , 8.891 , -24.403 , 0
9.09 , 5.021 , 8.891 , -24.403 , 0
9.21 , 5.09 , 9.049 , -24.246 , 0
9.29 , 5.133 , 9.276 , -24.377 , 0
9.38 , 5.188 , 9.444 , -24.469 , 0
9.51 , 5.259 , 9.444 , -24.469 , 0
9.59 , 5.299 , 9.614 , -24.417 , 0
9.69 , 5.355 , 9.844 , -24.39 , 0
9.81 , 5.428 , 9.844 , -24.39 , 0
9.89 , 5.465 , 10.018 , -24.076 , 0
9.99 , 5.521 , 10.233 , -24.403 , 0
10.12 , 5.596 , 10.233 , -24.403 , 0
10.18 , 5.632 , 10.484 , -24.39 , 0
10.29 , 5.688 , 10.707 , -24.535 , 0
10.41 , 5.756 , 10.882 , -24.272 , 0
10.49 , 5.799 , 10.882 , -24.272 , 0
10.58 , 5.855 , 10.831 , -24.325 , 0
10.71 , 5.925 , 10.954 , -24.521 , 0
10.79 , 5.966 , 10.954 , -24.521 , 0
10.88 , 6.021 , 11.248 , -24.43 , 0
11.01 , 6.094 , 11.469 , -24.115 , 0
11.09 , 6.132 , 11.701 , -24.22 , 0
11.19 , 6.188 , 11.701 , -24.22 , 0
11.32 , 6.262 , 11.952 , -24.469 , 0
11.38 , 6.298 , 11.945 , -24.22 , 0
11.49 , 6.354 , 11.945 , -24.22 , 0
11.6 , 6.422 , 11.669 , -24.233 , 0
11.68 , 6.465 , 11.964 , -24.377 , 0
11.78 , 6.521 , 11.964 , -24.377 , 0
11.91 , 6.591 , 12.356 , -24.351 , 0
11.99 , 6.632 , 12.675 , -24.456 , 0
12.08 , 6.688 , 12.894 , -24.43 , 0
12.21 , 6.76 , 12.894 , -24.43 , 0
12.29 , 6.799 , 13.164 , -24.338 , 0
12.39 , 6.854 , 13.459 , -24.456 , 0
12.52 , 6.928 , 13.459 , -24.456 , 0
12.6 , 6.965 , 13.712 , -24.364 , 0
12.69 , 7.021 , 13.982 , -24.377 , 0
