tra_circ_echII
circ
Time , Disp, Load , Pressure, Volume
0.09 , 0.023 , 3.56 , -23.591 , 0
0.18 , 0.071 , 3.562 , -23.499 , 0
0.28 , 0.127 , 3.562 , -23.499 , 0
0.39 , 0.193 , 3.56 , -23.421 , 0
0.47 , 0.238 , 3.579 , -23.538 , 0
0.58 , 0.293 , 3.579 , -23.538 , 0
0.69 , 0.361 , 3.654 , -23.525 , 0
0.77 , 0.404 , 3.703 , -23.696 , 0
0.87 , 0.46 , 3.769 , -23.696 , 0
1.0 , 0.53 , 3.769 , -23.696 , 0
1.08 , 0.571 , 3.807 , -23.696 , 0
1.17 , 0.627 , 3.9 , -23.617 , 0
1.3 , 0.699 , 3.9 , -23.617 , 0
1.38 , 0.738 , 3.975 , -23.604 , 0
1.48 , 0.793 , 4.022 , -23.656 , 0
1.61 , 0.868 , 4.022 , -23.656 , 0
1.69 , 0.904 , 4.128 , -23.67 , 0
1.78 , 0.96 , 4.196 , -23.63 , 0
1.91 , 1.036 , 4.249 , -23.683 , 0
1.97 , 1.072 , 4.249 , -23.683 , 0
2.09 , 1.127 , 4.353 , -23.565 , 0
2.2 , 1.196 , 4.462 , -23.538 , 0
2.28 , 1.238 , 4.462 , -23.538 , 0
2.37 , 1.294 , 4.57 , -23.656 , 0
2.5 , 1.365 , 4.677 , -23.787 , 0
2.58 , 1.405 , 4.785 , -23.722 , 0
2.68 , 1.46 , 4.785 , -23.722 , 0
2.8 , 1.534 , 4.902 , -23.552 , 0
2.88 , 1.571 , 5.036 , -23.67 , 0
2.98 , 1.627 , 5.036 , -23.67 , 0
3.11 , 1.702 , 5.149 , -23.735 , 0
3.17 , 1.738 , 5.257 , -23.63 , 0
3.28 , 1.793 , 5.257 , -23.63 , 0
3.4 , 1.862 , 5.404 , -23.696 , 0
3.48 , 1.904 , 5.542 , -23.421 , 0
3.57 , 1.96 , 5.648 , -23.709 , 0
3.7 , 2.031 , 5.648 , -23.709 , 0
3.78 , 2.071 , 5.755 , -23.735 , 0
3.88 , 2.127 , 5.899 , -23.761 , 0
4.0 , 2.2 , 5.899 , -23.761 , 0
4.08 , 2.238 , 5.98 , -23.604 , 0
4.18 , 2.294 , 6.097 , -23.578 , 0
4.29 , 2.36 , 6.152 , -23.578 , 0
4.37 , 2.404 , 6.152 , -23.578 , 0
4.48 , 2.46 , 6.184 , -23.735 , 0
4.6 , 2.528 , 6.327 , -23.683 , 0
4.68 , 2.571 , 6.327 , -23.683 , 0
4.77 , 2.627 , 6.463 , -23.67 , 0
4.9 , 2.697 , 6.603 , -23.552 , 0
4.98 , 2.738 , 6.756 , -23.604 , 0
5.07 , 2.793 , 6.756 , -23.604 , 0
5.2 , 2.866 , 6.882 , -23.591 , 0
5.28 , 2.904 , 7.024 , -23.683 , 0
5.38 , 2.96 , 7.024 , -23.683 , 0
5.51 , 3.035 , 7.126 , -23.512 , 0
5.57 , 3.071 , 7.216 , -23.591 , 0
5.68 , 3.127 , 7.216 , -23.591 , 0
5.79 , 3.194 , 7.386 , -23.735 , 0
5.87 , 3.238 , 7.579 , -23.683 , 0
5.99 , 3.294 , 7.722 , -23.538 , 0
6.1 , 3.363 , 7.722 , -23.538 , 0
6.18 , 3.404 , 7.881 , -23.748 , 0
6.27 , 3.46 , 8.049 , -23.67 , 0
6.4 , 3.532 , 8.049 , -23.67 , 0
6.48 , 3.571 , 8.194 , -23.643 , 0
6.58 , 3.627 , 8.356 , -23.84 , 0
6.71 , 3.701 , 8.543 , -23.801 , 0
6.79 , 3.738 , 8.543 , -23.801 , 0
6.88 , 3.793 , 8.702 , -23.578 , 0
7.01 , 3.869 , 8.866 , -23.709 , 0
7.07 , 3.905 , 8.866 , -23.709 , 0
7.19 , 3.96 , 9.079 , -23.866 , 0
7.3 , 4.029 , 9.23 , -23.565 , 0
7.38 , 4.071 , 9.23 , -23.565 , 0
7.47 , 4.127 , 9.391 , -23.722 , 0
7.6 , 4.198 , 9.593 , -23.643 , 0
7.68 , 4.238 , 9.689 , -23.748 , 0
7.78 , 4.293 , 9.689 , -23.748 , 0
7.9 , 4.367 , 9.731 , -23.565 , 0
7.98 , 4.405 , 9.85 , -23.67 , 0
8.08 , 4.46 , 9.85 , -23.67 , 0
8.21 , 4.535 , 9.974 , -23.814 , 0
8.27 , 4.572 , 10.148 , -23.67 , 0
8.38 , 4.627 , 10.431 , -23.696 , 0
8.5 , 4.695 , 10.431 , -23.696 , 0
8.58 , 4.738 , 10.663 , -23.578 , 0
8.67 , 4.794 , 10.878 , -23.945 , 0
8.8 , 4.864 , 10.878 , -23.945 , 0
8.88 , 4.905 , 11.129 , -23.722 , 0
8.98 , 4.96 , 11.337 , -23.774 , 0
9.1 , 5.033 , 11.337 , -23.774 , 0
9.18 , 5.071 , 11.535 , -23.552 , 0
9.28 , 5.127 , 11.786 , -23.774 , 0
9.41 , 5.202 , 12.017 , -23.814 , 0
9.47 , 5.238 , 12.017 , -23.814 , 0
9.58 , 5.293 , 12.2 , -23.552 , 0
9.69 , 5.361 , 12.434 , -23.578 , 0
9.77 , 5.405 , 12.434 , -23.578 , 0
9.89 , 5.46 , 12.66 , -23.552 , 0
10.0 , 5.53 , 12.868 , -23.578 , 0
10.08 , 5.571 , 13.089 , -23.696 , 0
10.17 , 5.627 , 13.089 , -23.696 , 0
10.3 , 5.699 , 13.368 , -23.709 , 0
10.38 , 5.738 , 13.58 , -23.565 , 0
10.48 , 5.793 , 13.58 , -23.565 , 0
10.61 , 5.867 , 13.827 , -23.67 , 0
10.69 , 5.905 , 14.084 , -23.578 , 0
10.78 , 5.96 , 14.323 , -23.552 , 0
10.91 , 6.036 , 14.323 , -23.552 , 0
10.97 , 6.071 , 14.559 , -23.604 , 0
11.09 , 6.127 , 14.854 , -23.656 , 0
11.2 , 6.196 , 14.854 , -23.656 , 0
11.28 , 6.238 , 15.097 , -23.591 , 0
11.37 , 6.293 , 15.333 , -23.761 , 0
11.5 , 6.365 , 15.333 , -23.761 , 0
11.58 , 6.404 , 15.637 , -23.604 , 0
11.68 , 6.46 , 15.905 , -23.421 , 0
11.79 , 6.525 , 16.141 , -23.591 , 0
11.88 , 6.571 , 16.141 , -23.591 , 0
11.98 , 6.627 , 16.487 , -23.696 , 0
12.11 , 6.702 , 16.749 , -23.683 , 0
12.17 , 6.738 , 16.749 , -23.683 , 0
12.28 , 6.793 , 17.017 , -23.578 , 0
12.4 , 6.862 , 17.332 , -23.46 , 0
12.48 , 6.905 , 17.597 , -23.434 , 0
12.57 , 6.96 , 17.597 , -23.434 , 0
12.7 , 7.0 , 17.855 , -23.604 , 0
12.78 , 7.0 , 18.197 , -23.538 , 0
12.91 , 6.98 , 18.197 , -23.538 , 0
12.97 , 6.944 , 18.45 , -23.46 , 0
13.08 , 6.888 , 18.406 , -23.512 , 0
13.2 , 6.82 , 18.406 , -23.512 , 0
13.28 , 6.777 , 17.787 , -23.512 , 0
13.37 , 6.721 , 16.753 , -23.67 , 0
13.5 , 6.651 , 15.741 , -23.617 , 0
13.58 , 6.61 , 15.741 , -23.617 , 0
13.68 , 6.554 , 14.807 , -23.617 , 0
13.8 , 6.482 , 13.842 , -23.421 , 0
13.88 , 6.443 , 13.842 , -23.421 , 0
13.98 , 6.388 , 13.062 , -23.565 , 0
14.11 , 6.313 , 12.243 , -23.394 , 0
14.19 , 6.277 , 11.484 , -23.434 , 0
14.28 , 6.221 , 11.484 , -23.434 , 0
14.41 , 6.145 , 10.895 , -23.381 , 0
14.47 , 6.11 , 10.242 , -23.538 , 0
14.57 , 6.055 , 10.242 , -23.538 , 0
14.7 , 5.985 , 9.71 , -23.512 , 0
14.78 , 5.944 , 9.247 , -23.499 , 0
14.87 , 5.888 , 9.247 , -23.499 , 0
15.0 , 5.816 , 8.777 , -23.381 , 0
15.08 , 5.777 , 8.387 , -23.722 , 0
15.18 , 5.721 , 8.028 , -23.696 , 0
15.29 , 5.656 , 8.028 , -23.696 , 0
15.39 , 5.61 , 7.673 , -23.46 , 0
15.48 , 5.555 , 7.379 , -23.512 , 0
15.61 , 5.479 , 7.379 , -23.512 , 0
15.67 , 5.443 , 7.101 , -23.735 , 0
15.79 , 5.388 , 6.822 , -23.407 , 0
15.9 , 5.319 , 6.593 , -23.421 , 0
15.98 , 5.277 , 6.593 , -23.421 , 0
16.07 , 5.221 , 6.386 , -23.407 , 0
16.2 , 5.15 , 6.165 , -23.368 , 0
16.28 , 5.11 , 6.165 , -23.368 , 0
16.38 , 5.055 , 5.987 , -23.342 , 0
16.5 , 4.981 , 5.821 , -23.355 , 0
16.58 , 4.943 , 5.821 , -23.355 , 0
16.68 , 4.888 , 5.64 , -23.421 , 0
16.81 , 4.812 , 5.525 , -23.499 , 0
