tra_circ_echIII
circ
Time , Disp, Load , Pressure, Volume
0.08 , 0.017 , 2.618 , -22.411 , 0
0.16 , 0.063 , 2.614 , -22.542 , 0
0.27 , 0.119 , 2.614 , -22.542 , 0
0.38 , 0.186 , 2.629 , -22.293 , 0
0.46 , 0.23 , 2.625 , -22.438 , 0
0.57 , 0.286 , 2.639 , -22.582 , 0
0.68 , 0.355 , 2.639 , -22.582 , 0
0.76 , 0.397 , 2.642 , -22.477 , 0
0.86 , 0.452 , 2.648 , -22.411 , 0
0.99 , 0.524 , 2.648 , -22.411 , 0
1.07 , 0.564 , 2.648 , -22.28 , 0
1.16 , 0.619 , 2.673 , -22.424 , 0
1.29 , 0.693 , 2.667 , -22.569 , 0
1.37 , 0.73 , 2.667 , -22.569 , 0
1.47 , 0.786 , 2.661 , -22.241 , 0
1.6 , 0.862 , 2.682 , -22.32 , 0
1.66 , 0.897 , 2.682 , -22.32 , 0
1.77 , 0.953 , 2.69 , -22.293 , 0
1.88 , 1.022 , 2.695 , -22.031 , 0
1.96 , 1.063 , 2.695 , -22.031 , 0
2.06 , 1.119 , 2.714 , -22.293 , 0
2.19 , 1.19 , 2.724 , -22.385 , 0
2.27 , 1.23 , 2.731 , -22.359 , 0
2.36 , 1.286 , 2.731 , -22.359 , 0
2.49 , 1.359 , 2.729 , -22.411 , 0
2.57 , 1.397 , 2.741 , -22.333 , 0
2.67 , 1.453 , 2.741 , -22.333 , 0
2.79 , 1.528 , 2.763 , -22.516 , 0
2.86 , 1.564 , 2.761 , -22.372 , 0
2.97 , 1.619 , 2.775 , -22.306 , 0
3.08 , 1.688 , 2.775 , -22.306 , 0
3.16 , 1.731 , 2.78 , -22.424 , 0
3.26 , 1.786 , 2.782 , -22.398 , 0
3.39 , 1.856 , 2.782 , -22.398 , 0
3.47 , 1.897 , 2.79 , -22.241 , 0
3.56 , 1.952 , 2.812 , -22.438 , 0
3.69 , 2.025 , 2.812 , -22.438 , 0
3.77 , 2.064 , 2.824 , -22.451 , 0
3.87 , 2.119 , 2.831 , -22.385 , 0
3.99 , 2.194 , 2.839 , -22.438 , 0
4.07 , 2.231 , 2.839 , -22.438 , 0
4.17 , 2.286 , 2.863 , -22.346 , 0
4.3 , 2.362 , 2.867 , -22.228 , 0
4.36 , 2.397 , 2.867 , -22.228 , 0
4.47 , 2.453 , 2.873 , -22.451 , 0
4.58 , 2.522 , 2.89 , -22.398 , 0
4.66 , 2.564 , 2.912 , -22.306 , 0
4.76 , 2.619 , 2.912 , -22.306 , 0
4.87 , 2.682 , 2.92 , -22.424 , 0
4.97 , 2.73 , 2.924 , -22.411 , 0
5.06 , 2.786 , 2.924 , -22.411 , 0
5.18 , 2.851 , 2.935 , -22.424 , 0
5.27 , 2.897 , 2.956 , -22.32 , 0
5.37 , 2.953 , 2.958 , -22.438 , 0
5.5 , 3.029 , 2.958 , -22.438 , 0
5.56 , 3.064 , 2.971 , -22.503 , 0
5.67 , 3.119 , 3.001 , -22.372 , 0
5.78 , 3.188 , 3.001 , -22.372 , 0
5.86 , 3.23 , 3.005 , -22.306 , 0
5.96 , 3.286 , 3.012 , -22.477 , 0
6.09 , 3.357 , 3.012 , -22.477 , 0
6.17 , 3.397 , 3.035 , -22.424 , 0
6.26 , 3.453 , 3.06 , -22.241 , 0
6.39 , 3.526 , 3.084 , -22.306 , 0
6.47 , 3.564 , 3.084 , -22.306 , 0
6.57 , 3.619 , 3.084 , -22.333 , 0
6.69 , 3.695 , 3.101 , -22.333 , 0
6.76 , 3.73 , 3.101 , -22.333 , 0
6.87 , 3.786 , 3.105 , -22.28 , 0
6.98 , 3.854 , 3.133 , -22.333 , 0
7.06 , 3.897 , 3.156 , -22.333 , 0
7.16 , 3.953 , 3.156 , -22.333 , 0
7.29 , 4.023 , 3.165 , -22.32 , 0
7.37 , 4.064 , 3.182 , -22.189 , 0
7.46 , 4.119 , 3.182 , -22.189 , 0
7.59 , 4.192 , 3.203 , -22.306 , 0
7.67 , 4.23 , 3.222 , -22.503 , 0
7.77 , 4.286 , 3.222 , -22.503 , 0
7.89 , 4.361 , 3.252 , -22.346 , 0
7.96 , 4.397 , 3.265 , -22.254 , 0
8.07 , 4.452 , 3.282 , -22.293 , 0
8.18 , 4.521 , 3.282 , -22.293 , 0
8.26 , 4.564 , 3.299 , -22.451 , 0
8.36 , 4.619 , 3.35 , -22.267 , 0
8.49 , 4.689 , 3.35 , -22.267 , 0
8.57 , 4.73 , 3.365 , -22.267 , 0
8.66 , 4.786 , 3.401 , -22.293 , 0
8.79 , 4.858 , 3.405 , -22.438 , 0
8.87 , 4.897 , 3.405 , -22.438 , 0
8.96 , 4.953 , 3.435 , -22.424 , 0
9.09 , 5.027 , 3.469 , -22.267 , 0
9.17 , 5.064 , 3.469 , -22.267 , 0
9.27 , 5.119 , 3.501 , -22.424 , 0
9.4 , 5.196 , 3.528 , -22.464 , 0
9.46 , 5.23 , 3.528 , -22.464 , 0
9.57 , 5.286 , 3.575 , -22.254 , 0
9.68 , 5.355 , 3.59 , -22.385 , 0
9.76 , 5.397 , 3.649 , -22.346 , 0
9.86 , 5.452 , 3.649 , -22.346 , 0
9.99 , 5.524 , 3.69 , -22.451 , 0
10.07 , 5.564 , 3.732 , -22.333 , 0
10.16 , 5.619 , 3.732 , -22.333 , 0
10.29 , 5.693 , 3.777 , -22.202 , 0
10.37 , 5.73 , 3.826 , -22.359 , 0
10.47 , 5.786 , 3.856 , -22.359 , 0
10.6 , 5.862 , 3.856 , -22.359 , 0
10.66 , 5.897 , 3.924 , -22.32 , 0
10.77 , 5.952 , 3.985 , -22.215 , 0
10.88 , 6.021 , 3.985 , -22.215 , 0
10.96 , 6.064 , 4.045 , -22.477 , 0
11.06 , 6.119 , 4.119 , -22.464 , 0
11.19 , 6.19 , 4.183 , -22.398 , 0
11.27 , 6.23 , 4.183 , -22.398 , 0
11.36 , 6.286 , 4.266 , -22.333 , 0
11.49 , 6.359 , 4.304 , -22.398 , 0
11.57 , 6.397 , 4.304 , -22.398 , 0
11.67 , 6.453 , 4.4 , -22.175 , 0
11.79 , 6.528 , 4.481 , -22.333 , 0
11.86 , 6.563 , 4.481 , -22.333 , 0
11.97 , 6.62 , 4.568 , -22.359 , 0
12.08 , 6.688 , 4.643 , -22.451 , 0
12.16 , 6.731 , 4.738 , -22.293 , 0
12.26 , 6.786 , 4.738 , -22.293 , 0
12.39 , 6.856 , 4.825 , -22.202 , 0
12.47 , 6.897 , 4.945 , -22.32 , 0
12.56 , 6.953 , 4.945 , -22.32 , 0
12.69 , 7.025 , 5.025 , -22.529 , 0
12.77 , 7.063 , 5.138 , -22.385 , 0
12.87 , 7.119 , 5.236 , -22.529 , 0
12.99 , 7.194 , 5.236 , -22.529 , 0
13.07 , 7.231 , 5.346 , -22.241 , 0
13.17 , 7.286 , 5.459 , -22.477 , 0
13.3 , 7.362 , 5.459 , -22.477 , 0
13.36 , 7.397 , 5.58 , -22.241 , 0
13.47 , 7.453 , 5.716 , -22.398 , 0
13.58 , 7.5 , 5.716 , -22.398 , 0
13.66 , 7.5 , 5.81 , -22.215 , 0
13.76 , 7.496 , 5.974 , -22.267 , 0
13.86 , 7.443 , 6.069 , -22.293 , 0
13.98 , 7.373 , 6.069 , -22.293 , 0
14.06 , 7.331 , 6.072 , -22.254 , 0
14.16 , 7.276 , 5.978 , -22.254 , 0
14.29 , 7.204 , 5.978 , -22.254 , 0
14.37 , 7.165 , 5.823 , -22.451 , 0
14.46 , 7.109 , 5.6 , -22.215 , 0
14.59 , 7.035 , 5.34 , -22.372 , 0
14.67 , 6.998 , 5.34 , -22.372 , 0
14.77 , 6.943 , 5.151 , -22.385 , 0
14.9 , 6.867 , 4.989 , -22.398 , 0
14.96 , 6.832 , 4.989 , -22.398 , 0
15.07 , 6.776 , 4.819 , -22.385 , 0
15.18 , 6.707 , 4.685 , -22.162 , 0
15.26 , 6.665 , 4.564 , -22.215 , 0
15.36 , 6.609 , 4.564 , -22.215 , 0
15.49 , 6.538 , 4.451 , -22.359 , 0
15.57 , 6.498 , 4.358 , -22.438 , 0
15.66 , 6.443 , 4.358 , -22.438 , 0
15.79 , 6.369 , 4.287 , -22.333 , 0
15.87 , 6.332 , 4.183 , -22.346 , 0
15.97 , 6.276 , 4.183 , -22.346 , 0
16.09 , 6.2 , 4.102 , -22.293 , 0
16.16 , 6.165 , 4.051 , -22.542 , 0
16.27 , 6.109 , 3.985 , -22.398 , 0
16.38 , 6.041 , 3.985 , -22.398 , 0
16.46 , 5.998 , 3.932 , -22.254 , 0
16.56 , 5.942 , 3.888 , -22.477 , 0
16.67 , 5.881 , 3.888 , -22.477 , 0
16.77 , 5.831 , 3.822 , -22.175 , 0
16.86 , 5.776 , 3.794 , -22.189 , 0
16.99 , 5.703 , 3.743 , -22.372 , 0
17.07 , 5.665 , 3.743 , -22.372 , 0
17.17 , 5.609 , 3.713 , -22.464 , 0
17.29 , 5.534 , 3.664 , -22.097 , 0
17.36 , 5.498 , 3.664 , -22.097 , 0
17.47 , 5.442 , 3.62 , -22.293 , 0
17.58 , 5.374 , 3.596 , -22.241 , 0
17.66 , 5.331 , 3.596 , -22.241 , 0
17.76 , 5.276 , 3.558 , -22.398 , 0
17.89 , 5.206 , 3.524 , -22.28 , 0
17.97 , 5.165 , 3.507 , -22.385 , 0
18.06 , 5.109 , 3.507 , -22.385 , 0
18.19 , 5.037 , 3.475 , -22.306 , 0
18.27 , 4.998 , 3.452 , -22.438 , 0
18.36 , 4.939 , 3.452 , -22.438 , 0
18.46 , 4.887 , 3.43 , -22.569 , 0
18.57 , 4.831 , 3.403 , -22.11 , 0
18.68 , 4.762 , 3.369 , -22.385 , 0
18.76 , 4.72 , 3.369 , -22.385 , 0
18.86 , 4.665 , 3.35 , -22.372 , 0
18.99 , 4.593 , 3.337 , -22.215 , 0
19.07 , 4.554 , 3.337 , -22.215 , 0
19.16 , 4.498 , 3.318 , -22.516 , 0
19.29 , 4.424 , 3.292 , -22.516 , 0
19.37 , 4.387 , 3.292 , -22.516 , 0
19.47 , 4.331 , 3.273 , -22.49 , 0
19.6 , 4.255 , 3.279 , -22.503 , 0
19.66 , 4.221 , 3.245 , -22.411 , 0
19.77 , 4.165 , 3.245 , -22.411 , 0
19.88 , 4.096 , 3.22 , -22.346 , 0
19.96 , 4.054 , 3.211 , -22.385 , 0
20.06 , 3.998 , 3.211 , -22.385 , 0
20.19 , 3.927 , 3.19 , -22.464 , 0
20.27 , 3.887 , 3.167 , -22.241 , 0
20.36 , 3.831 , 3.158 , -22.162 , 0
20.49 , 3.758 , 3.158 , -22.162 , 0
20.57 , 3.721 , 3.137 , -22.32 , 0
20.67 , 3.665 , 3.114 , -22.293 , 0
20.78 , 3.598 , 3.114 , -22.293 , 0
20.86 , 3.554 , 3.105 , -22.306 , 0
20.97 , 3.498 , 3.09 , -22.254 , 0
21.07 , 3.438 , 3.077 , -22.254 , 0
21.16 , 3.387 , 3.077 , -22.254 , 0
21.26 , 3.331 , 3.06 , -22.149 , 0
21.39 , 3.261 , 3.075 , -22.438 , 0
21.47 , 3.221 , 3.075 , -22.438 , 0
21.56 , 3.164 , 3.035 , -22.451 , 0
21.69 , 3.092 , 3.022 , -22.241 , 0
21.77 , 3.054 , 3.022 , -22.241 , 0
21.87 , 2.998 , 3.014 , -22.333 , 0
21.99 , 2.923 , 3.003 , -22.385 , 0
22.06 , 2.887 , 2.984 , -22.333 , 0
22.17 , 2.831 , 2.984 , -22.333 , 0
22.28 , 2.763 , 2.975 , -22.333 , 0
22.36 , 2.72 , 2.948 , -22.175 , 0
22.46 , 2.665 , 2.948 , -22.175 , 0
22.59 , 2.595 , 2.952 , -22.241 , 0
22.66 , 2.554 , 2.935 , -22.202 , 0
22.76 , 2.498 , 2.939 , -22.293 , 0
22.89 , 2.426 , 2.939 , -22.293 , 0
22.97 , 2.387 , 2.92 , -22.241 , 0
23.06 , 2.331 , 2.907 , -22.202 , 0
23.19 , 2.257 , 2.907 , -22.202 , 0
23.26 , 2.22 , 2.89 , -22.385 , 0
23.37 , 2.164 , 2.875 , -22.28 , 0
23.48 , 2.097 , 2.875 , -22.28 , 0
23.56 , 2.053 , 2.861 , -22.333 , 0
23.67 , 1.998 , 2.854 , -22.333 , 0
23.78 , 1.929 , 2.833 , -22.254 , 0
23.86 , 1.887 , 2.833 , -22.254 , 0
23.96 , 1.832 , 2.848 , -22.306 , 0
24.09 , 1.76 , 2.831 , -22.359 , 0
24.17 , 1.721 , 2.831 , -22.359 , 0
24.26 , 1.665 , 2.82 , -22.202 , 0
24.39 , 1.591 , 2.81 , -22.424 , 0
24.47 , 1.553 , 2.788 , -22.293 , 0
24.57 , 1.494 , 2.788 , -22.293 , 0
24.66 , 1.443 , 2.78 , -22.385 , 0
24.76 , 1.387 , 2.788 , -22.228 , 0
24.89 , 1.316 , 2.788 , -22.228 , 0
24.97 , 1.276 , 2.752 , -22.333 , 0
25.06 , 1.22 , 2.763 , -22.359 , 0
25.19 , 1.147 , 2.763 , -22.359 , 0
25.27 , 1.109 , 2.754 , -22.293 , 0
25.37 , 1.054 , 2.748 , -22.293 , 0
25.49 , 0.978 , 2.735 , -22.333 , 0
25.57 , 0.937 , 2.735 , -22.333 , 0
25.67 , 0.887 , 2.731 , -22.451 , 0
25.8 , 0.81 , 2.716 , -22.372 , 0
25.88 , 0.773 , 2.716 , -22.372 , 0
25.96 , 0.72 , 2.72 , -22.451 , 0
26.1 , 0.641 , 2.693 , -22.438 , 0
26.17 , 0.609 , 2.693 , -22.306 , 0
26.26 , 0.554 , 2.693 , -22.306 , 0
26.39 , 0.481 , 2.69 , -22.398 , 0
26.47 , 0.443 , 2.671 , -22.385 , 0
26.57 , 0.387 , 2.671 , -22.385 , 0
26.69 , 0.312 , 2.68 , -22.424 , 0
26.76 , 0.276 , 2.663 , -22.464 , 0
26.87 , 0.22 , 2.644 , -22.306 , 0
26.98 , 0.153 , 2.644 , -22.306 , 0
27.06 , 0.109 , 2.631 , -22.267 , 0
27.16 , 0.054 , 2.635 , -22.385 , 0
27.29 , -0.0 , 2.635 , -22.385 , 0
27.37 , -0.0 , 2.625 , -22.438 , 0
27.46 , 0.004 , 2.625 , -22.28 , 0
27.57 , 0.057 , 2.625 , -22.28 , 0
27.67 , 0.118 , 2.614 , -22.306 , 0
27.76 , 0.168 , 2.62 , -22.306 , 0
27.86 , 0.224 , 2.631 , -22.32 , 0
27.99 , 0.296 , 2.631 , -22.32 , 0
28.07 , 0.335 , 2.629 , -22.333 , 0
28.16 , 0.394 , 2.644 , -22.503 , 0
28.26 , 0.446 , 2.644 , -22.503 , 0
28.37 , 0.502 , 2.635 , -22.32 , 0
28.48 , 0.571 , 2.661 , -22.398 , 0
28.56 , 0.613 , 2.671 , -22.254 , 0
28.66 , 0.669 , 2.671 , -22.254 , 0
28.77 , 0.724 , 2.663 , -22.398 , 0
28.87 , 0.779 , 2.673 , -22.398 , 0
29.0 , 0.855 , 2.673 , -22.398 , 0
29.06 , 0.891 , 2.678 , -22.215 , 0
29.17 , 0.946 , 2.701 , -22.372 , 0
29.28 , 1.015 , 2.701 , -22.372 , 0
29.36 , 1.057 , 2.697 , -22.398 , 0
29.46 , 1.113 , 2.705 , -22.32 , 0
29.59 , 1.184 , 2.72 , -22.464 , 0
29.67 , 1.224 , 2.72 , -22.464 , 0
29.76 , 1.279 , 2.722 , -22.411 , 0
29.89 , 1.353 , 2.735 , -22.241 , 0
29.97 , 1.391 , 2.735 , -22.241 , 0
30.07 , 1.446 , 2.744 , -22.372 , 0
30.19 , 1.522 , 2.748 , -22.241 , 0
30.26 , 1.558 , 2.767 , -22.451 , 0
30.37 , 1.613 , 2.767 , -22.451 , 0
30.48 , 1.682 , 2.778 , -22.477 , 0
30.56 , 1.724 , 2.79 , -22.516 , 0
30.66 , 1.78 , 2.79 , -22.516 , 0
30.79 , 1.85 , 2.788 , -22.372 , 0
30.87 , 1.891 , 2.812 , -22.372 , 0
30.96 , 1.947 , 2.812 , -22.372 , 0
31.09 , 2.019 , 2.788 , -22.411 , 0
31.17 , 2.057 , 2.82 , -22.464 , 0
31.27 , 2.113 , 2.837 , -22.398 , 0
31.39 , 2.188 , 2.837 , -22.398 , 0
31.46 , 2.224 , 2.844 , -22.398 , 0
31.57 , 2.28 , 2.848 , -22.346 , 0
31.68 , 2.348 , 2.848 , -22.346 , 0
31.76 , 2.391 , 2.856 , -22.306 , 0
31.86 , 2.446 , 2.884 , -22.202 , 0
31.97 , 2.507 , 2.884 , -22.451 , 0
32.07 , 2.557 , 2.884 , -22.451 , 0
32.16 , 2.613 , 2.909 , -22.438 , 0
32.27 , 2.676 , 2.907 , -22.398 , 0
32.37 , 2.724 , 2.907 , -22.398 , 0
32.46 , 2.78 , 2.905 , -22.175 , 0
32.59 , 2.854 , 2.933 , -22.346 , 0
32.66 , 2.89 , 2.933 , -22.267 , 0
32.77 , 2.946 , 2.933 , -22.267 , 0
32.88 , 3.014 , 2.95 , -22.398 , 0
32.96 , 3.057 , 2.965 , -22.306 , 0
33.07 , 3.113 , 2.965 , -22.306 , 0
33.18 , 3.182 , 3.001 , -22.228 , 0
33.26 , 3.224 , 2.997 , -22.202 , 0
33.36 , 3.28 , 2.997 , -22.202 , 0
33.47 , 3.342 , 3.005 , -22.202 , 0
33.57 , 3.39 , 3.026 , -22.28 , 0
33.66 , 3.446 , 3.029 , -22.189 , 0
33.79 , 3.52 , 3.029 , -22.189 , 0
33.87 , 3.559 , 3.037 , -22.477 , 0
33.97 , 3.613 , 3.071 , -22.28 , 0
34.1 , 3.689 , 3.071 , -22.28 , 0
34.16 , 3.724 , 3.067 , -22.293 , 0
34.27 , 3.78 , 3.088 , -22.372 , 0
34.38 , 3.848 , 3.118 , -22.175 , 0
34.46 , 3.891 , 3.118 , -22.175 , 0
34.56 , 3.946 , 3.126 , -22.372 , 0
34.69 , 4.017 , 3.133 , -22.398 , 0
34.77 , 4.057 , 3.133 , -22.398 , 0
34.86 , 4.115 , 3.156 , -22.582 , 0
34.96 , 4.168 , 3.167 , -22.306 , 0
35.07 , 4.224 , 3.167 , -22.306 , 0
35.17 , 4.284 , 3.175 , -22.385 , 0
35.26 , 4.335 , 3.207 , -22.49 , 0
35.36 , 4.391 , 3.22 , -22.372 , 0
35.49 , 4.461 , 3.22 , -22.372 , 0
35.57 , 4.502 , 3.25 , -22.28 , 0
35.66 , 4.558 , 3.273 , -22.254 , 0
35.79 , 4.63 , 3.273 , -22.254 , 0
35.87 , 4.668 , 3.284 , -22.49 , 0
35.97 , 4.724 , 3.29 , -22.346 , 0
36.09 , 4.799 , 3.32 , -22.241 , 0
36.16 , 4.835 , 3.32 , -22.241 , 0
36.27 , 4.891 , 3.343 , -22.398 , 0
36.38 , 4.959 , 3.365 , -22.28 , 0
36.46 , 5.002 , 3.365 , -22.28 , 0
36.57 , 5.058 , 3.375 , -22.293 , 0
36.69 , 5.127 , 3.407 , -22.346 , 0
36.77 , 5.168 , 3.407 , -22.346 , 0
36.86 , 5.224 , 3.439 , -22.464 , 0
36.99 , 5.296 , 3.462 , -22.215 , 0
37.07 , 5.335 , 3.492 , -22.385 , 0
37.16 , 5.391 , 3.492 , -22.385 , 0
37.29 , 5.465 , 3.513 , -22.398 , 0
37.37 , 5.502 , 3.541 , -22.503 , 0
37.47 , 5.557 , 3.541 , -22.503 , 0
37.58 , 5.625 , 3.577 , -22.32 , 0
37.66 , 5.669 , 3.62 , -22.477 , 0
37.77 , 5.724 , 3.643 , -22.385 , 0
37.87 , 5.785 , 3.643 , -22.385 , 0
37.96 , 5.835 , 3.701 , -22.267 , 0
38.06 , 5.891 , 3.72 , -22.241 , 0
38.19 , 5.962 , 3.72 , -22.241 , 0
38.27 , 6.002 , 3.764 , -22.451 , 0
38.36 , 6.057 , 3.824 , -22.267 , 0
38.49 , 6.131 , 3.856 , -22.451 , 0
38.57 , 6.168 , 3.856 , -22.451 , 0
38.67 , 6.224 , 3.915 , -22.451 , 0
38.8 , 6.3 , 3.981 , -22.32 , 0
