tra_long_echI
long
Time , Disp, Load , Pressure, Volume
0.04 , 0.005 , 3.018 , -23.093 , 0
0.14 , 0.056 , 3.018 , -23.093 , 0
0.27 , 0.127 , 3.026 , -22.831 , 0
0.35 , 0.167 , 3.014 , -23.119 , 0
0.44 , 0.223 , 3.024 , -23.001 , 0
0.57 , 0.296 , 3.024 , -23.001 , 0
0.65 , 0.334 , 3.086 , -23.027 , 0
0.75 , 0.39 , 3.163 , -22.739 , 0
0.87 , 0.465 , 3.163 , -22.739 , 0
0.94 , 0.501 , 3.237 , -22.975 , 0
1.05 , 0.556 , 3.301 , -22.975 , 0
1.16 , 0.625 , 3.301 , -22.975 , 0
1.24 , 0.667 , 3.411 , -22.752 , 0
1.34 , 0.723 , 3.496 , -22.805 , 0
1.47 , 0.794 , 3.598 , -22.896 , 0
1.55 , 0.834 , 3.598 , -22.896 , 0
1.64 , 0.89 , 3.73 , -22.909 , 0
1.75 , 0.953 , 3.854 , -22.896 , 0
1.85 , 1.0 , 3.854 , -22.896 , 0
1.95 , 1.056 , 3.962 , -22.909 , 0
2.06 , 1.122 , 4.136 , -22.909 , 0
2.14 , 1.167 , 4.26 , -22.831 , 0
2.25 , 1.223 , 4.26 , -22.831 , 0
2.36 , 1.291 , 4.402 , -22.922 , 0
2.44 , 1.334 , 4.555 , -23.001 , 0
2.55 , 1.39 , 4.555 , -23.001 , 0
2.66 , 1.46 , 4.666 , -23.067 , 0
2.75 , 1.501 , 4.762 , -22.975 , 0
2.84 , 1.556 , 4.868 , -22.975 , 0
2.97 , 1.628 , 4.868 , -22.975 , 0
3.05 , 1.667 , 4.945 , -22.896 , 0
3.14 , 1.723 , 5.042 , -22.883 , 0
3.27 , 1.797 , 5.042 , -22.883 , 0
3.35 , 1.834 , 5.153 , -23.04 , 0
3.45 , 1.89 , 5.255 , -23.04 , 0
3.58 , 1.966 , 5.255 , -23.04 , 0
3.64 , 2.001 , 5.34 , -22.883 , 0
3.75 , 2.056 , 5.446 , -22.87 , 0
3.86 , 2.126 , 5.5 , -22.883 , 0
3.94 , 2.167 , 5.5 , -22.883 , 0
4.04 , 2.223 , 5.578 , -22.988 , 0
4.17 , 2.294 , 5.646 , -22.922 , 0
4.25 , 2.334 , 5.646 , -22.922 , 0
4.34 , 2.39 , 5.744 , -22.778 , 0
4.47 , 2.463 , 5.827 , -22.909 , 0
4.55 , 2.501 , 5.942 , -23.027 , 0
4.65 , 2.556 , 5.942 , -23.027 , 0
4.78 , 2.632 , 6.065 , -23.027 , 0
4.84 , 2.667 , 6.172 , -23.04 , 0
4.95 , 2.723 , 6.172 , -23.04 , 0
5.06 , 2.792 , 6.303 , -22.936 , 0
5.14 , 2.834 , 6.45 , -23.054 , 0
5.24 , 2.89 , 6.45 , -23.054 , 0
5.37 , 2.96 , 6.614 , -22.962 , 0
5.45 , 3.001 , 6.746 , -22.922 , 0
5.54 , 3.056 , 6.944 , -22.909 , 0
5.67 , 3.129 , 6.944 , -22.909 , 0
5.75 , 3.167 , 7.077 , -22.778 , 0
5.85 , 3.223 , 7.248 , -23.001 , 0
5.97 , 3.298 , 7.248 , -23.001 , 0
6.04 , 3.334 , 7.439 , -22.857 , 0
6.15 , 3.39 , 7.588 , -22.962 , 0
6.26 , 3.458 , 7.737 , -22.922 , 0
6.34 , 3.5 , 7.737 , -22.922 , 0
6.44 , 3.556 , 7.896 , -22.844 , 0
6.57 , 3.627 , 8.005 , -23.001 , 0
6.65 , 3.667 , 8.005 , -23.001 , 0
6.74 , 3.723 , 8.168 , -23.04 , 0
6.87 , 3.795 , 8.336 , -23.001 , 0
6.95 , 3.834 , 8.336 , -23.001 , 0
7.05 , 3.89 , 8.472 , -22.922 , 0
7.17 , 3.964 , 8.602 , -22.962 , 0
7.24 , 4.0 , 8.783 , -22.922 , 0
7.35 , 4.056 , 8.783 , -22.922 , 0
7.46 , 4.124 , 8.921 , -22.765 , 0
7.54 , 4.167 , 9.025 , -22.975 , 0
7.65 , 4.223 , 9.025 , -22.975 , 0
7.76 , 4.293 , 9.153 , -23.027 , 0
7.84 , 4.334 , 9.272 , -23.067 , 0
7.94 , 4.39 , 9.406 , -22.922 , 0
8.07 , 4.461 , 9.406 , -22.922 , 0
8.15 , 4.5 , 9.597 , -23.08 , 0
8.24 , 4.556 , 9.738 , -22.949 , 0
8.37 , 4.63 , 9.738 , -22.949 , 0
8.45 , 4.667 , 9.823 , -22.922 , 0
8.55 , 4.723 , 9.423 , -23.014 , 0
8.68 , 4.799 , 9.623 , -23.001 , 0
8.74 , 4.834 , 9.623 , -23.001 , 0
8.85 , 4.89 , 9.957 , -22.883 , 0
8.96 , 4.959 , 10.231 , -22.896 , 0
9.04 , 5.0 , 10.231 , -22.896 , 0
9.14 , 5.056 , 10.469 , -22.896 , 0
9.27 , 5.127 , 10.633 , -22.922 , 0
9.35 , 5.167 , 10.633 , -22.922 , 0
9.44 , 5.223 , 10.831 , -23.08 , 0
9.57 , 5.296 , 11.046 , -23.106 , 0
9.65 , 5.334 , 11.288 , -23.001 , 0
9.75 , 5.389 , 11.288 , -23.001 , 0
9.88 , 5.465 , 11.545 , -22.765 , 0
9.94 , 5.5 , 11.737 , -23.04 , 0
10.05 , 5.556 , 11.737 , -23.04 , 0
10.16 , 5.625 , 11.939 , -22.778 , 0
10.24 , 5.667 , 12.149 , -23.001 , 0
10.34 , 5.723 , 12.347 , -23.08 , 0
10.47 , 5.793 , 12.347 , -23.08 , 0
10.55 , 5.834 , 12.57 , -23.014 , 0
10.64 , 5.889 , 12.779 , -22.883 , 0
10.77 , 5.962 , 12.779 , -22.883 , 0
10.85 , 6.0 , 12.938 , -23.093 , 0
10.95 , 6.056 , 13.168 , -23.027 , 0
11.07 , 6.131 , 13.168 , -23.027 , 0
11.14 , 6.167 , 13.393 , -22.87 , 0
11.25 , 6.223 , 13.57 , -22.726 , 0
11.36 , 6.291 , 13.791 , -22.975 , 0
11.44 , 6.334 , 13.791 , -22.975 , 0
11.54 , 6.389 , 13.944 , -22.818 , 0
11.67 , 6.46 , 14.095 , -23.198 , 0
11.75 , 6.5 , 14.095 , -23.198 , 0
11.84 , 6.556 , 14.267 , -22.909 , 0
11.97 , 6.628 , 14.501 , -22.883 , 0
12.05 , 6.667 , 14.686 , -22.922 , 0
12.14 , 6.723 , 14.686 , -22.922 , 0
12.27 , 6.797 , 14.895 , -22.922 , 0
12.34 , 6.834 , 15.131 , -22.805 , 0
12.45 , 6.889 , 15.131 , -22.805 , 0
12.56 , 6.957 , 15.309 , -22.896 , 0
12.64 , 6.999 , 15.479 , -22.778 , 0
12.77 , 6.983 , 15.479 , -22.778 , 0
12.85 , 6.943 , 15.707 , -22.896 , 0
12.94 , 6.888 , 15.845 , -23.067 , 0
13.07 , 6.814 , 15.773 , -23.027 , 0
13.15 , 6.776 , 15.773 , -23.027 , 0
13.25 , 6.721 , 14.946 , -22.949 , 0
13.38 , 6.645 , 14.216 , -22.844 , 0
13.44 , 6.61 , 14.216 , -22.844 , 0
13.55 , 6.554 , 13.497 , -22.949 , 0
13.66 , 6.485 , 12.572 , -22.883 , 0
13.74 , 6.443 , 11.875 , -22.844 , 0
