ech1
circ
Time , Disp, Load , Pressure, Volume
0.09 , 0.023 , -0.068 , -11.271 , 0
0.18 , 0.078 , -0.066 , -10.917 , 0
0.29 , 0.133 , -0.072 , -11.114 , 0
0.41 , 0.201 , -0.072 , -11.114 , 0
0.49 , 0.244 , -0.055 , -11.009 , 0
0.58 , 0.3 , -0.064 , -10.944 , 0
0.71 , 0.37 , -0.064 , -10.944 , 0
0.79 , 0.411 , -0.057 , -11.035 , 0
0.89 , 0.466 , -0.055 , -11.219 , 0
1.01 , 0.538 , -0.055 , -11.193 , 0
1.09 , 0.578 , -0.055 , -11.193 , 0
1.19 , 0.633 , -0.057 , -11.127 , 0
1.32 , 0.707 , -0.049 , -11.376 , 0
1.4 , 0.744 , -0.049 , -11.376 , 0
1.49 , 0.8 , -0.055 , -10.944 , 0
1.62 , 0.876 , -0.043 , -11.271 , 0
1.68 , 0.911 , -0.051 , -11.311 , 0
1.8 , 0.967 , -0.051 , -11.311 , 0
1.91 , 1.036 , -0.051 , -11.245 , 0
1.99 , 1.078 , -0.045 , -11.206 , 0
2.08 , 1.133 , -0.045 , -11.206 , 0
2.21 , 1.205 , -0.03 , -11.455 , 0
2.29 , 1.244 , -0.032 , -11.494 , 0
2.39 , 1.3 , -0.032 , -11.494 , 0
2.52 , 1.373 , -0.021 , -11.271 , 0
2.6 , 1.411 , -0.026 , -11.311 , 0
2.69 , 1.466 , -0.023 , -11.481 , 0
2.82 , 1.542 , -0.023 , -11.481 , 0
2.88 , 1.578 , -0.019 , -11.573 , 0
3.0 , 1.633 , -0.009 , -11.415 , 0
3.11 , 1.702 , -0.009 , -11.415 , 0
3.19 , 1.744 , -0.006 , -11.586 , 0
3.28 , 1.8 , -0.019 , -11.546 , 0
3.41 , 1.871 , -0.021 , -11.625 , 0
3.49 , 1.911 , -0.021 , -11.625 , 0
3.59 , 1.966 , -0.006 , -11.533 , 0
3.71 , 2.04 , -0.002 , -11.691 , 0
3.8 , 2.078 , -0.002 , -11.691 , 0
3.89 , 2.133 , -0.009 , -11.782 , 0
4.02 , 2.208 , -0.011 , -11.704 , 0
4.08 , 2.244 , 0.004 , -11.704 , 0
4.19 , 2.3 , 0.004 , -11.704 , 0
4.31 , 2.368 , -0.013 , -11.704 , 0
4.39 , 2.411 , -0.013 , -11.56 , 0
4.48 , 2.466 , -0.013 , -11.56 , 0
4.59 , 2.528 , 0.004 , -11.848 , 0
4.69 , 2.577 , 0.008 , -11.782 , 0
4.79 , 2.633 , 0.008 , -11.782 , 0
4.91 , 2.706 , 0.015 , -11.756 , 0
4.99 , 2.744 , 0.017 , -11.887 , 0
5.09 , 2.8 , 0.025 , -11.769 , 0
5.2 , 2.865 , 0.025 , -11.769 , 0
5.28 , 2.911 , 0.034 , -11.861 , 0
5.39 , 2.966 , 0.023 , -12.005 , 0
5.51 , 3.034 , 0.023 , -12.005 , 0
5.59 , 3.077 , 0.032 , -11.874 , 0
5.68 , 3.133 , 0.023 , -11.874 , 0
5.79 , 3.194 , 0.028 , -12.031 , 0
5.89 , 3.244 , 0.028 , -12.031 , 0
5.99 , 3.3 , 0.038 , -11.874 , 0
6.11 , 3.372 , 0.04 , -11.835 , 0
6.19 , 3.411 , 0.04 , -11.835 , 0
6.29 , 3.467 , 0.047 , -12.018 , 0
6.42 , 3.54 , 0.045 , -12.11 , 0
6.5 , 3.577 , 0.045 , -12.11 , 0
6.59 , 3.633 , 0.057 , -12.176 , 0
6.7 , 3.7 , 0.045 , -12.11 , 0
6.78 , 3.744 , 0.045 , -12.162 , 0
6.9 , 3.8 , 0.045 , -12.162 , 0
7.01 , 3.869 , 0.062 , -12.228 , 0
7.09 , 3.911 , 0.053 , -12.044 , 0
7.18 , 3.966 , 0.053 , -12.044 , 0
7.31 , 4.038 , 0.072 , -12.005 , 0
7.39 , 4.078 , 0.06 , -12.228 , 0
7.49 , 4.133 , 0.062 , -12.176 , 0
7.62 , 4.207 , 0.062 , -12.176 , 0
7.7 , 4.244 , 0.066 , -12.346 , 0
7.79 , 4.3 , 0.089 , -12.307 , 0
7.92 , 4.375 , 0.089 , -12.307 , 0
7.98 , 4.411 , 0.079 , -12.359 , 0
8.1 , 4.466 , 0.083 , -12.28 , 0
8.21 , 4.535 , 0.1 , -12.254 , 0
8.29 , 4.577 , 0.1 , -12.254 , 0
8.38 , 4.633 , 0.089 , -12.359 , 0
8.51 , 4.704 , 0.091 , -12.451 , 0
8.59 , 4.744 , 0.091 , -12.451 , 0
8.69 , 4.8 , 0.113 , -12.516 , 0
8.8 , 4.864 , 0.102 , -12.503 , 0
8.89 , 4.911 , 0.102 , -12.503 , 0
8.99 , 4.966 , 0.108 , -12.346 , 0
9.12 , 5.041 , 0.115 , -12.595 , 0
9.18 , 5.078 , 0.123 , -12.529 , 0
9.29 , 5.133 , 0.123 , -12.529 , 0
9.41 , 5.201 , 0.115 , -12.778 , 0
9.49 , 5.244 , 0.138 , -12.634 , 0
9.58 , 5.3 , 0.138 , -12.634 , 0
9.69 , 5.361 , 0.14 , -12.608 , 0
9.79 , 5.411 , 0.151 , -12.569 , 0
9.89 , 5.466 , 0.166 , -12.674 , 0
10.01 , 5.539 , 0.166 , -12.674 , 0
10.09 , 5.577 , 0.145 , -12.451 , 0
10.19 , 5.633 , 0.166 , -12.857 , 0
10.32 , 5.708 , 0.166 , -12.857 , 0
10.4 , 5.744 , 0.164 , -12.687 , 0
10.49 , 5.8 , 0.166 , -12.765 , 0
10.62 , 5.876 , 0.166 , -12.765 , 0
10.69 , 5.911 , 0.179 , -12.936 , 0
10.8 , 5.967 , 0.172 , -12.765 , 0
10.91 , 6.036 , 0.181 , -12.647 , 0
10.99 , 6.077 , 0.181 , -12.647 , 0
11.08 , 6.133 , 0.189 , -12.923 , 0
11.21 , 6.205 , 0.196 , -12.909 , 0
11.29 , 6.244 , 0.196 , -12.909 , 0
11.39 , 6.3 , 0.206 , -12.988 , 0
11.5 , 6.365 , 0.217 , -13.132 , 0
11.6 , 6.411 , 0.217 , -12.909 , 0
11.69 , 6.466 , 0.217 , -12.909 , 0
11.82 , 6.542 , 0.245 , -13.093 , 0
11.88 , 6.578 , 0.24 , -13.001 , 0
12.0 , 6.633 , 0.24 , -13.001 , 0
12.11 , 6.702 , 0.251 , -12.975 , 0
12.19 , 6.744 , 0.259 , -13.014 , 0
