ech2_2
circ
Time , Disp, Load , Pressure, Volume
0.09 , 5.377 , -0.079 , 8.086 , 0
0.17 , 5.333 , -0.079 , 8.086 , 0
0.26 , 5.278 , -0.085 , 8.204 , 0
0.39 , 5.207 , -0.085 , 8.204 , 0
0.47 , 5.166 , -0.085 , 8.322 , 0
0.57 , 5.111 , -0.113 , 8.401 , 0
0.7 , 5.038 , -0.087 , 8.362 , 0
0.77 , 5.0 , -0.087 , 8.362 , 0
0.87 , 4.944 , -0.094 , 8.375 , 0
1.0 , 4.869 , -0.092 , 8.388 , 0
1.06 , 4.833 , -0.092 , 8.388 , 0
1.17 , 4.777 , -0.083 , 8.467 , 0
1.29 , 4.71 , -0.085 , 8.558 , 0
1.37 , 4.666 , -0.085 , 8.558 , 0
1.48 , 4.611 , -0.077 , 8.493 , 0
1.59 , 4.541 , -0.087 , 8.349 , 0
1.67 , 4.5 , -0.096 , 8.414 , 0
1.77 , 4.444 , -0.096 , 8.414 , 0
1.89 , 4.372 , -0.096 , 8.453 , 0
1.97 , 4.333 , -0.096 , 8.558 , 0
2.07 , 4.277 , -0.096 , 8.558 , 0
2.2 , 4.203 , -0.075 , 8.453 , 0
2.28 , 4.166 , -0.096 , 8.571 , 0
2.37 , 4.111 , -0.087 , 8.663 , 0
2.5 , 4.034 , -0.087 , 8.663 , 0
2.57 , 4.0 , -0.085 , 8.716 , 0
2.68 , 3.944 , -0.081 , 8.912 , 0
2.79 , 3.875 , -0.081 , 8.912 , 0
2.87 , 3.833 , -0.089 , 8.978 , 0
2.97 , 3.777 , -0.087 , 8.82 , 0
3.09 , 3.706 , -0.087 , 8.82 , 0
3.17 , 3.666 , -0.083 , 8.742 , 0
3.27 , 3.611 , -0.079 , 8.781 , 0
3.4 , 3.537 , -0.077 , 8.742 , 0
3.48 , 3.5 , -0.077 , 8.742 , 0
3.57 , 3.444 , -0.079 , 8.925 , 0
3.7 , 3.368 , -0.089 , 9.096 , 0
3.76 , 3.333 , -0.089 , 9.096 , 0
3.88 , 3.277 , -0.096 , 9.227 , 0
3.99 , 3.209 , -0.102 , 8.965 , 0
4.07 , 3.166 , -0.092 , 9.017 , 0
4.16 , 3.111 , -0.092 , 9.017 , 0
4.29 , 3.041 , -0.092 , 9.2 , 0
4.37 , 3.0 , -0.092 , 9.148 , 0
4.47 , 2.944 , -0.092 , 9.148 , 0
4.6 , 2.871 , -0.094 , 9.24 , 0
4.68 , 2.833 , -0.094 , 9.187 , 0
4.77 , 2.777 , -0.094 , 9.187 , 0
4.9 , 2.702 , -0.077 , 9.214 , 0
4.96 , 2.666 , -0.079 , 9.423 , 0
5.08 , 2.611 , -0.092 , 9.384 , 0
