ech4
rad
Time , Disp, Load , Pressure, Volume
0.05 , 0.003 , -0.754 , -49.829 , 0
0.14 , 0.003 , -0.754 , -49.829 , 0
0.24 , 0.003 , -0.748 , -49.96 , 0
0.33 , 0.003 , -0.746 , -49.633 , 0
0.43 , 0.003 , -0.746 , -49.633 , 0
0.54 , 0.003 , -0.743 , -50.118 , 0
0.64 , 0.003 , -0.754 , -50.039 , 0
0.73 , 0.003 , -0.754 , -50.039 , 0
0.83 , 0.003 , -0.735 , -50.039 , 0
0.94 , 0.003 , -0.748 , -51.087 , 0
1.04 , 0.003 , -0.765 , -50.498 , 0
1.13 , 0.003 , -0.765 , -50.498 , 0
1.23 , 0.003 , -0.76 , -50.288 , 0
1.34 , 0.003 , -0.752 , -50.812 , 0
1.44 , 0.003 , -0.752 , -50.812 , 0
1.53 , 0.003 , -0.748 , -50.629 , 0
1.63 , 0.003 , -0.752 , -50.367 , 0
1.74 , 0.003 , -0.752 , -50.367 , 0
1.84 , 0.003 , -0.754 , -50.734 , 0
1.93 , 0.003 , -0.756 , -50.616 , 0
2.03 , 0.003 , -0.752 , -52.241 , 0
2.14 , 0.003 , -0.752 , -52.241 , 0
2.24 , 0.003 , -0.765 , -54.98 , 0
2.33 , 0.003 , -0.75 , -54.22 , 0
2.43 , 0.003 , -0.75 , -54.22 , 0
2.54 , 0.003 , -0.745 , -54.049 , 0
2.64 , 0.003 , -0.75 , -54.901 , 0
2.73 , 0.003 , -0.743 , -54.403 , 0
2.83 , 0.003 , -0.743 , -54.403 , 0
2.94 , 0.003 , -0.752 , -54.338 , 0
3.03 , 0.003 , -0.75 , -54.534 , 0
3.13 , 0.003 , -0.75 , -54.534 , 0
3.23 , 0.003 , -0.754 , -54.56 , 0
3.34 , 0.003 , -0.752 , -54.613 , 0
3.43 , 0.003 , -0.752 , -54.613 , 0
3.53 , 0.003 , -0.748 , -54.862 , 0
3.64 , 0.003 , -0.741 , -54.574 , 0
3.74 , 0.003 , -0.76 , -54.403 , 0
3.83 , 0.003 , -0.76 , -54.403 , 0
3.93 , 0.003 , -0.76 , -54.233 , 0
4.04 , 0.003 , -0.762 , -54.403 , 0
4.14 , 0.003 , -0.762 , -54.403 , 0
4.23 , 0.003 , -0.76 , -54.22 , 0
4.33 , 0.003 , -0.754 , -54.338 , 0
4.44 , 0.003 , -0.763 , -54.049 , 0
4.54 , 0.003 , -0.763 , -54.049 , 0
4.63 , 0.003 , -0.76 , -54.102 , 0
4.73 , 0.003 , -0.758 , -54.233 , 0
4.84 , 0.003 , -0.758 , -54.233 , 0
4.94 , 0.003 , -0.75 , -53.905 , 0
5.03 , 0.003 , -0.76 , -53.682 , 0
