test
rad
Time , Disp, Load , Pressure, Volume
0.11 , 0.031 , -0.077 , 47.051 , 7.356999999999999
0.19 , 0.084 , -0.077 , 47.051 , 7.356999999999999
0.29 , 0.146 , -0.12 , 46.854 , 7.356999999999999
0.43 , 0.234 , -0.09 , 46.828 , 7.356999999999999
0.51 , 0.284 , -0.09 , 46.828 , 7.356999999999999
0.61 , 0.345 , -0.109 , 46.802 , 7.356999999999999
0.69 , 0.396 , -0.101 , 46.697 , 7.356999999999999
0.79 , 0.459 , -0.101 , 46.697 , 7.356999999999999
0.93 , 0.545 , -0.109 , 46.618 , 7.356999999999999
1.0 , 0.588 , -0.113 , 46.566 , 7.356999999999999
1.09 , 0.647 , -0.094 , 46.487 , 7.356999999999999
1.24 , 0.737 , -0.094 , 46.487 , 7.356999999999999
1.3 , 0.777 , -0.099 , 46.409 , 7.356999999999999
1.4 , 0.837 , -0.084 , 46.251 , 7.356999999999999
1.49 , 0.897 , -0.084 , 46.251 , 7.356999999999999
1.59 , 0.959 , -0.128 , 46.107 , 7.356999999999999
1.74 , 1.047 , -0.118 , 46.251 , 7.356999999999999
1.8 , 1.087 , -0.103 , 46.133 , 7.356999999999999
1.9 , 1.15 , -0.103 , 46.133 , 7.356999999999999
1.99 , 1.209 , -0.088 , 45.793 , 7.356999999999999
2.09 , 1.272 , -0.099 , 45.871 , 7.356999999999999
2.24 , 1.362 , -0.099 , 45.871 , 7.356999999999999
2.3 , 1.399 , -0.124 , 45.806 , 7.356999999999999
2.39 , 1.459 , -0.113 , 45.766 , 7.356999999999999
2.53 , 1.546 , -0.113 , 45.766 , 7.356999999999999
2.6 , 1.587 , -0.101 , 45.779 , 7.356999999999999
2.69 , 1.647 , -0.111 , 45.635 , 7.356999999999999
2.84 , 1.735 , -0.094 , 45.596 , 7.356999999999999
2.91 , 1.779 , -0.094 , 45.596 , 7.356999999999999
3.0 , 1.835 , -0.096 , 45.36 , 7.356999999999999
3.09 , 1.897 , -0.109 , 45.334 , 7.356999999999999
3.19 , 1.959 , -0.109 , 45.334 , 7.356999999999999
3.34 , 2.048 , -0.116 , 45.557 , 7.356999999999999
3.4 , 2.087 , -0.082 , 45.295 , 7.356999999999999
3.49 , 2.146 , -0.111 , 45.465 , 7.356999999999999
3.64 , 2.236 , -0.111 , 45.465 , 7.356999999999999
3.7 , 2.275 , -0.113 , 45.465 , 7.356999999999999
3.8 , 2.337 , -0.113 , 45.334 , 7.356999999999999
3.89 , 2.397 , -0.113 , 45.334 , 7.356999999999999
3.99 , 2.459 , -0.096 , 45.085 , 7.356999999999999
4.13 , 2.547 , -0.109 , 44.914 , 7.356999999999999
4.21 , 2.591 , -0.109 , 45.006 , 7.356999999999999
4.3 , 2.648 , -0.109 , 45.006 , 7.356999999999999
4.39 , 2.709 , -0.103 , 44.928 , 7.356999999999999
4.49 , 2.772 , -0.113 , 44.849 , 7.356999999999999
4.63 , 2.859 , -0.113 , 44.849 , 7.356999999999999
4.7 , 2.901 , -0.101 , 44.692 , 7.356999999999999
4.8 , 2.96 , -0.099 , 44.796 , 7.356999999999999
4.9 , 3.021 , -0.099 , 44.796 , 7.356999999999999
4.99 , 3.084 , -0.099 , 44.613 , 7.356999999999999
