ech5
circ
Time , Disp, Load , Pressure, Volume
0.12 , 0.032 , -0.087 , -0.616 , 0
0.19 , 0.08 , -0.087 , -0.616 , 0
0.29 , 0.143 , -0.087 , -0.537 , 0
0.43 , 0.229 , -0.081 , -0.472 , 0
0.5 , 0.271 , -0.081 , -0.472 , 0
0.6 , 0.333 , -0.096 , -0.616 , 0
0.7 , 0.393 , -0.087 , -0.616 , 0
0.79 , 0.455 , -0.085 , -0.564 , 0
0.94 , 0.546 , -0.085 , -0.564 , 0
1.02 , 0.594 , -0.087 , -0.511 , 0
1.12 , 0.656 , -0.085 , -0.642 , 0
1.2 , 0.705 , -0.085 , -0.642 , 0
1.3 , 0.768 , -0.085 , -0.708 , 0
1.44 , 0.858 , -0.083 , -0.485 , 0
1.51 , 0.901 , -0.083 , -0.485 , 0
1.6 , 0.962 , -0.096 , -0.616 , 0
1.7 , 1.018 , -0.089 , -0.459 , 0
1.8 , 1.081 , -0.072 , -0.734 , 0
1.94 , 1.17 , -0.072 , -0.734 , 0
2.01 , 1.216 , -0.077 , -0.472 , 0
2.11 , 1.276 , -0.089 , -0.55 , 0
2.2 , 1.33 , -0.089 , -0.55 , 0
2.3 , 1.396 , -0.077 , -0.695 , 0
2.4 , 1.456 , -0.081 , -0.446 , 0
2.5 , 1.518 , -0.087 , -0.537 , 0
2.64 , 1.608 , -0.087 , -0.537 , 0
2.71 , 1.652 , -0.079 , -0.682 , 0
2.8 , 1.712 , -0.089 , -0.76 , 0
2.9 , 1.768 , -0.089 , -0.76 , 0
3.0 , 1.831 , -0.098 , -0.773 , 0
3.14 , 1.921 , -0.085 , -0.721 , 0
3.22 , 1.968 , -0.085 , -0.721 , 0
3.31 , 2.03 , -0.081 , -0.668 , 0
3.4 , 2.08 , -0.085 , -0.799 , 0
3.5 , 2.143 , -0.102 , -0.721 , 0
3.64 , 2.23 , -0.102 , -0.721 , 0
3.7 , 2.271 , -0.077 , -0.734 , 0
3.8 , 2.331 , -0.087 , -0.839 , 0
3.89 , 2.393 , -0.087 , -0.839 , 0
4.0 , 2.456 , -0.072 , -0.786 , 0
4.14 , 2.543 , -0.094 , -0.839 , 0
4.2 , 2.583 , -0.094 , -0.878 , 0
4.3 , 2.644 , -0.094 , -0.878 , 0
4.4 , 2.705 , -0.07 , -0.97 , 0
4.5 , 2.768 , -0.098 , -0.852 , 0
4.64 , 2.859 , -0.098 , -0.852 , 0
4.71 , 2.899 , -0.089 , -0.786 , 0
4.8 , 2.959 , -0.079 , -0.891 , 0
4.9 , 3.018 , -0.089 , -0.682 , 0
5.0 , 3.082 , -0.089 , -0.682 , 0
5.1 , 3.143 , -0.077 , -0.865 , 0
5.2 , 3.205 , -0.1 , -0.865 , 0
5.34 , 3.295 , -0.1 , -0.865 , 0
5.41 , 3.341 , -0.087 , -0.917 , 0
5.51 , 3.402 , -0.089 , -0.878 , 0
5.6 , 3.455 , -0.089 , -0.878 , 0
5.7 , 3.518 , -0.098 , -1.009 , 0
5.83 , 3.603 , -0.085 , -1.062 , 0
5.9 , 3.648 , -0.081 , -1.101 , 0
6.0 , 3.708 , -0.081 , -1.101 , 0
6.1 , 3.768 , -0.087 , -1.062 , 0
6.2 , 3.83 , -0.079 , -1.153 , 0
6.34 , 3.919 , -0.079 , -1.153 , 0
6.4 , 3.96 , -0.085 , -0.996 , 0
6.5 , 4.018 , -0.098 , -0.865 , 0
6.6 , 4.08 , -0.094 , -1.088 , 0
6.7 , 4.143 , -0.094 , -1.088 , 0
6.86 , 4.234 , -0.096 , -1.311 , 0
6.93 , 4.289 , -0.096 , -1.18 , 0
7.03 , 4.35 , -0.096 , -1.18 , 0
7.1 , 4.393 , -0.091 , -1.193 , 0
7.2 , 4.455 , -0.089 , -1.324 , 0
7.34 , 4.544 , -0.089 , -1.324 , 0
7.41 , 4.589 , -0.089 , -1.455 , 0
7.51 , 4.649 , -0.098 , -1.389 , 0
7.6 , 4.705 , -0.083 , -1.297 , 0
7.7 , 4.768 , -0.083 , -1.297 , 0
7.84 , 4.855 , -0.087 , -1.337 , 0
7.9 , 4.898 , -0.085 , -1.52 , 0
8.0 , 4.961 , -0.085 , -1.52 , 0
8.1 , 5.018 , -0.094 , -1.402 , 0
8.2 , 5.081 , -0.085 , -1.638 , 0
8.3 , 5.143 , -0.094 , -1.835 , 0
8.4 , 5.205 , -0.094 , -1.835 , 0
8.54 , 5.294 , -0.077 , -1.874 , 0
8.62 , 5.344 , -0.098 , -1.887 , 0
8.72 , 5.405 , -0.098 , -1.887 , 0
8.8 , 5.455 , -0.089 , -1.73 , 0
8.9 , 5.518 , -0.089 , -1.704 , 0
9.04 , 5.607 , -0.089 , -1.704 , 0
9.11 , 5.648 , -0.085 , -1.874 , 0
9.2 , 5.708 , -0.091 , -1.861 , 0
9.3 , 5.768 , -0.072 , -1.809 , 0
9.4 , 5.83 , -0.072 , -1.809 , 0
9.54 , 5.921 , -0.094 , -1.809 , 0
9.61 , 5.962 , -0.094 , -1.861 , 0
9.7 , 6.019 , -0.094 , -1.861 , 0
9.8 , 6.08 , -0.085 , -1.874 , 0
9.9 , 6.143 , -0.091 , -1.874 , 0
10.0 , 6.205 , -0.091 , -1.809 , 0
10.1 , 6.268 , -0.091 , -1.809 , 0
10.2 , 6.33 , -0.094 , -2.018 , 0
10.3 , 6.393 , -0.091 , -1.835 , 0
10.44 , 6.481 , -0.091 , -1.835 , 0
10.51 , 6.524 , -0.085 , -1.769 , 0
10.61 , 6.586 , -0.094 , -2.005 , 0
10.7 , 6.643 , -0.083 , -1.796 , 0
10.8 , 6.705 , -0.083 , -1.796 , 0
10.94 , 6.795 , -0.087 , -2.162 , 0
11.02 , 6.843 , -0.087 , -2.031 , 0
11.12 , 6.904 , -0.087 , -2.031 , 0
11.2 , 6.955 , -0.096 , -1.966 , 0
11.3 , 7.022 , -0.087 , -2.018 , 0
11.4 , 7.08 , -0.087 , -2.018 , 0
11.5 , 7.143 , -0.089 , -2.084 , 0
11.64 , 7.231 , -0.081 , -1.887 , 0
11.71 , 7.274 , -0.096 , -2.11 , 0
11.81 , 7.335 , -0.096 , -2.11 , 0
11.9 , 7.393 , -0.089 , -1.966 , 0
12.0 , 7.456 , -0.087 , -2.018 , 0
12.1 , 7.518 , -0.087 , -2.018 , 0
12.2 , 7.58 , -0.083 , -2.202 , 0
12.3 , 7.643 , -0.096 , -2.11 , 0
12.4 , 7.705 , -0.074 , -2.136 , 0
12.54 , 7.794 , -0.074 , -2.136 , 0
12.61 , 7.837 , -0.072 , -2.071 , 0
12.71 , 7.901 , -0.096 , -2.215 , 0
12.8 , 7.955 , -0.096 , -2.215 , 0
12.9 , 8.018 , -0.077 , -2.031 , 0
13.04 , 8.109 , -0.087 , -2.058 , 0
13.12 , 8.156 , -0.094 , -2.346 , 0
13.23 , 8.222 , -0.094 , -2.346 , 0
13.3 , 8.268 , -0.081 , -2.018 , 0
13.4 , 8.333 , -0.083 , -2.097 , 0
13.5 , 8.393 , -0.083 , -2.097 , 0
13.6 , 8.456 , -0.085 , -2.32 , 0
13.73 , 8.543 , -0.081 , -2.149 , 0
13.81 , 8.589 , -0.081 , -2.149 , 0
13.91 , 8.652 , -0.087 , -2.136 , 0
14.0 , 8.705 , -0.087 , -2.241 , 0
14.1 , 8.768 , -0.094 , -2.228 , 0
14.2 , 8.83 , -0.094 , -2.228 , 0
14.31 , 8.898 , -0.081 , -2.267 , 0
14.4 , 8.956 , -0.091 , -2.084 , 0
14.5 , 9.019 , -0.091 , -2.084 , 0
14.6 , 9.08 , -0.089 , -2.267 , 0
14.7 , 9.143 , -0.085 , -2.189 , 0
14.84 , 9.229 , -0.085 , -2.189 , 0
14.91 , 9.275 , -0.102 , -2.215 , 0
15.01 , 9.339 , -0.104 , -2.32 , 0
