ech7
rad
Time , Disp, Load , Pressure, Volume
0.09 , 0.0 , -0.034 , -28.388 , 0
0.19 , 0.0 , -0.034 , -28.388 , 0
0.29 , 0.0 , -0.034 , -28.479 , 0
0.4 , 0.0 , -0.021 , -28.611 , 0
0.5 , 0.0 , -0.004 , -28.375 , 0
0.6 , 0.0 , -0.004 , -28.375 , 0
0.7 , 0.0 , -0.011 , -28.414 , 0
0.8 , 0.0 , -0.015 , -28.388 , 0
0.9 , 0.0 , -0.015 , -28.388 , 0
1.0 , 0.0 , -0.021 , -28.296 , 0
1.1 , 0.0 , -0.017 , -28.401 , 0
1.2 , 0.0 , -0.006 , -28.165 , 0
1.3 , 0.0 , -0.006 , -28.165 , 0
1.4 , 0.0 , -0.021 , -28.152 , 0
1.5 , 0.0 , -0.013 , -28.217 , 0
1.6 , 0.0 , -0.013 , -28.217 , 0
1.7 , 0.0 , -0.023 , -27.877 , 0
1.8 , 0.0 , -0.017 , -27.746 , 0
1.9 , 0.0 , -0.017 , -27.746 , 0
2.0 , 0.0 , -0.034 , -27.496 , 0
2.1 , 0.0 , -0.019 , -27.274 , 0
2.2 , 0.0 , -0.021 , -27.077 , 0
2.3 , 0.0 , -0.021 , -27.077 , 0
2.4 , 0.0 , -0.002 , -26.933 , 0
2.5 , 0.0 , -0.032 , -26.435 , 0
2.6 , 0.0 , -0.032 , -26.435 , 0
2.7 , 0.0 , -0.019 , -26.356 , 0
2.8 , 0.0 , -0.021 , -26.002 , 0
2.9 , 0.0 , -0.023 , -25.963 , 0
3.0 , 0.0 , -0.023 , -25.963 , 0
3.1 , 0.0 , -0.017 , -25.583 , 0
3.2 , 0.0 , -0.011 , -25.229 , 0
3.3 , 0.0 , -0.011 , -25.229 , 0
3.4 , 0.0 , -0.017 , -24.901 , 0
3.5 , 0.0 , -0.011 , -24.587 , 0
3.6 , 0.0 , -0.011 , -24.587 , 0
3.7 , 0.0 , -0.017 , -24.036 , 0
3.8 , 0.0 , -0.015 , -23.761 , 0
3.9 , 0.0 , -0.03 , -23.211 , 0
4.0 , 0.0 , -0.03 , -23.211 , 0
4.1 , 0.0 , -0.028 , -22.962 , 0
4.2 , 0.0 , -0.03 , -22.49 , 0
4.3 , 0.0 , -0.03 , -22.49 , 0
4.4 , 0.0 , -0.032 , -22.346 , 0
4.5 , 0.0 , -0.002 , -22.005 , 0
4.6 , 0.0 , -0.028 , -21.625 , 0
4.7 , 0.0 , -0.028 , -21.625 , 0
4.8 , 0.0 , -0.013 , -20.865 , 0
4.9 , 0.0 , -0.015 , -20.17 , 0
5.0 , 0.0 , -0.015 , -20.17 , 0
5.1 , 0.0 , -0.028 , -19.79 , 0
5.2 , 0.0 , -0.017 , -19.594 , 0
5.3 , 0.0 , -0.015 , -18.912 , 0
5.4 , 0.0 , -0.015 , -18.912 , 0
5.5 , 0.0 , -0.03 , -18.427 , 0
5.6 , 0.0 , -0.043 , -17.864 , 0
5.7 , 0.0 , -0.043 , -17.864 , 0
5.8 , 0.0 , -0.032 , -17.248 , 0
5.9 , 0.0 , -0.024 , -16.907 , 0
6.0 , 0.0 , -0.024 , -16.907 , 0
6.09 , 0.0 , -0.032 , -16.343 , 0
6.2 , 0.0 , -0.019 , -15.662 , 0
6.3 , 0.0 , -0.019 , -15.072 , 0
6.4 , 0.0 , -0.019 , -15.072 , 0
6.5 , 0.0 , -0.036 , -14.705 , 0
6.6 , 0.0 , -0.032 , -14.063 , 0
6.7 , 0.0 , -0.032 , -14.063 , 0
6.8 , 0.0 , -0.026 , -13.525 , 0
6.9 , 0.0 , -0.03 , -12.844 , 0
7.0 , 0.0 , -0.043 , -12.28 , 0
7.1 , 0.0 , -0.043 , -12.28 , 0
7.2 , 0.0 , -0.036 , -11.691 , 0
7.3 , 0.0 , -0.024 , -10.983 , 0
7.4 , 0.0 , -0.024 , -10.983 , 0
7.5 , 0.0 , -0.043 , -10.603 , 0
7.6 , 0.0 , -0.03 , -9.934 , 0
7.7 , 0.0 , -0.03 , -9.934 , 0
7.8 , 0.0 , -0.041 , -9.489 , 0
7.9 , 0.0 , -0.036 , -8.978 , 0
8.0 , 0.0 , -0.022 , -8.414 , 0
8.1 , 0.0 , -0.022 , -8.414 , 0
8.2 , 0.0 , -0.028 , -8.1 , 0
8.3 , 0.0 , -0.036 , -7.392 , 0
8.4 , 0.0 , -0.036 , -7.392 , 0
8.5 , 0.0 , -0.03 , -7.038 , 0
8.6 , 0.0 , -0.03 , -6.265 , 0
8.7 , 0.0 , -0.047 , -5.609 , 0
