sample1_2
circ
Time , Disp, Load , Pressure, Volume
0.09 , 6.44 , 0.007 , 0.052 , 0
0.19 , 6.44 , -0.008 , -0.013 , 0
0.29 , 6.44 , 0.005 , 0.026 , 0
0.39 , 6.44 , 0.005 , 0.026 , 0
0.49 , 6.44 , 0.011 , -0.013 , 0
0.59 , 6.44 , 0.005 , -0.092 , 0
0.69 , 6.44 , -0.004 , 0.079 , 0
0.79 , 6.44 , -0.004 , 0.079 , 0
0.89 , 6.44 , 0.005 , -0.144 , 0
0.99 , 6.44 , -0.015 , 0.183 , 0
1.09 , 6.44 , -0.015 , 0.183 , 0
1.19 , 6.44 , 0.017 , 0.079 , 0
1.29 , 6.44 , -0.004 , 0.039 , 0
1.39 , 6.44 , 0.003 , 0.026 , 0
1.49 , 6.44 , 0.003 , 0.026 , 0
1.59 , 6.44 , 0.0 , 0.052 , 0
1.69 , 6.44 , -0.008 , 0.105 , 0
1.79 , 6.44 , -0.008 , 0.105 , 0
1.89 , 6.44 , -0.004 , -0.013 , 0
1.99 , 6.44 , -0.002 , -0.066 , 0
2.09 , 6.44 , 0.009 , -0.066 , 0
2.19 , 6.44 , 0.009 , -0.066 , 0
2.29 , 6.44 , 0.009 , 0.092 , 0
2.39 , 6.44 , 0.02 , 0.105 , 0
2.49 , 6.44 , 0.02 , 0.105 , 0
2.59 , 6.44 , 0.009 , 0.079 , 0
2.69 , 6.44 , -0.002 , -0.131 , 0
2.79 , 6.44 , -0.002 , -0.131 , 0
2.89 , 6.44 , 0.0 , 0.157 , 0
2.99 , 6.44 , 0.013 , 0.013 , 0
3.09 , 6.44 , 0.009 , 0.039 , 0
3.19 , 6.44 , 0.009 , 0.039 , 0
3.29 , 6.44 , 0.011 , 0.079 , 0
3.39 , 6.44 , 0.003 , 0.052 , 0
3.49 , 6.44 , 0.003 , 0.052 , 0
3.59 , 6.44 , 0.02 , -0.066 , 0
3.69 , 6.44 , -0.002 , 0.079 , 0
3.79 , 6.44 , 0.005 , 0.052 , 0
3.89 , 6.44 , 0.005 , 0.052 , 0
3.99 , 6.44 , 0.005 , 0.144 , 0
4.09 , 6.44 , -0.004 , 0.013 , 0
4.19 , 6.44 , -0.004 , 0.013 , 0
4.29 , 6.44 , -0.01 , -0.105 , 0
4.39 , 6.44 , -0.01 , -0.039 , 0
4.49 , 6.44 , -0.01 , -0.039 , 0
4.59 , 6.44 , -0.012 , -0.105 , 0
4.69 , 6.44 , -0.004 , 0.026 , 0
4.79 , 6.44 , -0.021 , -0.079 , 0
4.89 , 6.44 , -0.021 , -0.079 , 0
4.99 , 6.44 , -0.008 , -0.118 , 0
5.09 , 6.44 , 0.005 , -0.039 , 0
5.19 , 6.44 , 0.005 , -0.039 , 0
5.3 , 6.44 , -0.004 , 0.079 , 0
5.39 , 6.44 , -0.004 , -0.249 , 0
5.49 , 6.44 , -0.002 , -0.079 , 0
5.59 , 6.44 , -0.002 , -0.079 , 0
5.69 , 6.44 , -0.008 , 0.079 , 0
5.79 , 6.44 , -0.004 , 0.118 , 0
5.89 , 6.44 , -0.004 , 0.118 , 0
5.99 , 6.44 , -0.017 , 0.066 , 0
6.09 , 6.44 , 0.007 , 0.105 , 0
6.19 , 6.44 , 0.007 , 0.105 , 0
6.29 , 6.44 , 0.0 , 0.092 , 0
6.39 , 6.44 , -0.015 , 0.066 , 0
6.49 , 6.44 , -0.002 , -0.118 , 0
6.6 , 6.44 , -0.002 , -0.118 , 0
6.69 , 6.44 , -0.01 , -0.079 , 0
6.79 , 6.44 , 0.0 , 0.026 , 0
6.89 , 6.44 , 0.0 , 0.026 , 0
6.99 , 6.44 , 0.0 , 0.0 , 0
7.1 , 6.44 , -0.004 , -0.21 , 0
7.19 , 6.44 , -0.012 , -0.052 , 0
7.3 , 6.44 , -0.012 , -0.052 , 0
7.4 , 6.44 , -0.012 , -0.092 , 0
7.49 , 6.44 , -0.006 , 0.039 , 0
7.6 , 6.44 , -0.006 , 0.039 , 0
7.7 , 6.44 , -0.015 , -0.039 , 0
7.79 , 6.44 , 0.003 , 0.079 , 0
7.89 , 6.44 , 0.003 , 0.079 , 0
8.0 , 6.44 , -0.004 , -0.105 , 0
8.1 , 6.44 , 0.003 , -0.262 , 0
8.19 , 6.44 , 0.005 , -0.144 , 0
8.3 , 6.44 , 0.005 , -0.144 , 0
8.39 , 6.44 , -0.004 , -0.197 , 0
8.49 , 6.44 , 0.0 , -0.262 , 0
8.59 , 6.44 , 0.0 , -0.262 , 0
8.69 , 6.44 , -0.004 , -0.157 , 0
