sample1
circ
Time , Disp, Load , Pressure, Volume
0.11 , 0.032 , -0.021 , 0.223 , 0
0.19 , 0.081 , -0.027 , 0.079 , 0
0.29 , 0.143 , -0.027 , 0.079 , 0
0.44 , 0.231 , -0.032 , 0.013 , 0
0.52 , 0.283 , -0.021 , -0.052 , 0
0.61 , 0.343 , -0.021 , -0.052 , 0
0.7 , 0.394 , -0.004 , -0.131 , 0
0.8 , 0.457 , -0.006 , -0.183 , 0
0.94 , 0.545 , -0.002 , -0.144 , 0
1.01 , 0.592 , -0.002 , -0.144 , 0
1.11 , 0.652 , -0.019 , -0.197 , 0
1.2 , 0.706 , -0.019 , -0.17 , 0
1.3 , 0.769 , -0.019 , -0.17 , 0
1.44 , 0.86 , -0.013 , -0.328 , 0
1.52 , 0.909 , 0.013 , -0.197 , 0
1.62 , 0.97 , 0.009 , -0.236 , 0
1.7 , 1.019 , 0.009 , -0.236 , 0
1.8 , 1.081 , 0.009 , -0.341 , 0
1.94 , 1.17 , 0.017 , -0.367 , 0
2.01 , 1.215 , 0.017 , -0.367 , 0
2.11 , 1.275 , 0.019 , -0.629 , 0
2.2 , 1.331 , 0.024 , -0.446 , 0
2.3 , 1.394 , 0.024 , -0.446 , 0
2.4 , 1.456 , 0.024 , -0.655 , 0
2.5 , 1.52 , 0.017 , -0.55 , 0
2.6 , 1.581 , 0.032 , -0.446 , 0
2.7 , 1.645 , 0.032 , -0.446 , 0
2.8 , 1.707 , 0.03 , -0.55 , 0
2.9 , 1.769 , 0.028 , -0.76 , 0
3.04 , 1.86 , 0.028 , -0.76 , 0
3.11 , 1.902 , 0.051 , -0.564 , 0
3.21 , 1.966 , 0.047 , -0.642 , 0
3.3 , 2.019 , 0.041 , -0.76 , 0
3.4 , 2.081 , 0.041 , -0.76 , 0
3.54 , 2.172 , 0.034 , -0.773 , 0
3.62 , 2.218 , 0.038 , -0.826 , 0
3.71 , 2.278 , 0.038 , -0.826 , 0
3.8 , 2.331 , 0.03 , -0.826 , 0
3.9 , 2.394 , 0.047 , -1.022 , 0
4.04 , 2.483 , 0.045 , -0.852 , 0
4.1 , 2.522 , 0.045 , -0.852 , 0
4.2 , 2.584 , 0.051 , -1.075 , 0
4.3 , 2.644 , 0.062 , -1.075 , 0
4.4 , 2.706 , 0.062 , -1.075 , 0
4.54 , 2.797 , 0.056 , -0.944 , 0
4.61 , 2.837 , 0.06 , -1.284 , 0
4.7 , 2.898 , 0.06 , -1.284 , 0
4.8 , 2.956 , 0.079 , -0.97 , 0
4.9 , 3.019 , 0.081 , -1.18 , 0
5.04 , 3.108 , 0.094 , -1.363 , 0
5.11 , 3.154 , 0.094 , -1.363 , 0
5.22 , 3.218 , 0.083 , -1.284 , 0
5.3 , 3.269 , 0.09 , -1.494 , 0
5.4 , 3.331 , 0.09 , -1.494 , 0
5.54 , 3.42 , 0.094 , -1.153 , 0
5.61 , 3.461 , 0.09 , -1.52 , 0
5.7 , 3.522 , 0.085 , -1.258 , 0
5.8 , 3.581 , 0.085 , -1.258 , 0
5.9 , 3.644 , 0.109 , -1.311 , 0
6.04 , 3.73 , 0.102 , -1.389 , 0
6.1 , 3.772 , 0.102 , -1.389 , 0
6.2 , 3.832 , 0.104 , -1.481 , 0
6.34 , 3.92 , 0.107 , -1.743 , 0
6.42 , 3.969 , 0.132 , -1.704 , 0
6.51 , 4.028 , 0.132 , -1.704 , 0
6.6 , 4.081 , 0.121 , -1.547 , 0
6.7 , 4.144 , 0.143 , -1.796 , 0
6.8 , 4.206 , 0.143 , -1.796 , 0
6.9 , 4.269 , 0.136 , -1.704 , 0
7.04 , 4.357 , 0.151 , -1.691 , 0
7.12 , 4.405 , 0.151 , -1.887 , 0
7.21 , 4.465 , 0.151 , -1.887 , 0
7.3 , 4.519 , 0.168 , -1.887 , 0
7.4 , 4.582 , 0.168 , -1.717 , 0
7.54 , 4.671 , 0.168 , -1.717 , 0
7.61 , 4.713 , 0.164 , -1.782 , 0
7.7 , 4.771 , 0.162 , -1.953 , 0
7.8 , 4.831 , 0.162 , -1.953 , 0
7.9 , 4.894 , 0.177 , -1.927 , 0
8.0 , 4.956 , 0.189 , -2.031 , 0
