sample3
circ
Time , Disp, Load , Pressure, Volume
0.07 , 7.005 , 0.002 , -102.817 , 0
0.16 , 7.063 , -0.003 , -102.987 , 0
0.25 , 7.115 , -0.003 , -102.987 , 0
0.35 , 7.177 , -0.003 , -102.791 , 0
0.49 , 7.265 , 0.008 , -102.804 , 0
0.56 , 7.309 , 0.008 , -102.804 , 0
0.66 , 7.37 , 0.002 , -102.738 , 0
0.75 , 7.427 , -0.007 , -102.751 , 0
0.85 , 7.49 , -0.0 , -102.699 , 0
0.99 , 7.58 , -0.0 , -102.699 , 0
1.06 , 7.62 , 0.006 , -102.817 , 0
1.15 , 7.68 , -0.0 , -102.869 , 0
1.25 , 7.74 , -0.0 , -102.869 , 0
1.35 , 7.803 , 0.01 , -102.568 , 0
1.5 , 7.894 , -0.0 , -102.699 , 0
1.57 , 7.941 , -0.0 , -102.568 , 0
1.67 , 8.002 , -0.0 , -102.568 , 0
1.75 , 8.052 , -0.013 , -102.633 , 0
1.85 , 8.115 , -0.007 , -102.516 , 0
1.99 , 8.203 , -0.007 , -102.516 , 0
2.06 , 8.245 , 0.012 , -102.542 , 0
2.16 , 8.306 , 0.008 , -102.542 , 0
2.25 , 8.365 , 0.008 , -102.542 , 0
2.35 , 8.428 , -0.009 , -102.647 , 0
2.49 , 8.517 , 0.012 , -102.398 , 0
2.57 , 8.563 , 0.004 , -102.581 , 0
2.67 , 8.625 , 0.004 , -102.581 , 0
2.75 , 8.678 , -0.003 , -102.607 , 0
2.85 , 8.74 , 0.01 , -102.581 , 0
2.99 , 8.826 , 0.01 , -102.581 , 0
3.05 , 8.866 , 0.01 , -102.424 , 0
3.15 , 8.928 , 0.002 , -102.424 , 0
3.25 , 8.99 , 0.002 , -102.424 , 0
3.35 , 9.052 , -0.005 , -102.424 , 0
3.49 , 9.141 , 0.006 , -102.358 , 0
3.57 , 9.191 , -0.011 , -102.463 , 0
3.67 , 9.251 , -0.011 , -102.463 , 0
3.75 , 9.302 , -0.005 , -102.332 , 0
