traction_long1
rad
Time , Disp, Load , Pressure, Volume
0.11 , 0.017 , -0.096 , 5.531 , 0
0.19 , 0.038 , -0.087 , 5.74 , 0
0.29 , 0.066 , -0.092 , 5.714 , 0
0.43 , 0.105 , -0.092 , 5.714 , 0
0.5 , 0.125 , -0.089 , 5.714 , 0
0.6 , 0.153 , -0.092 , 5.57 , 0
0.69 , 0.177 , -0.081 , 5.636 , 0
0.79 , 0.205 , -0.081 , 5.636 , 0
0.94 , 0.245 , -0.089 , 5.649 , 0
1.02 , 0.267 , -0.083 , 5.858 , 0
1.11 , 0.294 , -0.083 , 5.858 , 0
1.19 , 0.316 , -0.098 , 5.819 , 0
1.29 , 0.344 , -0.098 , 5.963 , 0
1.43 , 0.383 , -0.098 , 5.963 , 0
1.5 , 0.402 , -0.085 , 5.688 , 0
1.6 , 0.429 , -0.081 , 5.688 , 0
1.69 , 0.455 , -0.094 , 5.688 , 0
1.79 , 0.483 , -0.094 , 5.688 , 0
1.94 , 0.523 , -0.089 , 5.767 , 0
2.01 , 0.543 , -0.094 , 5.924 , 0
2.1 , 0.57 , -0.094 , 5.924 , 0
2.19 , 0.594 , -0.079 , 5.478 , 0
2.29 , 0.622 , -0.089 , 5.636 , 0
2.44 , 0.662 , -0.085 , 5.583 , 0
2.51 , 0.683 , -0.085 , 5.583 , 0
2.61 , 0.711 , -0.083 , 5.701 , 0
2.69 , 0.733 , -0.092 , 5.583 , 0
2.79 , 0.761 , -0.092 , 5.583 , 0
2.94 , 0.801 , -0.077 , 5.767 , 0
3.01 , 0.821 , -0.096 , 5.596 , 0
3.11 , 0.848 , -0.096 , 5.596 , 0
3.19 , 0.872 , -0.098 , 5.636 , 0
3.29 , 0.9 , -0.098 , 5.806 , 0
3.43 , 0.939 , -0.089 , 5.714 , 0
3.5 , 0.958 , -0.089 , 5.714 , 0
3.6 , 0.985 , -0.087 , 5.872 , 0
3.69 , 1.011 , -0.085 , 5.924 , 0
3.79 , 1.038 , -0.085 , 5.924 , 0
3.94 , 1.078 , -0.113 , 5.727 , 0
4.01 , 1.1 , -0.077 , 5.636 , 0
4.11 , 1.128 , -0.085 , 5.649 , 0
4.19 , 1.149 , -0.085 , 5.649 , 0
4.29 , 1.177 , -0.098 , 5.78 , 0
4.44 , 1.217 , -0.081 , 5.767 , 0
4.51 , 1.236 , -0.081 , 5.767 , 0
4.6 , 1.263 , -0.079 , 5.793 , 0
4.69 , 1.288 , -0.085 , 5.675 , 0
4.79 , 1.316 , -0.085 , 5.675 , 0
4.93 , 1.355 , -0.072 , 5.911 , 0
5.01 , 1.376 , -0.087 , 5.806 , 0
5.11 , 1.403 , -0.079 , 5.78 , 0
5.19 , 1.427 , -0.079 , 5.78 , 0
5.29 , 1.455 , -0.1 , 5.649 , 0
5.43 , 1.494 , -0.087 , 5.754 , 0
5.51 , 1.515 , -0.096 , 5.649 , 0
