caro_circ_I
circ
Time , Disp, Load , Pressure, Volume
0.07 , 0.005 , -0.23 , 122.974 , 0
0.16 , 0.058 , -0.204 , 123.0 , 0
0.26 , 0.11 , -0.228 , 122.856 , 0
0.35 , 0.162 , -0.228 , 122.856 , 0
0.44 , 0.211 , -0.2 , 122.856 , 0
0.54 , 0.267 , -0.213 , 122.935 , 0
0.68 , 0.345 , -0.213 , 122.935 , 0
0.74 , 0.381 , -0.174 , 122.935 , 0
0.84 , 0.434 , -0.255 , 122.882 , 0
0.94 , 0.489 , -0.255 , 122.882 , 0
1.04 , 0.544 , -0.213 , 122.909 , 0
1.18 , 0.623 , -0.138 , 122.804 , 0
1.25 , 0.665 , -0.094 , 123.066 , 0
1.35 , 0.72 , -0.094 , 123.066 , 0
1.44 , 0.767 , -0.066 , 122.922 , 0
1.54 , 0.822 , -0.125 , 122.961 , 0
1.68 , 0.902 , -0.125 , 122.961 , 0
1.75 , 0.941 , -0.151 , 123.026 , 0
1.85 , 0.995 , -0.043 , 122.961 , 0
1.94 , 1.044 , -0.043 , 122.961 , 0
2.04 , 1.1 , 0.0 , 123.04 , 0
2.18 , 1.178 , 0.104 , 123.131 , 0
2.25 , 1.219 , 0.151 , 122.935 , 0
2.35 , 1.274 , 0.151 , 122.935 , 0
2.44 , 1.322 , 0.208 , 123.026 , 0
2.54 , 1.377 , 0.242 , 123.013 , 0
2.68 , 1.457 , 0.242 , 123.013 , 0
2.75 , 1.495 , 0.245 , 122.909 , 0
2.85 , 1.551 , 0.242 , 122.935 , 0
2.94 , 1.6 , 0.306 , 122.83 , 0
3.04 , 1.655 , 0.306 , 122.83 , 0
3.18 , 1.733 , 0.327 , 122.935 , 0
3.25 , 1.773 , 0.296 , 123.0 , 0
3.35 , 1.83 , 0.296 , 123.0 , 0
3.44 , 1.877 , 0.342 , 123.04 , 0
3.54 , 1.933 , 0.364 , 122.83 , 0
3.64 , 1.988 , 0.364 , 122.83 , 0
3.74 , 2.045 , 0.379 , 122.882 , 0
3.84 , 2.1 , 0.461 , 122.843 , 0
3.94 , 2.156 , 0.451 , 122.948 , 0
4.08 , 2.234 , 0.451 , 122.948 , 0
4.15 , 2.272 , 0.451 , 123.0 , 0
4.25 , 2.329 , 0.485 , 122.935 , 0
4.34 , 2.377 , 0.485 , 122.935 , 0
4.44 , 2.433 , 0.51 , 122.987 , 0
4.58 , 2.51 , 0.534 , 123.105 , 0
4.65 , 2.55 , 0.557 , 122.961 , 0
4.75 , 2.605 , 0.557 , 122.961 , 0
4.84 , 2.655 , 0.578 , 123.026 , 0
4.94 , 2.711 , 0.589 , 123.013 , 0
5.08 , 2.787 , 0.589 , 123.013 , 0
5.15 , 2.827 , 0.627 , 123.013 , 0
5.25 , 2.883 , 0.661 , 122.948 , 0
5.34 , 2.933 , 0.661 , 122.948 , 0
5.44 , 2.989 , 0.689 , 122.961 , 0
5.58 , 3.066 , 0.749 , 122.909 , 0
5.65 , 3.106 , 0.791 , 122.961 , 0
5.74 , 3.157 , 0.791 , 122.961 , 0
5.84 , 3.211 , 0.827 , 122.869 , 0
5.94 , 3.267 , 0.87 , 122.895 , 0
6.04 , 3.322 , 0.87 , 122.895 , 0
6.14 , 3.38 , 0.972 , 123.0 , 0
6.24 , 3.433 , 0.993 , 122.895 , 0
6.34 , 3.489 , 1.076 , 123.053 , 0
6.44 , 3.544 , 1.076 , 123.053 , 0
6.54 , 3.6 , 1.174 , 123.105 , 0
6.68 , 3.676 , 1.257 , 122.987 , 0
6.75 , 3.716 , 1.257 , 122.987 , 0
6.85 , 3.773 , 1.389 , 122.83 , 0
6.94 , 3.822 , 1.527 , 122.922 , 0
7.04 , 3.878 , 1.527 , 122.922 , 0
7.18 , 3.955 , 1.635 , 123.131 , 0
7.25 , 3.997 , 1.757 , 122.895 , 0
7.35 , 4.052 , 1.91 , 122.987 , 0
7.44 , 4.1 , 1.91 , 122.987 , 0
7.54 , 4.155 , 2.063 , 122.935 , 0
7.67 , 4.231 , 2.209 , 122.948 , 0
7.75 , 4.275 , 2.409 , 122.974 , 0
7.85 , 4.328 , 2.409 , 122.974 , 0
7.94 , 4.378 , 2.52 , 122.948 , 0
8.04 , 4.433 , 2.701 , 123.131 , 0
8.18 , 4.512 , 2.701 , 123.131 , 0
8.25 , 4.55 , 2.86 , 123.118 , 0
8.35 , 4.604 , 3.02 , 123.0 , 0
8.44 , 4.655 , 3.02 , 123.0 , 0
8.54 , 4.711 , 3.226 , 122.895 , 0
8.68 , 4.791 , 3.402 , 122.895 , 0
8.76 , 4.832 , 3.575 , 123.184 , 0
8.85 , 4.885 , 3.575 , 123.184 , 0
8.94 , 4.933 , 3.787 , 122.817 , 0
9.04 , 4.988 , 3.953 , 123.026 , 0
9.18 , 5.067 , 3.953 , 123.026 , 0
9.24 , 5.103 , 4.183 , 123.079 , 0
9.34 , 5.158 , 4.368 , 123.026 , 0
9.44 , 5.211 , 4.368 , 123.026 , 0
9.54 , 5.266 , 4.598 , 123.0 , 0
9.68 , 5.343 , 4.808 , 123.079 , 0
9.75 , 5.385 , 5.036 , 122.843 , 0
9.85 , 5.44 , 5.036 , 122.843 , 0
9.94 , 5.489 , 5.259 , 122.948 , 0
10.04 , 5.544 , 5.514 , 122.791 , 0
