caro_circ_II
circ
Time , Disp, Load , Pressure, Volume
0.11 , -0.472 , 0.064 , 122.188 , 0
0.19 , -0.428 , 0.064 , 122.188 , 0
0.29 , -0.373 , 0.043 , 122.306 , 0
0.43 , -0.296 , 0.049 , 122.345 , 0
0.5 , -0.254 , 0.04 , 122.437 , 0
0.6 , -0.201 , 0.04 , 122.437 , 0
0.69 , -0.15 , 0.077 , 122.358 , 0
0.79 , -0.095 , 0.072 , 122.266 , 0
0.93 , -0.015 , 0.072 , 122.266 , 0
1.0 , 0.022 , 0.066 , 122.083 , 0
1.09 , 0.075 , 0.079 , 122.358 , 0
1.19 , 0.128 , 0.1 , 122.345 , 0
1.29 , 0.184 , 0.1 , 122.345 , 0
1.43 , 0.262 , 0.117 , 122.148 , 0
1.5 , 0.303 , 0.108 , 122.397 , 0
1.6 , 0.356 , 0.108 , 122.397 , 0
1.69 , 0.405 , 0.136 , 122.358 , 0
1.79 , 0.461 , 0.153 , 122.371 , 0
1.93 , 0.54 , 0.13 , 122.41 , 0
2.0 , 0.58 , 0.13 , 122.41 , 0
2.1 , 0.633 , 0.183 , 122.188 , 0
2.19 , 0.683 , 0.187 , 122.214 , 0
2.29 , 0.74 , 0.187 , 122.214 , 0
2.39 , 0.794 , 0.198 , 122.293 , 0
2.49 , 0.85 , 0.215 , 122.45 , 0
2.63 , 0.931 , 0.215 , 122.45 , 0
2.71 , 0.974 , 0.213 , 122.476 , 0
2.81 , 1.027 , 0.215 , 122.279 , 0
2.89 , 1.072 , 0.238 , 122.293 , 0
2.99 , 1.128 , 0.238 , 122.293 , 0
3.13 , 1.207 , 0.247 , 122.214 , 0
3.21 , 1.251 , 0.253 , 122.253 , 0
3.31 , 1.306 , 0.253 , 122.253 , 0
3.39 , 1.35 , 0.257 , 122.083 , 0
3.49 , 1.406 , 0.274 , 122.319 , 0
3.63 , 1.483 , 0.31 , 122.345 , 0
3.71 , 1.526 , 0.31 , 122.345 , 0
3.8 , 1.579 , 0.325 , 122.306 , 0
3.89 , 1.628 , 0.342 , 122.358 , 0
3.99 , 1.683 , 0.342 , 122.358 , 0
4.13 , 1.762 , 0.345 , 122.135 , 0
4.21 , 1.804 , 0.37 , 122.306 , 0
4.3 , 1.854 , 0.37 , 122.306 , 0
4.39 , 1.905 , 0.406 , 122.266 , 0
4.49 , 1.961 , 0.438 , 122.266 , 0
4.62 , 2.037 , 0.474 , 122.266 , 0
4.7 , 2.078 , 0.474 , 122.266 , 0
4.79 , 2.129 , 0.5 , 122.253 , 0
4.89 , 2.183 , 0.57 , 122.594 , 0
4.99 , 2.239 , 0.57 , 122.594 , 0
5.09 , 2.295 , 0.729 , 122.332 , 0
5.19 , 2.35 , 0.687 , 122.384 , 0
5.33 , 2.429 , 0.729 , 122.45 , 0
5.41 , 2.471 , 0.729 , 122.45 , 0
5.5 , 2.522 , 0.738 , 122.437 , 0
5.59 , 2.572 , 0.753 , 122.424 , 0
5.69 , 2.628 , 0.753 , 122.424 , 0
5.83 , 2.707 , 0.791 , 122.384 , 0
5.91 , 2.747 , 0.823 , 122.188 , 0
6.01 , 2.803 , 0.876 , 122.227 , 0
6.09 , 2.85 , 0.876 , 122.227 , 0
6.19 , 2.906 , 0.923 , 122.345 , 0
6.33 , 2.983 , 0.953 , 122.41 , 0
6.41 , 3.029 , 0.953 , 122.41 , 0
6.51 , 3.083 , 1.025 , 122.24 , 0
6.59 , 3.128 , 1.089 , 122.24 , 0
6.69 , 3.183 , 1.089 , 122.24 , 0
6.79 , 3.239 , 1.133 , 122.24 , 0
6.89 , 3.294 , 1.21 , 122.345 , 0
7.03 , 3.373 , 1.28 , 122.161 , 0
7.11 , 3.417 , 1.28 , 122.161 , 0
7.2 , 3.469 , 1.359 , 122.096 , 0
7.29 , 3.517 , 1.444 , 122.384 , 0
7.39 , 3.572 , 1.444 , 122.384 , 0
7.53 , 3.65 , 1.52 , 122.266 , 0
7.6 , 3.689 , 1.601 , 122.214 , 0
7.7 , 3.744 , 1.678 , 122.358 , 0
7.79 , 3.794 , 1.678 , 122.358 , 0
7.89 , 3.85 , 1.797 , 122.07 , 0
8.03 , 3.926 , 1.931 , 122.201 , 0
8.1 , 3.965 , 1.931 , 122.201 , 0
8.19 , 4.019 , 2.022 , 122.293 , 0
8.29 , 4.072 , 2.171 , 122.135 , 0
8.39 , 4.128 , 2.171 , 122.135 , 0
8.53 , 4.207 , 2.303 , 122.227 , 0
8.61 , 4.249 , 2.454 , 122.41 , 0
8.71 , 4.304 , 2.628 , 122.345 , 0
8.79 , 4.35 , 2.628 , 122.345 , 0
8.89 , 4.406 , 2.767 , 122.109 , 0
9.03 , 4.484 , 2.939 , 122.214 , 0
9.11 , 4.527 , 3.109 , 122.083 , 0
9.21 , 4.582 , 3.109 , 122.083 , 0
9.29 , 4.628 , 3.29 , 122.109 , 0
9.39 , 4.683 , 3.49 , 122.175 , 0
9.53 , 4.763 , 3.49 , 122.175 , 0
9.61 , 4.806 , 3.732 , 122.122 , 0
9.71 , 4.859 , 3.93 , 122.122 , 0
9.79 , 4.906 , 3.93 , 122.122 , 0
9.89 , 4.961 , 4.14 , 122.148 , 0
10.03 , 5.037 , 4.385 , 122.017 , 0
10.1 , 5.077 , 4.629 , 122.253 , 0
10.2 , 5.131 , 4.629 , 122.253 , 0
10.29 , 5.183 , 4.842 , 122.253 , 0
10.39 , 5.239 , 5.14 , 122.109 , 0
10.49 , 5.294 , 5.14 , 122.109 , 0
10.59 , 5.35 , 5.367 , 122.371 , 0
10.73 , 5.429 , 5.654 , 122.24 , 0
10.81 , 5.472 , 5.927 , 122.201 , 0
10.91 , 5.525 , 5.927 , 122.201 , 0
10.99 , 5.572 , 6.199 , 122.201 , 0
11.09 , 5.628 , 6.446 , 122.175 , 0
11.23 , 5.708 , 6.446 , 122.175 , 0
11.31 , 5.749 , 6.724 , 122.017 , 0
