caro_circ_III
circ
Time , Disp, Load , Pressure, Volume
0.11 , 0.029 , 0.017 , 121.65 , 0
0.19 , 0.073 , 0.017 , 121.65 , 0
0.29 , 0.129 , 0.023 , 121.703 , 0
0.43 , 0.206 , 0.013 , 121.703 , 0
0.51 , 0.249 , 0.019 , 121.834 , 0
0.6 , 0.302 , 0.019 , 121.834 , 0
0.69 , 0.351 , 0.03 , 121.991 , 0
0.79 , 0.407 , 0.03 , 121.939 , 0
0.93 , 0.486 , 0.03 , 121.939 , 0
1.0 , 0.523 , 0.036 , 121.834 , 0
1.09 , 0.576 , 0.036 , 121.729 , 0
1.19 , 0.629 , 0.036 , 121.729 , 0
1.29 , 0.686 , 0.072 , 121.821 , 0
1.39 , 0.74 , 0.068 , 121.821 , 0
1.49 , 0.796 , 0.057 , 121.912 , 0
1.63 , 0.876 , 0.057 , 121.912 , 0
1.7 , 0.913 , 0.079 , 122.057 , 0
1.8 , 0.967 , 0.089 , 122.581 , 0
1.89 , 1.018 , 0.089 , 122.581 , 0
1.99 , 1.073 , 0.074 , 123.013 , 0
2.13 , 1.151 , 0.072 , 123.04 , 0
2.21 , 1.196 , 0.089 , 123.131 , 0
2.31 , 1.251 , 0.089 , 123.131 , 0
2.39 , 1.296 , 0.106 , 123.42 , 0
2.49 , 1.351 , 0.138 , 123.59 , 0
2.63 , 1.43 , 0.138 , 123.59 , 0
2.71 , 1.474 , 0.111 , 123.59 , 0
2.81 , 1.527 , 0.136 , 123.59 , 0
2.89 , 1.573 , 0.136 , 123.59 , 0
2.99 , 1.629 , 0.147 , 123.944 , 0
3.13 , 1.706 , 0.157 , 124.154 , 0
3.21 , 1.75 , 0.155 , 124.036 , 0
3.3 , 1.803 , 0.155 , 124.036 , 0
3.39 , 1.851 , 0.172 , 123.97 , 0
3.49 , 1.909 , 0.191 , 124.009 , 0
3.59 , 1.962 , 0.191 , 124.009 , 0
3.69 , 2.018 , 0.225 , 123.983 , 0
3.83 , 2.098 , 0.23 , 124.258 , 0
3.9 , 2.137 , 0.259 , 124.219 , 0
4.0 , 2.189 , 0.259 , 124.219 , 0
4.09 , 2.24 , 0.257 , 124.416 , 0
4.19 , 2.297 , 0.287 , 124.416 , 0
4.29 , 2.351 , 0.287 , 124.416 , 0
