caro_circ_IV
circ
Time , Disp, Load , Pressure, Volume
0.11 , 0.029 , 0.04 , 120.484 , 0
0.19 , 0.073 , 0.034 , 120.602 , 0
0.29 , 0.129 , 0.034 , 120.379 , 0
0.43 , 0.208 , 0.034 , 120.379 , 0
0.5 , 0.245 , 0.023 , 120.563 , 0
0.59 , 0.297 , 0.055 , 120.563 , 0
0.69 , 0.352 , 0.049 , 120.445 , 0
0.79 , 0.408 , 0.049 , 120.445 , 0
0.89 , 0.462 , 0.064 , 120.733 , 0
0.99 , 0.518 , 0.066 , 120.589 , 0
1.13 , 0.598 , 0.066 , 120.589 , 0
1.21 , 0.638 , 0.077 , 120.431 , 0
1.3 , 0.692 , 0.091 , 120.615 , 0
1.39 , 0.74 , 0.106 , 120.405 , 0
1.49 , 0.796 , 0.106 , 120.405 , 0
1.63 , 0.875 , 0.113 , 120.366 , 0
1.71 , 0.916 , 0.096 , 120.563 , 0
1.81 , 0.971 , 0.096 , 120.563 , 0
1.89 , 1.018 , 0.132 , 120.445 , 0
1.99 , 1.074 , 0.14 , 120.327 , 0
2.13 , 1.152 , 0.14 , 120.327 , 0
2.2 , 1.191 , 0.155 , 120.589 , 0
2.3 , 1.245 , 0.151 , 120.484 , 0
2.39 , 1.296 , 0.183 , 120.445 , 0
2.49 , 1.351 , 0.183 , 120.445 , 0
2.63 , 1.431 , 0.191 , 120.458 , 0
2.71 , 1.471 , 0.183 , 120.628 , 0
2.8 , 1.526 , 0.183 , 120.628 , 0
2.89 , 1.573 , 0.215 , 120.405 , 0
2.99 , 1.629 , 0.242 , 120.431 , 0
3.14 , 1.71 , 0.228 , 120.366 , 0
3.21 , 1.751 , 0.228 , 120.366 , 0
3.31 , 1.805 , 0.262 , 120.51 , 0
3.39 , 1.852 , 0.296 , 120.536 , 0
3.49 , 1.907 , 0.296 , 120.536 , 0
3.63 , 1.985 , 0.302 , 120.497 , 0
3.71 , 2.027 , 0.31 , 120.366 , 0
3.81 , 2.082 , 0.336 , 120.274 , 0
3.89 , 2.129 , 0.336 , 120.274 , 0
3.99 , 2.185 , 0.359 , 120.392 , 0
4.13 , 2.263 , 0.417 , 120.589 , 0
4.2 , 2.302 , 0.417 , 120.589 , 0
4.3 , 2.355 , 0.417 , 120.327 , 0
4.39 , 2.407 , 0.483 , 120.287 , 0
4.49 , 2.462 , 0.483 , 120.287 , 0
4.63 , 2.541 , 0.527 , 120.392 , 0
4.7 , 2.581 , 0.555 , 120.445 , 0
4.8 , 2.633 , 0.634 , 120.379 , 0
4.89 , 2.685 , 0.634 , 120.379 , 0
4.99 , 2.741 , 0.693 , 120.563 , 0
5.13 , 2.816 , 0.772 , 120.445 , 0
5.2 , 2.856 , 0.772 , 120.445 , 0
5.3 , 2.911 , 0.846 , 120.418 , 0
5.39 , 2.963 , 0.961 , 120.366 , 0
5.49 , 3.018 , 1.076 , 120.445 , 0
5.63 , 3.096 , 1.076 , 120.445 , 0
5.71 , 3.138 , 1.206 , 120.287 , 0
5.81 , 3.194 , 1.367 , 120.235 , 0
5.89 , 3.24 , 1.367 , 120.235 , 0
5.99 , 3.296 , 1.527 , 120.235 , 0
6.13 , 3.374 , 1.663 , 120.431 , 0
6.21 , 3.419 , 1.816 , 120.274 , 0
6.31 , 3.471 , 1.816 , 120.274 , 0
6.39 , 3.518 , 1.986 , 120.392 , 0
6.49 , 3.573 , 2.131 , 120.235 , 0
6.63 , 3.65 , 2.131 , 120.235 , 0
6.7 , 3.688 , 2.267 , 120.274 , 0
6.8 , 3.745 , 2.42 , 120.392 , 0
6.89 , 3.796 , 2.42 , 120.392 , 0
6.99 , 3.852 , 2.516 , 120.431 , 0
7.13 , 3.928 , 2.616 , 120.34 , 0
7.2 , 3.969 , 2.722 , 120.523 , 0
7.3 , 4.021 , 2.722 , 120.523 , 0
7.39 , 4.073 , 2.822 , 120.563 , 0
7.49 , 4.129 , 2.911 , 120.549 , 0
7.63 , 4.208 , 2.911 , 120.549 , 0
7.71 , 4.25 , 2.935 , 120.327 , 0
7.81 , 4.305 , 3.02 , 120.471 , 0
7.89 , 4.351 , 3.02 , 120.471 , 0
7.99 , 4.407 , 3.079 , 120.3 , 0
8.13 , 4.486 , 3.132 , 120.431 , 0
8.2 , 4.524 , 3.169 , 120.576 , 0
8.3 , 4.579 , 3.169 , 120.576 , 0
8.39 , 4.629 , 3.211 , 120.418 , 0
8.49 , 4.685 , 3.258 , 120.379 , 0
8.63 , 4.763 , 3.258 , 120.379 , 0
8.7 , 4.8 , 3.296 , 120.431 , 0
8.79 , 4.851 , 3.317 , 120.497 , 0
8.93 , 4.931 , 3.358 , 120.523 , 0
9.01 , 4.971 , 3.358 , 120.523 , 0
9.11 , 5.027 , 3.381 , 120.458 , 0
9.19 , 5.073 , 3.424 , 120.379 , 0
9.29 , 5.131 , 3.424 , 120.379 , 0
9.39 , 5.185 , 3.46 , 120.314 , 0
9.49 , 5.24 , 3.494 , 120.445 , 0
9.63 , 5.321 , 3.526 , 120.445 , 0
9.71 , 5.364 , 3.526 , 120.445 , 0
9.81 , 5.419 , 3.579 , 120.458 , 0
9.89 , 5.462 , 3.604 , 120.458 , 0
9.99 , 5.518 , 3.604 , 120.458 , 0
10.13 , 5.596 , 3.647 , 120.366 , 0
10.2 , 5.635 , 3.673 , 120.274 , 0
10.29 , 5.686 , 3.673 , 120.274 , 0
10.39 , 5.74 , 3.696 , 120.445 , 0
10.5 , 5.799 , 3.758 , 120.327 , 0
10.59 , 5.851 , 3.828 , 120.34 , 0
10.69 , 5.907 , 3.828 , 120.34 , 0
10.83 , 5.987 , 3.866 , 120.366 , 0
10.91 , 6.03 , 3.911 , 120.576 , 0
11.01 , 6.086 , 3.911 , 120.576 , 0
11.1 , 6.134 , 3.949 , 120.314 , 0
11.2 , 6.189 , 4.036 , 120.34 , 0
11.29 , 6.24 , 4.06 , 120.405 , 0
11.39 , 6.296 , 4.06 , 120.405 , 0
11.49 , 6.351 , 4.098 , 120.261 , 0
11.59 , 6.407 , 4.138 , 120.484 , 0
11.73 , 6.485 , 4.138 , 120.484 , 0
11.8 , 6.524 , 4.179 , 120.13 , 0
11.9 , 6.578 , 4.228 , 120.418 , 0
11.99 , 6.629 , 4.228 , 120.418 , 0
12.09 , 6.685 , 4.268 , 120.314 , 0
12.23 , 6.764 , 4.268 , 120.3 , 0
12.3 , 6.802 , 4.296 , 120.418 , 0
12.4 , 6.858 , 4.296 , 120.418 , 0
12.49 , 6.907 , 4.302 , 120.379 , 0
12.59 , 6.962 , 4.298 , 120.353 , 0
12.73 , 7.042 , 4.298 , 120.353 , 0
12.8 , 7.081 , 4.317 , 120.379 , 0
12.9 , 7.134 , 4.342 , 120.314 , 0
12.99 , 7.184 , 4.374 , 120.209 , 0
13.09 , 7.241 , 4.374 , 120.209 , 0
13.19 , 7.296 , 4.406 , 120.353 , 0
13.29 , 7.352 , 4.466 , 120.392 , 0
13.43 , 7.43 , 4.466 , 120.392 , 0
13.5 , 7.469 , 4.487 , 120.405 , 0
13.6 , 7.526 , 4.508 , 120.51 , 0
13.69 , 7.573 , 4.508 , 120.51 , 0
13.79 , 7.629 , 4.544 , 120.405 , 0
13.89 , 7.685 , 4.581 , 120.549 , 0
14.0 , 7.744 , 4.602 , 120.392 , 0
14.09 , 7.796 , 4.602 , 120.392 , 0
14.2 , 7.854 , 4.687 , 120.314 , 0
14.29 , 7.907 , 4.749 , 120.366 , 0
14.39 , 7.965 , 4.749 , 120.366 , 0
14.49 , 8.018 , 4.78 , 120.523 , 0
14.6 , 8.077 , 4.817 , 120.287 , 0
14.69 , 8.129 , 4.874 , 120.353 , 0
14.8 , 8.188 , 4.874 , 120.353 , 0
14.89 , 8.24 , 4.936 , 120.209 , 0
14.99 , 8.296 , 4.976 , 120.235 , 0
15.09 , 8.351 , 4.976 , 120.235 , 0
15.2 , 8.409 , 5.01 , 120.458 , 0
15.29 , 8.463 , 5.016 , 120.471 , 0
15.4 , 8.522 , 5.068 , 120.287 , 0
15.49 , 8.573 , 5.068 , 120.287 , 0
15.59 , 8.631 , 5.087 , 120.458 , 0
15.69 , 8.685 , 5.112 , 120.458 , 0
15.8 , 8.744 , 5.112 , 120.458 , 0
15.89 , 8.796 , 5.14 , 120.51 , 0
15.99 , 8.851 , 5.174 , 120.248 , 0
16.13 , 8.931 , 5.174 , 120.248 , 0
16.21 , 8.972 , 5.189 , 120.379 , 0
16.3 , 9.022 , 5.236 , 120.248 , 0
16.39 , 9.073 , 5.248 , 120.222 , 0
16.5 , 9.133 , 5.248 , 120.222 , 0
16.59 , 9.185 , 5.274 , 120.379 , 0
16.69 , 9.242 , 5.314 , 120.497 , 0
16.79 , 9.296 , 5.314 , 120.497 , 0
16.89 , 9.353 , 5.34 , 120.3 , 0
16.99 , 9.407 , 5.355 , 120.314 , 0
17.1 , 9.466 , 5.389 , 120.327 , 0
17.19 , 9.518 , 5.389 , 120.327 , 0
17.29 , 9.574 , 5.412 , 120.431 , 0
17.43 , 9.65 , 5.431 , 120.287 , 0
17.5 , 9.691 , 5.431 , 120.287 , 0
17.59 , 9.742 , 5.491 , 120.314 , 0
17.69 , 9.796 , 5.512 , 120.353 , 0
17.8 , 9.855 , 5.512 , 120.353 , 0
17.89 , 9.907 , 5.537 , 120.34 , 0
17.99 , 9.965 , 5.563 , 120.209 , 0
18.09 , 10.018 , 5.589 , 120.353 , 0
18.19 , 10.076 , 5.589 , 120.353 , 0
18.29 , 10.129 , 5.601 , 120.261 , 0
18.39 , 10.185 , 5.597 , 120.379 , 0
18.53 , 10.262 , 5.597 , 120.379 , 0
18.61 , 10.304 , 5.597 , 120.248 , 0
18.71 , 10.36 , 5.606 , 120.13 , 0
18.79 , 10.407 , 5.597 , 120.418 , 0
18.9 , 10.466 , 5.597 , 120.418 , 0
18.99 , 10.518 , 5.599 , 120.34 , 0
19.09 , 10.575 , 5.601 , 120.327 , 0
19.19 , 10.629 , 5.601 , 120.327 , 0
19.29 , 10.685 , 5.599 , 120.143 , 0
19.39 , 10.74 , 5.595 , 120.169 , 0
19.49 , 10.797 , 5.569 , 120.261 , 0
19.59 , 10.851 , 5.569 , 120.261 , 0
19.7 , 10.91 , 5.563 , 120.34 , 0
19.79 , 10.962 , 5.535 , 120.117 , 0
19.89 , 11.018 , 5.535 , 120.117 , 0
20.02 , 11.093 , 5.548 , 120.327 , 0
20.1 , 11.135 , 5.555 , 120.314 , 0
20.2 , 11.193 , 5.555 , 120.314 , 0
20.29 , 11.24 , 5.559 , 120.471 , 0
20.39 , 11.296 , 5.548 , 120.353 , 0
20.52 , 11.37 , 5.555 , 120.353 , 0
20.6 , 11.414 , 5.555 , 120.353 , 0
20.71 , 11.472 , 5.552 , 120.366 , 0
20.79 , 11.518 , 5.559 , 120.379 , 0
20.89 , 11.574 , 5.559 , 120.379 , 0
20.99 , 11.629 , 5.593 , 120.248 , 0
21.09 , 11.686 , 5.591 , 120.248 , 0
21.19 , 11.74 , 5.593 , 120.353 , 0
21.29 , 11.796 , 5.593 , 120.353 , 0
21.43 , 11.876 , 5.606 , 120.169 , 0
21.51 , 11.917 , 5.599 , 120.248 , 0
21.61 , 11.974 , 5.599 , 120.248 , 0
21.69 , 12.018 , 5.62 , 120.078 , 0
21.79 , 12.074 , 5.627 , 120.379 , 0
21.93 , 12.149 , 5.627 , 120.379 , 0
22.0 , 12.192 , 5.644 , 120.222 , 0
22.1 , 12.247 , 5.608 , 120.143 , 0
22.19 , 12.296 , 5.569 , 120.209 , 0
22.29 , 12.351 , 5.569 , 120.209 , 0
22.43 , 12.432 , 5.552 , 120.287 , 0
22.51 , 12.472 , 5.523 , 120.064 , 0
22.6 , 12.525 , 5.523 , 120.064 , 0
22.69 , 12.573 , 5.495 , 120.314 , 0
22.8 , 12.633 , 5.469 , 120.274 , 0
22.89 , 12.684 , 5.482 , 120.182 , 0
22.99 , 12.74 , 5.482 , 120.182 , 0
23.13 , 12.819 , 5.501 , 120.392 , 0
23.21 , 12.861 , 5.503 , 120.169 , 0
23.31 , 12.919 , 5.503 , 120.169 , 0
23.39 , 12.962 , 5.531 , 120.182 , 0
23.5 , 13.021 , 5.58 , 120.222 , 0
23.59 , 13.073 , 5.58 , 120.222 , 0
23.69 , 13.129 , 5.608 , 120.34 , 0
23.83 , 13.205 , 5.644 , 120.458 , 0
23.9 , 13.248 , 5.671 , 120.418 , 0
24.0 , 13.303 , 5.671 , 120.418 , 0
24.09 , 13.351 , 5.703 , 120.431 , 0
24.19 , 13.406 , 5.718 , 120.327 , 0
24.33 , 13.483 , 5.718 , 120.327 , 0
24.4 , 13.526 , 5.723 , 120.209 , 0
24.5 , 13.578 , 5.769 , 120.261 , 0
24.59 , 13.629 , 5.759 , 120.235 , 0
24.7 , 13.688 , 5.759 , 120.235 , 0
24.79 , 13.74 , 5.763 , 120.314 , 0
24.89 , 13.795 , 5.791 , 120.366 , 0
25.03 , 13.874 , 5.791 , 120.366 , 0
25.11 , 13.917 , 5.795 , 120.392 , 0
25.2 , 13.968 , 5.78 , 120.458 , 0
25.29 , 14.018 , 5.791 , 120.235 , 0
25.4 , 14.077 , 5.791 , 120.235 , 0
25.49 , 14.129 , 5.78 , 120.392 , 0
25.59 , 14.185 , 5.801 , 120.156 , 0
25.73 , 14.264 , 5.801 , 120.156 , 0
25.81 , 14.31 , 5.82 , 120.169 , 0
25.91 , 14.362 , 5.812 , 120.379 , 0
25.99 , 14.407 , 5.812 , 120.379 , 0
26.09 , 14.465 , 5.812 , 120.261 , 0
26.19 , 14.518 , 5.774 , 120.169 , 0
26.29 , 14.573 , 5.769 , 120.379 , 0
26.43 , 14.651 , 5.769 , 120.379 , 0
26.5 , 14.693 , 5.752 , 120.222 , 0
26.61 , 14.75 , 5.778 , 120.3 , 0
26.69 , 14.796 , 5.778 , 120.3 , 0
26.79 , 14.853 , 5.774 , 120.287 , 0
26.89 , 14.907 , 5.795 , 120.3 , 0
27.0 , 14.965 , 5.786 , 120.34 , 0
27.09 , 15.018 , 5.786 , 120.34 , 0
27.19 , 15.073 , 5.788 , 120.248 , 0
27.33 , 15.152 , 5.799 , 120.261 , 0
27.41 , 15.197 , 5.799 , 120.261 , 0
27.51 , 15.249 , 5.788 , 120.327 , 0
27.59 , 15.296 , 5.774 , 120.248 , 0
27.69 , 15.351 , 5.774 , 120.248 , 0
27.83 , 15.431 , 5.748 , 120.431 , 0
27.91 , 15.475 , 5.763 , 120.248 , 0
28.01 , 15.527 , 5.75 , 120.104 , 0
28.09 , 15.575 , 5.75 , 120.104 , 0
28.2 , 15.634 , 5.746 , 120.366 , 0
28.29 , 15.684 , 5.71 , 120.078 , 0
28.39 , 15.742 , 5.71 , 120.078 , 0
28.49 , 15.796 , 5.733 , 120.143 , 0
28.59 , 15.851 , 5.72 , 120.431 , 0
28.73 , 15.93 , 5.737 , 120.274 , 0
28.81 , 15.975 , 5.737 , 120.274 , 0
28.92 , 16.034 , 5.729 , 120.327 , 0
29.0 , 16.078 , 5.733 , 120.222 , 0
29.11 , 16.138 , 5.733 , 120.222 , 0
29.19 , 16.184 , 5.705 , 120.379 , 0
29.3 , 16.245 , 5.701 , 120.327 , 0
29.39 , 16.296 , 5.701 , 120.327 , 0
29.49 , 16.351 , 5.654 , 120.431 , 0
29.63 , 16.432 , 5.678 , 120.274 , 0
29.71 , 16.476 , 5.652 , 120.248 , 0
29.82 , 16.533 , 5.652 , 120.248 , 0
29.89 , 16.576 , 5.693 , 120.051 , 0
30.0 , 16.637 , 5.695 , 120.156 , 0
30.09 , 16.684 , 5.695 , 120.156 , 0
30.2 , 16.743 , 5.688 , 120.327 , 0
30.29 , 16.795 , 5.705 , 120.078 , 0
30.4 , 16.856 , 5.716 , 120.274 , 0
30.49 , 16.907 , 5.716 , 120.274 , 0
30.59 , 16.965 , 5.708 , 120.182 , 0
30.69 , 17.018 , 5.723 , 120.13 , 0
30.8 , 17.078 , 5.723 , 120.13 , 0
30.89 , 17.129 , 5.725 , 120.196 , 0
30.99 , 17.185 , 5.725 , 120.182 , 0
31.13 , 17.263 , 5.723 , 120.104 , 0
31.22 , 17.309 , 5.723 , 120.104 , 0
31.31 , 17.364 , 5.723 , 120.117 , 0
31.39 , 17.409 , 5.723 , 120.117 , 0
31.5 , 17.466 , 5.723 , 120.117 , 0
31.59 , 17.518 , 5.71 , 120.379 , 0
31.7 , 17.577 , 5.695 , 120.222 , 0
31.79 , 17.629 , 5.695 , 120.222 , 0
31.9 , 17.687 , 5.661 , 120.104 , 0
31.99 , 17.74 , 5.64 , 120.209 , 0
32.09 , 17.796 , 5.58 , 120.209 , 0
32.23 , 17.872 , 5.58 , 120.209 , 0
32.31 , 17.919 , 5.548 , 120.182 , 0
32.41 , 17.973 , 5.514 , 120.327 , 0
32.49 , 18.019 , 5.514 , 120.327 , 0
32.59 , 18.075 , 5.482 , 120.078 , 0
32.69 , 18.129 , 5.457 , 120.104 , 0
32.8 , 18.189 , 5.438 , 120.314 , 0
32.89 , 18.24 , 5.438 , 120.314 , 0
32.99 , 18.295 , 5.401 , 120.078 , 0
33.13 , 18.372 , 5.378 , 120.235 , 0
33.21 , 18.416 , 5.378 , 120.235 , 0
33.3 , 18.467 , 5.369 , 120.3 , 0
33.39 , 18.518 , 5.291 , 120.222 , 0
33.49 , 18.573 , 5.291 , 120.222 , 0
33.63 , 18.649 , 5.259 , 120.222 , 0
33.72 , 18.701 , 5.221 , 120.117 , 0
33.82 , 18.755 , 5.142 , 120.196 , 0
33.9 , 18.8 , 5.142 , 120.196 , 0
33.99 , 18.853 , 5.114 , 120.235 , 0
34.09 , 18.906 , 5.027 , 120.209 , 0
34.22 , 18.981 , 4.859 , 120.078 , 0
34.3 , 19.025 , 4.859 , 120.078 , 0
34.4 , 19.081 , 4.319 , 120.078 , 0
34.49 , 19.129 , 3.792 , 120.3 , 0
34.59 , 19.185 , 3.792 , 120.3 , 0
34.73 , 19.263 , 3.326 , 120.261 , 0
34.81 , 19.309 , 3.005 , 120.169 , 0
34.92 , 19.365 , 3.005 , 120.169 , 0
35.0 , 19.412 , 2.826 , 120.209 , 0
35.09 , 19.463 , 2.75 , 120.156 , 0
35.19 , 19.518 , 2.75 , 120.156 , 0
35.29 , 19.574 , 2.722 , 120.156 , 0
35.43 , 19.652 , 2.739 , 120.235 , 0
35.51 , 19.697 , 2.735 , 120.222 , 0
35.61 , 19.749 , 2.735 , 120.222 , 0
35.69 , 19.795 , 2.733 , 119.999 , 0
35.79 , 19.851 , 2.739 , 120.169 , 0
35.93 , 19.927 , 2.739 , 120.169 , 0
36.01 , 19.972 , 2.72 , 120.169 , 0
36.1 , 20.024 , 2.682 , 120.078 , 0
36.19 , 20.073 , 2.637 , 120.117 , 0
36.29 , 20.129 , 2.637 , 120.117 , 0
36.39 , 20.184 , 2.558 , 120.182 , 0
36.49 , 20.24 , 2.571 , 120.091 , 0
36.63 , 20.32 , 2.571 , 120.091 , 0
36.71 , 20.365 , 2.543 , 120.091 , 0
36.82 , 20.421 , 2.533 , 120.156 , 0
36.91 , 20.472 , 2.514 , 120.169 , 0
37.01 , 20.529 , 2.514 , 120.169 , 0
37.1 , 20.581 , 2.518 , 120.078 , 0
37.2 , 20.634 , 2.518 , 119.986 , 0
37.29 , 20.684 , 2.518 , 119.986 , 0
37.39 , 20.74 , 2.522 , 120.169 , 0
37.53 , 20.818 , 2.55 , 120.104 , 0
37.61 , 20.865 , 2.556 , 120.209 , 0
37.72 , 20.921 , 2.556 , 120.209 , 0
37.81 , 20.972 , 2.586 , 120.169 , 0
37.91 , 21.032 , 2.601 , 119.973 , 0
38.0 , 21.078 , 2.601 , 119.973 , 0
38.11 , 21.137 , 2.607 , 120.051 , 0
38.19 , 21.184 , 2.607 , 120.209 , 0
38.29 , 21.24 , 2.607 , 120.209 , 0
38.43 , 21.318 , 2.59 , 120.392 , 0
38.51 , 21.362 , 2.609 , 120.314 , 0
38.61 , 21.417 , 2.609 , 120.314 , 0
38.69 , 21.462 , 2.622 , 120.248 , 0
38.79 , 21.518 , 2.637 , 120.327 , 0
38.93 , 21.594 , 2.648 , 120.261 , 0
39.0 , 21.637 , 2.648 , 120.261 , 0
39.1 , 21.692 , 2.643 , 120.287 , 0
39.19 , 21.74 , 2.662 , 120.156 , 0
39.29 , 21.796 , 2.662 , 120.156 , 0
39.43 , 21.873 , 2.645 , 120.366 , 0
39.52 , 21.921 , 2.645 , 120.353 , 0
39.61 , 21.976 , 2.639 , 120.366 , 0
39.69 , 22.02 , 2.639 , 120.366 , 0
39.8 , 22.076 , 2.618 , 120.314 , 0
39.89 , 22.129 , 2.637 , 120.182 , 0
39.99 , 22.184 , 2.637 , 120.182 , 0
40.13 , 22.264 , 2.626 , 120.34 , 0
40.21 , 22.308 , 2.62 , 120.405 , 0
40.31 , 22.363 , 2.626 , 120.327 , 0
40.39 , 22.408 , 2.626 , 120.327 , 0
40.49 , 22.462 , 2.614 , 120.274 , 0
40.63 , 22.541 , 2.592 , 120.169 , 0
40.72 , 22.588 , 2.609 , 120.327 , 0
40.81 , 22.642 , 2.609 , 120.327 , 0
40.89 , 22.686 , 2.605 , 120.235 , 0
40.99 , 22.74 , 2.605 , 120.235 , 0
41.09 , 22.796 , 2.592 , 120.248 , 0
41.19 , 22.851 , 2.611 , 120.222 , 0
41.33 , 22.93 , 2.597 , 120.235 , 0
41.41 , 22.974 , 2.597 , 120.235 , 0
41.51 , 23.027 , 2.616 , 120.196 , 0
41.6 , 23.078 , 2.626 , 120.222 , 0
41.7 , 23.137 , 2.626 , 120.222 , 0
41.79 , 23.186 , 2.637 , 120.366 , 0
41.89 , 23.241 , 2.645 , 120.182 , 0
41.99 , 23.295 , 2.675 , 120.117 , 0
42.09 , 23.351 , 2.675 , 120.117 , 0
42.23 , 23.431 , 2.662 , 120.13 , 0
42.32 , 23.476 , 2.667 , 120.379 , 0
42.42 , 23.534 , 2.667 , 120.379 , 0
42.51 , 23.585 , 2.65 , 120.156 , 0
42.62 , 23.643 , 2.628 , 120.025 , 0
42.7 , 23.69 , 2.603 , 120.182 , 0
42.79 , 23.741 , 2.603 , 120.182 , 0
42.89 , 23.796 , 2.588 , 120.327 , 0
42.99 , 23.853 , 2.579 , 120.261 , 0
43.09 , 23.907 , 2.579 , 120.261 , 0
43.19 , 23.962 , 2.556 , 120.209 , 0
43.33 , 24.041 , 2.558 , 120.379 , 0
43.42 , 24.091 , 2.556 , 120.3 , 0
43.53 , 24.152 , 2.556 , 120.3 , 0
43.62 , 24.201 , 2.554 , 120.274 , 0
43.71 , 24.251 , 2.552 , 120.405 , 0
43.79 , 24.298 , 2.552 , 120.405 , 0
43.89 , 24.351 , 2.543 , 120.379 , 0
43.99 , 24.406 , 2.503 , 120.248 , 0
44.09 , 24.463 , 2.503 , 120.248 , 0
44.19 , 24.518 , 2.518 , 120.392 , 0
44.29 , 24.573 , 2.492 , 120.314 , 0
44.43 , 24.652 , 2.477 , 120.117 , 0
44.51 , 24.696 , 2.477 , 120.117 , 0
44.62 , 24.754 , 2.477 , 120.327 , 0
44.7 , 24.8 , 2.46 , 120.235 , 0
44.79 , 24.854 , 2.46 , 120.235 , 0
44.89 , 24.907 , 2.465 , 120.497 , 0
44.99 , 24.962 , 2.45 , 120.248 , 0
45.13 , 25.041 , 2.45 , 120.248 , 0
45.21 , 25.086 , 2.473 , 120.235 , 0
45.31 , 25.141 , 2.46 , 120.261 , 0
45.4 , 25.189 , 2.456 , 120.169 , 0
45.49 , 25.241 , 2.456 , 120.169 , 0
45.59 , 25.295 , 2.439 , 120.445 , 0
45.69 , 25.353 , 2.431 , 120.34 , 0
45.79 , 25.406 , 2.431 , 120.34 , 0
45.89 , 25.462 , 2.418 , 120.353 , 0
46.03 , 25.542 , 2.399 , 120.471 , 0
46.12 , 25.588 , 2.384 , 120.431 , 0
46.21 , 25.641 , 2.384 , 120.431 , 0
46.3 , 25.688 , 2.386 , 120.405 , 0
46.4 , 25.743 , 2.369 , 120.418 , 0
46.49 , 25.795 , 2.369 , 120.418 , 0
46.6 , 25.855 , 2.369 , 120.405 , 0
46.69 , 25.907 , 2.348 , 120.248 , 0
46.79 , 25.964 , 2.348 , 120.248 , 0
46.89 , 26.018 , 2.365 , 120.274 , 0
46.99 , 26.073 , 2.365 , 120.445 , 0
47.09 , 26.129 , 2.367 , 120.235 , 0
47.19 , 26.184 , 2.367 , 120.235 , 0
47.29 , 26.24 , 2.363 , 120.274 , 0
47.39 , 26.296 , 2.371 , 120.445 , 0
47.53 , 26.375 , 2.371 , 120.445 , 0
47.61 , 26.42 , 2.356 , 120.248 , 0
47.72 , 26.476 , 2.326 , 120.3 , 0
47.8 , 26.524 , 2.29 , 120.274 , 0
47.9 , 26.578 , 2.29 , 120.274 , 0
47.99 , 26.629 , 2.256 , 120.248 , 0
48.1 , 26.687 , 2.243 , 120.458 , 0
48.19 , 26.74 , 2.243 , 120.458 , 0
48.29 , 26.797 , 2.224 , 120.327 , 0
48.39 , 26.851 , 2.214 , 120.379 , 0
48.5 , 26.91 , 2.214 , 120.379 , 0
48.59 , 26.962 , 2.182 , 120.261 , 0
48.69 , 27.018 , 2.167 , 120.392 , 0
48.83 , 27.097 , 2.141 , 120.327 , 0
48.92 , 27.147 , 2.127 , 120.34 , 0
49.03 , 27.204 , 2.127 , 120.34 , 0
49.11 , 27.253 , 2.097 , 120.196 , 0
49.21 , 27.308 , 2.097 , 120.196 , 0
49.3 , 27.356 , 2.076 , 120.353 , 0
49.4 , 27.411 , 2.056 , 120.458 , 0
49.49 , 27.464 , 2.067 , 120.156 , 0
49.6 , 27.52 , 2.067 , 120.156 , 0
49.69 , 27.574 , 2.041 , 120.563 , 0
49.79 , 27.63 , 1.997 , 120.431 , 0
49.89 , 27.684 , 1.997 , 120.431 , 0
49.99 , 27.741 , 1.984 , 120.287 , 0
50.09 , 27.795 , 1.963 , 120.458 , 0
50.19 , 27.851 , 1.92 , 120.34 , 0
50.33 , 27.931 , 1.92 , 120.34 , 0
50.42 , 27.978 , 1.871 , 120.261 , 0
50.51 , 28.031 , 1.803 , 120.431 , 0
50.6 , 28.078 , 1.803 , 120.431 , 0
50.69 , 28.13 , 1.74 , 120.34 , 0
50.84 , 28.212 , 1.667 , 120.379 , 0
50.92 , 28.259 , 1.612 , 120.34 , 0
51.02 , 28.313 , 1.612 , 120.34 , 0
51.11 , 28.363 , 1.54 , 120.261 , 0
51.2 , 28.415 , 1.501 , 120.497 , 0
51.29 , 28.463 , 1.501 , 120.497 , 0
51.39 , 28.518 , 1.463 , 120.471 , 0
51.53 , 28.596 , 1.427 , 120.196 , 0
51.62 , 28.646 , 1.365 , 120.196 , 0
51.72 , 28.699 , 1.365 , 120.196 , 0
51.81 , 28.752 , 1.31 , 120.445 , 0
51.91 , 28.808 , 1.274 , 120.445 , 0
52.01 , 28.86 , 1.274 , 120.445 , 0
52.1 , 28.914 , 1.167 , 120.458 , 0
52.19 , 28.964 , 0.863 , 120.431 , 0
52.29 , 29.017 , 0.863 , 120.431 , 0
52.44 , 29.098 , 0.695 , 120.314 , 0
52.52 , 29.146 , 0.6 , 120.405 , 0
52.62 , 29.199 , 0.534 , 120.549 , 0
52.71 , 29.251 , 0.534 , 120.549 , 0
52.81 , 29.305 , 0.525 , 120.392 , 0
52.89 , 29.352 , 0.495 , 120.418 , 0
53.0 , 29.41 , 0.495 , 120.418 , 0
53.09 , 29.463 , 0.449 , 120.287 , 0
