caro_circ_V
circ
Time , Disp, Load , Pressure, Volume
0.11 , 1.589 , -0.015 , 119.973 , 0
0.18 , 1.631 , -0.013 , 120.051 , 0
0.28 , 1.686 , -0.011 , 120.025 , 0
0.37 , 1.735 , -0.011 , 120.025 , 0
0.47 , 1.791 , -0.008 , 120.13 , 0
0.57 , 1.846 , -0.017 , 120.091 , 0
0.67 , 1.902 , 0.0 , 119.999 , 0
0.81 , 1.98 , 0.0 , 119.999 , 0
0.89 , 2.022 , -0.019 , 120.064 , 0
0.98 , 2.074 , 0.0 , 119.973 , 0
1.07 , 2.124 , 0.0 , 119.973 , 0
1.17 , 2.18 , 0.004 , 119.973 , 0
1.31 , 2.259 , 0.011 , 119.776 , 0
1.39 , 2.303 , 0.038 , 119.907 , 0
1.49 , 2.358 , 0.038 , 119.907 , 0
1.57 , 2.402 , 0.019 , 119.907 , 0
1.67 , 2.457 , 0.026 , 120.169 , 0
1.81 , 2.536 , 0.026 , 120.169 , 0
1.88 , 2.573 , 0.032 , 120.091 , 0
1.98 , 2.629 , 0.045 , 119.907 , 0
2.07 , 2.68 , 0.045 , 119.907 , 0
2.17 , 2.736 , 0.06 , 119.999 , 0
2.32 , 2.815 , 0.053 , 120.038 , 0
2.39 , 2.854 , 0.06 , 119.999 , 0
2.48 , 2.904 , 0.06 , 119.999 , 0
2.57 , 2.957 , 0.074 , 119.868 , 0
2.67 , 3.013 , 0.072 , 119.881 , 0
2.77 , 3.069 , 0.072 , 119.881 , 0
2.87 , 3.124 , 0.102 , 119.986 , 0
3.02 , 3.204 , 0.087 , 119.907 , 0
3.09 , 3.243 , 0.098 , 119.933 , 0
3.18 , 3.296 , 0.098 , 119.933 , 0
3.27 , 3.347 , 0.111 , 119.907 , 0
3.37 , 3.402 , 0.117 , 119.96 , 0
3.52 , 3.481 , 0.117 , 119.96 , 0
3.58 , 3.519 , 0.14 , 119.789 , 0
3.68 , 3.573 , 0.134 , 119.868 , 0
3.77 , 3.624 , 0.134 , 119.868 , 0
3.87 , 3.68 , 0.155 , 119.829 , 0
4.01 , 3.758 , 0.155 , 119.776 , 0
4.09 , 3.801 , 0.17 , 120.038 , 0
4.18 , 3.852 , 0.17 , 120.038 , 0
4.27 , 3.902 , 0.194 , 120.064 , 0
4.37 , 3.958 , 0.206 , 119.907 , 0
4.51 , 4.036 , 0.206 , 119.907 , 0
4.58 , 4.072 , 0.223 , 119.868 , 0
4.68 , 4.127 , 0.247 , 120.182 , 0
4.77 , 4.179 , 0.276 , 119.933 , 0
4.87 , 4.235 , 0.276 , 119.933 , 0
5.01 , 4.314 , 0.319 , 119.842 , 0
5.08 , 4.353 , 0.347 , 119.999 , 0
5.19 , 4.409 , 0.347 , 119.999 , 0
5.27 , 4.458 , 0.383 , 119.96 , 0
5.37 , 4.513 , 0.434 , 119.933 , 0
5.52 , 4.593 , 0.434 , 119.933 , 0
5.59 , 4.635 , 0.498 , 119.855 , 0
5.69 , 4.689 , 0.568 , 119.855 , 0
5.77 , 4.735 , 0.646 , 119.933 , 0
5.87 , 4.791 , 0.646 , 119.933 , 0
6.01 , 4.867 , 0.729 , 119.907 , 0
6.08 , 4.906 , 0.812 , 119.986 , 0
6.17 , 4.958 , 0.812 , 119.986 , 0
6.27 , 5.013 , 0.931 , 120.038 , 0
6.37 , 5.069 , 1.057 , 119.842 , 0
6.51 , 5.147 , 1.178 , 119.973 , 0
6.59 , 5.187 , 1.178 , 119.973 , 0
6.69 , 5.243 , 1.297 , 119.973 , 0
6.77 , 5.291 , 1.476 , 119.947 , 0
6.87 , 5.347 , 1.476 , 119.947 , 0
7.01 , 5.425 , 1.599 , 119.868 , 0
7.09 , 5.465 , 1.767 , 119.855 , 0
7.18 , 5.519 , 1.961 , 119.881 , 0
7.27 , 5.569 , 1.961 , 119.881 , 0
7.37 , 5.624 , 2.135 , 119.92 , 0
7.51 , 5.704 , 2.331 , 119.842 , 0
7.59 , 5.745 , 2.331 , 119.842 , 0
7.68 , 5.796 , 2.554 , 119.986 , 0
7.77 , 5.847 , 2.707 , 120.064 , 0
7.87 , 5.902 , 2.707 , 120.064 , 0
8.01 , 5.981 , 2.896 , 119.947 , 0
8.09 , 6.024 , 3.092 , 120.104 , 0
8.18 , 6.075 , 3.271 , 119.96 , 0
8.27 , 6.124 , 3.271 , 119.96 , 0
8.38 , 6.182 , 3.483 , 120.038 , 0
8.47 , 6.235 , 3.709 , 119.96 , 0
8.57 , 6.291 , 3.709 , 119.96 , 0
8.71 , 6.367 , 3.953 , 120.012 , 0
8.78 , 6.405 , 4.198 , 120.012 , 0
8.87 , 6.458 , 4.393 , 119.763 , 0
8.97 , 6.513 , 4.393 , 119.763 , 0
9.07 , 6.569 , 4.634 , 119.999 , 0
9.21 , 6.648 , 4.857 , 119.868 , 0
9.29 , 6.688 , 4.857 , 119.868 , 0
9.38 , 6.739 , 5.07 , 119.855 , 0
9.47 , 6.791 , 5.318 , 119.986 , 0
9.57 , 6.846 , 5.318 , 119.986 , 0
9.71 , 6.925 , 5.555 , 119.973 , 0
9.79 , 6.966 , 5.782 , 120.012 , 0
9.88 , 7.017 , 6.027 , 120.182 , 0
9.97 , 7.069 , 6.027 , 120.182 , 0
10.07 , 7.124 , 6.301 , 120.13 , 0
10.22 , 7.204 , 6.56 , 120.13 , 0
10.29 , 7.247 , 6.786 , 120.117 , 0
10.39 , 7.301 , 6.786 , 120.117 , 0
10.47 , 7.346 , 7.056 , 119.881 , 0
10.57 , 7.402 , 7.283 , 119.947 , 0
10.67 , 7.457 , 7.283 , 119.947 , 0
10.77 , 7.513 , 7.604 , 120.078 , 0
10.91 , 7.591 , 7.877 , 119.973 , 0
10.98 , 7.631 , 7.877 , 119.973 , 0
11.08 , 7.682 , 8.091 , 119.868 , 0
11.17 , 7.735 , 8.31 , 120.078 , 0
11.27 , 7.791 , 8.31 , 120.078 , 0
11.41 , 7.869 , 8.498 , 119.933 , 0
11.5 , 7.916 , 8.71 , 119.947 , 0
11.59 , 7.97 , 8.961 , 119.802 , 0
11.67 , 8.013 , 8.961 , 119.802 , 0
11.77 , 8.068 , 9.182 , 119.986 , 0
11.91 , 8.144 , 9.065 , 119.973 , 0
11.99 , 8.187 , 9.102 , 119.894 , 0
12.08 , 8.241 , 9.102 , 119.894 , 0
12.17 , 8.291 , 9.578 , 119.973 , 0
12.27 , 8.346 , 9.899 , 120.025 , 0
12.41 , 8.422 , 9.899 , 120.025 , 0
12.49 , 8.466 , 10.254 , 119.907 , 0
12.59 , 8.524 , 10.545 , 119.881 , 0
12.67 , 8.569 , 10.545 , 119.881 , 0
12.77 , 8.624 , 10.754 , 119.947 , 0
12.92 , 8.704 , 10.669 , 119.973 , 0
12.99 , 8.746 , 9.282 , 119.802 , 0
13.09 , 8.8 , 9.282 , 119.802 , 0
13.17 , 8.846 , 8.402 , 119.815 , 0
13.27 , 8.902 , 8.07 , 119.999 , 0
13.41 , 8.98 , 8.07 , 119.999 , 0
13.48 , 9.019 , 7.858 , 119.96 , 0
13.58 , 9.074 , 7.59 , 120.091 , 0
13.67 , 9.124 , 7.59 , 120.091 , 0
13.77 , 9.181 , 7.373 , 119.96 , 0
13.87 , 9.235 , 7.088 , 120.156 , 0
13.97 , 9.292 , 6.826 , 120.078 , 0
14.07 , 9.346 , 6.826 , 120.078 , 0
14.18 , 9.405 , 6.446 , 120.025 , 0
14.27 , 9.457 , 6.065 , 120.169 , 0
14.37 , 9.514 , 6.065 , 120.169 , 0
14.47 , 9.569 , 5.82 , 119.947 , 0
14.57 , 9.625 , 5.503 , 119.907 , 0
14.67 , 9.68 , 5.144 , 119.947 , 0
14.77 , 9.735 , 5.144 , 119.947 , 0
14.91 , 9.814 , 4.855 , 119.894 , 0
14.99 , 9.854 , 4.487 , 119.973 , 0
15.09 , 9.909 , 4.487 , 119.973 , 0
15.17 , 9.957 , 3.751 , 119.855 , 0
15.28 , 10.014 , 3.388 , 119.868 , 0
15.37 , 10.069 , 3.388 , 119.868 , 0
15.47 , 10.124 , 3.251 , 120.091 , 0
15.61 , 10.203 , 3.096 , 119.776 , 0
15.69 , 10.245 , 2.988 , 120.012 , 0
15.79 , 10.303 , 2.988 , 120.012 , 0
15.87 , 10.348 , 2.907 , 119.763 , 0
15.97 , 10.403 , 2.826 , 119.802 , 0
16.07 , 10.457 , 2.826 , 119.802 , 0
16.17 , 10.513 , 2.711 , 119.907 , 0
16.31 , 10.589 , 2.641 , 119.855 , 0
