caro_long_I
long
Time , Disp, Load , Pressure, Volume
0.07 , 0.005 , 0.021 , 119.632 , 0
0.16 , 0.058 , 0.0 , 119.501 , 0
0.3 , 0.137 , 0.0 , 119.501 , 0
0.38 , 0.176 , 0.009 , 119.527 , 0
0.47 , 0.229 , 0.0 , 119.462 , 0
0.56 , 0.281 , 0.0 , 119.462 , 0
0.66 , 0.337 , 0.015 , 119.501 , 0
0.81 , 0.415 , 0.009 , 119.527 , 0
0.87 , 0.453 , 0.011 , 119.553 , 0
0.97 , 0.506 , 0.011 , 119.553 , 0
1.07 , 0.559 , 0.028 , 119.776 , 0
1.16 , 0.615 , 0.006 , 119.593 , 0
1.31 , 0.694 , 0.006 , 119.593 , 0
1.38 , 0.734 , 0.032 , 119.881 , 0
1.48 , 0.788 , 0.023 , 119.488 , 0
1.57 , 0.837 , 0.023 , 119.488 , 0
1.67 , 0.892 , 0.047 , 119.658 , 0
1.81 , 0.971 , 0.049 , 119.475 , 0
1.87 , 1.009 , 0.057 , 119.619 , 0
1.97 , 1.064 , 0.057 , 119.619 , 0
2.06 , 1.115 , 0.049 , 119.698 , 0
2.17 , 1.17 , 0.068 , 119.435 , 0
2.31 , 1.25 , 0.068 , 119.435 , 0
2.38 , 1.288 , 0.062 , 119.593 , 0
2.48 , 1.343 , 0.07 , 119.514 , 0
2.56 , 1.392 , 0.07 , 119.514 , 0
2.67 , 1.448 , 0.074 , 119.462 , 0
2.81 , 1.527 , 0.064 , 119.475 , 0
2.88 , 1.565 , 0.087 , 119.553 , 0
2.98 , 1.62 , 0.087 , 119.553 , 0
3.06 , 1.67 , 0.077 , 119.553 , 0
3.17 , 1.726 , 0.096 , 119.54 , 0
3.3 , 1.802 , 0.096 , 119.54 , 0
3.37 , 1.841 , 0.098 , 119.37 , 0
3.47 , 1.895 , 0.106 , 119.58 , 0
3.56 , 1.948 , 0.106 , 119.514 , 0
3.66 , 2.004 , 0.106 , 119.514 , 0
3.81 , 2.082 , 0.111 , 119.514 , 0
3.88 , 2.121 , 0.111 , 119.606 , 0
3.97 , 2.176 , 0.111 , 119.606 , 0
4.07 , 2.226 , 0.123 , 119.422 , 0
4.17 , 2.282 , 0.113 , 119.383 , 0
4.26 , 2.337 , 0.142 , 119.317 , 0
4.37 , 2.392 , 0.142 , 119.317 , 0
4.5 , 2.468 , 0.136 , 119.435 , 0
4.57 , 2.508 , 0.147 , 119.396 , 0
4.67 , 2.562 , 0.147 , 119.396 , 0
4.77 , 2.614 , 0.132 , 119.449 , 0
4.86 , 2.67 , 0.151 , 119.501 , 0
5.01 , 2.749 , 0.151 , 119.501 , 0
5.08 , 2.788 , 0.172 , 119.54 , 0
5.17 , 2.838 , 0.202 , 119.422 , 0
5.26 , 2.892 , 0.185 , 119.331 , 0
5.36 , 2.948 , 0.185 , 119.331 , 0
5.51 , 3.027 , 0.191 , 119.501 , 0
5.58 , 3.066 , 0.191 , 119.226 , 0
5.67 , 3.12 , 0.191 , 119.226 , 0
5.76 , 3.17 , 0.228 , 119.291 , 0
5.87 , 3.226 , 0.198 , 119.475 , 0
6.01 , 3.306 , 0.236 , 119.553 , 0
6.08 , 3.346 , 0.236 , 119.553 , 0
6.17 , 3.397 , 0.24 , 119.593 , 0
6.26 , 3.448 , 0.264 , 119.501 , 0
6.36 , 3.503 , 0.264 , 119.501 , 0
6.5 , 3.581 , 0.259 , 119.711 , 0
6.58 , 3.621 , 0.268 , 119.553 , 0
6.67 , 3.675 , 0.268 , 119.553 , 0
6.77 , 3.726 , 0.279 , 119.54 , 0
6.87 , 3.784 , 0.327 , 119.58 , 0
6.96 , 3.837 , 0.355 , 119.488 , 0
7.06 , 3.892 , 0.355 , 119.488 , 0
7.21 , 3.971 , 0.396 , 119.527 , 0
7.28 , 4.009 , 0.413 , 119.566 , 0
7.38 , 4.065 , 0.413 , 119.566 , 0
7.47 , 4.115 , 0.466 , 119.462 , 0
7.57 , 4.17 , 0.51 , 119.658 , 0
7.66 , 4.226 , 0.532 , 119.501 , 0
7.77 , 4.281 , 0.532 , 119.501 , 0
7.91 , 4.36 , 0.587 , 119.462 , 0
7.98 , 4.4 , 0.663 , 119.58 , 0
8.08 , 4.457 , 0.663 , 119.58 , 0
8.16 , 4.504 , 0.725 , 119.658 , 0
8.26 , 4.559 , 0.797 , 119.632 , 0
8.41 , 4.638 , 0.797 , 119.632 , 0
8.48 , 4.677 , 0.889 , 119.724 , 0
8.58 , 4.731 , 0.982 , 119.501 , 0
8.66 , 4.781 , 1.068 , 119.606 , 0
8.76 , 4.836 , 1.068 , 119.606 , 0
8.91 , 4.917 , 1.201 , 119.553 , 0
8.98 , 4.959 , 1.287 , 119.619 , 0
9.08 , 5.01 , 1.287 , 119.619 , 0
9.16 , 5.059 , 1.406 , 119.815 , 0
9.26 , 5.115 , 1.531 , 119.593 , 0
9.36 , 5.17 , 1.618 , 119.37 , 0
9.47 , 5.227 , 1.618 , 119.37 , 0
9.56 , 5.281 , 1.729 , 119.632 , 0
9.67 , 5.337 , 1.873 , 119.553 , 0
9.81 , 5.416 , 1.873 , 119.553 , 0
9.88 , 5.454 , 1.999 , 119.291 , 0
9.98 , 5.511 , 2.114 , 119.527 , 0
10.06 , 5.559 , 2.233 , 119.396 , 0
10.17 , 5.615 , 2.233 , 119.396 , 0
10.27 , 5.67 , 2.369 , 119.449 , 0
10.37 , 5.726 , 2.494 , 119.396 , 0
10.46 , 5.781 , 2.494 , 119.396 , 0
10.56 , 5.837 , 2.626 , 119.54 , 0
10.71 , 5.916 , 2.756 , 119.396 , 0
10.79 , 5.962 , 2.884 , 119.422 , 0
10.89 , 6.016 , 2.884 , 119.422 , 0
10.96 , 6.059 , 2.998 , 119.383 , 0
11.06 , 6.114 , 3.111 , 119.317 , 0
11.21 , 6.195 , 3.111 , 119.317 , 0
11.28 , 6.234 , 3.196 , 119.475 , 0
11.39 , 6.293 , 3.3 , 119.37 , 0
11.47 , 6.337 , 3.3 , 119.37 , 0
11.56 , 6.392 , 3.407 , 119.435 , 0
11.71 , 6.472 , 3.496 , 119.619 , 0
11.78 , 6.511 , 3.598 , 119.422 , 0
11.88 , 6.567 , 3.598 , 119.422 , 0
11.96 , 6.615 , 3.696 , 119.265 , 0
12.07 , 6.674 , 3.69 , 119.396 , 0
12.16 , 6.726 , 3.69 , 119.396 , 0
12.26 , 6.781 , 3.681 , 119.317 , 0
12.4 , 6.857 , 3.602 , 119.396 , 0
12.47 , 6.898 , 3.568 , 119.344 , 0
12.57 , 6.953 , 3.568 , 119.344 , 0
12.66 , 7.004 , 3.585 , 119.37 , 0
12.77 , 7.059 , 3.598 , 119.383 , 0
12.91 , 7.138 , 3.598 , 119.383 , 0
12.98 , 7.176 , 3.613 , 119.2 , 0
13.07 , 7.231 , 3.609 , 119.422 , 0
13.17 , 7.281 , 3.609 , 119.422 , 0
13.27 , 7.337 , 3.611 , 119.278 , 0
13.41 , 7.416 , 3.624 , 119.252 , 0
13.48 , 7.459 , 3.607 , 119.304 , 0
13.59 , 7.517 , 3.607 , 119.304 , 0
13.66 , 7.559 , 3.587 , 119.37 , 0
13.76 , 7.614 , 3.583 , 119.409 , 0
13.9 , 7.691 , 3.583 , 119.409 , 0
13.97 , 7.73 , 3.575 , 119.435 , 0
14.07 , 7.786 , 3.556 , 119.304 , 0
14.17 , 7.837 , 3.556 , 119.304 , 0
14.27 , 7.893 , 3.524 , 119.566 , 0
14.37 , 7.948 , 3.515 , 119.409 , 0
14.47 , 8.004 , 3.483 , 119.344 , 0
14.6 , 8.081 , 3.483 , 119.344 , 0
14.69 , 8.127 , 3.466 , 119.462 , 0
14.79 , 8.185 , 3.447 , 119.462 , 0
