caro_long_II
long
Time , Disp, Load , Pressure, Volume
0.07 , 0.005 , -0.006 , 119.265 , 0
0.16 , 0.056 , -0.023 , 119.278 , 0
0.24 , 0.102 , -0.032 , 119.186 , 0
0.34 , 0.157 , -0.032 , 119.186 , 0
0.48 , 0.236 , -0.03 , 119.252 , 0
0.55 , 0.273 , -0.043 , 119.527 , 0
0.65 , 0.327 , -0.043 , 119.527 , 0
0.74 , 0.38 , -0.017 , 119.357 , 0
0.84 , 0.435 , -0.017 , 119.068 , 0
0.98 , 0.514 , -0.006 , 118.95 , 0
1.06 , 0.556 , -0.006 , 118.95 , 0
1.16 , 0.61 , -0.015 , 119.121 , 0
1.24 , 0.657 , -0.008 , 119.2 , 0
1.34 , 0.713 , -0.008 , 119.2 , 0
1.48 , 0.79 , 0.009 , 119.016 , 0
1.55 , 0.831 , 0.0 , 119.068 , 0
1.65 , 0.886 , -0.011 , 119.003 , 0
1.74 , 0.935 , -0.011 , 119.003 , 0
1.84 , 0.991 , 0.019 , 119.003 , 0
1.98 , 1.067 , 0.009 , 119.095 , 0
2.04 , 1.102 , 0.009 , 119.095 , 0
2.14 , 1.157 , 0.034 , 118.964 , 0
2.28 , 1.237 , 0.032 , 119.108 , 0
2.36 , 1.276 , 0.032 , 119.029 , 0
2.45 , 1.33 , 0.032 , 119.029 , 0
2.54 , 1.38 , 0.049 , 119.095 , 0
2.64 , 1.435 , 0.06 , 119.095 , 0
2.78 , 1.512 , 0.06 , 119.095 , 0
2.85 , 1.549 , 0.057 , 119.055 , 0
2.94 , 1.602 , 0.068 , 119.108 , 0
3.09 , 1.682 , 0.068 , 119.108 , 0
3.16 , 1.72 , 0.072 , 119.134 , 0
3.26 , 1.778 , 0.066 , 119.095 , 0
3.34 , 1.824 , 0.085 , 118.937 , 0
3.44 , 1.881 , 0.085 , 118.937 , 0
3.54 , 1.935 , 0.098 , 118.885 , 0
3.64 , 1.992 , 0.091 , 119.134 , 0
3.74 , 2.046 , 0.091 , 119.134 , 0
3.84 , 2.102 , 0.128 , 119.344 , 0
3.98 , 2.18 , 0.121 , 119.422 , 0
4.05 , 2.218 , 0.164 , 119.553 , 0
4.15 , 2.272 , 0.164 , 119.553 , 0
4.24 , 2.324 , 0.177 , 119.593 , 0
4.34 , 2.38 , 0.219 , 119.907 , 0
4.48 , 2.459 , 0.219 , 119.907 , 0
4.56 , 2.498 , 0.268 , 119.907 , 0
4.65 , 2.553 , 0.319 , 119.96 , 0
4.74 , 2.602 , 0.319 , 119.96 , 0
4.84 , 2.658 , 0.376 , 119.92 , 0
4.98 , 2.735 , 0.453 , 119.999 , 0
5.05 , 2.774 , 0.559 , 119.973 , 0
5.15 , 2.827 , 0.559 , 119.973 , 0
5.24 , 2.88 , 0.64 , 119.999 , 0
5.34 , 2.935 , 0.768 , 119.986 , 0
5.48 , 3.015 , 0.768 , 119.986 , 0
5.56 , 3.055 , 0.927 , 120.051 , 0
5.65 , 3.107 , 1.093 , 119.54 , 0
5.74 , 3.157 , 1.263 , 119.514 , 0
5.84 , 3.213 , 1.263 , 119.514 , 0
5.98 , 3.292 , 1.548 , 119.475 , 0
6.06 , 3.332 , 1.757 , 119.435 , 0
6.15 , 3.383 , 1.757 , 119.435 , 0
6.24 , 3.435 , 1.978 , 119.344 , 0
6.34 , 3.491 , 2.299 , 119.409 , 0
6.48 , 3.57 , 2.299 , 119.409 , 0
6.55 , 3.609 , 2.569 , 119.58 , 0
6.66 , 3.666 , 2.826 , 119.422 , 0
6.74 , 3.713 , 3.171 , 119.462 , 0
6.84 , 3.769 , 3.171 , 119.462 , 0
6.98 , 3.848 , 3.475 , 119.514 , 0
7.06 , 3.887 , 3.768 , 119.304 , 0
7.15 , 3.941 , 3.768 , 119.304 , 0
7.24 , 3.991 , 4.136 , 119.409 , 0
7.34 , 4.047 , 4.466 , 119.435 , 0
7.44 , 4.102 , 4.751 , 119.265 , 0
7.54 , 4.157 , 4.751 , 119.265 , 0
7.69 , 4.237 , 5.093 , 119.488 , 0
7.77 , 4.282 , 5.431 , 119.317 , 0
7.87 , 4.339 , 5.431 , 119.317 , 0
7.94 , 4.38 , 5.697 , 119.357 , 0
8.04 , 4.435 , 6.012 , 119.173 , 0
8.19 , 4.515 , 6.012 , 119.173 , 0
8.26 , 4.557 , 6.29 , 119.265 , 0
8.36 , 4.611 , 6.475 , 119.055 , 0
8.45 , 4.66 , 6.679 , 119.108 , 0
8.54 , 4.714 , 6.679 , 119.108 , 0
8.64 , 4.768 , 6.869 , 119.121 , 0
8.74 , 4.824 , 6.986 , 119.042 , 0
8.88 , 4.904 , 6.986 , 119.042 , 0
8.96 , 4.946 , 7.037 , 119.055 , 0
9.06 , 5.0 , 6.877 , 119.082 , 0
9.14 , 5.047 , 6.473 , 119.16 , 0
9.24 , 5.103 , 6.473 , 119.16 , 0
9.34 , 5.158 , 6.046 , 119.016 , 0
9.44 , 5.214 , 5.737 , 119.213 , 0
9.54 , 5.269 , 5.737 , 119.213 , 0
9.64 , 5.324 , 5.514 , 119.082 , 0
9.78 , 5.404 , 5.255 , 119.278 , 0
9.86 , 5.444 , 4.976 , 119.252 , 0
9.95 , 5.494 , 4.976 , 119.252 , 0
10.04 , 5.547 , 4.859 , 119.2 , 0
10.14 , 5.602 , 4.783 , 119.147 , 0
10.28 , 5.679 , 4.783 , 119.147 , 0
10.35 , 5.718 , 4.738 , 119.042 , 0
10.45 , 5.772 , 4.687 , 119.095 , 0
10.54 , 5.824 , 4.687 , 119.095 , 0
10.64 , 5.88 , 4.674 , 119.029 , 0
10.78 , 5.957 , 4.674 , 119.082 , 0
10.85 , 5.998 , 4.683 , 119.173 , 0
10.95 , 6.053 , 4.683 , 119.173 , 0
11.04 , 6.102 , 4.704 , 119.121 , 0
11.14 , 6.158 , 4.685 , 119.042 , 0
11.28 , 6.236 , 4.685 , 119.042 , 0
11.35 , 6.276 , 4.655 , 119.042 , 0
11.45 , 6.329 , 4.64 , 119.108 , 0
11.54 , 6.38 , 4.612 , 118.99 , 0
11.64 , 6.435 , 4.612 , 118.99 , 0
11.78 , 6.514 , 4.578 , 119.003 , 0
11.85 , 6.553 , 4.574 , 119.213 , 0
11.95 , 6.608 , 4.574 , 119.213 , 0
12.04 , 6.657 , 4.585 , 119.711 , 0
12.14 , 6.713 , 4.617 , 119.776 , 0
12.28 , 6.792 , 4.617 , 119.776 , 0
12.36 , 6.835 , 4.634 , 120.169 , 0
12.47 , 6.893 , 4.655 , 120.248 , 0
12.55 , 6.94 , 4.623 , 120.431 , 0
12.65 , 6.993 , 4.623 , 120.431 , 0
12.74 , 7.046 , 4.655 , 120.549 , 0
12.85 , 7.105 , 4.619 , 120.589 , 0
12.94 , 7.157 , 4.619 , 120.589 , 0
13.04 , 7.213 , 4.625 , 120.523 , 0
13.14 , 7.269 , 4.612 , 120.536 , 0
13.24 , 7.326 , 4.553 , 120.589 , 0
13.34 , 7.379 , 4.553 , 120.589 , 0
13.44 , 7.435 , 4.51 , 120.576 , 0
13.58 , 7.513 , 4.491 , 120.34 , 0
13.66 , 7.555 , 4.491 , 120.34 , 0
13.76 , 7.611 , 4.317 , 120.536 , 0
13.84 , 7.657 , 4.036 , 120.484 , 0
13.94 , 7.713 , 4.036 , 120.484 , 0
14.09 , 7.793 , 3.826 , 120.366 , 0
14.17 , 7.842 , 3.594 , 120.418 , 0
14.28 , 7.901 , 2.996 , 120.261 , 0
14.36 , 7.943 , 2.996 , 120.261 , 0
14.46 , 7.999 , 1.948 , 120.3 , 0
14.54 , 8.046 , 1.478 , 120.51 , 0
14.64 , 8.102 , 1.478 , 120.51 , 0
14.79 , 8.183 , 1.401 , 120.523 , 0
14.86 , 8.225 , 1.34 , 120.366 , 0
14.97 , 8.283 , 1.333 , 120.523 , 0
15.04 , 8.324 , 1.333 , 120.523 , 0
15.14 , 8.38 , 1.295 , 120.549 , 0
15.28 , 8.456 , 1.325 , 120.72 , 0
15.36 , 8.5 , 1.325 , 120.72 , 0
15.46 , 8.555 , 1.331 , 120.746 , 0
15.54 , 8.602 , 1.312 , 120.327 , 0
15.64 , 8.657 , 1.321 , 120.392 , 0
15.79 , 8.738 , 1.321 , 120.392 , 0
15.86 , 8.778 , 1.301 , 120.248 , 0
15.97 , 8.837 , 1.291 , 120.314 , 0
16.04 , 8.881 , 1.291 , 120.314 , 0
16.14 , 8.935 , 1.242 , 119.566 , 0
16.29 , 9.016 , 1.219 , 119.213 , 0
16.37 , 9.061 , 1.204 , 119.422 , 0
16.47 , 9.118 , 1.204 , 119.422 , 0
16.55 , 9.164 , 1.189 , 119.134 , 0
16.66 , 9.221 , 1.176 , 119.134 , 0
16.74 , 9.268 , 1.176 , 119.134 , 0
16.84 , 9.325 , 1.138 , 119.095 , 0
16.94 , 9.38 , 1.114 , 119.304 , 0
17.05 , 9.438 , 1.114 , 119.304 , 0
17.14 , 9.491 , 1.07 , 119.108 , 0
17.24 , 9.546 , 1.051 , 119.16 , 0
17.38 , 9.623 , 1.025 , 119.134 , 0
17.46 , 9.667 , 1.025 , 119.134 , 0
17.56 , 9.723 , 0.989 , 119.003 , 0
17.64 , 9.769 , 0.959 , 118.977 , 0
17.74 , 9.824 , 0.959 , 118.977 , 0
17.88 , 9.901 , 0.927 , 119.16 , 0
17.95 , 9.94 , 0.866 , 119.108 , 0
18.04 , 9.991 , 0.866 , 119.108 , 0
18.14 , 10.046 , 0.851 , 119.317 , 0
18.25 , 10.104 , 0.838 , 119.121 , 0
18.34 , 10.157 , 0.812 , 119.265 , 0
18.44 , 10.213 , 0.812 , 119.265 , 0
18.54 , 10.268 , 0.787 , 119.016 , 0
18.65 , 10.326 , 0.785 , 119.173 , 0
18.74 , 10.38 , 0.785 , 119.173 , 0
18.85 , 10.438 , 0.759 , 119.121 , 0
18.94 , 10.491 , 0.715 , 119.278 , 0
19.05 , 10.548 , 0.725 , 119.265 , 0
19.14 , 10.602 , 0.725 , 119.265 , 0
19.24 , 10.658 , 0.674 , 119.173 , 0
19.38 , 10.734 , 0.653 , 119.304 , 0
19.46 , 10.78 , 0.619 , 119.095 , 0
19.57 , 10.838 , 0.619 , 119.095 , 0
19.64 , 10.879 , 0.581 , 119.108 , 0
19.74 , 10.935 , 0.581 , 119.108 , 0
19.89 , 11.016 , 0.591 , 119.121 , 0
19.97 , 11.061 , 0.559 , 119.121 , 0
20.06 , 11.113 , 0.525 , 119.121 , 0
20.14 , 11.157 , 0.525 , 119.121 , 0
20.24 , 11.213 , 0.51 , 119.147 , 0
20.38 , 11.289 , 0.498 , 119.068 , 0
20.46 , 11.334 , 0.449 , 119.147 , 0
20.56 , 11.392 , 0.449 , 119.147 , 0
20.65 , 11.437 , 0.444 , 119.082 , 0
20.75 , 11.494 , 0.436 , 119.003 , 0
20.84 , 11.546 , 0.436 , 119.003 , 0
20.94 , 11.602 , 0.451 , 119.121 , 0
21.09 , 11.681 , 0.423 , 119.108 , 0
21.16 , 11.724 , 0.434 , 119.055 , 0
21.26 , 11.778 , 0.434 , 119.055 , 0
21.34 , 11.824 , 0.389 , 118.833 , 0
21.44 , 11.88 , 0.393 , 119.108 , 0
21.54 , 11.935 , 0.393 , 119.108 , 0
21.65 , 11.992 , 0.381 , 119.095 , 0
21.74 , 12.046 , 0.357 , 119.003 , 0
21.84 , 12.102 , 0.357 , 119.003 , 0
21.98 , 12.18 , 0.332 , 119.082 , 0
22.06 , 12.222 , 0.306 , 119.121 , 0
22.17 , 12.283 , 0.321 , 119.121 , 0
22.24 , 12.325 , 0.321 , 119.121 , 0
22.34 , 12.38 , 0.319 , 119.213 , 0
22.48 , 12.458 , 0.272 , 119.173 , 0
22.56 , 12.5 , 0.272 , 119.173 , 0
22.66 , 12.557 , 0.264 , 119.042 , 0
22.74 , 12.602 , 0.268 , 118.911 , 0
22.84 , 12.659 , 0.268 , 118.911 , 0
22.94 , 12.713 , 0.24 , 119.121 , 0
23.04 , 12.769 , 0.245 , 119.016 , 0
23.19 , 12.848 , 0.24 , 119.147 , 0
23.27 , 12.894 , 0.24 , 119.147 , 0
23.37 , 12.952 , 0.223 , 119.147 , 0
23.45 , 12.998 , 0.221 , 119.003 , 0
23.56 , 13.054 , 0.221 , 119.003 , 0
23.64 , 13.102 , 0.208 , 119.186 , 0
23.75 , 13.159 , 0.215 , 118.964 , 0
23.84 , 13.213 , 0.215 , 118.964 , 0
23.94 , 13.269 , 0.215 , 119.121 , 0
24.09 , 13.349 , 0.189 , 118.937 , 0
24.16 , 13.39 , 0.185 , 119.029 , 0
24.25 , 13.442 , 0.185 , 119.029 , 0
24.34 , 13.49 , 0.17 , 118.99 , 0
24.44 , 13.546 , 0.155 , 118.872 , 0
24.58 , 13.624 , 0.155 , 118.872 , 0
24.66 , 13.666 , 0.157 , 119.042 , 0
24.75 , 13.718 , 0.153 , 119.095 , 0
24.84 , 13.769 , 0.136 , 118.95 , 0
24.95 , 13.828 , 0.136 , 118.95 , 0
25.04 , 13.879 , 0.132 , 119.029 , 0
25.14 , 13.935 , 0.125 , 118.911 , 0
25.28 , 14.01 , 0.125 , 118.911 , 0
25.36 , 14.055 , 0.117 , 118.937 , 0
25.45 , 14.107 , 0.132 , 119.003 , 0
25.54 , 14.158 , 0.119 , 119.029 , 0
25.65 , 14.216 , 0.119 , 119.029 , 0
25.74 , 14.268 , 0.113 , 119.134 , 0
25.85 , 14.328 , 0.121 , 119.029 , 0
25.94 , 14.38 , 0.121 , 119.029 , 0
26.05 , 14.437 , 0.113 , 118.898 , 0
26.14 , 14.491 , 0.108 , 118.964 , 0
26.24 , 14.546 , 0.108 , 118.964 , 0
26.38 , 14.625 , 0.111 , 119.239 , 0
26.46 , 14.668 , 0.115 , 119.042 , 0
26.56 , 14.723 , 0.098 , 119.173 , 0
26.64 , 14.768 , 0.098 , 119.173 , 0
26.74 , 14.824 , 0.089 , 119.042 , 0
26.88 , 14.9 , 0.074 , 118.977 , 0
26.96 , 14.943 , 0.074 , 118.977 , 0
27.05 , 14.998 , 0.104 , 119.16 , 0
27.14 , 15.046 , 0.064 , 118.924 , 0
27.25 , 15.106 , 0.083 , 119.239 , 0
27.34 , 15.158 , 0.083 , 119.239 , 0
27.44 , 15.213 , 0.064 , 119.213 , 0
27.58 , 15.292 , 0.068 , 119.108 , 0
27.66 , 15.332 , 0.068 , 119.108 , 0
27.75 , 15.384 , 0.053 , 119.16 , 0
27.84 , 15.435 , 0.051 , 119.121 , 0
27.94 , 15.491 , 0.051 , 119.121 , 0
28.08 , 15.569 , 0.06 , 119.2 , 0
28.16 , 15.61 , 0.051 , 119.265 , 0
28.25 , 15.664 , 0.038 , 119.121 , 0
28.34 , 15.713 , 0.038 , 119.121 , 0
28.44 , 15.769 , 0.057 , 119.226 , 0
28.58 , 15.846 , 0.066 , 119.108 , 0
28.66 , 15.891 , 0.068 , 119.226 , 0
28.76 , 15.944 , 0.068 , 119.226 , 0
28.84 , 15.992 , 0.057 , 119.108 , 0
28.95 , 16.052 , 0.043 , 119.095 , 0
29.04 , 16.103 , 0.043 , 119.095 , 0
29.14 , 16.157 , 0.038 , 119.055 , 0
29.28 , 16.235 , 0.038 , 119.003 , 0
29.36 , 16.28 , 0.043 , 119.239 , 0
29.47 , 16.34 , 0.043 , 119.239 , 0
29.55 , 16.383 , 0.019 , 119.186 , 0
29.64 , 16.435 , 0.019 , 119.186 , 0
29.74 , 16.491 , 0.015 , 119.213 , 0
29.85 , 16.548 , 0.032 , 119.095 , 0
29.94 , 16.602 , 0.015 , 119.213 , 0
30.04 , 16.657 , 0.015 , 119.213 , 0
30.18 , 16.734 , 0.015 , 119.265 , 0
30.26 , 16.78 , 0.006 , 119.252 , 0
30.36 , 16.833 , 0.006 , 119.252 , 0
30.44 , 16.88 , -0.002 , 119.278 , 0
30.55 , 16.937 , 0.011 , 119.2 , 0
30.64 , 16.991 , 0.013 , 119.108 , 0
30.74 , 17.046 , 0.013 , 119.108 , 0
30.88 , 17.124 , 0.023 , 119.134 , 0
30.96 , 17.166 , 0.021 , 119.213 , 0
31.06 , 17.223 , 0.021 , 119.213 , 0
31.14 , 17.269 , 0.006 , 119.147 , 0
31.24 , 17.324 , 0.03 , 119.121 , 0
31.38 , 17.401 , 0.011 , 119.278 , 0
31.46 , 17.447 , 0.011 , 119.278 , 0
31.56 , 17.499 , -0.013 , 119.108 , 0
31.64 , 17.546 , -0.004 , 119.16 , 0
31.74 , 17.602 , -0.004 , 119.16 , 0
31.88 , 17.678 , -0.015 , 119.2 , 0
31.96 , 17.722 , -0.017 , 119.186 , 0
32.06 , 17.78 , -0.017 , 119.186 , 0
32.16 , 17.834 , -0.03 , 119.2 , 0
32.26 , 17.891 , -0.03 , 119.108 , 0
32.34 , 17.935 , -0.017 , 119.265 , 0
32.45 , 17.993 , -0.017 , 119.265 , 0
32.54 , 18.046 , -0.049 , 119.304 , 0
32.64 , 18.102 , -0.034 , 119.278 , 0
32.78 , 18.18 , -0.034 , 119.278 , 0
32.86 , 18.224 , -0.053 , 119.108 , 0
32.96 , 18.279 , -0.051 , 119.226 , 0
33.05 , 18.327 , -0.057 , 119.2 , 0
33.14 , 18.38 , -0.057 , 119.2 , 0
