caro_long_III
long
Time , Disp, Load , Pressure, Volume
0.11 , 0.029 , 0.028 , 118.924 , 0
0.18 , 0.066 , 0.004 , 118.833 , 0
0.28 , 0.121 , -0.002 , 119.068 , 0
0.42 , 0.199 , -0.002 , 119.068 , 0
0.49 , 0.239 , 0.011 , 118.977 , 0
0.59 , 0.293 , -0.004 , 119.121 , 0
0.68 , 0.344 , 0.004 , 119.055 , 0
0.78 , 0.399 , 0.004 , 119.055 , 0
0.92 , 0.479 , 0.023 , 118.819 , 0
1.0 , 0.521 , 0.036 , 118.99 , 0
1.09 , 0.575 , 0.036 , 118.99 , 0
1.18 , 0.622 , 0.034 , 118.846 , 0
1.28 , 0.677 , 0.057 , 118.833 , 0
1.42 , 0.755 , 0.049 , 118.885 , 0
1.49 , 0.797 , 0.049 , 118.885 , 0
1.59 , 0.85 , 0.055 , 118.924 , 0
1.68 , 0.899 , 0.077 , 118.754 , 0
1.78 , 0.955 , 0.077 , 118.754 , 0
1.92 , 1.035 , 0.072 , 118.715 , 0
1.99 , 1.074 , 0.085 , 118.885 , 0
2.09 , 1.129 , 0.085 , 118.885 , 0
2.18 , 1.177 , 0.087 , 118.688 , 0
2.29 , 1.238 , 0.117 , 118.846 , 0
2.38 , 1.288 , 0.134 , 118.728 , 0
2.48 , 1.345 , 0.134 , 118.728 , 0
2.58 , 1.4 , 0.125 , 118.767 , 0
2.68 , 1.455 , 0.153 , 119.068 , 0
2.82 , 1.536 , 0.153 , 119.068 , 0
2.89 , 1.576 , 0.142 , 118.872 , 0
2.99 , 1.629 , 0.172 , 118.846 , 0
3.08 , 1.677 , 0.181 , 118.793 , 0
3.18 , 1.733 , 0.181 , 118.793 , 0
3.32 , 1.811 , 0.168 , 118.806 , 0
3.39 , 1.851 , 0.198 , 118.964 , 0
3.49 , 1.908 , 0.198 , 118.964 , 0
3.58 , 1.955 , 0.217 , 118.78 , 0
3.68 , 2.013 , 0.211 , 118.754 , 0
3.78 , 2.066 , 0.211 , 118.754 , 0
3.88 , 2.122 , 0.228 , 118.937 , 0
4.02 , 2.202 , 0.249 , 118.767 , 0
4.09 , 2.242 , 0.249 , 118.937 , 0
4.19 , 2.295 , 0.249 , 118.937 , 0
4.28 , 2.344 , 0.276 , 118.584 , 0
4.38 , 2.399 , 0.321 , 118.728 , 0
4.52 , 2.478 , 0.321 , 118.728 , 0
4.59 , 2.518 , 0.34 , 118.715 , 0
4.69 , 2.573 , 0.383 , 118.793 , 0
4.78 , 2.621 , 0.425 , 118.859 , 0
4.88 , 2.677 , 0.425 , 118.859 , 0
5.02 , 2.755 , 0.483 , 118.846 , 0
5.09 , 2.795 , 0.555 , 118.833 , 0
5.19 , 2.849 , 0.555 , 118.833 , 0
5.28 , 2.899 , 0.666 , 119.173 , 0
5.38 , 2.955 , 0.77 , 119.239 , 0
5.52 , 3.032 , 0.908 , 119.134 , 0
5.59 , 3.075 , 0.908 , 119.134 , 0
5.69 , 3.129 , 1.08 , 119.593 , 0
5.78 , 3.177 , 1.225 , 119.553 , 0
5.88 , 3.233 , 1.225 , 119.553 , 0
6.02 , 3.311 , 1.41 , 119.488 , 0
6.09 , 3.352 , 1.65 , 119.593 , 0
6.19 , 3.406 , 1.65 , 119.593 , 0
6.28 , 3.455 , 1.852 , 119.566 , 0
6.38 , 3.511 , 2.041 , 119.514 , 0
6.52 , 3.59 , 2.307 , 119.593 , 0
6.59 , 3.631 , 2.307 , 119.593 , 0
6.7 , 3.686 , 2.524 , 119.684 , 0
6.78 , 3.733 , 2.745 , 119.055 , 0
6.88 , 3.788 , 2.745 , 119.055 , 0
