caro_long_IV
long
Time , Disp, Load , Pressure, Volume
0.11 , 0.029 , 0.015 , 118.544 , 0
0.19 , 0.074 , 0.015 , 118.715 , 0
0.29 , 0.127 , 0.015 , 118.715 , 0
0.37 , 0.174 , 0.002 , 118.688 , 0
0.47 , 0.229 , 0.013 , 118.57 , 0
0.61 , 0.308 , 0.013 , 118.57 , 0
0.68 , 0.346 , 0.013 , 118.584 , 0
0.78 , 0.4 , 0.006 , 118.767 , 0
0.87 , 0.452 , 0.006 , 118.767 , 0
0.97 , 0.507 , 0.017 , 118.57 , 0
1.07 , 0.563 , 0.021 , 118.688 , 0
1.17 , 0.619 , 0.021 , 118.688 , 0
1.27 , 0.674 , -0.0 , 118.57 , 0
1.37 , 0.732 , 0.011 , 118.846 , 0
1.47 , 0.785 , -0.002 , 118.701 , 0
1.57 , 0.841 , -0.002 , 118.701 , 0
1.67 , 0.896 , -0.004 , 118.531 , 0
1.78 , 0.955 , -0.011 , 118.885 , 0
1.87 , 1.007 , -0.011 , 118.885 , 0
1.97 , 1.063 , 0.017 , 118.675 , 0
2.07 , 1.118 , 0.011 , 118.466 , 0
2.17 , 1.174 , -0.0 , 118.597 , 0
2.31 , 1.251 , -0.0 , 118.597 , 0
2.38 , 1.292 , 0.004 , 118.675 , 0
2.48 , 1.346 , 0.004 , 118.662 , 0
2.57 , 1.396 , 0.004 , 118.662 , 0
2.67 , 1.452 , 0.017 , 118.806 , 0
2.81 , 1.53 , -0.002 , 118.57 , 0
2.88 , 1.571 , 0.015 , 118.505 , 0
2.98 , 1.625 , 0.015 , 118.505 , 0
3.07 , 1.674 , 0.021 , 118.584 , 0
3.17 , 1.729 , 0.004 , 118.61 , 0
3.31 , 1.806 , 0.004 , 118.61 , 0
3.38 , 1.846 , 0.015 , 118.636 , 0
3.48 , 1.899 , 0.002 , 118.649 , 0
3.57 , 1.952 , 0.002 , 118.649 , 0
3.67 , 2.007 , 0.011 , 118.675 , 0
3.81 , 2.085 , 0.019 , 118.701 , 0
3.88 , 2.122 , 0.034 , 118.518 , 0
3.97 , 2.176 , 0.034 , 118.518 , 0
4.07 , 2.23 , 0.045 , 118.715 , 0
4.17 , 2.285 , 0.062 , 118.649 , 0
4.31 , 2.363 , 0.062 , 118.649 , 0
4.38 , 2.403 , 0.108 , 118.937 , 0
4.48 , 2.455 , 0.145 , 118.715 , 0
4.57 , 2.508 , 0.219 , 118.662 , 0
4.67 , 2.563 , 0.219 , 118.662 , 0
4.81 , 2.641 , 0.338 , 118.701 , 0
4.88 , 2.681 , 0.432 , 118.662 , 0
4.98 , 2.737 , 0.432 , 118.662 , 0
5.07 , 2.785 , 0.568 , 118.636 , 0
5.17 , 2.841 , 0.691 , 118.61 , 0
5.31 , 2.918 , 0.691 , 118.61 , 0
5.38 , 2.956 , 0.842 , 118.859 , 0
