caro_long_V
long
Time , Disp, Load , Pressure, Volume
0.11 , 0.029 , 0.009 , 118.4 , 0
0.19 , 0.076 , 0.006 , 118.361 , 0
0.29 , 0.131 , 0.006 , 118.361 , 0
0.43 , 0.21 , 0.0 , 118.085 , 0
0.51 , 0.25 , 0.009 , 118.334 , 0
0.6 , 0.303 , 0.009 , 118.334 , 0
0.7 , 0.354 , 0.019 , 118.19 , 0
0.79 , 0.41 , 0.009 , 118.295 , 0
0.9 , 0.465 , 0.0 , 118.177 , 0
1.0 , 0.521 , 0.0 , 118.177 , 0
1.14 , 0.6 , 0.021 , 118.479 , 0
1.22 , 0.645 , 0.036 , 118.282 , 0
1.31 , 0.697 , 0.036 , 118.282 , 0
1.39 , 0.743 , -0.006 , 118.282 , 0
1.5 , 0.799 , 0.002 , 118.492 , 0
1.63 , 0.876 , 0.002 , 118.452 , 0
1.71 , 0.916 , 0.002 , 118.452 , 0
1.81 , 0.971 , 0.006 , 118.308 , 0
1.89 , 1.02 , 0.006 , 118.19 , 0
1.99 , 1.076 , 0.006 , 118.19 , 0
2.13 , 1.154 , 0.026 , 118.4 , 0
2.2 , 1.191 , 0.021 , 118.413 , 0
2.3 , 1.243 , 0.021 , 118.413 , 0
2.39 , 1.298 , 0.006 , 118.282 , 0
2.5 , 1.354 , -0.009 , 118.374 , 0
2.64 , 1.434 , 0.026 , 118.361 , 0
2.71 , 1.476 , 0.026 , 118.361 , 0
2.81 , 1.529 , 0.034 , 118.269 , 0
2.89 , 1.576 , 0.015 , 118.348 , 0
2.99 , 1.631 , 0.015 , 118.348 , 0
3.13 , 1.709 , 0.0 , 118.348 , 0
3.2 , 1.748 , 0.006 , 118.269 , 0
3.3 , 1.801 , 0.017 , 118.177 , 0
3.4 , 1.854 , 0.017 , 118.177 , 0
3.5 , 1.909 , 0.0 , 118.308 , 0
3.63 , 1.986 , 0.006 , 118.466 , 0
3.71 , 2.027 , 0.006 , 118.466 , 0
3.8 , 2.08 , 0.002 , 118.19 , 0
3.9 , 2.132 , 0.011 , 118.256 , 0
3.99 , 2.187 , 0.011 , 118.256 , 0
4.1 , 2.243 , 0.004 , 118.308 , 0
4.19 , 2.298 , 0.015 , 118.217 , 0
4.34 , 2.377 , 0.034 , 118.23 , 0
4.41 , 2.42 , 0.034 , 118.23 , 0
4.51 , 2.476 , 0.03 , 118.125 , 0
4.6 , 2.521 , 0.017 , 118.321 , 0
4.69 , 2.576 , 0.017 , 118.321 , 0
4.83 , 2.653 , 0.03 , 118.217 , 0
4.91 , 2.696 , 0.043 , 118.23 , 0
5.01 , 2.75 , 0.03 , 118.282 , 0
5.1 , 2.798 , 0.03 , 118.282 , 0
5.2 , 2.854 , 0.049 , 118.256 , 0
5.33 , 2.93 , 0.047 , 118.361 , 0
5.4 , 2.968 , 0.047 , 118.361 , 0
5.49 , 3.02 , 0.057 , 118.308 , 0
5.64 , 3.099 , 0.028 , 118.335 , 0
5.71 , 3.14 , 0.06 , 118.308 , 0
5.81 , 3.194 , 0.06 , 118.308 , 0
5.9 , 3.243 , 0.064 , 118.479 , 0
5.99 , 3.298 , 0.066 , 118.308 , 0
6.14 , 3.379 , 0.066 , 118.308 , 0
6.21 , 3.418 , 0.06 , 118.125 , 0
6.3 , 3.469 , 0.06 , 118.334 , 0
6.4 , 3.521 , 0.06 , 118.334 , 0
6.5 , 3.576 , 0.087 , 118.439 , 0
6.63 , 3.652 , 0.081 , 118.269 , 0
