tsyv
rad
Time , Disp, Load , Pressure, Volume
0.1 , 0.015 , 5.767 , 10.563 , 0
0.19 , 0.041 , 5.767 , 10.563 , 0
0.3 , 0.069 , 5.795 , 10.59 , 0
0.41 , 0.103 , 5.78 , 10.55 , 0
0.49 , 0.125 , 5.78 , 10.55 , 0
0.59 , 0.153 , 5.775 , 10.432 , 0
0.7 , 0.184 , 5.771 , 10.708 , 0
0.8 , 0.209 , 5.771 , 10.708 , 0
0.89 , 0.236 , 5.78 , 10.786 , 0
1.02 , 0.272 , 5.771 , 10.577 , 0
1.1 , 0.292 , 5.769 , 10.668 , 0
1.2 , 0.32 , 5.769 , 10.668 , 0
1.32 , 0.357 , 5.78 , 10.498 , 0
1.4 , 0.375 , 5.788 , 10.668 , 0
1.5 , 0.403 , 5.788 , 10.668 , 0
1.63 , 0.441 , 5.775 , 10.603 , 0
1.69 , 0.459 , 5.771 , 10.642 , 0
1.8 , 0.487 , 5.775 , 10.668 , 0
1.91 , 0.521 , 5.775 , 10.668 , 0
1.99 , 0.542 , 5.769 , 10.603 , 0
2.09 , 0.57 , 5.769 , 10.524 , 0
2.2 , 0.601 , 5.769 , 10.524 , 0
2.3 , 0.626 , 5.769 , 10.655 , 0
2.39 , 0.654 , 5.769 , 10.747 , 0
2.52 , 0.689 , 5.769 , 10.747 , 0
2.6 , 0.709 , 5.773 , 10.498 , 0
2.69 , 0.737 , 5.78 , 10.511 , 0
2.82 , 0.774 , 5.765 , 10.642 , 0
2.9 , 0.793 , 5.765 , 10.642 , 0
3.0 , 0.821 , 5.775 , 10.708 , 0
3.13 , 0.858 , 5.795 , 10.681 , 0
3.19 , 0.876 , 5.795 , 10.681 , 0
3.3 , 0.904 , 5.782 , 10.681 , 0
3.41 , 0.938 , 5.767 , 10.668 , 0
3.5 , 0.959 , 5.784 , 10.799 , 0
3.59 , 0.987 , 5.784 , 10.799 , 0
3.7 , 1.0 , 5.775 , 10.747 , 0
3.8 , 1.0 , 5.778 , 10.603 , 0
3.89 , 1.0 , 5.778 , 10.603 , 0
3.99 , 1.0 , 5.78 , 10.747 , 0
4.1 , 1.0 , 5.786 , 10.616 , 0
4.2 , 1.0 , 5.78 , 10.695 , 0
4.29 , 1.0 , 5.78 , 10.695 , 0
4.41 , 1.0 , 5.786 , 10.695 , 0
4.5 , 1.0 , 5.803 , 10.485 , 0
4.6 , 1.0 , 5.803 , 10.485 , 0
4.69 , 1.0 , 5.801 , 10.852 , 0
4.79 , 1.0 , 5.782 , 10.852 , 0
4.9 , 1.0 , 5.782 , 10.852 , 0
